SOS_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS61,278,5477,426,6177,321,5623,436,6380,912,12571,901,14379,1225,9900,733,11855,1679,10090,688,12457,1917,10828,695,13438,1616,10147,771,12536,884,5951,585,7423,218,1841,301,2359,9048,72423,5539,87006,329,5158,365,5862,461,5431,375,6268,1610,12267,767,14647,2275,10029,608,12919,2932,10432,630,13987,3464,10849,659,14969,2443,11001,806,14251,962,7257,785,9006,166,3249,457,3877,14649,75677,5470,95790,604,10635,798,12036,785,11057,806,12648,2522,24839,1670,29031,3499,19932,1344,24774,4606,20518,1314,26444,5381,21676,1353,28412,4060,21144,1579,26785,1845,13205,1378,16431,393,5087,762,6236,23694,148092,11003,182793
SOS62,39,631,74,741,42,581,60,688,100,1324,103,1526,163,1363,88,1607,289,1545,129,1964,363,2011,161,2529,293,2049,192,2535,144,1008,122,1266,24,224,55,303,1450,10717,990,13160,25,608,52,690,31,517,32,578,168,1305,101,1570,307,1272,103,1676,425,1487,123,2032,601,1920,145,2672,364,1847,166,2381,129,933,145,1209,23,311,64,401,2063,10211,933,13209,66,1242,128,1429,66,1099,98,1264,265,2625,208,3096,462,2635,188,3281,711,3028,251,3990,965,3930,310,5201,659,3894,360,4914,272,1940,265,2475,44,538,122,703,3513,20926,1924,26369
SOS63,154,2756,290,3202,126,2122,162,2414,355,4439,392,5182,623,4948,438,6007,971,6241,528,7739,1370,7631,639,9634,973,6565,594,8133,375,2609,269,3249,49,480,71,600,4996,37782,3381,46159,172,2410,239,2821,155,1832,150,2146,551,4163,371,5084,1081,4881,400,6364,1613,5764,436,7815,2078,6602,550,9227,1111,5137,442,6690,329,1946,224,2497,39,460,69,571,7132,33204,2879,43220,330,5163,531,6019,286,3955,319,4564,907,8601,756,10269,1702,9829,840,12366,2585,12000,965,15552,3443,14231,1185,18867,2086,11705,1037,14821,707,4551,493,5751,88,939,144,1169,12130,70984,6268,89376
SOS67,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,19
SOS69,5,25,9,43,4,54,9,71,6,88,40,135,11,69,29,99,12,87,29,130,11,61,32,104,0,48,48,90,0,13,4,18,0,0,0,0,54,437,198,689,7,36,11,48,8,36,10,53,13,74,11,92,15,62,21,97,12,48,17,78,17,60,27,98,6,38,33,72,3,7,4,13,0,0,0,4,70,363,127,561,5,67,19,95,16,92,15,119,12,155,55,228,21,132,53,198,25,132,46,203,26,119,55,199,3,85,75,163,5,19,10,31,0,0,0,3,126,798,322,1248
SOS70,147,2834,348,3340,161,3627,666,4451,556,9566,1630,11752,746,7642,1241,9620,774,6062,978,7817,560,4922,620,6100,356,3238,387,3989,146,1222,160,1528,25,252,52,336,3464,39375,6089,48931,194,2699,318,3204,177,3216,385,3779,885,10160,1190,12239,1160,7928,906,9996,1128,5818,647,7592,969,4476,500,5936,565,2924,311,3797,161,1227,179,1566,22,319,73,414,5255,38754,4512,48524,345,5532,667,6547,331,6840,1051,8228,1445,19727,2819,23991,1902,15569,2148,19618,1896,11884,1626,15409,1527,9397,1124,12042,918,6168,698,7784,305,2449,338,3088,49,568,125,749,8719,78131,10599,97454
SOS71,107,1429,209,1748,117,1238,153,1509,324,3431,503,4255,335,2940,382,3662,248,2268,278,2796,212,1945,262,2423,118,1048,135,1302,32,328,42,407,3,60,9,72,1496,14695,1981,18171,114,1289,167,1562,198,1225,122,1544,463,3949,489,4897,494,2964,389,3843,403,2411,296,3102,354,1939,215,2501,148,968,117,1234,53,343,48,445,12,126,24,156,2227,15202,1856,19285,219,2719,373,3309,311,2461,277,3051,787,7379,986,9148,829,5901,769,7503,644,4680,574,5898,561,3884,473,4924,263,2022,249,2535,91,673,95,852,12,188,31,231,3719,29895,3836,37454
SOS72,93,808,84,987,122,799,81,1005,230,1570,210,2001,185,1264,158,1609,175,1067,130,1377,103,823,129,1048,34,452,75,556,11,135,20,164,4,20,0,22,950,6931,883,8767,118,737,114,974,125,825,85,1034,313,1704,194,2208,296,1277,154,1727,247,1124,142,1522,155,912,127,1196,59,451,88,599,13,119,10,144,0,25,0,25,1322,7183,915,9419,207,1547,204,1958,246,1627,167,2039,540,3271,397,4211,484,2539,315,3334,425,2194,276,2892,251,1736,252,2248,98,904,162,1152,20,260,38,311,4,45,3,48,2274,14117,1799,18192
SOS73,72,911,231,1218,82,874,311,1271,158,1810,638,2607,155,1703,586,2446,235,1953,548,2733,195,1804,406,2408,114,1168,233,1516,28,397,95,512,3,48,9,63,1045,10666,3062,14777,75,810,171,1050,83,782,157,1016,219,1701,339,2255,272,1705,344,2329,340,1753,327,2425,301,1442,280,2021,155,864,171,1184,35,263,50,346,7,50,11,60,1480,9364,1842,12684,150,1717,402,2273,164,1651,468,2283,377,3508,979,4862,434,3404,936,4771,574,3709,873,5154,502,3243,684,4426,272,2031,401,2704,58,660,139,856,8,99,19,123,2530,20028,4902,27458
SOS77,0,5,0,4,0,6,0,6,0,12,3,16,0,13,4,22,6,9,5,18,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,5,60,22,83,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,5,0,4,0,6,0,6,0,15,6,23,0,13,4,22,6,12,5,19,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,4,65,28,94
SOS79,0,11,15,30,0,35,48,84,10,181,104,292,9,167,129,305,12,156,150,311,6,178,115,300,9,141,53,205,0,24,11,33,0,4,0,6,41,891,636,1567,0,29,31,64,5,59,38,99,15,215,137,364,17,143,103,268,14,144,122,280,17,158,108,279,4,81,33,114,0,13,0,17,0,0,0,4,72,836,571,1486,4,44,43,95,9,89,87,183,23,395,242,661,26,309,236,573,17,295,276,591,23,332,226,579,9,219,88,318,0,32,16,49,0,4,0,7,115,1724,1209,3052
SOS80,638,12015,680,13327,843,15014,1120,16986,2084,34139,2320,38546,3191,29358,1646,34198,3936,22586,1172,27701,3732,17188,878,21798,2294,13580,678,16561,1313,6949,507,8767,357,2239,266,2861,18394,153064,9275,180737,685,11511,662,12864,998,15086,1010,17090,2849,34172,1902,38922,4698,28923,1318,34934,5706,21615,929,28257,5587,17090,713,23389,3541,14681,754,18971,1527,8388,619,10542,282,3538,490,4313,25872,155001,8398,189264,1323,23522,1344,26191,1843,30099,2137,34073,4931,68312,4222,77465,7888,58279,2958,69135,9643,44196,2108,55949,9313,34282,1590,45186,5839,28259,1431,35529,2841,15339,1122,19303,638,5777,758,7174,44266,308066,17668,370000
SOS82,0,25,0,27,0,7,0,9,0,30,0,30,0,46,5,48,9,39,0,47,5,26,0,30,4,16,5,28,0,8,4,15,0,0,0,0,28,201,14,242,0,19,0,22,0,15,0,17,0,23,0,20,4,42,3,49,15,34,0,50,7,33,0,42,9,20,0,29,0,14,0,13,0,3,0,3,36,193,10,240,0,48,4,45,0,23,0,25,0,44,0,49,4,85,3,96,25,76,0,100,10,57,0,73,13,39,5,58,0,17,4,30,0,6,0,6,62,389,26,481
SOS83,0,21,8,30,0,36,8,47,3,49,12,65,3,20,0,27,9,25,10,41,5,28,6,36,3,24,6,31,0,6,0,6,0,4,0,6,24,216,52,292,0,14,3,15,0,17,6,27,3,37,5,48,6,19,0,29,5,22,6,33,9,21,3,38,5,12,4,19,0,5,0,3,0,5,0,5,30,158,36,221,0,37,7,51,0,57,18,75,3,90,19,115,16,46,6,61,11,47,16,75,19,47,12,72,9,37,10,52,0,12,0,9,0,4,0,5,52,369,86,519
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,16,4,23,5,31,7,44,10,40,10,60,4,34,30,62,5,29,19,53,3,19,16,38,0,14,9,21,0,0,4,6,0,0,0,0,33,182,100,315,3,34,0,37,4,38,4,40,7,35,5,53,7,23,7,33,0,23,7,30,4,26,8,35,5,4,4,10,0,4,0,8,0,0,0,0,28,184,34,249,6,47,4,58,8,71,7,82,15,80,21,108,10,58,35,104,6,49,29,77,7,45,22,78,4,20,10,34,0,5,5,10,0,0,0,4,62,372,131,560
SOS91,4,13,4,23,0,16,6,27,0,80,28,116,3,64,24,90,4,76,32,115,9,77,11,97,4,78,24,107,0,12,0,15,0,4,0,4,30,421,128,577,5,30,3,34,0,11,3,19,4,61,23,88,6,86,20,112,10,74,12,98,12,53,13,84,5,38,4,42,0,8,3,9,0,0,0,0,40,369,84,494,4,43,8,51,0,31,12,45,6,145,57,202,19,147,42,206,18,149,45,209,16,133,29,181,8,122,25,150,0,23,0,26,0,4,0,4,71,786,215,1074
SOS92,0,39,10,52,5,37,8,52,5,70,12,90,7,116,23,145,12,112,24,143,25,170,35,228,12,113,15,141,4,59,16,82,3,19,0,22,83,732,139,949,3,37,7,51,4,52,7,65,7,82,18,110,19,121,26,164,29,106,21,155,39,175,28,244,28,132,13,169,10,58,14,84,0,23,3,29,140,787,139,1070,6,81,18,106,10,92,16,118,11,154,32,202,24,237,47,311,48,214,35,296,65,338,58,471,38,247,36,314,13,114,25,162,3,40,3,48,222,1518,287,2017
SOS93,0,18,0,17,0,10,26,38,0,20,113,137,4,26,62,94,9,44,36,87,8,35,19,58,12,49,7,71,3,25,6,32,0,5,3,6,40,225,267,536,0,13,8,20,0,16,4,17,3,28,13,40,4,19,0,33,15,42,13,70,7,44,5,60,10,35,13,47,4,27,3,39,0,7,0,4,47,224,61,330,0,26,5,31,0,22,29,52,8,44,122,173,10,53,64,125,23,89,48,158,18,77,24,119,17,83,21,119,8,45,13,66,5,4,3,15,85,450,329,859
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11
