SOS_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
SOS61,3389,1938,550,1057,11233,399,6698,60487,3324,95653,430,753,58,9,277,147,38,129,1464,32,579,3394,226,6239,20570,9001,5602,1808,8791,8385,2301,5421,12447,2608,11031,22794,2530,71297,562,222,134,90,244,285,85,168,216,87,170,578,7884,9608,28950,19525,7695,1951,12700,10758,2976,6775,25362,3133,18475,87254,13966,182793,1141,1182,292,78,563,373,121,241,1646,132,1160,6833,481,11892,2427,1885,612,98,1012,872,225,608,2832,278,1808,7688,580,15804,15479,7410,3969,1244,6609,6063,1718,4174,10516,1815,8414,20178,1988,57684,4086,3373,1089,143,1831,1390,369,779,4163,376,2588,17643,1115,31692,3460,3654,1018,59,1528,1136,269,532,4172,240,2769,22761,1204,37061,1099,1274,375,8,557,363,104,139,1277,75,998,8700,439,13720,301,304,111,11,162,134,43,65,216,28,236,2132,94,3365,967,438,227,312,435,421,130,243,532,188,493,1320,8064,11577,28950,19525,7695,1951,12700,10758,2976,6775,25362,3133,18475,87254,13966,182793,6537,3061,1723,1626,3010,3095,1096,2212
SOS62,511,371,82,157,1396,66,918,8380,452,13276,67,74,19,0,28,21,7,16,141,4,65,399,23,696,3114,1215,929,236,1283,1259,281,741,1754,331,1590,3593,345,10681,68,32,19,8,41,44,10,22,31,12,18,96,1456,1715,4429,2511,1291,248,1863,1692,378,935,3325,425,2585,12464,2278,26369,214,170,64,9,85,73,19,51,235,20,164,1002,64,1762,413,262,109,20,192,147,30,80,393,40,304,1115,88,2399,2324,961,621,124,913,874,210,541,1388,248,1104,3016,269,8224,600,416,208,13,240,237,39,102,462,47,345,2312,137,4217,517,439,161,7,233,191,46,76,528,27,364,3151,178,5095,163,172,59,0,103,57,13,19,186,10,172,1307,74,2079,57,44,27,0,23,28,3,6,41,6,45,317,16,521,153,53,45,69,78,78,21,61,94,33,86,250,1461,2067,4429,2511,1291,248,1863,1692,378,935,3325,425,2585,12464,2278,26369,879,380,263,198,397,384,122,288
SOS63,1676,1320,256,547,4757,247,3494,32593,1691,50648,202,254,31,0,87,55,14,39,464,8,209,1266,102,2304,8061,3166,2346,325,2932,3132,655,1797,4610,790,4314,11838,990,30840,158,64,49,7,61,72,18,31,55,29,40,262,4987,5582,12930,7796,3668,355,4759,4580,940,2413,9886,1079,8059,45956,7767,89376,730,614,236,18,304,233,54,136,808,61,615,3992,262,6792,1402,897,360,31,468,474,99,297,1233,114,990,4350,318,8610,5918,2545,1587,217,2143,2214,479,1311,3688,563,3128,9887,804,24145,1836,1205,543,43,623,608,130,267,1531,122,1097,8638,472,14456,1877,1594,541,22,737,610,107,243,1721,123,1360,11850,583,18851,673,647,235,0,266,212,41,59,633,35,591,4989,216,7768,191,159,79,0,94,90,9,27,138,10,136,1478,77,2233,308,132,94,16,119,129,25,72,135,50,138,775,5038,6526,12930,7796,3668,355,4759,4580,940,2413,9886,1079,8059,45956,7767,89376,2114,906,661,272,784,911,245,671
SOS67,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,3,19,0,0,0,0,0,0,0,0
SOS69,3,6,0,3,60,5,25,185,11,309,11,24,4,0,0,0,0,6,46,0,13,64,0,139,79,68,17,3,40,36,9,31,170,6,76,171,29,485,4,3,0,0,0,0,3,0,3,0,3,6,301,314,117,119,37,5,53,45,14,38,282,12,117,421,344,1248,7,6,6,0,0,3,0,0,16,4,9,48,13,94,15,30,8,0,6,0,0,3,58,0,18,58,28,171,58,56,18,5,32,32,8,25,142,7,62,138,77,454,12,14,5,0,3,3,0,0,30,0,13,77,8,134,8,7,4,0,0,0,0,0,19,0,8,52,3,106,3,3,0,0,3,3,0,0,7,0,4,21,0,36,0,0,0,0,0,0,0,0,0,0,0,9,0,9,5,6,0,0,3,0,0,0,13,0,5,15,208,247,117,119,37,5,53,45,14,38,282,12,117,421,344,1248,20,18,6,0,7,14,0,8
SOS70,2195,1074,302,422,4343,167,4004,47528,1811,65347,112,187,28,0,104,59,18,29,322,16,220,1915,91,2797,2979,1568,1143,413,2126,1678,520,859,2098,463,2664,9596,1739,20845,68,54,26,11,89,72,37,21,57,16,61,456,7704,8466,6191,6194,2200,445,4525,2880,875,1341,6820,661,6951,59494,11342,97454,377,385,117,43,356,200,46,89,566,56,583,4925,235,7137,393,433,172,33,334,232,86,106,518,53,559,3448,172,5473,1776,1094,611,238,1278,967,343,579,1513,283,1567,7071,411,13413,820,831,278,49,636,379,97,167,919,97,904,8822,335,12664,1399,1838,486,26,1022,556,160,216,1841,86,1672,19526,724,27134,1043,1225,363,4,648,337,85,120,1181,51,1243,11487,426,16721,279,308,129,3,183,136,30,29,208,10,289,3379,129,4749,109,71,51,43,76,71,29,34,73,21,125,836,8921,10160,6191,6194,2200,445,4525,2880,875,1341,6820,661,6951,59494,11342,97454,1035,525,362,359,774,648,303,376
SOS71,904,569,132,151,1411,74,1306,14372,588,20477,34,97,13,0,70,77,28,11,79,8,90,1116,34,1532,752,765,289,208,1256,1059,473,326,818,198,1177,7113,468,12146,20,29,3,12,41,33,24,6,26,12,34,240,2914,3301,1698,2483,631,227,2274,1732,665,490,2326,290,2601,22848,3998,37454,74,135,31,26,115,73,20,17,151,16,149,1690,107,2401,143,276,63,43,420,484,168,98,273,40,413,4486,207,6465,477,517,180,108,744,594,291,207,519,132,671,3070,203,5935,231,255,81,36,216,137,51,52,291,31,276,2508,114,3745,394,681,132,6,405,210,71,72,637,39,543,6005,219,8528,268,460,97,0,244,144,30,33,336,21,399,3453,130,5099,84,90,34,0,66,39,9,12,66,6,97,947,28,1341,29,65,10,9,66,56,21,12,44,8,61,695,2989,3942,1698,2483,631,227,2274,1732,665,490,2326,290,2601,22848,3998,37454,298,206,100,181,400,272,199,153
SOS72,496,245,55,47,340,17,333,4444,174,6382,15,40,0,3,81,47,11,9,25,5,45,822,14,1045,225,378,81,72,984,635,242,155,293,66,528,6436,246,9306,11,6,0,0,25,15,8,8,4,0,10,155,1243,1458,532,841,154,79,1582,947,312,218,657,89,912,11862,1680,18192,16,34,3,0,31,45,8,8,28,0,41,801,25,1016,59,223,31,22,635,351,102,54,124,21,250,4746,125,6353,165,243,38,42,590,371,135,97,164,47,313,2639,81,4222,72,74,12,4,118,58,23,16,76,9,93,944,43,1382,113,142,36,0,114,50,13,22,138,3,100,1272,50,1872,76,92,30,0,50,34,8,11,92,9,82,755,30,1136,15,21,0,0,18,5,4,3,24,0,7,196,7,282,11,14,4,0,24,23,9,12,8,3,24,507,1312,1924,532,841,154,79,1582,947,312,218,657,89,912,11862,1680,18192,85,93,26,47,227,126,78,47
SOS73,544,326,69,151,877,36,861,10023,495,14269,43,56,15,0,77,49,9,19,53,3,50,565,20,860,863,488,329,63,833,704,186,308,465,150,778,4310,967,8491,25,10,0,4,19,10,3,10,9,11,21,183,3584,3839,1755,1583,611,75,1466,1091,270,485,1407,199,1709,15081,5069,27458,130,101,51,7,92,72,16,36,103,14,115,1148,65,1712,163,172,53,18,276,226,61,59,125,23,257,2333,126,3494,514,368,187,34,526,412,95,207,318,90,471,2498,177,4652,227,213,90,6,153,93,28,53,183,21,202,1852,105,2839,392,381,107,0,193,147,36,71,366,26,334,3748,174,5396,227,263,86,0,135,70,13,32,214,4,218,2374,93,3448,53,60,19,0,44,26,4,9,56,4,72,648,32,936,51,29,17,7,49,37,18,16,36,14,43,487,4289,4977,1755,1583,611,75,1466,1091,270,485,1407,199,1709,15081,5069,27458,261,136,106,52,217,175,69,100
SOS77,0,0,0,0,0,0,0,51,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,11,0,0,3,0,0,0,0,0,0,55,24,94,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,18,0,21,0,4,0,0,0,0,0,0,0,0,0,22,0,23,0,5,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,23,25,0,11,0,0,3,0,0,0,0,0,0,55,24,94,0,0,0,0,0,0,0,0
SOS79,14,11,3,9,47,3,44,336,12,500,9,7,3,0,7,8,0,0,18,0,10,92,6,127,125,105,55,10,106,120,54,46,151,19,123,648,44,1251,7,16,6,0,45,45,24,9,22,0,34,145,880,1174,165,172,81,8,169,175,82,60,231,24,205,1224,945,3052,17,15,8,3,14,11,3,3,19,3,9,156,9,221,20,13,9,0,19,14,11,4,19,3,21,138,42,273,78,76,34,5,105,125,64,38,121,10,115,439,282,1205,20,21,10,0,12,10,0,0,25,0,16,170,13,265,18,18,6,0,7,9,3,5,33,0,22,178,7,276,3,14,8,0,5,0,0,0,15,0,12,91,8,139,0,3,9,0,7,3,0,0,5,0,3,19,0,34,10,3,0,0,3,0,0,0,5,0,7,25,580,625,165,172,81,8,169,175,82,60,231,24,205,1224,945,3052,24,12,8,0,23,25,20,14
SOS80,7265,3841,1263,1366,28123,598,22837,163090,5757,247706,445,953,131,10,326,166,63,88,1916,40,951,6031,259,9893,21100,10004,7486,2264,9561,9716,2716,4381,12899,2483,16029,38949,2706,97159,356,114,94,311,156,194,60,69,266,83,365,769,13533,15247,34877,35218,12062,2618,17306,13914,4105,5897,43211,3207,40183,208839,22253,370000,1421,1985,507,126,1094,643,218,265,3160,194,2477,16760,688,25884,2345,2531,826,190,1201,949,276,481,3751,264,2927,13808,698,24635,9398,5827,2681,974,4447,3917,1262,2162,8868,1149,7726,24167,1216,52581,5304,4206,1846,350,2370,2226,614,953,5321,481,4688,26981,1059,45873,7943,9290,2994,311,4030,3155,864,1155,11084,569,10064,58386,2088,95620,5683,8450,2113,87,2869,1884,579,534,8437,295,8659,48178,1637,78388,2152,2660,904,30,1027,837,200,198,2041,120,2907,18684,635,29017,633,255,195,549,271,301,90,144,540,137,723,1869,14237,18000,34877,35218,12062,2618,17306,13914,4105,5897,43211,3207,40183,208839,22253,370000,6278,3164,1957,2114,3043,3200,1114,1748
SOS82,6,4,7,0,34,0,28,214,4,335,0,0,0,0,0,0,0,0,5,0,0,3,0,9,28,11,16,0,14,19,6,8,16,0,13,45,3,121,0,0,0,0,0,0,0,0,0,0,0,0,19,19,57,44,25,0,27,25,9,11,48,0,47,265,30,481,3,0,0,0,0,0,0,0,0,0,5,21,0,31,8,3,3,0,0,4,0,3,11,0,3,18,0,35,11,6,11,0,4,6,0,4,10,0,4,26,0,54,9,3,7,0,0,8,3,0,3,0,8,27,0,46,11,13,3,0,7,10,0,7,9,0,7,79,3,121,13,12,0,0,3,0,4,0,9,0,17,66,3,112,0,8,0,0,3,0,0,0,11,0,12,24,4,46,0,0,0,0,0,0,0,0,0,0,0,5,22,34,57,44,25,0,27,25,9,11,48,0,47,265,30,481,12,6,9,0,8,3,0,7
SOS83,8,4,3,4,31,0,21,237,12,352,0,3,0,0,0,0,0,0,0,0,0,0,0,5,19,6,6,0,6,10,0,10,11,5,17,31,0,81,0,0,0,0,0,0,0,0,0,0,0,0,82,82,42,49,11,0,16,15,3,11,42,4,33,270,95,519,3,0,3,0,3,0,0,6,0,0,3,12,0,22,0,0,0,0,0,0,0,3,0,0,3,16,0,25,13,6,5,0,3,7,0,3,10,6,10,17,0,53,3,7,0,0,5,0,0,0,8,0,3,47,4,66,11,19,4,0,4,4,0,3,18,3,16,115,3,172,5,4,5,0,0,0,0,0,5,0,7,34,5,50,3,5,0,0,0,0,0,0,3,0,0,26,0,31,0,0,0,0,0,0,0,0,0,0,0,8,82,89,42,49,11,0,16,15,3,11,42,4,33,270,95,519,3,4,0,0,3,5,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,7,3,0,0,47,0,28,125,6,216,0,6,0,0,0,0,0,3,10,0,4,29,0,48,26,25,10,0,9,14,0,4,48,4,27,67,4,169,0,0,0,0,3,0,0,0,0,0,0,3,121,129,42,55,18,0,17,18,0,10,109,6,59,222,136,560,0,3,0,0,6,0,0,0,7,0,3,29,5,49,4,8,3,0,0,3,4,4,15,0,8,42,10,81,11,15,7,0,3,5,0,0,42,0,19,36,13,114,11,11,3,0,3,0,0,0,13,0,11,31,0,66,12,10,0,0,4,0,0,0,4,0,3,47,0,80,0,4,0,0,0,0,0,0,5,0,8,23,0,39,3,0,0,0,0,0,0,0,4,0,8,9,0,21,0,0,0,0,0,0,0,0,3,0,0,3,106,121,42,55,18,0,17,18,0,10,109,6,59,222,136,560,6,8,4,0,0,6,0,6
SOS91,30,16,5,0,29,0,39,513,17,686,0,0,0,0,0,0,0,0,0,0,0,7,0,12,12,12,0,0,19,8,10,3,5,0,19,99,9,179,0,3,0,0,3,0,0,0,0,0,0,4,194,201,28,62,16,0,52,23,13,5,33,6,59,627,226,1074,4,4,0,0,8,0,0,0,0,0,0,57,7,74,0,4,0,0,4,0,0,0,3,0,0,36,0,50,8,8,0,0,12,6,0,3,8,0,20,62,0,114,0,3,0,0,3,0,3,0,6,0,7,67,0,93,3,21,4,0,16,4,0,0,9,0,14,206,4,270,12,11,4,0,9,10,0,0,4,0,14,155,6,214,0,0,0,0,0,0,0,0,0,0,0,34,0,45,0,0,0,0,0,0,0,0,0,0,3,6,201,214,28,62,16,0,52,23,13,5,33,6,59,627,226,1074,5,5,0,0,3,3,0,0
SOS92,38,45,12,17,72,3,75,875,28,1234,0,5,0,0,5,0,0,0,3,0,4,18,5,27,87,43,32,17,47,51,11,21,37,18,72,221,23,504,4,0,0,0,0,0,0,0,0,0,0,16,235,256,160,136,66,20,85,97,26,32,110,22,145,1127,291,2017,8,10,6,0,6,6,0,6,3,3,6,57,5,108,15,10,8,0,12,10,3,3,14,0,9,85,11,152,58,34,26,8,26,30,8,15,28,10,61,259,16,481,30,16,16,6,10,16,3,4,25,0,31,306,8,432,29,35,12,4,14,14,7,5,28,4,26,257,7,379,8,14,3,0,9,5,0,0,9,0,4,118,4,166,3,4,0,0,0,6,0,0,0,0,7,21,0,39,5,3,4,0,4,0,0,0,0,0,0,21,237,273,160,136,66,20,85,97,26,32,110,22,145,1127,291,2017,31,11,9,13,14,13,7,3
SOS93,14,13,0,3,15,3,16,242,14,329,0,4,4,0,4,0,0,0,0,0,0,9,0,18,34,17,13,6,36,34,9,9,16,13,29,81,218,401,0,0,0,0,0,0,0,0,0,0,0,8,105,119,61,38,20,9,51,44,7,9,35,16,51,332,338,859,4,3,0,0,0,0,0,0,0,0,0,18,0,34,13,4,0,4,7,6,3,3,8,3,14,30,7,68,27,21,12,3,27,29,0,5,14,6,19,73,4,164,6,5,4,0,6,4,0,0,4,0,6,74,0,90,4,4,0,0,0,8,0,0,5,0,3,89,7,117,0,0,0,0,3,0,0,0,0,0,0,31,5,45,0,0,0,0,0,0,0,0,0,0,0,13,0,14,3,4,0,0,5,0,0,0,3,0,0,3,319,329,61,38,20,9,51,44,7,9,35,16,51,332,338,859,19,0,3,7,11,9,0,4
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,0,0,0,0,0
