SA1_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
10304107840,4,6,4,13,0,12,7,17,3,47,6,54,10,43,0,52,5,25,5,30,0,14,0,15,0,6,0,11,0,4,0,3,0,0,0,0,21,163,9,198,0,14,0,18,0,14,0,14,8,53,5,64,7,53,0,61,5,26,0,31,0,7,0,6,3,15,0,16,0,5,0,3,0,0,0,0,32,177,9,211,0,18,0,26,0,22,7,24,8,106,3,122,16,98,0,113,11,48,3,62,0,21,0,26,5,19,0,21,5,6,0,13,0,4,0,4,50,339,14,406
10304107842,3,22,0,23,0,16,0,16,6,77,3,88,5,61,3,66,0,55,0,55,3,19,0,23,4,19,0,22,3,4,0,13,0,0,0,0,29,268,11,311,0,27,0,33,0,18,0,24,10,79,5,90,11,60,0,72,7,45,0,49,7,19,3,25,4,21,5,28,4,8,0,14,0,0,0,0,46,275,19,336,9,50,0,51,4,33,0,39,20,150,10,181,17,120,6,141,6,92,5,107,13,34,0,52,8,42,4,57,3,18,0,23,0,0,0,0,76,546,28,649
10304107843,0,3,0,3,0,7,0,7,4,14,0,15,0,13,0,14,4,15,0,16,0,13,0,16,6,12,0,15,0,0,0,0,0,0,0,0,9,76,8,92,0,12,0,12,0,9,0,9,4,19,0,22,3,11,0,12,6,14,0,20,3,12,0,17,4,6,0,16,0,4,0,3,0,4,0,4,24,91,0,116,0,17,0,17,0,12,0,12,9,36,0,44,0,24,0,25,10,29,0,41,4,25,0,34,5,23,0,29,0,6,0,6,0,6,0,6,28,171,8,207
10304107844,0,17,0,14,0,7,3,13,3,17,5,21,0,20,4,17,8,17,4,22,0,12,0,17,4,14,0,12,0,5,0,5,0,0,0,0,11,106,11,133,0,15,0,14,0,12,3,13,6,25,0,28,3,23,5,28,4,19,0,28,8,14,0,25,0,15,0,13,0,10,0,11,0,0,0,0,31,124,9,167,0,28,0,29,4,22,5,25,6,43,3,55,5,36,4,48,18,37,6,50,8,30,3,39,6,22,0,31,0,13,0,15,0,5,0,5,42,233,19,295
10304107846,0,22,0,22,0,35,3,40,0,30,3,34,4,19,0,24,4,17,0,22,0,16,0,19,0,8,0,7,0,3,0,3,0,0,0,0,8,146,12,169,0,21,0,24,5,47,0,54,5,30,9,39,0,13,0,25,4,13,0,18,3,19,6,26,0,7,0,5,0,5,0,5,0,0,0,0,20,160,21,196,0,44,0,42,5,86,4,96,6,61,7,74,9,37,4,44,6,33,0,41,4,29,6,45,0,11,0,13,0,9,0,9,0,0,0,0,26,306,35,366
10304107847,0,24,0,26,0,24,0,28,0,54,0,58,3,56,0,56,7,31,3,48,3,14,3,22,5,24,0,25,0,10,0,6,4,0,0,0,25,234,7,273,0,24,0,25,0,25,6,31,3,59,0,65,11,57,0,66,14,39,3,51,4,20,0,24,0,27,6,37,0,11,0,7,0,0,0,0,40,265,12,309,0,49,3,53,4,52,7,54,4,116,3,123,11,113,0,124,19,66,7,97,6,34,3,46,5,49,4,59,3,17,0,20,5,3,0,6,65,496,21,579
10304107848,0,20,0,16,0,13,0,13,0,13,0,10,3,35,0,37,4,31,0,37,3,16,0,21,3,15,0,18,0,3,0,4,0,0,0,0,17,142,3,161,0,12,0,16,0,10,0,13,0,16,0,20,3,29,0,33,9,25,0,35,0,21,0,28,3,14,0,14,0,5,0,5,0,0,0,0,18,131,6,164,0,24,0,34,0,20,0,21,4,31,0,33,4,64,3,68,14,60,0,73,3,38,0,46,7,31,0,37,0,10,0,8,0,0,0,0,39,273,8,320
10304107849,0,14,0,17,0,10,0,14,0,4,5,8,4,20,5,25,4,24,0,30,6,21,0,27,4,28,0,35,0,11,0,9,0,0,0,0,24,135,9,169,0,7,0,7,0,6,0,6,0,5,0,4,3,22,0,29,7,21,0,28,5,25,0,29,8,22,3,33,0,13,0,13,0,0,0,0,19,128,7,160,0,23,0,28,0,17,0,13,0,15,3,17,3,40,0,50,11,46,7,60,13,43,0,59,13,53,9,65,0,20,0,23,0,7,0,6,47,263,19,325
10304107850,0,5,0,5,0,4,0,5,0,23,0,23,0,19,0,19,0,0,0,0,0,0,0,4,0,8,0,8,0,0,0,0,0,0,0,0,3,67,0,70,0,3,0,3,0,7,0,7,0,24,0,27,0,18,0,25,0,5,0,10,3,7,0,8,0,3,0,3,0,4,0,4,0,0,0,0,10,72,0,79,0,10,0,10,0,10,0,7,0,41,0,46,4,40,0,40,0,7,0,14,5,11,0,13,0,21,0,21,0,4,0,3,0,0,0,0,14,138,0,153
10304107851,0,12,0,13,0,17,0,21,0,60,0,65,0,45,0,51,3,16,0,22,5,13,0,11,0,13,0,17,0,3,0,3,0,0,0,0,12,184,4,201,0,14,0,14,0,16,0,17,4,57,3,62,6,46,0,57,0,23,3,28,5,18,0,21,0,16,0,20,0,10,0,10,0,0,0,0,18,194,9,223,0,22,0,31,0,33,0,39,7,114,3,128,10,89,4,102,7,41,3,49,3,32,0,37,0,28,3,36,0,18,0,18,0,7,0,7,38,382,14,427
10304107852,0,19,0,19,0,13,0,16,0,19,0,26,9,25,0,34,5,49,4,52,0,22,0,22,0,12,0,12,3,7,0,10,0,0,0,0,19,165,10,197,0,23,0,29,0,6,0,6,6,19,0,29,3,34,0,42,8,35,0,46,4,23,0,25,0,15,0,14,4,6,0,14,0,0,0,0,27,170,10,203,0,45,0,45,0,18,0,23,8,39,0,50,8,64,0,78,15,82,6,97,5,38,0,50,4,27,0,30,0,15,0,20,0,0,0,0,46,333,15,393
10304107853,6,25,0,24,0,17,0,20,0,55,4,59,10,51,3,61,6,27,0,28,4,16,0,21,0,9,0,9,0,3,0,7,0,0,0,0,25,197,15,234,0,12,0,11,0,7,0,12,6,62,3,76,9,49,0,57,7,30,3,38,3,17,0,21,3,13,0,18,0,3,0,3,0,3,0,0,38,198,15,246,6,37,0,42,5,28,0,31,11,114,8,132,22,91,6,122,12,55,6,73,10,34,0,41,3,15,0,26,0,9,0,10,0,0,0,6,58,394,25,475
10304107854,0,8,0,8,0,9,0,9,0,24,0,26,0,22,0,25,0,13,0,17,3,11,0,10,0,3,0,5,0,3,0,3,0,0,0,0,8,96,3,105,0,7,0,11,5,0,0,4,0,31,0,27,6,21,3,27,5,20,0,25,0,11,0,9,3,7,0,12,0,0,0,5,0,0,0,0,16,103,4,123,0,18,0,14,5,8,0,12,0,47,0,52,9,43,3,51,3,36,0,39,4,16,0,23,3,12,0,22,0,5,0,9,0,0,0,0,21,197,6,226
10304107855,0,14,0,14,0,5,0,9,3,6,0,9,0,21,0,26,3,18,0,22,0,5,0,8,0,24,0,33,3,21,4,24,0,13,0,10,15,129,11,158,3,22,0,21,0,3,7,3,3,9,0,15,5,18,0,23,3,23,0,21,4,13,0,15,5,28,3,39,4,37,0,41,0,15,8,22,26,166,20,209,3,35,0,38,0,5,7,15,3,14,0,21,3,44,0,48,13,38,0,48,3,20,6,25,9,56,10,70,3,53,5,65,4,23,10,35,44,289,31,364
10304107856,0,26,0,26,0,29,0,27,7,79,3,91,12,64,0,77,8,42,3,52,0,18,0,24,3,14,0,18,0,0,0,0,0,0,0,0,31,276,9,317,0,24,3,25,0,44,3,51,19,89,8,109,17,53,4,77,3,38,0,42,3,22,0,25,6,18,0,23,0,3,0,4,0,0,0,0,50,294,19,358,4,49,3,51,0,75,3,76,22,171,9,206,33,123,5,156,11,81,5,97,5,40,0,46,7,30,0,37,0,4,0,5,0,4,0,4,73,575,28,680
10304107857,0,22,0,22,0,5,0,10,0,26,0,34,7,83,0,89,6,45,4,55,0,20,0,30,0,21,0,27,0,3,0,5,0,0,0,0,21,234,7,264,0,24,0,24,0,5,0,8,9,41,0,50,7,87,3,94,7,45,0,46,10,16,0,30,4,23,0,28,3,9,0,13,0,0,0,0,33,250,6,291,0,46,0,49,5,17,0,15,8,69,0,78,10,167,3,184,12,86,4,101,12,41,0,55,6,41,0,51,3,11,0,15,0,0,0,0,53,491,12,555
10304107858,0,18,0,19,0,4,0,8,0,8,0,8,0,23,0,27,6,34,0,43,5,7,0,7,0,11,0,11,3,0,0,9,0,0,0,0,22,112,4,136,0,17,0,13,0,5,0,6,0,9,3,13,10,24,0,36,11,22,0,29,4,14,0,20,0,8,0,15,4,4,0,0,0,0,0,0,29,110,7,136,5,35,0,41,0,14,0,10,0,23,3,28,12,48,3,58,15,60,0,76,5,23,0,33,0,21,0,19,6,3,0,8,0,0,0,0,46,219,9,274
10304107859,0,34,0,32,0,14,0,14,0,16,0,19,10,38,0,48,5,46,0,57,4,20,0,21,0,16,0,21,0,15,0,11,0,3,0,4,17,207,4,223,4,26,0,26,0,4,0,4,0,11,0,11,14,40,0,59,12,28,0,47,8,25,0,37,3,17,0,21,0,12,4,16,0,3,0,3,43,176,4,225,0,61,0,60,0,19,0,19,0,32,0,32,22,84,0,100,17,82,0,101,10,44,0,57,7,36,0,44,0,21,3,28,0,9,0,10,57,381,4,446
10304107860,0,18,0,18,0,25,0,27,3,52,3,54,3,32,4,44,0,29,6,31,7,13,0,27,3,14,0,18,0,4,0,5,0,3,0,3,19,194,12,227,7,23,0,30,0,24,5,31,8,43,4,58,6,32,4,45,9,32,6,45,3,17,4,25,0,13,0,13,0,0,0,0,0,0,0,0,34,190,14,238,7,44,0,45,0,49,5,56,11,94,9,113,14,68,6,86,6,60,5,77,10,36,3,51,3,21,0,29,0,7,0,5,0,4,0,4,50,383,24,466
10304107861,0,9,0,9,0,0,0,0,0,0,0,0,0,6,5,12,3,13,0,14,5,19,8,23,0,16,4,17,0,3,0,0,0,0,0,0,7,65,10,88,0,8,0,11,0,0,0,0,0,8,0,8,5,4,0,11,3,11,0,14,3,16,0,21,0,13,0,15,0,8,0,7,0,0,0,0,14,60,3,76,0,18,0,24,0,5,0,5,0,3,0,3,6,9,7,19,4,21,0,26,11,34,3,43,0,23,0,33,0,5,0,7,0,3,0,3,22,127,12,165
10304107901,0,0,0,5,0,3,0,6,5,9,0,11,0,10,0,10,0,11,0,12,3,22,0,25,0,22,0,21,0,15,3,15,0,9,0,9,9,95,7,116,0,6,0,4,0,3,0,4,0,12,0,12,0,7,0,9,3,11,5,13,6,14,0,18,0,10,3,14,0,10,3,7,0,0,0,0,7,79,8,100,0,7,0,7,0,7,0,13,5,22,0,23,0,15,0,17,0,22,5,27,10,39,0,47,0,32,0,38,0,17,6,27,0,7,0,7,19,172,19,216
10304107902,0,9,5,11,3,7,5,10,0,5,5,10,9,14,0,18,0,16,0,19,5,18,0,29,4,24,0,27,0,11,0,10,0,0,0,0,20,104,10,135,0,6,0,6,0,0,0,3,4,15,0,17,4,12,0,12,5,11,0,17,4,19,0,21,7,17,0,26,0,10,0,10,0,3,0,8,20,97,3,127,0,15,5,15,3,10,5,12,3,17,5,25,9,24,0,35,9,27,0,36,4,40,0,47,12,42,3,55,0,18,0,22,0,4,0,7,42,204,14,259
10304107903,0,10,0,6,0,7,0,7,0,12,0,12,0,13,3,17,3,8,0,6,0,19,3,23,0,13,3,15,0,9,0,14,0,4,0,3,7,95,13,113,0,8,4,13,0,10,0,10,6,13,0,17,3,16,3,14,0,9,3,17,4,16,0,19,6,18,0,27,0,7,0,11,0,3,0,6,18,102,12,129,0,20,4,20,0,16,0,16,6,29,0,26,5,29,7,35,4,18,4,23,3,31,8,40,6,33,4,40,0,22,0,26,0,4,3,10,26,196,21,240
10304107904,0,12,0,16,0,13,0,13,0,8,5,19,0,15,3,20,4,19,3,28,3,12,0,20,0,19,5,27,3,17,0,15,0,11,3,12,14,132,19,161,0,7,0,9,0,12,0,12,0,13,8,18,0,16,3,18,0,22,0,24,5,7,4,14,3,16,9,28,0,28,4,38,4,19,4,24,17,139,29,192,0,20,0,24,0,24,0,23,3,25,6,38,4,27,3,36,9,46,3,54,4,28,4,37,9,36,12,55,3,44,9,49,0,24,7,35,35,273,44,350
10304107905,0,3,0,3,0,10,0,7,0,12,3,16,0,19,3,22,8,17,0,22,3,18,0,19,0,13,0,19,0,9,0,7,0,3,0,3,13,105,13,133,0,7,0,10,0,3,0,7,0,10,0,14,0,17,0,19,5,22,0,30,4,13,6,25,5,20,0,25,0,4,3,7,0,10,3,7,25,104,16,139,0,8,4,15,0,14,0,14,0,18,3,24,3,34,9,48,11,43,0,52,8,29,6,43,5,37,4,42,0,15,3,22,0,9,3,14,34,210,23,272
10304107906,0,0,0,4,0,3,0,7,0,0,4,3,0,10,3,13,0,16,0,20,4,3,0,11,0,16,0,16,0,4,0,0,0,0,0,0,11,62,14,77,0,6,0,6,0,3,0,3,0,12,0,10,3,4,0,6,3,6,0,10,0,0,0,7,4,15,0,16,0,3,0,4,0,4,0,7,9,61,5,75,0,9,0,9,0,10,0,13,0,10,0,13,3,18,3,25,6,18,0,27,0,8,0,16,3,27,0,32,0,5,0,9,0,8,0,6,17,118,13,149
10304107907,0,8,0,10,0,3,0,5,0,13,4,17,3,13,0,16,6,14,0,24,4,17,3,27,0,15,0,14,0,4,4,10,0,0,0,0,13,94,11,125,0,11,0,13,0,4,0,3,0,10,0,9,4,23,0,26,3,13,4,21,0,14,3,18,3,12,0,11,0,7,0,7,0,4,0,4,19,93,13,118,5,19,0,19,0,9,3,14,0,22,3,30,9,37,0,46,13,29,5,49,4,34,4,44,3,25,0,29,0,7,4,12,0,7,0,7,29,191,22,245
10304107908,0,9,0,8,0,3,0,10,0,11,4,12,4,21,5,26,0,13,0,12,4,15,0,18,6,17,0,24,0,16,0,17,0,3,3,9,20,104,13,135,0,9,0,8,0,7,0,10,4,13,3,20,7,14,0,20,0,19,3,22,3,10,0,17,3,12,0,20,0,10,0,13,0,0,0,0,19,95,17,129,0,12,0,14,5,12,0,19,4,22,4,30,13,35,5,43,8,31,4,36,13,29,0,37,10,33,4,41,0,26,5,32,0,3,6,10,38,203,26,265
10304107909,0,5,8,14,0,4,0,4,0,11,0,11,3,20,3,25,0,11,7,17,0,21,0,18,6,23,0,26,0,10,0,4,0,0,0,0,8,102,9,121,0,3,0,4,0,6,0,11,0,14,3,17,3,11,3,17,8,11,0,19,4,9,0,15,6,18,0,13,0,5,0,5,0,0,0,0,13,84,17,110,0,11,8,16,0,11,0,15,0,30,3,36,8,29,3,40,4,23,10,38,3,30,0,33,8,40,0,42,0,10,0,8,0,3,0,3,21,182,27,234
10304107910,0,10,3,16,0,4,0,8,0,6,0,6,0,5,4,9,0,16,3,18,5,11,6,16,0,18,0,16,0,8,0,6,0,0,0,0,14,77,16,99,0,5,0,7,0,9,0,9,6,8,0,7,4,3,0,8,3,5,0,15,0,7,0,7,0,15,3,21,0,5,0,5,0,0,0,0,16,62,7,85,0,14,4,16,0,14,0,18,6,16,0,16,3,12,0,21,11,22,3,34,7,11,6,22,0,33,3,38,0,14,0,9,0,3,0,3,26,135,22,182
10304107911,0,12,0,11,0,8,0,13,0,9,0,7,3,23,0,24,3,26,3,32,0,12,0,17,0,28,7,25,4,8,0,11,0,4,0,0,16,124,12,151,0,14,3,15,0,3,0,5,0,13,3,18,3,18,0,27,6,15,0,26,13,12,0,22,0,17,3,17,4,7,0,9,0,0,0,0,22,104,19,142,0,30,5,33,0,13,3,14,4,20,3,26,11,43,0,54,9,46,3,54,13,24,0,39,0,37,7,44,5,17,0,25,0,4,0,5,37,228,30,296
10304107912,0,6,0,11,0,3,0,3,0,4,0,3,4,8,0,17,4,18,0,26,0,12,5,22,3,15,4,21,0,4,0,8,0,0,0,0,15,84,9,104,0,6,0,11,0,4,0,5,0,8,0,5,3,8,0,10,11,14,0,24,4,12,0,21,5,13,5,18,0,4,0,4,0,0,0,0,21,70,6,103,0,12,0,15,0,10,0,9,0,12,0,12,3,18,5,26,10,32,4,47,10,31,0,44,5,26,6,41,0,13,0,15,0,0,0,0,38,154,20,213
10304107913,0,16,0,13,0,7,0,6,0,8,3,15,0,15,0,20,4,30,5,36,9,28,0,33,0,29,0,32,9,8,3,15,0,0,0,0,20,141,8,174,0,19,0,14,0,0,0,0,0,18,0,17,0,14,6,17,8,30,0,36,7,32,0,45,3,23,0,29,4,4,3,8,0,0,0,0,27,133,13,174,0,24,0,31,0,7,0,5,0,26,6,30,0,31,4,42,12,55,5,69,17,56,4,79,7,53,0,60,8,14,3,24,0,4,0,4,47,280,19,343
10304107914,0,4,0,8,0,6,0,6,0,21,0,17,0,12,0,13,4,18,0,23,5,26,0,32,3,13,0,23,0,12,0,8,0,0,0,0,7,117,5,130,0,9,0,4,0,4,0,4,0,11,0,17,0,13,0,13,5,20,0,23,3,18,0,25,0,22,0,22,0,8,0,10,0,0,0,0,11,101,3,120,0,11,4,22,0,15,0,15,0,34,0,34,0,26,3,27,5,36,0,44,10,46,4,55,3,39,0,43,3,16,0,18,0,0,0,3,24,217,15,252
10304107915,0,8,0,8,0,6,0,11,0,11,0,11,0,15,0,13,3,17,0,23,4,25,0,29,3,21,0,27,0,7,0,7,0,0,0,0,13,111,4,127,0,5,0,9,0,6,0,6,0,13,0,13,3,7,0,13,0,17,0,21,4,24,0,26,0,18,0,21,0,4,0,4,0,0,0,0,7,101,4,109,0,14,0,11,0,12,0,17,0,17,0,17,3,27,0,33,7,33,4,46,5,46,5,49,3,47,0,48,0,15,0,15,0,3,0,3,20,209,9,239
10304107916,0,5,0,5,0,6,0,6,0,4,4,9,0,18,0,15,0,8,0,15,3,19,4,27,0,16,0,16,0,8,0,8,0,0,0,0,4,83,7,99,0,8,0,8,0,0,0,0,3,9,0,14,0,9,0,11,5,16,0,18,0,16,5,17,3,16,0,18,0,3,4,9,0,0,0,0,13,71,10,94,0,14,0,14,0,6,0,6,3,15,6,24,0,27,0,28,6,26,0,33,5,31,3,43,3,26,0,31,0,8,0,10,0,0,0,0,19,154,24,195
10304107917,0,4,0,5,0,0,0,0,0,17,0,12,0,17,3,17,0,9,0,15,0,14,0,16,3,4,0,10,0,5,0,4,0,0,0,4,12,67,7,87,0,3,0,3,0,5,0,5,0,18,0,18,9,5,0,15,6,16,0,16,7,10,0,18,5,0,0,9,0,4,0,7,0,5,0,5,19,62,8,90,0,7,0,9,0,5,0,5,0,32,0,36,11,25,5,31,4,24,0,29,11,18,4,33,7,7,0,15,0,9,0,11,0,8,0,3,30,129,16,176
10304107918,3,8,0,15,0,0,0,0,3,11,3,16,5,16,7,25,0,12,0,15,6,17,0,21,3,7,0,13,0,6,0,6,0,0,0,0,15,79,17,110,0,7,5,10,0,6,0,6,4,18,5,21,5,20,0,25,0,16,0,18,6,13,0,17,8,11,0,22,3,3,0,3,0,0,0,0,26,82,13,124,3,21,6,25,0,4,0,7,9,28,9,40,5,38,12,50,0,25,3,29,11,27,0,36,11,16,0,29,3,3,0,11,0,0,0,0,45,161,28,230
10304107919,0,9,0,13,0,6,0,6,0,15,0,21,0,16,0,14,0,13,4,16,0,20,0,25,0,9,0,14,0,15,0,16,0,0,0,0,9,98,6,116,0,7,0,9,0,10,0,10,0,17,0,21,3,18,0,24,3,14,0,18,7,15,0,20,5,5,0,12,0,11,0,10,0,0,0,0,21,103,5,122,0,17,0,16,5,9,0,14,0,32,3,38,3,31,0,37,3,25,4,33,6,37,4,47,5,18,0,22,0,19,0,27,0,5,0,5,23,202,12,244
10304107920,0,0,0,5,0,9,0,16,0,3,0,9,0,11,8,14,0,11,0,15,0,14,5,17,5,8,0,10,0,9,0,10,0,0,0,0,7,68,18,92,0,9,0,8,0,10,4,9,0,8,0,7,0,11,3,14,0,8,4,11,6,11,0,17,5,15,0,21,4,8,0,10,0,3,0,3,12,76,9,102,0,8,3,12,0,17,0,22,0,10,0,16,3,18,5,29,0,20,3,26,6,25,5,43,4,22,0,30,4,16,0,17,0,3,0,3,20,152,26,197
10304107921,0,6,0,10,0,10,0,12,0,22,0,22,0,6,0,6,4,14,0,14,4,15,3,23,0,14,0,21,0,12,0,12,0,3,0,5,13,106,11,132,0,7,0,13,0,11,0,13,6,16,0,19,0,9,0,12,0,21,0,17,8,13,0,24,0,23,0,21,3,11,0,16,0,14,0,16,22,121,9,153,0,19,5,24,0,21,3,28,6,32,0,39,0,18,3,22,4,31,0,39,13,27,3,47,0,38,3,40,3,20,0,26,0,19,0,22,30,227,22,285
10304107922,0,18,0,23,0,10,0,10,0,20,3,27,0,26,5,28,6,24,3,31,13,27,6,43,3,24,0,30,0,9,0,13,0,0,0,0,17,166,14,195,0,7,0,7,0,5,0,6,3,12,3,18,3,25,0,33,11,22,0,29,15,25,0,38,3,14,0,18,0,9,0,15,0,4,0,4,38,132,9,172,0,26,0,30,0,15,0,16,3,33,3,46,3,56,5,65,13,41,0,57,21,56,6,79,5,43,3,49,5,20,0,21,0,3,0,3,53,293,19,364
10304107923,0,10,0,10,0,5,0,6,0,4,0,8,0,10,0,10,0,11,0,18,0,10,0,10,0,12,0,12,0,9,0,9,0,0,0,0,0,67,8,77,0,6,0,6,0,0,0,5,0,7,0,7,4,9,0,16,0,11,3,9,3,6,0,15,0,5,0,5,0,3,0,3,0,3,0,3,9,61,9,71,0,17,0,17,0,4,0,9,0,14,0,14,4,23,3,28,0,27,3,28,3,12,0,21,0,21,0,21,0,6,0,6,0,3,0,3,10,129,11,151
10304107924,0,18,0,17,0,16,0,13,0,21,0,18,3,29,0,29,7,38,0,45,10,20,4,31,3,32,0,32,0,12,0,11,0,4,0,4,27,180,3,212,0,18,0,23,0,18,0,18,3,21,0,23,4,27,0,28,10,34,3,46,8,21,0,32,7,26,3,35,0,10,3,21,0,3,0,4,41,177,12,225,0,40,5,42,0,30,0,34,3,41,0,45,9,51,0,62,19,73,0,98,24,44,4,66,10,53,4,67,0,28,4,30,0,7,0,4,67,357,17,442
10304107925,0,19,0,17,0,16,0,20,0,20,0,21,6,35,3,40,0,30,3,36,9,42,0,50,3,32,3,40,0,15,0,17,0,0,0,0,17,210,20,245,0,20,3,22,0,8,0,8,8,24,0,29,7,32,0,42,0,40,0,45,6,33,3,44,10,24,0,41,0,11,0,11,0,0,0,0,36,191,9,237,0,39,4,41,0,22,9,33,8,42,0,46,11,68,5,83,6,67,8,76,14,69,5,93,18,56,8,78,0,26,0,31,0,0,0,0,55,397,27,481
10304107926,0,9,0,9,0,9,0,9,0,0,0,0,0,8,0,10,0,11,0,13,6,8,0,11,0,14,0,13,0,5,0,6,0,0,0,0,6,60,3,75,4,7,0,12,0,3,0,6,0,5,0,5,0,7,0,7,4,8,0,17,7,9,0,20,0,8,4,10,0,0,0,4,0,0,0,0,10,62,5,83,4,18,0,21,0,12,0,15,0,11,0,11,0,13,0,22,5,20,3,26,4,19,0,27,0,17,7,25,0,11,3,14,0,0,0,0,22,125,11,155
10304107927,0,13,3,15,0,16,0,16,0,18,0,18,3,16,3,15,4,29,0,32,6,33,3,36,0,10,0,16,0,11,0,13,0,3,0,3,15,143,7,167,0,12,0,14,0,3,0,3,0,12,0,13,0,17,0,22,4,32,3,38,8,21,0,33,3,7,0,14,6,7,4,14,0,6,0,6,19,122,4,151,0,25,5,33,0,18,0,18,0,28,0,31,3,33,4,38,8,64,0,72,13,58,3,70,5,22,0,30,6,20,0,24,0,8,0,8,37,270,11,319
10304107928,0,13,0,13,0,5,0,4,0,9,0,13,4,20,0,18,9,39,5,44,0,25,0,27,0,20,0,19,0,0,0,0,0,0,0,3,13,134,3,153,0,21,0,24,0,8,0,8,3,11,0,15,9,27,0,36,8,21,0,36,9,22,0,34,0,15,0,18,4,0,0,3,0,0,0,0,34,137,4,174,0,38,0,41,0,17,0,16,0,19,0,26,10,40,0,52,14,61,5,79,12,51,0,60,3,38,0,40,4,4,0,11,0,0,0,5,51,269,7,325
