RA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
RA59,7,6,0,0,0,0,0,3,0,22,0,3,0,0,0,0,0,0,0,4,15,63,11,32,20,9,5,25,3,182,0,0,0,0,0,0,0,0,0,4,3,4,3,9,7,0,0,5,0,27,6,8,6,18,9,4,0,12,0,63,3,10,9,44,18,9,4,19,0,122,0,0,0,7,0,3,0,5,0,26,0,0,0,3,4,3,0,5,0,11,0,0,0,0,4,0,0,0,0,7,0,0,5,0,6,0,0,0,4,9,39,129,29,126,71,28,15,88,10,532,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,11,4,34,7,10,3,3,0,10,0,65,0,3,0,0,0,0,0,0,0,5,7,11,0,0,0,0,0,3,0,31,4,3,0,0,0,0,0,0,0,9,27,116,18,50,27,10,7,44,4,305,0,0,0,0,0,0,0,0,0,4
RA61,268,1426,52,306,197,35,3,19,17,2318,174,701,6,66,109,11,0,0,7,1084,2101,11276,576,2276,1954,733,71,512,182,19677,3,5,5,28,16,3,0,5,3,74,365,634,142,607,602,127,13,60,29,2570,721,859,314,1830,1425,353,52,192,74,5806,972,862,1510,4394,3348,1093,150,784,174,13280,100,53,95,383,445,310,34,192,15,1620,112,102,67,412,442,151,11,114,12,1439,29,116,26,104,86,44,4,41,12,469,83,228,51,273,198,139,13,155,131,1270,5987,21336,3045,11856,9635,3397,380,2443,779,58846,25,173,9,8,12,9,3,3,0,233,349,2396,64,48,98,16,5,24,26,3017,1872,5924,698,1764,1122,746,490,1082,190,13892,80,219,13,37,32,16,12,23,12,444,479,2139,100,365,267,61,20,49,18,3498,343,960,30,121,146,17,7,9,15,1650,4650,18441,1882,3594,2932,1355,654,1421,378,35310,12,12,19,30,16,5,3,9,3,101
RA62,102,428,15,168,61,13,3,12,5,801,55,204,0,20,35,4,0,7,4,336,785,4122,188,648,564,142,30,290,60,6828,4,0,0,13,4,0,0,4,4,28,241,361,63,317,295,63,15,61,22,1437,390,475,166,1066,643,192,32,133,34,3128,716,468,1027,2941,1844,840,151,756,103,8843,104,38,83,290,242,225,34,208,11,1228,108,49,49,307,242,99,13,108,11,980,25,43,10,57,44,18,0,27,6,228,100,88,39,207,145,112,13,182,76,961,2890,7432,1684,6184,4228,1743,300,1842,338,26640,10,50,0,4,0,4,0,0,0,69,102,412,7,21,25,0,6,12,11,591,452,1337,121,235,151,47,36,197,24,2580,10,69,0,10,5,0,0,0,3,105,160,633,32,198,71,13,12,17,9,1160,96,260,15,34,45,12,0,4,3,474,1639,6039,524,958,730,229,120,594,116,10946,13,0,7,11,7,0,5,4,4,44
RA63,0,4,0,0,5,0,0,3,0,13,0,8,0,0,0,0,0,0,0,6,45,104,6,39,22,11,0,22,3,247,0,0,0,0,0,0,0,0,0,0,16,4,0,14,11,3,0,3,0,59,23,3,3,25,19,11,0,10,0,96,34,14,24,94,47,26,9,45,6,294,3,0,0,12,10,9,3,9,0,45,6,0,0,8,5,3,0,5,0,27,0,0,0,3,3,0,0,3,0,6,6,4,0,15,11,7,0,11,0,51,143,187,40,224,136,64,15,125,15,953,0,0,0,0,0,0,0,0,0,0,5,11,0,0,5,0,0,0,0,16,25,50,11,26,9,9,0,41,3,178,4,0,0,0,0,0,0,0,0,3,6,12,0,4,3,0,0,8,0,28,0,8,0,3,0,0,0,0,0,12,96,156,31,57,35,10,3,48,5,442,0,0,0,0,0,0,0,0,0,0
RA64,8,0,0,3,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,3,23,54,0,9,15,5,0,3,5,108,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,19,7,0,3,5,7,0,0,7,0,41,12,5,13,30,26,3,0,19,0,108,0,0,0,8,5,0,0,0,0,15,0,0,0,4,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,3,8,0,0,3,6,0,0,4,0,15,75,83,18,59,64,20,0,41,3,367,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,14,3,0,3,0,0,9,0,39,0,0,0,0,0,0,0,0,0,0,12,5,0,3,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,7,33,74,5,10,15,7,4,7,0,159,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,19,0,0,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,4,0,0,6,0,0,0,0,10,5,4,4,3,10,4,0,6,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,10,11,16,3,0,8,5,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,5,6,20,0,0,8,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0
RA72,177,707,7,205,88,13,3,7,9,1212,111,330,12,31,59,4,0,0,0,543,1117,4770,270,1130,1079,360,31,286,79,9127,8,9,0,21,11,0,0,0,0,50,181,261,59,222,252,49,10,40,11,1097,502,512,154,814,760,184,31,107,40,3106,520,509,502,1405,1746,387,113,227,80,5478,60,30,32,124,228,109,20,65,7,668,61,45,39,116,195,69,9,38,15,583,18,75,11,58,41,21,0,17,0,251,66,103,23,125,123,65,15,63,82,664,3382,9395,1174,4629,4991,1413,241,929,375,26531,15,51,0,4,3,0,0,0,5,82,117,678,19,9,36,3,0,6,6,876,947,2605,216,662,632,307,119,215,88,5795,40,110,9,25,19,7,0,3,4,223,297,983,25,241,118,17,10,16,10,1714,188,410,20,59,78,7,0,5,3,775,2170,7345,877,1826,1566,585,303,570,174,15412,12,14,7,22,14,0,0,0,0,75
RA73,58,195,6,62,22,8,0,0,4,352,27,104,0,22,10,0,0,0,0,166,292,1469,58,338,242,87,15,76,37,2603,4,9,0,0,0,0,0,0,5,18,41,86,10,67,74,14,0,11,9,317,156,118,35,255,199,42,3,27,3,841,152,171,146,422,465,107,12,80,25,1570,11,23,13,52,63,18,0,18,0,211,23,21,3,53,45,19,0,14,0,187,10,22,4,13,13,5,0,13,4,69,12,41,9,60,34,10,6,28,50,258,936,2900,297,1420,1262,323,40,282,148,7608,3,14,0,0,0,0,0,0,0,22,27,158,4,7,3,0,0,0,6,214,269,764,45,154,151,38,9,24,25,1485,7,28,0,5,6,3,0,0,0,45,78,262,11,68,27,8,6,6,4,467,45,124,3,31,17,0,0,0,0,224,542,2137,195,570,333,130,49,159,66,4187,4,11,0,4,4,0,0,0,5,24
RA74,27,80,0,23,3,3,0,0,0,137,11,32,3,5,0,0,0,0,0,48,124,492,15,112,82,30,0,30,0,892,3,0,0,4,0,0,0,0,4,9,23,45,5,40,24,9,0,8,4,155,55,59,8,92,59,9,4,20,0,305,90,113,57,228,155,40,12,87,11,775,14,31,6,75,38,11,0,26,6,208,12,27,6,56,24,11,8,11,8,155,0,3,0,0,4,0,0,0,0,9,11,50,9,56,21,10,9,22,26,213,428,1119,121,708,427,121,31,209,54,3225,6,13,0,0,3,0,0,0,0,21,8,19,0,3,0,0,0,0,0,24,109,226,13,33,42,10,7,12,0,447,0,15,0,0,0,0,0,0,0,20,40,116,0,32,4,3,3,3,0,200,15,39,3,7,0,0,0,0,0,66,258,702,45,179,109,38,13,48,8,1413,3,0,0,4,0,0,0,4,4,12
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0
RA79,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,8,33,0,14,8,4,0,10,0,82,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,12,4,9,0,0,4,0,0,3,0,17,0,5,0,3,8,0,0,3,0,24,0,6,0,0,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,8,0,16,22,67,6,30,28,6,6,36,5,196,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,5,20,0,0,6,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,5,0,18,0,3,0,0,0,0,0,0,0,5,14,43,5,18,8,4,0,21,0,118,0,0,0,0,0,0,0,0,0,0
RA80,1215,2767,41,584,539,50,5,30,64,5300,700,985,18,67,291,10,0,7,29,2117,6869,18729,906,3306,5875,1122,71,583,667,38130,15,13,0,30,22,10,0,3,8,99,763,1001,200,660,1152,230,16,95,73,4179,1560,1441,412,2080,2519,448,27,228,145,8865,1206,1225,1206,2669,3325,699,78,341,186,10935,145,125,73,201,396,185,8,70,13,1217,224,168,74,335,662,141,15,91,25,1741,60,174,45,92,134,33,0,25,10,592,125,262,56,200,282,86,9,71,204,1297,17757,37963,3366,11564,17498,3614,268,1847,1818,95689,80,281,3,13,31,6,6,7,7,434,1510,5502,118,89,345,26,13,20,92,7711,8861,16189,967,1996,3472,1191,480,914,702,34777,211,480,22,62,109,33,9,26,17,961,2052,4448,141,717,822,81,30,59,111,8460,1163,1490,58,148,431,24,7,16,44,3389,13771,34134,2862,5113,8753,2069,716,1527,1297,70248,16,19,15,41,25,14,4,0,8,142
RA81,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,12,19,0,8,9,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,4,5,0,0,8,0,0,0,0,20,4,3,0,0,11,0,0,0,0,16,4,0,4,6,9,0,0,5,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,38,46,7,16,29,0,0,3,0,147,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,7,9,0,0,0,0,0,0,3,18,3,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,23,34,5,8,6,3,0,6,0,88,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,11,0,4,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,10,4,0,0,0,3,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,4,9,14,4,0,7,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,18,5,0,11,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,6,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
RA94,3,30,0,3,5,3,0,0,0,37,0,6,0,0,0,0,0,0,0,3,36,73,4,28,22,9,4,5,0,172,0,0,0,0,0,0,0,0,0,0,7,5,3,7,17,0,0,0,0,51,16,6,0,22,22,3,0,8,0,86,21,12,17,35,29,6,0,12,0,132,3,0,0,11,13,5,0,9,0,46,0,4,0,9,11,3,0,0,0,32,3,3,0,0,5,0,0,0,0,10,8,3,3,11,11,8,0,4,4,46,115,169,26,140,138,42,8,38,9,677,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,11,20,35,0,12,7,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,5,30,0,3,5,3,0,0,0,45,0,7,0,0,0,0,0,0,0,7,54,110,9,37,29,11,4,6,0,267,0,0,0,0,0,0,0,0,0,3
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
