RA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA55,0,3,7,7,0,9,13,25,0,54,44,99,6,82,71,157,0,54,46,103,0,30,20,55,0,6,4,14,0,0,0,0,0,0,0,0,15,243,202,455,0,0,0,3,0,5,5,11,0,8,3,14,0,9,3,11,0,5,8,9,0,5,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,39,19,61,0,5,3,6,0,15,15,31,0,67,46,116,6,90,80,170,0,61,48,109,0,35,21,62,0,9,3,18,0,0,0,0,0,0,0,0,15,280,222,516
RA59,12,65,44,118,14,157,133,295,27,402,391,822,38,359,531,926,36,297,514,842,29,303,331,667,25,269,152,444,3,64,48,118,0,7,9,14,175,1922,2149,4247,12,74,60,147,12,141,103,256,21,404,266,692,55,277,284,613,38,213,219,468,43,278,160,477,24,197,95,316,0,23,14,38,0,5,12,16,205,1613,1215,3030,22,137,104,261,24,297,237,562,51,803,659,1512,88,637,809,1543,67,508,737,1313,70,578,493,1144,50,467,243,758,5,92,61,155,0,12,23,30,380,3536,3360,7285
RA61,430,8823,528,9784,539,9517,647,10709,1639,23844,1682,27164,1922,17899,1216,21031,2657,16353,1040,20059,3078,15845,890,19813,2195,14016,863,17070,1150,7703,658,9519,302,2481,311,3088,13911,116484,7841,138231,506,8275,498,9282,730,9142,563,10435,2408,23095,1348,26840,3511,17835,964,22310,4566,16474,817,21859,5215,15775,826,21817,3398,15057,960,19414,1387,9398,846,11632,252,4354,544,5148,21968,119398,7366,148737,933,17104,1030,19066,1269,18661,1211,21147,4050,46933,3023,54006,5434,35731,2174,43338,7224,32833,1863,41917,8288,31626,1714,41632,5589,29072,1821,36485,2541,17098,1509,21148,554,6830,852,8238,35878,235884,15205,286973
RA62,251,4720,515,5487,251,4227,327,4810,674,8999,738,10406,1103,8307,749,10161,1670,9928,823,12422,2243,12226,995,15457,1787,11646,1059,14493,855,5773,625,7260,159,1449,268,1876,8996,67266,6100,82365,279,4344,415,5043,339,3921,279,4545,1288,8733,683,10706,2020,8383,656,11064,2816,9750,743,13309,3690,11559,880,16138,2352,10760,922,14030,811,5848,739,7403,118,2213,340,2663,13715,65512,5663,84895,530,9062,936,10530,597,8146,603,9351,1965,17731,1419,21114,3131,16685,1410,21225,4490,19678,1568,25727,5929,23783,1876,31591,4138,22401,1981,28526,1666,11628,1367,14657,275,3658,609,4537,22711,132780,11766,167262
RA63,5,129,25,167,9,137,36,181,29,428,64,520,44,358,42,450,70,441,53,571,88,638,66,793,87,611,63,766,26,254,37,317,6,50,15,77,374,3046,412,3832,6,110,17,134,10,128,22,153,40,419,69,534,80,304,43,427,89,352,46,486,147,557,70,766,87,475,55,614,28,204,30,260,0,65,16,85,489,2614,364,3467,16,230,44,297,21,259,54,332,69,849,130,1052,122,664,91,876,157,796,101,1052,233,1199,137,1563,178,1090,118,1385,56,459,73,583,14,118,30,160,864,5659,773,7302
RA64,7,37,5,46,4,32,4,41,8,118,12,135,13,123,17,149,17,119,14,157,25,158,17,203,29,187,18,234,17,94,16,126,0,21,0,20,116,886,109,1112,5,24,0,31,4,33,0,35,7,103,9,121,31,106,20,159,23,104,9,133,41,146,15,206,43,154,16,206,17,70,13,104,3,29,0,35,160,776,91,1031,11,67,5,80,3,63,7,73,17,218,23,255,42,230,35,312,35,228,30,293,67,305,33,406,68,339,27,436,28,169,32,226,5,48,3,54,277,1665,200,2138
RA65,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,19
RA69,5,25,9,43,4,54,9,71,6,88,40,135,11,69,29,99,12,87,29,130,11,61,32,104,0,48,48,90,0,13,4,18,0,0,0,0,54,437,198,689,7,36,11,48,8,36,10,53,13,74,11,92,15,62,21,97,12,48,17,78,17,60,27,98,6,38,33,72,3,7,4,13,0,0,0,4,70,363,127,561,5,67,19,95,16,92,15,119,12,155,55,228,21,132,53,198,25,132,46,203,26,119,55,199,3,85,75,163,5,19,10,31,0,0,0,3,126,798,322,1248
RA72,170,3318,427,3914,180,4001,722,4903,609,10387,1754,12750,819,8616,1388,10821,914,7279,1169,9359,685,6043,770,7494,427,3934,496,4858,162,1463,197,1830,33,283,51,370,3999,45340,6968,56309,223,3139,378,3735,198,3518,429,4144,983,10932,1280,13199,1319,8912,1050,11286,1330,6926,790,9043,1166,5364,607,7139,658,3449,405,4513,187,1393,197,1776,28,352,80,465,6087,43989,5227,55301,391,6457,804,7651,381,7521,1149,9046,1597,21317,3033,25950,2135,17534,2437,22108,2244,14205,1961,18400,1849,11409,1379,14637,1087,7384,902,9374,349,2861,401,3608,59,638,139,833,10086,89325,12198,111611
RA73,71,1153,217,1445,64,1119,246,1425,249,3216,662,4123,270,2702,575,3551,240,2273,447,2961,211,2153,367,2734,136,1324,210,1670,38,433,91,557,0,73,13,89,1276,14441,2830,18552,81,1052,181,1316,129,1069,128,1332,364,3637,479,4476,405,2696,402,3508,402,2369,371,3141,375,2052,303,2726,185,1131,180,1497,56,385,72,515,4,126,23,161,2003,14525,2146,18672,151,2209,404,2768,193,2189,370,2754,612,6847,1142,8596,681,5404,982,7064,639,4645,815,6102,585,4200,667,5457,316,2451,391,3171,93,814,162,1067,7,202,41,253,3282,28964,4973,37223
RA74,176,1507,238,1921,238,1413,245,1902,414,2774,561,3749,331,2221,410,2962,274,1805,324,2402,173,1302,281,1752,56,648,128,836,8,186,27,222,4,34,0,33,1680,11888,2212,15786,191,1337,206,1739,245,1454,195,1894,527,2939,453,3915,495,2262,339,3092,393,1814,248,2450,235,1351,205,1790,86,624,94,804,20,168,20,206,4,36,0,41,2199,11989,1755,15942,374,2848,443,3664,485,2870,441,3792,944,5711,1008,7666,825,4480,745,6054,664,3615,577,4860,410,2650,481,3540,143,1274,224,1634,30,359,45,433,5,67,0,76,3879,23875,3968,31720
RA75,0,5,0,4,0,6,0,6,0,12,3,16,0,13,4,22,6,9,5,18,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,5,60,22,83,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,5,0,4,0,6,0,6,0,15,6,23,0,13,4,22,6,12,5,19,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,4,65,28,94
RA79,0,11,15,30,0,35,48,84,10,181,104,292,9,167,129,305,12,156,150,311,6,178,115,300,9,141,53,205,0,24,11,33,0,4,0,6,41,891,636,1567,0,29,31,64,5,59,38,99,15,215,137,364,17,143,103,268,14,144,122,280,17,158,108,279,4,81,33,114,0,13,0,17,0,0,0,4,72,836,571,1486,4,44,43,95,9,89,87,183,23,395,242,661,26,309,236,573,17,295,276,591,23,332,226,579,9,219,88,318,0,32,16,49,0,4,0,7,115,1724,1209,3052
RA80,640,12044,683,13367,843,15048,1132,17024,2089,34178,2329,38593,3191,29382,1648,34219,3945,22610,1181,27734,3731,17210,876,21826,2306,13598,687,16589,1314,6959,505,8775,357,2241,274,2865,18417,153268,9315,180997,685,11527,660,12876,998,15103,1014,17117,2849,34192,1909,38948,4700,28941,1315,34956,5719,21638,938,28295,5595,17106,716,23415,3541,14702,753,18999,1528,8402,624,10555,282,3540,490,4316,25902,155149,8418,189472,1324,23571,1347,26241,1843,30147,2150,34143,4937,68367,4237,77542,7890,58326,2967,69181,9666,44251,2116,56029,9329,34323,1592,45239,5853,28297,1439,35590,2845,15362,1123,19328,638,5776,760,7175,44319,308419,17733,370469
RA81,0,17,3,18,0,16,0,22,0,42,4,44,3,45,5,54,9,38,4,51,9,30,3,45,3,21,10,30,0,7,0,4,0,0,0,0,25,214,26,269,0,14,5,21,0,19,0,18,3,46,4,49,13,39,3,51,12,32,4,45,14,29,4,50,3,11,4,21,0,7,0,7,0,5,0,5,42,198,24,263,0,35,3,40,0,36,4,40,3,83,8,92,20,84,3,105,13,71,10,95,18,59,11,94,5,33,9,52,0,10,0,12,0,4,0,4,67,411,50,528
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,16,4,23,5,31,7,44,10,40,10,60,4,34,30,62,5,29,19,53,3,19,16,38,0,14,9,21,0,0,4,6,0,0,0,0,33,182,100,315,3,34,0,37,4,38,4,40,7,35,5,53,7,23,7,33,0,23,7,30,4,26,8,35,5,4,4,10,0,4,0,8,0,0,0,0,28,184,34,249,6,47,4,58,8,71,7,82,15,80,21,108,10,58,35,104,6,49,29,77,7,45,22,78,4,20,10,34,0,5,5,10,0,0,0,4,62,372,131,560
RA91,0,7,0,9,0,7,5,12,0,9,10,17,4,11,3,18,3,16,6,22,3,14,5,25,4,0,4,16,0,3,3,10,0,0,0,0,13,69,41,125,0,10,4,11,0,10,4,15,0,12,3,19,5,4,7,15,4,19,6,29,0,7,4,16,0,3,4,10,0,6,6,10,0,0,0,0,18,69,39,122,0,19,4,22,0,15,4,21,0,22,12,32,3,19,12,35,5,30,11,47,6,20,10,37,7,11,14,27,0,6,9,16,0,0,0,0,26,136,76,246
RA94,5,55,13,80,4,56,40,101,7,158,153,318,18,193,95,306,25,213,84,326,38,271,54,359,22,246,42,307,11,92,14,114,4,26,3,36,137,1306,503,1948,0,68,18,93,9,70,17,93,15,165,47,224,31,222,50,297,48,203,34,285,61,266,49,370,34,195,28,253,16,91,15,123,0,25,7,31,208,1304,246,1768,12,129,32,172,9,127,51,190,24,321,199,544,43,412,144,605,76,419,120,616,97,533,100,729,57,437,65,561,30,178,35,239,8,50,5,67,341,2611,754,3713
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11
