RA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12
RA49,8,59,16,77,10,85,28,128,0,58,14,74,3,85,19,108,13,225,87,320,9,195,84,289,19,188,94,299,20,193,103,311,13,158,45,214,4,29,7,40,4,3,0,7,105,1278,488,1873,0,49,8,56,4,106,28,139,7,88,19,112,6,72,16,95,15,213,71,305,10,154,78,245,12,123,46,178,15,161,28,197,11,113,19,141,3,16,6,26,3,7,0,10,101,1098,314,1506,5,103,24,140,22,188,54,262,11,143,30,186,11,161,34,206,32,440,156,627,20,348,161,534,35,308,137,478,29,353,131,513,26,266,66,359,11,47,4,64,3,6,0,11,205,2372,801,3377
RA50,1007,62151,2773,65931,6670,125156,5817,137636,2265,57394,2531,62185,1578,60683,3835,66092,2432,133917,10771,147123,2260,137441,10004,149710,3145,121885,8314,133337,4539,103976,6333,114846,6562,78659,3946,89170,7927,36877,2607,47410,6190,7937,1542,15662,44577,926059,58468,1029106,587,59098,2584,62274,3221,121704,5574,130498,1491,55467,2389,59342,1156,60411,3035,64600,2252,143108,7929,153281,2593,144153,6651,153391,3716,127570,5391,136666,5559,111097,4541,121194,7475,86680,3846,98001,11254,40046,3117,54408,12745,9574,2576,24896,52039,958904,47632,1058569,1596,121251,5354,128206,9886,246863,11391,268135,3752,112855,4918,121530,2730,121090,6872,130689,4686,277024,18691,300403,4855,281592,16653,303100,6861,249445,13699,270009,10097,215065,10872,236044,14034,165340,7801,187175,19180,76920,5726,101828,18937,17504,4119,40566,96615,1884961,106098,2087667
RA51,82,5881,392,6351,839,14186,942,15962,317,6213,441,6974,183,4761,765,5707,261,10265,2076,12603,275,12065,2125,14470,392,13575,1951,15915,672,13731,1424,15831,977,12022,937,13931,1020,5263,479,6760,643,975,190,1810,5664,98921,11722,116314,73,5526,350,5951,398,13475,911,14781,157,6023,378,6562,130,4330,355,4817,267,11165,818,12248,304,13696,875,14876,487,14707,937,16134,718,14773,872,16363,992,12036,740,13762,1202,5260,513,6973,1307,1112,258,2676,6030,102106,7006,115138,154,11405,739,12302,1235,27655,1852,30740,477,12237,818,13537,312,9092,1122,10528,525,21428,2896,24852,585,25760,2997,29343,878,28284,2885,32047,1390,28510,2291,32193,1969,24053,1675,27697,2217,10518,992,13733,1950,2086,451,4482,11694,201033,18722,231450
RA52,74,4776,479,5332,602,10474,1214,12286,205,4781,493,5476,138,3932,528,4600,226,8854,1407,10485,199,9137,1418,10765,315,10453,1396,12168,545,11491,1282,13319,763,9538,940,11243,942,4237,503,5682,603,920,157,1681,4622,78600,9825,93046,41,4568,426,5034,308,10213,1116,11638,125,4481,436,5050,94,3665,411,4175,186,9101,956,10247,239,9848,1061,11148,409,10754,1055,12213,642,11373,999,13017,817,9027,837,10676,1104,4171,454,5725,1079,980,212,2272,5047,78182,7968,91191,116,9338,909,10358,910,20684,2326,23924,332,9266,933,10528,240,7594,944,8776,411,17954,2366,20730,446,18984,2478,21911,722,21206,2450,24378,1190,22860,2286,26343,1574,18564,1778,21921,2050,8403,956,11411,1683,1901,370,3958,9670,156773,17789,184237
RA53,35,2914,398,3345,223,5494,914,6635,62,1956,345,2359,39,1819,409,2271,60,5332,1126,6525,57,5868,1111,7038,118,5201,1022,6343,161,4739,855,5758,234,2717,431,3385,203,1020,182,1405,111,204,52,368,1311,37268,6853,45432,17,2755,335,3112,118,5354,889,6359,21,1736,282,2048,27,1685,295,2004,51,5865,969,6881,86,5686,887,6663,138,4695,732,5574,174,4007,574,4755,203,2325,326,2853,210,940,163,1313,197,182,68,447,1234,35239,5530,42002,50,5667,734,6456,340,10848,1804,12989,83,3692,628,4404,68,3507,706,4280,110,11194,2096,13402,140,11560,2007,13702,261,9900,1757,11917,337,8742,1428,10505,436,5043,757,6236,416,1962,342,2719,303,393,124,815,2542,72502,12383,87426
RA54,17,1827,295,2137,102,3246,640,3994,29,1263,270,1561,28,1560,543,2125,49,4573,1699,6320,50,4127,1482,5656,77,3694,1268,5044,109,3101,928,4137,160,1560,352,2079,126,469,113,709,38,53,17,111,788,25478,7605,33874,10,1700,280,1991,55,3098,621,3766,17,1203,209,1425,12,1475,349,1834,32,4073,910,5020,39,3298,722,4069,96,2764,583,3442,151,2355,513,3019,175,1111,216,1496,140,352,86,577,77,41,27,147,806,21472,4522,26800,24,3529,578,4129,155,6340,1264,7758,46,2472,478,2991,36,3034,894,3963,83,8645,2615,11339,93,7429,2198,9719,176,6458,1853,8486,259,5456,1441,7161,342,2674,566,3574,263,818,200,1286,115,99,44,258,1593,46954,12129,60672
RA55,0,0,0,0,0,0,0,0,0,3,3,7,0,12,13,25,0,55,43,99,0,93,68,157,0,57,43,103,0,33,24,55,0,5,4,14,0,0,0,0,0,0,0,0,0,260,196,455,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,11,0,8,3,14,0,4,5,11,0,5,8,9,0,5,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,38,25,58,0,0,0,0,0,0,0,0,0,6,5,6,0,17,15,31,0,65,47,116,0,96,77,170,0,61,50,109,0,34,26,62,0,13,3,18,0,0,0,0,0,0,0,0,0,297,218,514
RA59,6,113,38,149,10,181,51,244,9,69,40,118,12,160,124,295,11,424,385,822,16,385,528,926,16,311,518,842,23,310,334,667,26,273,144,444,3,61,47,118,5,4,10,14,135,2288,2222,4639,0,108,39,153,6,182,46,230,5,85,58,147,4,147,104,256,9,426,256,692,17,319,274,613,20,225,224,468,18,303,152,477,13,216,86,316,4,21,16,38,5,0,12,16,107,2040,1277,3416,5,218,77,300,16,367,95,473,7,156,100,261,21,304,235,562,26,852,641,1512,38,704,805,1543,33,538,739,1313,40,612,484,1144,35,491,229,758,10,86,63,155,8,4,15,30,236,4327,3492,8055
RA61,176,8697,411,9285,1451,18370,934,20754,491,8833,458,9784,370,9747,591,10709,582,25077,1507,27164,568,19296,1169,21031,818,18246,985,20059,1148,17772,896,19813,1622,14687,759,17070,1741,7251,523,9519,1302,1581,213,3088,10272,149560,8437,168271,108,8286,400,8795,716,18038,927,19680,356,8516,417,9282,275,9645,515,10435,522,25109,1210,26840,612,20750,946,22310,1013,20013,838,21859,1301,19680,829,21817,1773,16825,813,19414,2502,8519,609,11632,2752,2045,357,5148,11947,157418,7848,177214,288,16983,816,18083,2170,36402,1862,40435,844,17348,872,19066,646,19395,1102,21147,1100,50185,2714,54006,1181,40046,2114,43338,1836,38260,1822,41917,2447,37453,1722,41632,3397,31514,1575,36485,4244,15770,1134,21148,4047,3619,565,8238,22218,306979,16291,345491
RA62,102,4526,340,4969,858,10046,767,11670,332,4798,356,5487,224,4307,281,4810,341,9377,691,10406,345,9110,702,10161,669,10945,809,12422,1140,13371,942,15457,1501,12094,891,14493,1251,5533,467,7260,676,1006,191,1876,7441,85114,6448,99008,68,4319,295,4688,417,10043,684,11147,198,4551,300,5043,150,4120,274,4545,288,9738,681,10706,396,10021,643,11064,747,11829,735,13309,1154,14121,856,16138,1361,11918,755,14030,1439,5486,469,7403,1292,1149,218,2663,7508,87299,5922,100727,170,8845,640,9657,1271,20091,1448,22817,529,9349,655,10530,369,8427,556,9351,633,19112,1368,21114,739,19133,1355,21225,1407,22768,1548,25727,2295,27488,1804,31591,2863,24010,1651,28526,2697,11021,941,14657,1971,2159,405,4537,14949,172417,12368,199732
RA63,4,159,19,180,31,311,41,387,14,133,20,167,10,139,33,181,9,449,59,520,19,381,51,450,40,470,62,571,41,681,73,793,83,620,64,766,52,240,29,317,28,38,11,77,330,3621,447,4397,0,168,26,195,17,320,29,362,13,107,14,134,4,130,22,153,8,452,75,534,16,369,45,427,41,404,44,486,63,641,66,766,69,511,42,614,54,186,24,260,34,40,17,85,320,3320,385,4026,6,325,38,375,50,632,67,750,19,241,32,297,17,264,47,332,21,904,129,1052,37,749,94,876,80,869,102,1052,105,1325,133,1563,145,1128,108,1385,107,422,54,583,64,74,23,160,650,6937,833,8423
RA64,0,60,3,70,0,125,14,138,0,46,6,46,0,33,0,41,4,119,16,135,4,136,14,149,7,138,16,157,11,180,14,203,9,203,16,234,19,99,9,126,12,9,0,20,65,1141,107,1312,0,45,14,55,0,121,18,134,0,31,0,31,0,34,0,35,0,106,11,121,0,138,23,159,3,116,12,133,6,183,21,206,17,174,14,206,11,81,9,104,14,15,0,35,62,1037,118,1219,0,101,15,124,0,241,29,268,0,75,6,80,0,68,5,73,0,223,26,255,6,273,38,312,12,257,29,293,16,356,32,406,25,381,29,436,31,181,17,226,29,23,3,54,129,2179,228,2533
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,19
RA69,0,15,0,21,4,38,14,50,4,23,15,43,9,54,7,71,5,91,41,135,3,67,26,99,16,85,31,130,8,65,33,104,0,42,46,90,0,8,4,18,0,0,0,0,43,502,213,758,0,21,0,19,4,34,7,36,0,43,9,48,6,44,7,53,3,82,12,92,10,65,23,97,7,49,19,78,3,70,21,98,0,43,29,72,0,10,7,13,0,0,0,4,35,455,131,616,3,36,0,42,9,67,18,92,4,69,21,95,9,96,14,119,3,173,51,228,12,135,52,198,21,138,42,203,14,138,53,199,8,84,74,163,0,21,9,31,0,3,0,3,82,960,339,1377
RA72,84,4435,388,4900,503,8187,840,9532,140,3423,356,3914,101,4147,661,4903,155,10950,1644,12750,151,9379,1298,10821,235,8029,1105,9359,340,6393,764,7494,432,3979,446,4858,367,1296,168,1830,171,161,38,370,2671,60367,7701,70739,43,4208,409,4653,244,8150,809,9209,86,3332,321,3735,67,3706,368,4144,114,11922,1163,13199,183,10126,976,11286,229,8047,771,9043,318,6246,577,7139,446,3712,355,4513,459,1169,150,1776,292,105,65,465,2468,60730,5967,69161,123,8637,790,9555,744,16341,1652,18738,228,6753,674,7651,166,7850,1028,9046,265,22877,2811,25950,334,19503,2273,22108,461,16071,1870,18400,655,12635,1343,14637,876,7697,802,9374,825,2468,319,3608,459,268,103,833,5139,121093,13672,139902
RA73,18,1562,158,1733,132,2942,326,3400,48,1246,153,1445,25,1185,214,1425,44,3466,617,4123,53,2944,557,3551,102,2437,416,2961,117,2261,348,2734,159,1319,197,1670,118,357,79,557,42,29,14,89,863,19739,3085,23688,15,1369,122,1507,45,2820,313,3179,13,1172,131,1316,29,1172,126,1332,51,3999,429,4476,73,3069,370,3508,103,2713,330,3141,156,2271,295,2726,176,1157,163,1497,132,324,57,515,95,49,17,161,886,20122,2348,23355,26,2933,282,3241,175,5767,643,6587,64,2419,286,2768,52,2362,347,2754,98,7462,1044,8596,122,6013,923,7064,209,5148,743,6102,274,4535,645,5457,333,2475,363,3171,249,678,134,1067,143,74,29,253,1750,39860,5435,47048
RA74,13,1537,167,1718,63,3286,330,3686,25,1715,180,1921,25,1641,233,1902,29,3162,558,3749,60,2494,409,2962,87,1987,330,2402,118,1371,262,1752,110,609,122,836,52,139,23,222,11,20,0,33,594,17978,2613,21188,10,1398,135,1541,31,3051,297,3385,9,1580,153,1739,21,1677,199,1894,27,3460,435,3915,48,2716,331,3092,117,2084,251,2450,169,1412,202,1790,168,555,76,804,97,106,11,206,22,18,0,41,720,18053,2095,20863,20,2937,301,3259,100,6345,629,7070,34,3296,339,3664,48,3322,437,3792,50,6621,993,7666,109,5212,734,6054,203,4076,578,4860,293,2785,466,3540,274,1165,198,1634,150,246,40,433,33,35,3,76,1320,36028,4709,42054
RA75,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,6,0,16,4,16,0,13,4,22,0,11,5,18,0,11,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,64,23,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,5,0,4,0,8,0,6,0,16,6,23,0,13,4,22,0,18,5,19,0,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,6,70,24,99
RA79,0,55,34,89,4,124,37,166,0,18,11,30,0,37,43,84,0,177,112,292,7,164,135,305,13,139,164,311,17,165,121,300,7,141,54,205,3,18,10,33,0,4,0,6,56,1037,731,1826,0,57,18,69,0,85,30,122,0,27,34,64,0,64,35,99,0,231,134,364,0,165,106,268,8,137,128,280,19,152,111,279,6,81,29,114,0,10,5,17,0,0,0,4,42,1010,622,1675,0,113,53,164,4,215,64,285,0,47,45,95,0,101,83,183,5,404,249,661,7,321,240,573,16,280,292,591,34,319,229,579,15,221,84,318,3,27,17,49,0,3,0,7,99,2046,1355,3500
RA80,173,13050,494,13718,1535,26382,1030,28948,501,12222,641,13367,419,15561,1040,17024,565,35966,2059,38593,587,32124,1511,34219,721,25923,1092,27734,881,20052,893,21826,1204,14721,666,16589,1444,6882,449,8775,1196,1473,192,2865,9234,204360,10071,223663,97,12268,521,12882,764,25434,990,27184,355,11910,616,12876,393,15835,890,17117,724,36515,1708,38948,788,32909,1255,34956,920,26440,933,28295,1174,21503,736,23415,1625,16644,727,18999,2344,7734,468,10555,2316,1697,297,4316,11500,208890,9152,229538,270,25315,1013,26600,2297,51812,2022,56132,855,24128,1258,26241,816,31398,1928,34143,1294,72485,3772,77542,1380,65033,2767,69181,1645,52360,2026,56029,2055,41556,1628,45239,2826,31371,1392,35590,3794,14619,918,19328,3512,3174,493,7175,20734,413249,19222,453198
RA81,0,30,3,32,5,54,5,60,3,14,0,18,0,21,0,22,0,42,3,44,0,49,0,54,0,46,4,51,0,41,3,45,0,26,3,30,0,3,0,4,0,0,0,0,11,316,32,361,0,25,0,22,0,40,4,48,4,14,5,21,0,20,0,18,5,45,4,49,0,50,0,51,3,37,10,45,0,37,9,50,0,18,4,21,0,7,0,7,0,0,0,5,8,295,27,332,0,51,0,55,0,91,5,105,3,35,0,40,0,36,5,40,5,86,3,92,0,101,8,105,5,81,10,95,0,80,13,94,4,44,10,52,0,10,0,12,0,3,0,4,21,611,60,690
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,11,0,18,0,13,0,13,0,24,0,23,4,32,7,44,6,43,11,60,0,36,30,62,3,27,19,53,3,21,16,38,0,17,10,21,4,0,0,6,0,0,0,0,19,224,94,336,0,9,0,9,0,11,3,13,0,37,0,37,6,32,4,40,0,43,7,53,0,31,7,33,0,25,4,30,0,31,8,35,0,5,4,10,0,4,0,8,0,0,0,0,7,225,35,273,0,18,0,19,0,21,3,25,0,60,0,58,11,63,7,82,0,87,17,108,0,68,35,104,4,53,22,77,9,46,22,78,0,20,11,34,4,5,0,10,0,0,0,4,26,450,127,605
RA91,0,4,3,7,0,7,8,18,0,6,0,9,0,10,0,12,0,9,10,17,0,17,3,18,0,14,9,22,4,13,5,25,0,3,7,16,0,5,6,10,0,0,0,0,8,88,53,149,0,9,3,14,0,17,8,29,0,9,4,11,0,6,4,15,0,10,8,19,0,11,7,15,3,14,10,29,0,6,8,16,0,5,4,10,4,0,5,10,0,0,0,0,7,100,48,158,0,11,4,14,0,28,14,46,0,20,4,22,0,16,3,21,0,21,12,32,0,23,12,35,0,28,14,47,4,24,8,37,3,8,13,27,4,10,7,16,0,0,0,0,19,189,98,310
RA94,0,110,13,125,8,248,42,300,0,67,11,80,6,60,37,101,0,171,152,318,0,208,97,306,0,243,81,326,6,303,47,359,21,247,37,307,14,86,16,114,14,17,0,36,81,1759,527,2370,0,90,14,97,5,211,27,241,0,79,10,93,0,78,13,93,6,174,45,224,3,246,44,297,0,250,34,285,12,315,43,370,21,213,18,253,21,85,12,123,14,13,0,31,79,1764,265,2106,0,201,24,219,12,459,68,541,3,146,19,172,4,135,46,190,4,343,196,544,6,461,142,605,6,492,117,616,20,623,85,729,37,459,57,561,39,170,28,239,32,31,3,67,156,3524,795,4473
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11
