RA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
RA42,0,8,0,11,4,0,0,0,0,14,0,4,0,19,3,13,8,12,0,62,0,0,6,13,5,36,88,109,56,315,0,0,0,5,0,0,4,0,0,11,0,0,4,25,3,0,0,0,0,28,0,0,0,0,0,5,6,4,0,5,3,10,26,140,26,6,11,0,0,219,0,0,0,0,0,4,13,8,0,24,0,0,0,0,3,0,5,0,0,10,0,3,10,60,18,10,4,4,0,109,0,0,15,49,9,0,0,0,0,68,0,5,0,12,11,42,180,98,28,367,6,35,49,198,154,174,150,38,9,813,0,0,0,0,0,0,0,0,0,4,4,16,12,75,10,8,0,0,0,125,0,0,0,0,10,8,0,0,0,29,6,74,74,168,72,18,10,0,0,413,0,0,0,4,5,12,17,7,7,51,0,0,0,38,3,0,0,0,0,39,0,3,7,25,46,166,148,96,26,512
RA43,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,20,0,0,0,9,3,7,3,8,7,38,0,0,0,6,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,21,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,10,0,0,0,4,0,0,27,17,4,59,5,6,14,69,46,49,25,17,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,3,4,0,0,0,18,0,14,12,51,25,4,0,3,0,118,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,16,18,13,0,56
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,4,3,14,9,11,21,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,14
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,6,6,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA50,9,134,192,726,396,267,88,28,10,1856,27,457,464,4309,987,840,794,474,153,8497,5,107,176,1392,584,978,2230,1924,1064,8464,52,163,146,458,226,90,71,29,9,1246,25,170,233,1602,360,191,69,21,6,2688,0,23,36,157,133,101,109,43,3,605,51,666,1560,5111,1950,1717,1925,886,185,14057,0,0,6,28,22,67,138,103,24,391,0,58,241,1064,300,341,262,111,41,2429,10,74,272,1360,716,736,600,278,107,4148,8,54,353,1570,121,31,8,0,0,2156,12,81,130,417,392,364,978,778,261,3418,221,1940,2771,10486,5487,5283,3173,932,143,30439,0,21,30,374,272,300,393,171,65,1627,70,395,802,2545,350,157,94,33,8,4448,0,36,95,165,236,94,34,0,4,661,66,1507,2723,4662,2700,905,244,57,9,12863,6,44,55,590,289,375,596,160,80,2191,0,6,26,108,58,43,28,7,0,282,26,416,833,2336,1975,2390,1935,1218,327,11457
RA51,0,0,0,29,10,0,0,0,0,43,0,21,16,151,74,49,70,39,14,435,0,4,4,87,10,45,150,127,83,511,0,11,6,17,9,0,3,0,0,54,0,8,15,75,8,3,0,0,0,110,0,0,0,9,13,9,6,0,0,43,0,7,14,77,31,34,21,11,0,208,0,0,0,0,5,10,14,12,0,34,0,0,0,18,6,10,7,3,3,48,0,5,9,14,13,13,3,0,0,54,0,3,4,40,0,0,0,0,0,53,0,3,10,39,46,67,163,99,20,457,15,143,223,902,656,763,487,142,23,3355,0,0,0,0,0,5,3,0,0,14,0,20,6,55,10,4,3,3,0,103,0,0,4,22,22,17,4,0,0,76,9,121,159,363,162,40,6,0,0,863,0,0,0,21,10,10,28,14,11,88,0,0,0,11,3,0,0,0,0,20,0,3,27,98,111,188,199,101,20,746
RA52,0,3,0,8,0,4,0,0,0,13,0,3,8,113,21,21,22,14,0,218,4,0,0,32,21,28,92,76,39,294,0,0,3,5,3,4,6,0,0,26,0,3,3,25,0,0,0,0,0,37,0,0,0,3,6,0,0,0,0,7,0,0,15,68,26,34,23,7,0,164,0,0,0,0,0,9,8,8,0,21,0,0,0,6,3,7,0,0,0,20,0,3,10,62,29,15,19,3,4,146,0,6,0,37,0,0,0,0,0,38,0,3,6,21,28,43,122,99,19,342,14,140,210,755,564,618,400,118,12,2831,0,0,0,0,3,4,8,8,3,21,0,10,9,46,4,11,0,0,0,77,3,8,15,36,26,8,0,0,0,105,14,118,170,439,197,55,9,3,0,995,0,0,0,5,10,3,6,17,6,52,0,0,0,7,5,0,0,0,0,14,0,3,6,54,54,128,105,77,18,452
RA53,0,0,0,3,0,0,0,0,0,3,3,0,4,95,15,10,14,5,0,135,0,0,0,28,5,5,13,9,5,61,0,0,0,0,0,0,0,3,0,6,0,0,0,15,3,0,0,0,0,15,0,0,0,5,0,0,0,0,0,3,0,0,7,34,11,7,7,0,0,64,0,0,0,0,0,5,0,0,0,9,0,3,3,18,3,0,0,0,0,26,0,0,0,10,4,7,0,0,0,20,0,0,0,20,0,0,0,0,0,26,0,0,5,17,8,16,30,11,4,77,10,57,90,566,308,367,151,35,0,1588,0,0,0,0,0,3,3,0,0,14,0,0,0,30,6,0,0,0,0,38,0,0,3,8,10,7,6,0,0,38,5,90,100,279,143,56,12,5,0,679,0,0,0,8,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,8,7,50,40,52,23,10,3,194
RA54,0,0,0,3,0,0,0,0,0,5,0,0,7,86,12,16,0,10,3,133,0,0,9,42,4,6,6,4,0,67,0,0,0,7,0,0,0,0,0,7,0,0,3,13,3,0,0,0,0,21,0,0,0,4,0,0,0,0,0,8,0,0,4,41,13,3,7,0,0,69,0,0,0,0,0,0,0,3,0,7,0,0,0,6,9,0,0,0,0,18,0,0,0,4,5,0,0,0,0,9,0,0,0,14,0,0,0,0,0,16,0,0,3,14,3,13,14,8,0,58,10,28,74,456,267,238,98,10,6,1185,0,0,0,0,0,3,3,0,0,10,0,0,4,16,0,0,0,0,0,18,0,0,9,9,18,8,0,0,0,45,0,18,43,168,77,34,3,0,0,345,0,0,0,3,5,3,0,0,0,16,0,0,0,6,0,0,0,0,0,17,0,0,9,33,25,35,8,4,0,118
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,5,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13
RA59,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,16,0,0,3,11,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,12,5,5,10,50,27,32,16,9,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,0,0,16
RA61,0,0,0,19,5,5,0,0,0,34,0,11,14,64,35,35,47,26,6,235,0,7,7,48,18,33,93,87,67,365,4,14,19,30,13,8,12,0,0,95,4,32,27,176,25,28,4,3,0,307,0,0,0,21,8,9,6,5,0,49,10,16,115,241,47,43,43,16,4,532,0,0,0,0,6,8,12,7,3,32,0,0,4,20,6,4,3,5,0,33,0,12,38,58,29,11,8,0,0,151,15,126,365,2415,32,10,0,0,0,2966,0,7,6,53,38,52,194,189,51,596,6,58,88,366,293,261,230,87,15,1408,0,0,0,4,0,4,0,0,0,12,19,45,46,700,21,3,3,0,0,841,0,0,5,19,41,19,6,0,0,88,10,63,80,240,70,25,15,3,0,515,0,3,0,39,16,33,45,23,11,178,0,0,8,15,7,4,0,0,0,31,0,17,12,71,112,143,174,115,57,704
RA62,0,0,0,7,0,3,0,3,0,20,0,3,8,20,14,19,35,23,9,123,0,0,0,22,12,18,31,17,10,114,0,6,0,6,0,3,0,0,0,20,0,5,4,30,6,3,0,0,0,48,0,0,0,0,0,3,3,0,0,17,0,4,3,31,11,14,14,5,0,81,0,0,0,4,0,9,16,5,0,38,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,10,0,4,21,270,4,0,0,0,0,302,0,0,5,31,33,60,158,124,33,442,5,30,44,235,232,306,243,100,16,1217,0,0,0,0,0,0,0,0,0,9,0,4,3,171,4,5,0,0,0,181,0,0,0,19,17,11,11,0,0,59,7,23,22,47,16,4,7,5,0,130,0,0,0,14,6,10,21,7,6,57,0,0,5,8,0,0,0,0,0,15,0,5,5,26,33,91,137,100,24,425
RA63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0,0,77,0,0,0,0,0,0,3,7,0,16,0,0,5,9,13,24,21,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,10,0,24
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,5,3,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
RA72,0,0,5,3,6,0,0,0,0,7,0,11,14,182,24,17,27,17,3,304,0,8,3,76,20,25,42,27,13,213,0,8,3,29,3,5,0,0,0,55,3,16,11,86,17,8,0,0,0,139,0,0,0,21,0,3,0,0,0,25,4,15,20,110,47,35,33,26,3,293,0,0,0,0,0,3,9,0,4,16,0,5,0,23,3,5,0,0,0,40,0,4,4,33,23,7,11,9,0,85,0,33,221,1075,34,10,0,0,0,1369,0,0,0,15,10,13,37,27,4,119,10,58,86,323,252,293,202,54,3,1278,0,0,0,0,0,0,0,0,0,9,11,25,26,300,19,10,3,0,0,392,0,4,9,49,60,28,13,4,3,170,17,209,401,851,421,178,69,14,4,2168,0,0,0,18,5,5,7,6,0,41,0,0,3,5,4,3,3,0,0,16,0,5,8,46,35,55,41,25,4,219
RA73,0,0,0,8,0,4,0,0,0,14,0,0,0,34,7,4,8,3,0,60,0,0,0,18,0,4,7,18,5,57,0,0,0,8,0,0,0,0,0,12,0,4,0,19,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,3,0,0,0,20,5,8,3,0,0,34,0,0,0,0,0,0,5,0,0,3,0,0,0,5,0,0,0,0,0,13,0,0,0,4,3,0,0,0,0,7,3,5,14,177,6,0,3,0,0,208,0,0,0,6,0,10,8,0,5,31,3,41,49,181,80,115,77,23,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,50,0,3,0,11,14,7,0,0,0,39,4,31,58,168,57,27,13,0,0,354,0,0,0,4,0,4,0,0,0,12,0,0,5,8,0,6,0,0,0,20,0,0,0,9,10,12,6,14,0,60
RA74,0,0,0,0,4,0,0,0,0,6,0,0,0,3,0,4,5,0,0,14,0,0,0,5,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,4,36,0,0,0,0,0,43,0,0,0,3,4,0,6,5,0,12,0,6,8,76,32,52,26,3,0,200,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,8,10,6,0,0,0,29,0,6,9,27,12,5,0,0,0,65,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,4,0,13
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,4,7,12,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RA80,0,28,60,160,69,48,27,9,0,396,0,39,25,162,57,54,58,55,17,466,4,10,16,132,83,140,265,207,107,959,7,45,57,61,32,12,21,0,0,236,13,50,121,727,143,66,32,11,4,1162,0,8,15,79,60,29,38,18,3,248,9,56,158,466,200,202,124,56,17,1282,0,0,0,8,8,18,51,34,4,124,0,9,19,81,20,26,8,3,3,169,0,0,25,128,75,40,28,22,4,322,3,38,470,2451,61,8,15,5,0,3056,8,17,15,52,52,59,136,89,50,471,18,149,303,858,477,420,260,130,33,2654,0,0,11,63,28,47,60,17,6,224,24,140,161,1053,184,77,26,10,0,1671,0,5,13,61,150,68,19,6,0,328,10,155,252,978,337,151,70,19,3,1982,0,6,7,105,66,68,118,45,12,430,0,15,23,44,20,28,8,9,0,149,0,15,42,145,127,203,199,142,50,924
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
