RA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA61,158,655,635,664,582,495,240,66,3493,412,1945,1211,567,364,146,30,0,4685,859,3683,2973,3185,3425,2867,1686,487,19156,675,2085,1581,1511,1489,989,599,164,9098,147,478,541,572,481,316,140,43,2712,209,1122,858,841,773,562,237,71,4681,62,514,661,618,696,804,355,94,3802,750,5035,2890,2181,1837,1348,595,143,14781,434,1586,1332,1334,1160,1026,364,76,7312,258,689,571,458,316,261,116,32,2703,368,1001,840,629,455,267,96,16,3673,29,38,15,3,8,10,4,0,119,90,291,278,253,206,167,85,18,1397,1225,1776,1379,1261,1210,1166,1002,445,9465,5678,20888,15762,14088,13014,10427,5555,1671,87086,271,760,679,538,358,252,61,14,2943,94,681,260,154,101,75,11,0,1379,94,422,328,262,212,144,75,47,1581,58,289,210,132,99,47,9,0,850,108,298,254,262,182,89,25,9,1220,1091,3632,2776,2450,2573,2009,926,305,15778,293,1586,2042,2010,2127,1963,973,300,11294,1228,6180
RA62,24,119,153,184,215,230,117,18,1067,92,308,262,155,168,103,19,0,1097,607,2002,2030,2384,2975,2491,1106,217,13811,437,1086,758,895,1135,879,386,74,5656,211,477,602,590,527,340,127,28,2910,53,247,300,333,422,369,123,30,1873,24,159,251,278,430,528,234,31,1935,176,827,689,809,846,721,219,35,4322,162,377,417,471,527,524,164,30,2665,64,150,170,122,176,183,67,3,917,155,367,351,364,364,217,80,16,1905,4,10,0,6,4,10,5,0,44,37,92,117,156,129,116,55,16,709,918,908,896,1112,1317,1388,950,357,7856,2965,7127,6979,7867,9234,8091,3647,855,46769,30,158,191,171,184,95,30,11,867,6,74,53,68,68,44,7,0,312,40,121,123,164,165,99,48,27,797,20,63,60,48,56,22,7,0,283,100,270,255,259,209,82,22,3,1195,394,1170,1093,1220,1685,1287,516,137,7502,180,746,1076,1043,1185,1126,589,142,6076,499,1669
RA63,3,5,3,9,14,8,3,3,46,7,8,11,8,8,3,0,0,43,13,85,74,127,160,143,59,10,678,0,21,24,47,59,46,25,5,231,7,20,29,26,22,21,8,3,136,0,9,5,19,13,14,7,0,72,0,3,14,4,19,19,10,0,71,11,95,45,22,29,37,7,4,258,3,12,14,12,28,26,4,0,99,0,10,4,4,3,10,0,0,36,9,23,26,26,34,15,3,3,135,0,0,0,0,0,0,0,0,0,0,6,7,6,4,6,0,0,25,67,68,55,70,86,86,45,10,491,126,368,309,361,485,438,173,45,2308,0,8,7,7,9,5,0,0,33,0,6,4,7,5,0,0,0,23,0,10,11,15,7,6,3,0,56,0,0,0,4,3,0,0,0,12,0,8,11,14,11,0,0,0,47,3,35,24,18,70,59,18,4,234,7,50,35,25,30,43,14,4,218,20,103
RA64,0,0,3,3,4,0,0,0,11,0,0,0,0,0,0,0,0,6,4,31,32,29,43,41,17,8,201,0,13,9,6,16,22,6,3,78,3,9,13,16,13,3,3,0,68,0,0,5,3,7,5,0,0,23,0,4,0,3,3,5,3,0,20,0,11,3,11,6,16,0,0,47,0,4,0,6,0,3,4,0,31,0,4,3,6,4,5,0,0,19,5,4,3,8,9,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,8,16,22,20,14,31,17,4,134,24,95,98,110,121,137,63,11,658,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,15,0,0,0,5,0,0,0,0,3,0,14,5,8,0,3,0,0,31,0,13,14,17,17,22,8,0,95,5,16,15,17,16,20,11,0,100,0,22
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,5,3,3,3,4,3,0,0,14,4,11,11,12,21,7,6,0,66,0,8,3,0,8,0,0,0,20,0,0,0,4,5,0,0,0,11,0,3,3,3,4,0,0,0,9,0,0,0,4,0,0,0,0,3,4,4,0,3,0,0,0,0,14,0,5,5,7,4,5,0,0,16,0,3,7,7,0,0,0,0,16,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,20,46,34,30,34,46,4,0,211,39,82,65,80,75,63,5,0,408,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,12,4,0,14,0,0,0,33,0,3,8,7,3,6,0,0,24,3,8
RA72,40,177,195,174,131,107,27,9,848,239,593,432,215,109,45,0,0,1633,761,2415,2115,1960,1606,949,336,58,10210,211,670,619,514,458,263,124,22,2876,85,175,231,223,170,99,26,0,1010,94,538,522,359,260,128,34,11,1950,35,214,232,228,251,199,81,9,1240,325,1832,1301,979,607,337,97,7,5493,257,763,785,612,411,263,86,16,3194,56,159,162,112,82,43,13,0,628,172,422,394,241,141,75,17,0,1468,9,11,8,11,5,5,0,0,42,37,147,165,164,101,59,18,3,695,991,1523,1253,1157,869,567,235,73,6669,3319,9637,8403,6947,5207,3125,1096,211,37944,67,251,267,186,104,49,13,0,935,38,199,184,88,62,20,3,0,598,71,267,209,125,72,41,17,4,805,21,90,70,41,26,7,0,0,259,79,168,171,122,59,24,4,5,630,420,2115,1429,895,717,388,143,33,6146,181,920,1045,889,689,433,150,15,4321,598,2627
RA73,4,33,61,29,41,29,11,0,204,16,87,83,28,26,5,0,0,242,152,597,482,449,429,259,74,6,2443,53,226,190,151,155,76,24,4,880,33,67,87,98,62,28,9,0,386,26,180,185,114,103,34,7,0,652,15,86,69,78,99,68,25,0,428,51,327,249,194,150,83,10,0,1068,56,257,267,222,149,81,23,3,1053,21,63,60,26,32,18,3,0,233,63,143,117,75,56,23,6,0,483,6,0,3,0,3,5,0,0,19,13,39,51,21,26,10,0,0,165,392,558,455,440,394,244,99,22,2611,898,2662,2357,1923,1726,973,295,40,10874,9,59,47,41,23,16,3,0,197,3,37,15,12,12,4,0,0,79,14,50,32,27,25,6,3,0,162,4,20,14,13,3,4,0,0,60,29,72,52,47,27,10,3,0,244,112,705,454,340,312,152,36,19,2124,52,272,259,283,256,136,47,11,1315,107,556
RA74,0,9,8,13,10,3,8,0,53,5,12,9,9,7,0,0,0,40,92,264,242,234,189,79,23,0,1117,53,122,126,100,71,34,0,0,501,73,103,98,73,51,11,6,0,402,15,54,70,58,46,11,0,0,255,13,57,66,57,65,28,0,0,295,22,109,97,66,56,35,3,0,387,24,117,108,73,69,31,3,0,424,7,21,22,10,9,3,3,0,79,25,57,40,35,22,7,0,0,183,4,0,0,3,3,0,0,0,8,9,19,21,28,4,3,0,0,87,590,656,453,382,337,147,31,0,2589,925,1602,1362,1129,947,385,80,4,6436,3,19,9,13,6,0,0,0,52,0,11,4,0,0,0,0,0,22,16,25,16,6,3,0,0,0,76,3,7,7,0,0,0,0,0,21,75,54,48,32,12,3,0,0,220,34,173,147,122,152,45,4,0,675,34,179,179,190,160,64,13,0,827,61,205
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,9,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,6,7,0,0,0,21,7,16,16,7,12,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,6,3,4,3,5,0,0,0,20,0,0,7,0,3,0,0,0,12,6,43,29,17,33,39,10,0,167,0,17,15,8,9,8,0,0,62,4,3,3,0,6,4,0,0,21,0,7,5,4,6,4,0,0,27,0,4,4,0,3,10,0,0,20,3,16,18,9,10,11,0,0,71,0,12,8,5,0,10,0,0,36,0,9,0,3,0,3,0,0,16,0,0,6,4,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,67,121,150,170,139,69,16,0,735,84,238,244,242,229,152,22,0,1209,0,10,8,5,0,0,0,0,15,0,0,0,0,3,0,0,0,5,0,3,4,0,0,0,0,0,10,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,12,0,42,12,12,23,4,0,0,95,0,10,9,17,14,6,4,0,58,4,33
RA80,472,1620,1402,1305,1248,1130,639,172,7986,1220,4252,4539,2651,1701,673,115,3,15160,823,4332,3965,3436,3003,2394,1292,479,19727,772,2278,1736,1425,1116,802,536,168,8828,111,510,514,484,437,296,174,54,2577,311,1530,1273,896,709,476,218,77,5487,100,798,880,768,636,604,370,90,4249,1114,5660,5625,4428,3016,1886,730,169,22629,1413,4909,4434,3750,2855,2525,1215,297,21394,508,1298,1195,720,418,279,98,19,4538,400,1090,919,660,365,162,90,18,3699,38,24,9,10,8,15,9,0,116,159,460,514,417,286,245,146,68,2302,1816,2505,1948,1389,1090,826,643,324,10534,9243,31274,28951,22352,16893,12313,6274,1943,129240,585,1771,1560,1257,877,592,219,60,6927,392,1454,1323,784,582,246,44,3,4830,113,747,706,364,276,193,90,49,2543,127,461,342,257,174,96,22,3,1481,155,442,383,379,199,99,43,12,1715,1222,4713,3627,2647,2328,1725,891,327,17482,555,2606,2817,2361,2103,2141,1208,307,14098,1620,7541
RA81,0,4,0,0,0,4,0,0,9,0,0,4,0,0,0,0,0,11,0,6,10,9,5,0,0,0,32,6,14,6,8,4,4,0,0,33,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,8,0,0,5,4,4,4,0,0,19,0,0,8,8,5,0,0,0,18,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,4,3,5,4,6,3,0,0,27,12,31,47,35,31,27,3,0,195,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,6,0,4,4,4,3,6,0,0,32,0,5,4,9,3,0,0,0,14,0,8
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,8,0,6,0,4,5,0,0,0,18,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,11,0,5,4,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,30,19,17,8,4,0,101,26,36,47,41,32,14,4,0,205,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,9,4,0,3,0,0,0,21,0,0,0,0,5,0,0,0,9,4,6
RA91,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,4,0,0,0,0,6,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,9,9,7,5,11,3,0,42,8,14,16,14,21,15,7,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,9,0,3,0,3,0,0,0,0,9,4,0
RA94,0,4,0,5,10,7,6,0,26,0,0,3,0,3,3,0,0,22,14,43,41,59,77,59,12,4,312,11,15,17,30,29,15,8,5,131,0,6,5,9,5,0,4,0,33,0,4,4,7,0,6,0,4,26,0,4,10,6,7,6,0,0,33,5,11,22,13,17,13,5,0,79,0,10,23,9,5,9,3,0,61,0,3,4,3,5,4,0,0,20,4,8,12,10,13,0,0,0,51,0,0,0,0,0,0,0,0,0,0,5,5,6,3,6,0,0,19,53,152,101,88,58,48,27,3,538,86,263,247,245,236,181,58,14,1341,0,5,12,4,4,0,0,0,22,0,4,5,6,0,0,0,0,8,0,0,4,6,4,0,0,0,17,0,0,0,0,0,0,0,0,7,0,5,3,4,5,0,0,0,16,9,16,17,18,24,28,9,5,121,4,20,29,26,27,24,7,0,138,13,31
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
