RA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
RA41,0,8,21,90,76,192,357,233,98,1072,0,0,0,3,11,24,49,28,9,122,0,8,3,15,14,8,9,0,0,52,10,23,41,206,26,25,30,28,12,389,0,9,0,28,18,3,12,3,5,90,0,0,9,10,6,0,4,0,0,26,0,0,0,6,3,0,0,0,0,12,0,13,13,36,36,50,52,43,10,250,4,3,0,23,18,62,155,138,67,473,0,3,3,17,23,8,6,0,0,63,0,0,9,27,6,0,0,0,0,55,0,0,0,5,3,5,0,3,0,24,0,4,17,46,34,29,23,6,0,159,0,0,0,0,0,21,29,10,3,62,0,0,0,0,0,3,0,0,0,9,0,0,0,7,8,0,4,0,0,17,0,0,0,33,0,0,0,0,0,34,0,3,4,32,48,108,404,205,53,855,3,40,63,270,293,342,251,123,18,1409,0,0,0,0,0,0,9,5,0,9
RA42,0,0,3,46,43,97,300,195,74,766,0,0,0,9,15,50,109,171,83,430,0,7,0,30,9,5,6,0,0,57,16,78,127,808,136,107,60,22,18,1371,0,3,11,72,26,14,12,4,3,153,0,0,0,15,13,6,0,0,0,36,4,9,5,10,5,0,0,0,0,34,0,3,0,46,13,21,25,28,8,142,0,0,6,28,12,65,151,210,129,594,0,3,0,20,8,0,3,0,0,42,0,0,12,50,0,0,4,0,0,66,0,0,0,5,4,3,5,4,4,20,5,20,39,260,46,20,27,3,3,423,0,0,0,0,0,5,31,11,8,59,0,0,0,0,8,5,7,0,0,13,0,5,24,110,40,16,10,6,0,224,0,0,28,98,5,0,0,0,0,135,0,9,5,26,34,82,349,204,51,753,13,56,102,379,279,347,250,90,22,1530,0,0,0,0,4,3,3,0,0,14
RA43,4,0,0,20,9,30,61,40,8,170,0,0,0,4,0,0,6,3,4,20,0,0,0,6,4,0,0,0,0,13,0,4,22,93,3,4,0,5,0,136,0,0,3,33,7,0,0,0,0,47,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,16,3,5,5,6,3,41,0,4,0,11,3,6,12,16,11,60,0,0,0,6,0,9,4,0,0,18,0,0,0,7,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,23,5,9,0,0,0,43,0,0,0,0,0,0,7,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,4,9,0,0,0,0,0,13,0,0,0,11,3,16,60,29,11,132,4,15,36,119,85,99,50,23,0,433,0,0,0,0,0,0,0,0,0,3
RA44,0,0,0,13,7,16,15,11,8,54,0,0,0,0,0,3,18,24,4,54,0,0,0,0,0,0,0,0,0,3,5,4,7,53,0,0,0,0,0,80,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,10,4,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,7,6,6,4,27,0,8,4,33,20,27,30,5,0,128,0,0,0,0,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,7,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,12,0,0,8,14,0,0,3,0,4,32,0,0,0,6,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,6,0,0,0,3,5,0,5,0,0,15,0,0,3,14,14,10,10,0,0,53,0,0,0,0,0,0,0,0,0,0
RA50,21,173,366,2314,1313,1177,1900,1320,340,8919,3,26,57,143,119,253,474,575,366,2012,64,345,761,2642,761,776,653,176,67,6244,469,3451,5128,32283,6243,4249,3503,2114,717,58159,134,688,1380,5707,2277,1184,1114,396,106,12988,22,323,528,3142,948,646,389,158,62,6209,15,250,377,1516,708,425,168,58,13,3531,61,862,918,7870,1907,1762,1583,991,353,16304,15,206,330,2431,978,1784,4371,3861,2459,16438,98,303,348,1829,1050,396,230,86,33,4369,54,348,429,3668,882,419,169,53,13,6035,3,45,63,314,235,225,181,65,12,1145,116,1307,3116,11117,4623,4277,4406,1784,436,31191,0,6,12,58,46,136,275,172,52,752,6,140,500,2167,570,679,552,246,108,4967,13,143,559,2844,1481,1563,1381,583,302,8866,14,113,728,3044,195,72,30,4,0,4209,31,141,245,877,730,737,1945,1567,681,6959,400,3680,5558,20045,10564,10251,5931,1825,345,58596,6,34,75,800,538,648,721,359,154,3329
RA51,3,9,38,251,125,154,320,169,38,1107,0,0,0,8,6,5,13,13,4,46,0,10,5,76,19,15,8,0,0,133,5,63,45,560,103,89,75,66,24,1040,3,46,24,175,66,21,21,12,9,376,0,8,9,63,7,9,0,0,0,98,0,7,4,40,14,8,3,0,0,65,6,47,51,289,141,116,135,72,22,883,0,7,8,151,30,91,255,237,158,937,0,9,7,92,36,8,12,3,0,181,0,14,21,177,19,0,0,0,0,224,0,0,0,19,11,13,12,5,0,63,3,19,25,176,75,83,52,31,0,464,0,0,0,0,4,19,25,19,4,67,0,0,4,35,11,17,15,11,3,98,0,9,11,39,14,26,15,4,6,113,0,6,14,72,3,0,0,0,0,96,0,14,16,93,100,134,309,188,55,908,35,284,416,1773,1227,1441,881,247,54,6358,0,0,0,0,3,5,3,4,0,15
RA52,0,5,21,160,95,111,221,133,35,780,0,0,0,0,5,9,12,15,12,55,0,0,8,37,7,11,10,0,0,69,12,74,52,538,115,61,52,60,16,978,0,23,30,142,58,19,27,5,3,322,0,3,5,37,13,6,3,4,0,75,0,3,0,7,4,4,0,0,0,23,0,10,17,202,42,49,54,49,8,430,5,3,4,55,26,54,157,130,85,517,0,0,6,28,21,11,12,0,0,83,0,3,11,57,3,0,0,0,0,78,0,0,0,3,6,0,0,0,0,13,0,3,24,123,46,65,40,11,4,323,0,0,0,0,5,11,10,15,0,38,0,0,6,21,5,11,3,0,0,51,0,6,15,125,67,37,30,8,3,298,0,3,6,58,9,0,0,0,0,71,0,8,12,68,61,63,241,190,38,671,35,255,426,1535,1031,1199,698,211,29,5418,0,0,0,6,4,5,7,11,10,43
RA53,4,0,19,127,44,37,57,41,10,327,0,0,0,5,5,0,5,0,0,16,4,3,0,30,7,8,4,0,0,57,12,53,22,400,75,39,10,8,0,616,4,26,21,100,35,19,9,4,0,217,0,0,0,14,3,3,0,0,0,20,0,0,0,6,0,0,0,0,0,8,3,6,4,199,28,12,18,10,0,284,0,0,4,52,9,10,28,11,4,122,0,3,0,23,12,0,0,3,0,47,0,0,0,31,3,0,0,0,0,45,0,0,0,3,0,0,0,4,0,8,0,4,11,67,30,22,4,8,0,147,0,0,0,0,0,5,0,0,0,7,0,3,3,32,5,3,0,0,0,50,0,7,0,18,8,6,0,0,5,46,0,4,5,43,4,0,0,0,0,52,0,0,10,41,18,31,54,17,5,170,20,127,181,1059,585,617,264,49,0,2904,0,0,0,10,5,6,12,0,0,29
RA54,0,0,23,65,29,22,28,16,0,186,0,0,0,0,0,5,0,0,0,3,0,0,0,16,7,3,0,0,0,27,0,18,11,176,31,23,7,3,0,270,3,17,7,76,21,10,4,0,0,140,0,0,0,18,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,5,0,6,13,143,15,22,9,10,3,214,0,0,8,65,6,13,9,14,3,122,0,0,0,23,10,0,0,0,0,34,0,0,5,28,0,0,0,0,0,38,0,0,0,9,0,4,0,0,0,14,0,0,8,86,26,10,10,0,0,143,0,0,0,0,0,0,6,3,0,11,0,3,4,12,3,10,0,0,0,33,0,0,0,7,4,6,6,0,0,20,0,0,0,15,0,0,0,0,0,23,0,0,8,32,11,16,25,13,0,110,19,68,168,759,422,404,171,22,5,2026,0,0,0,3,0,3,5,0,0,18
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,5,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0
RA59,0,0,4,21,3,6,12,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,14,0,0,3,3,0,30,0,0,0,12,3,3,0,0,0,15,0,0,0,6,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,4,13,0,5,3,7,0,31,0,0,3,21,4,0,5,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,6,0,5,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,21,3,7,18,88,45,57,30,9,0,257,0,0,0,0,0,0,0,0,0,0
RA61,6,12,21,207,125,189,298,305,139,1298,0,6,10,25,18,57,96,146,62,413,12,46,106,402,54,54,44,10,4,730,50,246,531,4031,216,135,85,68,28,5389,5,20,75,219,51,28,36,17,8,446,0,129,102,196,41,25,10,8,4,521,0,10,14,34,12,14,3,4,0,83,0,17,25,113,70,90,97,62,19,497,3,10,7,95,32,71,161,176,128,674,4,19,48,150,69,35,33,3,8,365,9,48,51,399,67,60,17,8,4,657,0,3,3,25,18,21,10,8,0,82,12,53,230,562,126,113,109,35,13,1250,0,0,0,0,5,13,14,14,7,53,0,0,13,32,8,7,8,6,0,68,0,22,72,135,54,23,15,4,4,326,20,234,739,4439,51,27,7,3,0,5521,0,11,14,104,91,109,398,375,124,1218,14,117,169,737,576,575,447,200,47,2889,0,0,0,4,4,3,0,0,0,20
RA62,0,5,14,84,61,162,220,137,38,720,3,0,0,4,6,8,13,11,0,45,0,15,3,61,3,15,17,0,0,122,12,34,61,442,52,40,30,25,14,698,0,12,13,54,20,17,20,8,3,138,0,0,0,18,3,3,3,0,0,34,0,9,0,17,0,3,4,3,0,32,0,3,8,37,34,41,63,44,13,241,0,3,0,28,15,26,50,31,14,170,0,13,5,39,25,8,4,3,0,96,0,3,9,73,7,10,0,0,0,107,0,4,0,7,0,11,3,0,0,19,0,8,9,71,30,40,24,3,0,196,0,0,0,4,0,14,22,9,9,57,0,0,0,0,6,7,0,0,0,19,0,0,3,6,3,8,5,0,0,25,0,17,60,480,4,0,0,0,0,554,0,5,10,61,60,118,305,250,67,876,14,59,85,457,470,602,484,190,37,2398,0,0,0,0,0,3,0,0,0,11
RA63,0,0,0,7,0,11,15,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,37,0,0,0,3,0,44,0,0,0,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,17,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,120,0,0,0,0,0,131,0,0,0,0,0,3,11,9,0,28,0,0,9,19,32,37,42,3,0,135,0,0,0,0,0,0,0,0,0,0
RA64,0,0,0,7,0,0,3,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,4,7,15,11,4,0,38,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,3,4,10,0,0,0,25,0,0,0,0,0,0,0,0,0,0
RA72,7,14,20,179,83,74,98,89,28,590,3,54,98,267,133,170,239,152,24,1146,0,16,13,136,29,39,43,8,4,273,45,280,335,2442,355,190,120,35,9,3820,18,87,124,574,230,126,96,27,7,1292,0,3,7,64,12,6,0,4,0,87,0,0,5,4,8,0,0,0,0,15,3,35,35,398,39,27,43,27,3,609,0,9,8,128,35,38,68,57,25,365,4,13,7,77,37,16,3,5,0,169,9,20,20,211,30,10,5,0,0,301,0,0,0,27,4,4,0,0,0,41,3,29,38,229,101,98,92,52,8,653,0,0,0,4,6,3,14,0,4,32,0,5,0,48,7,7,4,0,5,67,0,4,13,75,43,18,13,8,0,174,0,69,402,1998,42,27,11,0,0,2540,0,3,0,51,24,30,72,49,9,244,10,108,148,702,498,545,330,99,8,2437,0,0,0,7,3,0,0,0,0,7
RA73,0,0,3,58,22,32,24,13,5,161,0,0,0,7,0,6,4,6,0,25,0,5,3,21,3,4,0,0,0,37,19,76,54,772,76,58,30,0,0,1101,0,5,9,63,12,9,7,0,0,95,0,0,0,9,0,3,0,0,0,17,0,0,0,5,4,4,0,0,0,14,0,4,0,65,9,16,10,3,0,113,0,3,3,35,3,13,15,19,3,101,0,3,0,21,6,4,0,0,0,43,0,4,0,38,4,0,0,0,0,51,0,0,0,0,4,4,0,0,0,10,0,0,0,38,9,13,5,0,0,64,0,0,0,0,0,0,5,0,0,3,0,0,0,16,0,3,0,0,0,28,0,0,0,5,3,4,0,0,0,16,3,16,34,310,4,3,3,0,0,378,0,0,0,17,5,13,16,8,9,69,9,80,104,377,181,223,129,35,3,1144,0,0,0,0,0,0,0,0,0,0
RA74,0,0,4,19,10,13,9,0,0,54,0,0,0,5,0,0,6,0,0,6,0,0,0,12,0,0,0,0,0,14,4,4,8,92,6,0,0,0,0,116,0,9,4,26,6,6,0,0,0,48,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,9,0,0,0,12,5,4,5,3,0,27,0,0,0,11,0,0,0,4,0,21,0,0,0,12,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,7,0,0,0,3,0,3,0,0,0,9,0,0,4,60,5,0,0,0,0,73,0,0,0,8,4,0,5,3,0,27,0,16,11,143,72,88,40,5,0,383,0,0,0,0,0,0,0,0,0,3
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,12,5,3,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,13,0,3,0,21,11,17,11,3,0,77,0,0,0,0,0,0,0,0,0,0
RA80,11,46,103,379,248,266,543,448,168,2209,0,13,27,71,61,121,234,330,148,1000,13,91,245,766,219,293,210,45,17,1893,122,1014,1531,10976,1811,833,585,247,79,17189,13,109,137,587,188,116,104,47,20,1321,0,44,102,603,154,111,65,25,10,1109,0,54,91,306,121,91,49,17,6,727,3,72,53,277,114,118,122,102,38,904,4,26,34,246,148,283,501,444,223,1909,12,74,111,307,180,76,66,15,6,850,24,106,252,1560,348,156,66,32,4,2553,0,14,29,136,94,71,78,29,6,464,13,112,310,1036,455,439,313,129,43,2849,0,5,3,20,12,37,102,60,18,254,0,13,40,174,53,45,30,5,0,367,0,7,59,252,155,81,58,41,14,660,11,78,991,4427,102,42,30,13,0,5686,8,32,45,114,96,105,272,216,103,1001,42,295,545,1608,916,837,525,256,63,5092,0,5,17,135,64,98,115,33,9,475
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0
