RA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
RA62,3,3,6,0,0,10,474,15,4,6,0,6,4,0,7,0,0,50,0,0,0,0,0,0,0,0,0,0,0,368,74,26,9,7,7,3,8,5,18,517,3,0,0,0,0,0,0,0,0,3,9,3752,261,85,24,8,13,19,15,0,160,4339,4223,87,34,11,3,4,14,6,0,191,4577,333,17,10,0,0,0,0,0,0,7,373,22,4,0,3,0,3,4,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,357,19,9,3,0,0,8,3,0,14,408,8,0,0,0,0,0,0,0,0,0,11,4589,107,44,12,4,6,15,7,0,206,4996,2606,21,14,3,0,0,4,0,3,137,2792,231,4,4,0,0,0,0,0,0,7,249,9,0,0,0,0,0,0,0,0,4,17,5,0,0,0,0,0,0,0,0,0,5,241,9,0,0,0,0,0,0,0,12,269,6,0,0,0,0,0
RA63,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,204,16,3,0,0,0,0,0,0,6,227,203,7,0,0,0,0,0,0,0,12,228,16,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,220,7,0,0,0,0,0,0,0,14,249,86,0,0,0,0,0,0,0,0,4,88,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
RA64,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,42,3,6,0,0,0,0,0,0,0,52,40,0,0,0,0,0,0,0,0,5,51,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,8,60,30,0,0,0,0,0,0,0,0,4,41,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,33,20,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,24,0,0,0,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RA72,8,9,20,15,0,30,1593,218,42,39,12,9,6,33,31,0,14,404,0,0,0,0,0,0,0,0,0,0,4,1365,317,119,22,19,16,59,48,0,39,2003,8,0,0,0,0,0,0,0,0,11,21,3412,493,193,36,42,18,80,56,3,110,4457,1674,23,29,4,7,0,6,3,0,51,1799,909,35,23,0,0,3,22,12,0,22,1040,252,18,36,5,5,3,35,17,0,12,386,8,0,0,0,0,0,0,0,0,0,8,1169,62,57,5,7,9,62,32,0,38,1429,9,0,0,0,0,0,0,0,0,18,20,2843,88,88,8,14,10,63,30,0,108,3247,756,9,3,0,0,0,0,0,0,41,816,400,13,6,0,0,4,3,4,0,17,443,203,9,4,0,0,0,6,8,0,12,244,4,0,0,0,0,0,0,0,0,0,9,604,22,4,0,4,5,7,11,0,27,689,4,0,0,0,0,0
RA73,7,6,4,6,6,5,314,19,10,10,5,6,0,17,3,0,7,68,0,0,0,0,0,0,0,0,0,0,0,196,81,32,7,11,4,26,7,6,12,384,0,0,0,0,0,0,0,0,0,0,5,799,133,84,16,16,14,39,25,17,34,1178,445,27,12,5,6,3,8,0,0,14,514,87,11,0,0,0,0,0,3,0,10,112,12,0,5,0,0,5,8,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,99,11,4,0,4,5,9,5,0,10,148,0,0,0,0,0,0,0,0,0,9,6,545,34,18,5,8,6,19,7,0,30,666,191,5,3,0,0,0,0,0,0,8,201,25,0,4,0,0,0,0,0,0,5,33,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,34,0,8,0,0,0,0,0,0,4,52,0,0,0,0,0,0
RA74,0,0,0,3,0,0,92,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,57,25,10,5,0,0,4,3,0,0,96,0,0,0,0,0,0,0,0,0,0,0,242,50,25,6,3,0,8,3,0,11,352,108,3,3,0,0,0,0,0,0,7,123,25,3,6,0,5,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,6,0,5,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,128,9,8,0,5,0,4,0,0,5,163,38,0,0,0,0,0,0,0,0,7,38,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,52,15,4,0,0,0,0,0,0,3,69,49,4,0,0,0,0,0,0,0,0,58,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,54,4,3,0,0,0,0,0,0,3,63,3,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RA80,27,22,45,37,16,73,6167,526,207,237,54,47,65,172,77,11,54,1439,4,0,0,0,0,0,0,0,0,5,15,5648,769,474,84,65,91,223,117,29,129,7622,4,0,0,0,0,0,0,0,0,14,15,12564,1073,652,105,90,113,236,139,32,233,15240,6622,62,61,8,0,13,3,8,0,89,6873,3899,112,104,18,18,7,52,35,4,59,4304,663,156,258,57,42,47,158,75,7,39,1495,13,0,0,0,0,0,0,0,0,4,11,4568,267,358,75,58,62,205,107,16,96,5815,12,0,0,0,0,0,0,0,0,13,22,11201,328,420,81,59,69,209,116,20,196,12713,4068,14,19,6,5,5,4,3,3,100,4226,2129,43,29,0,7,4,10,11,0,54,2292,693,88,74,17,14,14,53,16,0,21,988,10,0,0,0,0,0,0,0,0,3,13,2830,134,101,22,22,23,64,21,0,82,3296,21,0,0,0,0,0
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,0,0,0,0,0,9,73,31,3,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,86,7,5,0,0,0,0,0,0,13,114,0,0,0,0,0,0,0,0,0,4,4,187,14,14,4,0,0,0,0,0,21,246,74,0,9,0,0,0,3,0,3,3,96,53,0,0,0,0,0,0,0,0,0,59,64,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,4,127,0,0,0,0,0,0,0,0,0,0,0,196,6,9,0,0,0,3,0,0,9,224,46,0,0,0,0,0,0,0,0,3,53,8,0,0,0,0,0,0,0,0,5,16,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,5,40,4,0,0,0,0,0
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
