RA_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
RA54,1033,586,119,219,1545,62,1134,18494,772,25289,46,87,12,0,89,46,13,13,89,3,71,982,27,1332,1066,784,398,159,1477,897,354,377,785,190,1013,6941,742,12107,37,32,19,4,46,25,5,14,30,5,32,303,9596,10059,2274,2674,808,183,2651,1552,493,627,2449,260,2247,26719,11139,48779,136,151,69,18,133,107,18,39,171,26,139,1854,93,2603,227,298,55,30,581,301,116,77,260,34,337,3179,200,4802,745,529,267,97,869,549,214,259,552,136,652,4151,288,7342,257,288,103,15,222,122,41,65,300,24,247,2823,144,4132,408,606,141,5,362,209,30,84,523,15,374,5776,226,8049,292,538,111,0,283,143,45,62,419,13,315,5513,240,7483,132,207,39,3,102,75,15,14,163,9,112,2492,80,3267,81,59,24,19,92,45,19,24,64,11,67,924,9857,11105,2274,2674,808,183,2651,1552,493,627,2449,260,2247,26719,11139,48779,343,185,138,135,376,261,145,134
RA55,0,7,0,0,6,3,5,233,3,277,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,217,220,14,16,8,0,0,9,0,0,8,3,8,244,226,516,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,4,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,0,3,0,0,0,0,0,5,0,4,62,0,79,0,10,0,0,0,5,0,0,0,0,0,89,3,105,3,3,0,0,0,4,0,0,0,0,0,69,4,75,0,0,0,0,0,0,0,0,0,0,0,4,213,217,14,16,8,0,0,9,0,0,8,3,8,244,226,516,0,0,0,0,0,0,0,0
RA59,39,19,7,9,198,5,110,1106,47,1614,25,33,10,0,20,13,0,9,78,0,23,242,12,392,296,179,102,11,139,140,31,79,388,38,276,903,63,1955,3,0,0,0,3,4,5,0,18,0,7,17,3277,3326,399,337,130,11,201,183,33,96,678,40,412,2268,3403,7285,35,35,6,0,16,20,3,8,57,3,40,250,77,472,44,41,15,0,33,28,3,13,130,8,65,229,674,1153,196,125,60,4,102,88,19,53,279,19,169,507,638,1796,41,44,20,0,18,21,0,6,77,8,53,349,60,602,54,38,22,0,27,11,0,10,85,3,53,506,38,749,11,32,3,0,5,4,0,0,22,0,22,260,13,359,7,10,0,0,5,0,0,6,11,0,4,115,3,152,10,11,4,0,3,8,5,0,13,3,6,50,1904,1991,399,337,130,11,201,183,33,96,678,40,412,2268,3403,7285,57,38,17,7,27,36,11,24
RA61,4999,2974,761,1246,19399,598,11889,106853,5455,165093,537,1009,103,6,301,169,58,114,2159,36,817,6654,348,10680,26044,10960,7650,2757,10473,10704,2639,5765,16434,3254,14851,34638,3786,98536,562,203,127,116,269,269,84,162,258,97,191,743,10716,12661,38804,27178,11141,2936,16048,14109,3540,7291,38256,3980,27752,148884,20312,286973,1558,1678,484,148,787,545,175,304,2594,187,1824,12895,774,20537,3141,2502,851,199,1281,1204,297,658,4148,323,2670,12574,869,24110,17816,8577,4731,1580,7313,6771,1768,4073,13464,2089,10257,29165,2319,74065,6077,4488,1761,257,2407,2077,520,950,6236,508,4138,28400,1584,49159,6008,6090,1916,116,2516,1984,411,740,7606,401,5192,40839,2048,66096,2303,2657,779,30,948,690,164,183,2847,130,2320,17919,851,28534,723,693,307,17,299,285,70,89,554,53,592,5254,270,8248,1189,495,313,592,499,559,134,300,803,285,763,1835,11598,16216,38804,27178,11141,2936,16048,14109,3540,7291,38256,3980,27752,148884,20312,286973,7880,3500,2249,2457,3434,3826,1154,2384
RA62,3114,2132,492,1040,8876,394,5892,53579,2840,84657,418,623,68,3,229,121,30,114,1125,34,477,2617,208,4958,19227,8067,5329,1262,7915,7707,1947,4980,11279,2178,9991,22587,2274,67245,498,210,140,65,213,258,68,131,200,83,128,579,8778,10409,27549,16963,7411,1363,11471,10221,2538,6267,21480,2693,16485,79357,14100,167262,1272,1166,359,65,569,421,106,266,1528,136,1123,6543,451,11552,2615,1833,663,83,1021,875,205,611,2584,249,1892,7348,561,15423,14674,6547,3763,873,5949,5701,1490,3847,9207,1572,7550,19507,1855,54042,3704,2766,1039,110,1525,1287,307,667,3253,312,2189,15573,939,27598,3126,2925,905,47,1384,1092,233,476,3265,212,2272,19516,1003,31639,1006,1096,352,7,489,323,73,112,1004,50,870,7545,347,11826,292,248,102,5,154,138,17,59,196,27,204,1899,84,2971,865,382,231,164,388,382,103,226,444,132,383,1421,8851,12208,27549,16963,7411,1363,11471,10221,2538,6267,21480,2693,16485,79357,14100,167262,5749,2628,1583,1095,2558,2626,875,1953
RA63,136,97,23,40,267,11,204,2262,87,3370,21,32,8,0,13,12,0,5,59,0,35,124,9,245,828,343,222,62,364,351,76,202,533,88,440,1015,111,2959,26,12,11,0,12,5,8,10,5,3,0,17,656,730,1170,637,325,68,528,473,110,257,868,95,680,3412,858,7302,57,48,18,0,28,19,8,15,64,0,45,262,20,475,124,68,32,9,54,51,12,25,95,16,70,273,20,621,623,276,158,23,280,267,59,150,435,56,338,853,79,2346,157,97,56,4,51,50,11,19,112,7,77,689,24,1123,115,93,30,3,65,43,8,11,88,5,79,802,30,1213,28,31,12,0,25,13,6,4,33,0,31,341,12,502,13,11,6,0,0,7,0,4,17,0,9,115,6,168,63,19,13,30,19,18,7,17,29,9,27,77,663,855,1170,637,325,68,528,473,110,257,868,95,680,3412,858,7302,257,116,71,55,127,125,38,77
RA64,51,50,9,18,102,11,90,830,47,1288,3,3,0,0,0,3,0,0,3,0,0,21,0,33,187,65,66,17,67,89,31,54,92,29,89,205,22,636,6,0,0,0,0,0,0,5,0,0,0,7,166,185,311,164,114,21,115,144,35,77,198,34,182,1064,235,2138,16,11,10,0,9,5,3,5,13,0,8,66,5,114,32,16,10,0,10,16,3,12,13,0,12,71,5,139,138,63,47,3,58,65,19,46,75,16,65,213,16,557,35,27,6,0,18,23,3,9,31,0,19,229,20,366,57,34,21,0,18,17,3,9,36,12,48,306,16,486,13,7,8,0,9,11,0,0,16,0,13,129,0,177,3,3,0,0,5,0,0,0,13,0,4,42,0,69,15,7,7,14,5,6,5,4,6,3,16,22,169,224,311,164,114,21,115,144,35,77,198,34,182,1064,235,2138,45,18,17,12,11,22,9,23
RA65,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,3,19,0,0,0,0,0,0,0,0
RA69,3,6,0,3,60,5,25,185,11,309,11,24,4,0,0,0,0,6,46,0,13,64,0,139,79,68,17,3,40,36,9,31,170,6,76,171,29,485,4,3,0,0,0,0,3,0,3,0,3,6,301,314,117,119,37,5,53,45,14,38,282,12,117,421,344,1248,7,6,6,0,0,3,0,0,16,4,9,48,13,94,15,30,8,0,6,0,0,3,58,0,18,58,28,171,58,56,18,5,32,32,8,25,142,7,62,138,77,454,12,14,5,0,3,3,0,0,30,0,13,77,8,134,8,7,4,0,0,0,0,0,19,0,8,52,3,106,3,3,0,0,3,3,0,0,7,0,4,21,0,36,0,0,0,0,0,0,0,0,0,0,0,9,0,9,5,6,0,0,3,0,0,0,13,0,5,15,208,247,117,119,37,5,53,45,14,38,282,12,117,421,344,1248,20,18,6,0,7,14,0,8
RA72,2508,1244,340,525,4970,194,4570,53982,2117,74631,135,224,38,0,124,76,22,39,369,20,239,2111,102,3131,3574,1825,1373,453,2435,1958,587,1060,2412,554,3050,10971,1850,23923,83,56,29,11,95,79,34,27,57,21,71,521,9062,9927,7428,7211,2616,491,5161,3347,985,1650,7809,783,7932,67585,13130,111611,460,459,150,49,413,231,57,110,641,67,658,5601,284,8177,502,500,203,38,376,275,91,136,597,65,638,3959,202,6354,2122,1313,737,265,1450,1148,386,708,1728,339,1803,8114,491,15548,987,959,338,51,723,429,111,212,1038,111,1018,9839,386,14292,1685,2117,557,28,1139,652,184,269,2109,102,1919,21924,831,30692,1203,1420,425,8,742,378,93,134,1354,57,1403,13251,502,19286,327,354,139,3,214,155,31,40,248,15,339,3879,151,5465,139,84,61,46,99,77,35,38,92,28,149,1021,10285,11800,7428,7211,2616,491,5161,3347,985,1650,7809,783,7932,67585,13130,111611,1230,607,430,392,862,737,332,446
RA73,938,526,124,169,1473,73,1346,14874,647,21232,41,82,8,0,63,33,12,17,73,8,60,719,40,1050,975,713,365,195,1224,885,388,365,758,219,1066,5832,1016,11122,32,29,8,10,44,31,19,8,28,8,29,238,3421,3814,2079,2457,742,215,2270,1477,544,563,2333,303,2502,21662,5127,37223,110,151,45,22,114,70,24,38,166,20,155,1489,113,2231,161,242,77,47,371,282,106,72,225,44,281,3306,167,4804,608,480,212,92,743,519,242,247,500,128,627,2787,230,5571,294,293,97,37,243,152,54,59,317,38,315,2780,145,4183,479,694,161,6,431,229,56,87,668,35,563,6328,251,9047,301,459,111,0,244,145,33,34,343,20,408,3449,133,5144,82,97,27,0,66,41,13,13,80,3,110,954,33,1377,48,43,14,10,59,42,20,15,42,8,40,572,4057,4877,2079,2457,742,215,2270,1477,544,563,2333,303,2502,21662,5127,37223,350,199,119,170,389,259,169,156
RA74,695,445,93,81,529,30,583,7513,297,10616,32,73,8,5,148,122,35,15,36,8,98,1589,15,2044,271,652,107,114,1544,1226,442,222,501,105,1029,10657,551,15738,9,13,3,0,31,24,12,5,7,8,24,272,2958,3327,668,1429,235,121,2422,1822,583,325,1071,150,1730,20035,3826,31720,24,44,12,4,57,93,16,5,49,3,74,1476,54,1851,101,363,39,31,922,737,214,111,223,30,553,7744,256,10625,194,422,69,73,941,679,247,129,292,76,589,4379,155,7098,74,124,19,5,162,89,32,15,116,5,136,1514,62,2161,131,229,39,0,173,82,34,24,203,14,165,2294,79,3200,103,166,45,0,90,59,12,16,137,4,126,1362,52,1977,25,29,8,0,21,11,3,3,21,0,25,338,13,473,11,50,4,4,58,70,26,16,32,10,62,924,3160,4332,668,1429,235,121,2422,1822,583,325,1071,150,1730,20035,3826,31720,105,154,44,81,369,221,144,75
RA75,0,0,0,0,0,0,0,51,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0,11,0,0,3,0,0,0,0,0,0,55,24,94,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,18,0,21,0,4,0,0,0,0,0,0,0,0,0,22,0,23,0,5,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,23,25,0,11,0,0,3,0,0,0,0,0,0,55,24,94,0,0,0,0,0,0,0,0
RA79,14,11,3,9,47,3,44,336,12,500,9,7,3,0,7,8,0,0,18,0,10,92,6,127,125,105,55,10,106,120,54,46,151,19,123,648,44,1251,7,16,6,0,45,45,24,9,22,0,34,145,880,1174,165,172,81,8,169,175,82,60,231,24,205,1224,945,3052,17,15,8,3,14,11,3,3,19,3,9,156,9,221,20,13,9,0,19,14,11,4,19,3,21,138,42,273,78,76,34,5,105,125,64,38,121,10,115,439,282,1205,20,21,10,0,12,10,0,0,25,0,16,170,13,265,18,18,6,0,7,9,3,5,33,0,22,178,7,276,3,14,8,0,5,0,0,0,15,0,12,91,8,139,0,3,9,0,7,3,0,0,5,0,3,19,0,34,10,3,0,0,3,0,0,0,5,0,7,25,580,625,165,172,81,8,169,175,82,60,231,24,205,1224,945,3052,24,12,8,0,23,25,20,14
RA80,7265,3845,1265,1366,28144,598,22865,163291,5763,247998,445,951,131,10,330,166,63,88,1919,40,951,6031,259,9899,21125,10016,7498,2265,9575,9732,2721,4397,12907,2489,16042,38994,2708,97268,356,114,94,311,156,194,60,69,266,83,365,769,13589,15303,34925,35260,12090,2619,17325,13939,4111,5907,43243,3216,40223,209089,22319,370469,1424,1991,511,126,1095,643,218,266,3160,194,2480,16771,688,25907,2351,2537,829,190,1200,956,276,488,3761,264,2931,13827,698,24667,9403,5837,2685,975,4451,3917,1267,2165,8876,1151,7735,24190,1214,52634,5314,4215,1855,350,2375,2235,612,953,5325,481,4695,27006,1059,45924,7951,9306,2992,311,4032,3155,867,1159,11090,569,10073,58496,2086,95765,5695,8454,2113,87,2868,1883,586,534,8441,293,8675,48203,1639,78441,2154,2665,912,30,1027,842,200,198,2041,120,2907,18712,635,29060,639,255,198,549,275,301,90,148,541,137,723,1875,14297,18074,34925,35260,12090,2619,17325,13939,4111,5907,43243,3216,40223,209089,22319,370469,6286,3170,1966,2119,3054,3208,1114,1755
RA81,11,7,5,4,39,0,30,251,21,394,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,5,5,0,11,8,3,7,15,3,14,32,0,82,0,0,0,0,0,0,0,0,0,0,0,0,46,46,52,48,15,0,24,19,7,7,60,5,40,291,62,528,3,4,0,0,0,3,0,0,5,0,7,18,0,33,0,0,0,0,0,0,0,3,5,0,0,15,0,24,15,3,7,0,3,0,0,3,7,0,7,20,0,58,7,4,0,0,6,5,0,0,5,0,3,42,4,70,10,20,8,0,6,10,0,7,19,0,14,87,5,151,9,15,5,0,4,0,0,0,12,0,10,69,3,109,4,8,0,0,0,0,0,0,6,0,5,21,3,42,0,0,0,0,0,0,0,0,0,0,0,5,46,52,52,48,15,0,24,19,7,7,60,5,40,291,62,528,4,5,3,0,5,3,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,7,3,0,0,47,0,28,125,6,216,0,6,0,0,0,0,0,3,10,0,4,29,0,48,26,25,10,0,9,14,0,4,48,4,27,67,4,169,0,0,0,0,3,0,0,0,0,0,0,3,121,129,42,55,18,0,17,18,0,10,109,6,59,222,136,560,0,3,0,0,6,0,0,0,7,0,3,29,5,49,4,8,3,0,0,3,4,4,15,0,8,42,10,81,11,15,7,0,3,5,0,0,42,0,19,36,13,114,11,11,3,0,3,0,0,0,13,0,11,31,0,66,12,10,0,0,4,0,0,0,4,0,3,47,0,80,0,4,0,0,0,0,0,0,5,0,8,23,0,39,3,0,0,0,0,0,0,0,4,0,8,9,0,21,0,0,0,0,0,0,0,0,3,0,0,3,106,121,42,55,18,0,17,18,0,10,109,6,59,222,136,560,6,8,4,0,0,6,0,6
RA91,10,3,0,0,4,0,4,71,5,93,0,3,0,0,4,0,0,0,0,0,0,3,0,7,9,8,4,8,25,12,4,5,19,3,17,21,5,66,0,0,0,0,0,0,0,0,0,0,0,0,78,80,20,16,7,8,32,17,4,7,29,3,20,91,81,246,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,5,0,0,7,4,0,3,11,4,3,8,0,25,8,6,0,3,18,6,0,0,10,3,12,23,6,55,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,3,0,0,0,0,0,18,0,22,0,4,0,0,4,0,0,0,0,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,6,4,0,0,3,0,0,3,79,89,20,16,7,8,32,17,4,7,29,3,20,91,81,246,6,0,3,4,5,3,0,3
RA94,73,69,24,17,109,8,127,1564,55,2152,0,3,0,0,5,0,0,0,6,0,4,28,4,45,121,63,45,18,77,72,23,30,42,22,102,381,241,1015,0,3,0,0,3,3,0,0,0,0,0,22,462,500,230,214,93,21,160,139,41,47,156,30,229,1994,768,3713,16,18,8,0,15,9,4,6,7,3,10,127,14,208,23,15,8,0,17,16,6,3,19,0,23,146,17,249,84,54,36,14,50,59,12,22,39,15,92,369,17,701,45,28,21,6,22,23,6,6,31,4,42,429,12,604,42,57,12,4,24,26,12,6,43,4,42,531,15,739,18,29,10,0,20,11,3,0,16,0,22,283,14,402,4,0,0,0,4,9,0,0,0,0,3,61,0,85,3,8,4,0,0,0,0,0,0,5,0,36,676,725,230,214,93,21,160,139,41,47,156,30,229,1994,768,3713,43,10,15,18,23,25,9,6
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,0,0,0,0,0
