UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL115030,0,0,0,0,0,0,0,0,20,6,0,0,31,0,0,0,31,0,0,29,19,5,0,0,22,6,0,6,30,3,0,33,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,51,6,0,6,57,9,6,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,51,9,0,9,57,9,6,66,16,0,0,0,16,0,0,0,16,13,0,28,0,0,0,0,0,0,0,0,0,0,4,4,53,10,0,0,65,9,0,9,73,22,3,94
UCL115031,0,0,0,0,0,0,0,0,46,12,0,0,59,0,0,0,59,10,0,64,102,18,0,0,130,0,0,0,130,10,0,137,11,0,5,0,20,0,0,0,20,5,0,21,0,0,0,4,4,0,0,0,4,0,0,3,164,32,13,4,208,0,0,0,208,20,0,231,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,164,32,13,4,209,0,0,0,209,20,0,235,29,4,0,4,35,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,195,37,13,6,244,0,0,0,244,25,0,273
UCL115032,9,0,0,0,9,0,0,8,61,17,4,0,80,0,0,0,80,8,0,92,78,29,3,0,113,0,0,3,120,10,0,132,10,9,19,0,34,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,151,53,23,0,229,0,0,3,234,21,0,255,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,158,53,23,0,237,0,0,3,239,21,0,260,24,15,5,0,47,5,0,5,48,20,0,74,0,0,0,0,0,0,0,0,0,0,3,3,180,68,30,3,283,9,0,9,286,40,3,333
UCL115033,8,0,0,0,8,0,0,12,382,25,9,3,409,0,0,0,409,15,0,431,296,36,6,3,339,0,0,0,339,11,0,355,42,4,5,3,59,0,0,0,59,0,0,62,3,0,0,4,7,0,0,0,7,0,0,7,726,60,19,15,817,0,0,0,816,32,0,847,5,0,0,0,5,0,0,0,5,0,0,5,9,0,0,0,9,0,0,0,9,0,0,9,16,0,0,0,16,0,0,0,16,0,0,16,736,60,19,15,830,0,0,0,826,32,0,860,66,4,0,0,74,3,0,3,73,4,0,77,0,0,0,0,0,0,0,0,0,0,0,0,803,64,21,15,898,4,0,4,902,34,0,937
UCL115034,4,0,0,0,4,0,0,4,65,13,6,0,90,3,0,3,93,3,0,95,71,18,10,5,97,4,0,4,107,7,0,109,39,8,0,0,50,0,0,0,50,0,0,50,0,0,3,0,3,0,0,0,3,0,0,3,176,42,20,6,241,4,0,4,248,11,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,42,20,6,242,4,0,4,248,11,0,260,33,18,4,5,57,0,0,0,57,22,0,85,0,0,0,0,0,0,0,0,0,0,0,4,214,55,20,11,305,4,0,4,310,39,0,350
UCL115035,7,0,0,0,7,0,0,7,260,8,5,0,270,5,0,5,271,15,0,287,221,33,10,0,265,4,0,3,269,10,0,281,36,4,7,0,47,0,0,0,47,0,0,47,0,0,0,4,3,0,0,0,3,0,0,3,514,46,20,7,584,6,0,11,594,25,0,620,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,3,0,8,8,0,0,0,8,0,0,0,7,3,0,13,523,46,20,7,594,6,0,9,600,30,0,632,63,15,3,0,81,3,0,3,85,12,0,99,0,0,0,0,0,0,0,0,0,0,4,4,586,56,23,7,672,12,0,11,681,47,4,731
UCL115036,3,0,0,0,3,3,0,6,95,16,7,4,117,0,0,0,117,10,0,125,77,17,5,0,102,0,0,0,102,11,0,110,15,0,0,0,15,0,0,0,15,7,0,22,5,0,0,0,9,0,0,0,9,0,0,9,192,30,15,5,249,0,0,0,249,19,0,268,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,12,0,0,0,12,3,0,13,10,3,0,0,12,0,0,0,12,3,0,13,201,37,15,5,257,0,0,0,257,26,0,278,46,10,5,0,60,0,0,0,60,24,0,87,0,0,0,0,0,0,0,0,0,0,0,0,243,51,18,5,320,0,0,0,320,56,0,370
UCL115037,5,0,0,0,5,0,0,5,46,9,0,0,60,0,0,0,60,9,0,68,110,16,0,3,122,3,0,3,130,3,0,135,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,156,22,0,3,183,3,0,3,192,17,0,202,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,7,166,22,0,3,193,3,0,3,195,18,0,211,23,0,4,0,23,0,0,0,23,4,0,25,3,0,0,0,3,0,0,0,3,0,0,3,187,28,6,3,216,3,0,3,218,20,0,243
UCL115038,0,0,0,0,0,0,0,0,33,7,0,4,40,0,0,0,40,0,0,40,55,9,0,0,64,0,0,0,64,0,0,65,0,0,0,0,0,0,3,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,90,16,0,4,110,0,0,0,113,0,0,116,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,94,16,0,4,114,0,0,0,119,0,0,120,33,0,0,0,40,8,0,4,48,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,127,19,0,4,151,8,3,9,158,7,0,166
UCL115039,0,0,0,0,0,0,0,0,140,11,15,0,162,0,0,0,164,4,0,169,114,5,8,3,125,0,0,0,125,5,0,138,14,0,3,0,19,0,0,0,19,0,0,19,4,0,0,7,9,0,0,0,9,0,0,9,267,20,24,10,318,0,0,0,325,11,0,331,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,11,0,0,0,11,0,0,11,271,25,24,10,327,0,0,0,332,11,0,338,72,5,0,0,73,3,0,5,77,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,345,25,24,10,403,9,0,4,409,18,0,422
UCL115040,6,0,0,0,6,0,0,7,72,8,6,0,81,0,0,0,81,0,0,81,112,19,3,0,132,0,0,0,132,9,0,137,12,3,0,0,16,0,0,0,16,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,195,28,9,0,235,0,0,0,235,9,3,245,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,8,0,0,0,8,0,0,8,4,9,0,0,8,0,0,0,8,0,0,8,197,41,9,0,237,0,0,0,237,9,3,249,35,12,0,0,49,6,0,6,51,7,0,57,0,0,0,0,0,0,0,0,0,0,3,3,230,46,9,0,288,6,0,6,289,11,3,307
UCL115041,0,0,0,0,0,0,0,0,87,9,8,0,103,0,8,8,104,4,0,110,77,8,0,7,91,0,0,0,91,0,0,97,9,0,0,0,11,0,0,0,12,0,0,12,4,0,0,9,9,0,0,0,9,0,0,9,172,23,7,10,214,0,8,10,216,3,0,221,0,3,0,0,3,4,0,4,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,4,6,0,0,6,172,25,7,10,217,3,8,8,225,3,0,226,47,7,0,8,68,0,3,3,68,18,0,84,0,0,0,0,0,0,0,0,0,0,4,4,218,33,8,17,278,8,11,18,298,19,4,320
UCL115042,3,0,0,0,3,0,0,4,75,18,0,0,97,0,0,0,97,3,0,100,89,5,0,0,91,0,0,0,91,0,0,98,13,0,7,0,15,0,0,0,15,0,0,15,0,0,0,4,4,0,0,0,4,0,0,4,174,27,9,4,214,0,0,0,214,3,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,25,9,4,217,0,0,0,217,3,0,221,35,0,0,0,32,0,0,0,32,11,0,42,0,0,0,0,0,0,0,0,0,0,3,3,201,33,9,4,247,0,0,0,247,10,4,264
UCL115043,0,0,0,0,0,0,0,0,46,7,0,5,60,0,0,0,57,0,0,64,57,15,0,0,79,4,0,4,78,3,0,85,10,4,0,0,18,0,0,0,18,0,0,18,3,0,0,0,3,0,0,0,3,0,0,3,120,29,0,5,157,4,0,7,162,8,0,164,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,3,0,0,5,123,29,0,5,160,0,0,5,164,11,0,176,18,7,8,0,30,0,0,0,30,11,0,41,0,0,0,0,0,0,0,0,0,0,0,0,145,36,10,5,193,0,0,5,196,17,0,210
UCL115044,4,0,0,0,4,0,0,4,45,12,0,0,61,0,0,0,64,0,0,64,52,14,0,0,70,0,0,0,70,4,0,74,9,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,108,31,0,0,143,0,0,0,148,4,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,109,31,0,0,143,0,0,0,144,7,0,151,30,18,5,0,53,11,0,11,64,7,4,75,0,0,0,0,0,0,0,0,0,0,3,3,141,43,4,0,197,11,0,7,206,14,6,229
UCL115045,0,0,0,0,0,0,0,0,24,6,0,0,32,0,0,0,32,0,0,33,28,10,0,0,40,0,0,0,40,9,0,46,4,0,0,0,4,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,20,0,0,75,0,0,0,75,13,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,20,0,0,75,0,0,0,75,13,0,85,6,3,6,0,16,0,0,0,16,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,63,25,6,0,90,0,0,0,90,15,0,110
UCL115046,0,0,0,0,0,0,0,0,62,8,0,0,73,0,0,0,71,7,0,78,94,22,3,5,121,0,4,4,125,7,0,127,3,0,3,0,9,0,0,0,9,0,0,9,0,0,0,5,5,0,0,0,5,0,0,8,164,32,4,10,204,0,4,3,209,9,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,164,32,4,10,204,0,4,3,209,7,0,217,37,3,0,0,40,0,0,0,40,18,0,60,0,0,0,0,0,0,0,0,0,0,0,0,199,33,12,10,251,0,4,3,251,26,0,281
UCL115047,0,0,0,0,0,0,0,0,65,5,3,0,70,0,0,0,70,8,0,75,90,22,7,0,120,0,0,0,119,0,0,122,9,0,0,0,13,0,0,0,13,0,0,13,0,0,0,3,3,0,0,0,3,0,0,3,165,31,11,3,207,0,0,0,214,10,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,30,11,3,211,0,0,0,210,10,0,217,28,6,0,0,36,0,0,0,36,14,0,50,0,0,0,0,0,0,0,0,0,0,0,0,192,37,11,3,246,0,0,0,250,23,0,267
UCL115048,0,0,0,0,3,0,0,3,67,15,0,0,82,0,0,0,84,9,0,94,141,25,6,4,170,9,0,9,172,5,0,179,32,10,3,3,53,4,0,4,55,0,0,56,0,0,0,0,0,0,0,0,0,3,0,4,240,46,9,3,301,9,0,9,310,16,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,7,0,0,0,8,0,0,0,8,0,0,11,255,53,9,3,311,9,0,9,323,22,0,341,41,5,0,0,49,0,0,0,48,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,295,56,9,10,357,13,0,13,371,30,0,402
UCL115049,0,0,0,0,0,0,0,0,55,5,0,0,57,5,0,5,64,0,0,63,34,6,0,0,40,0,0,0,40,0,0,42,3,0,5,0,14,0,0,0,14,0,0,14,0,0,0,3,3,0,0,0,3,0,0,3,94,12,5,6,114,5,0,5,120,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,12,5,6,115,5,0,5,123,0,0,124,27,4,7,0,34,0,0,0,34,12,0,38,0,0,0,0,0,0,0,0,0,0,0,0,117,17,9,6,147,5,0,5,154,11,0,165
UCL115050,0,0,0,0,0,0,0,3,117,9,0,0,127,0,0,0,127,14,0,140,167,41,3,0,215,0,0,0,215,5,0,216,14,3,4,0,24,0,0,0,24,0,0,25,9,0,0,0,6,0,0,0,6,5,0,10,304,56,10,9,374,0,0,0,374,18,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,56,10,9,372,0,0,0,372,18,0,391,40,4,6,0,48,0,0,0,48,13,0,60,5,0,0,0,5,0,0,0,5,0,0,5,343,61,13,3,419,0,0,0,419,31,0,457
UCL115051,0,0,0,0,0,0,0,0,46,13,0,0,54,0,0,0,54,0,0,54,108,13,0,0,118,0,0,0,118,0,0,122,0,3,0,0,7,0,0,0,7,0,0,9,0,0,0,4,4,0,0,0,4,6,0,8,152,28,0,4,180,0,0,0,180,7,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,27,0,4,182,0,0,0,182,7,0,191,27,11,0,10,46,0,0,0,46,7,0,56,0,0,0,0,0,0,0,0,0,0,3,3,182,36,0,13,231,0,0,0,231,13,3,245
UCL115052,0,0,0,0,0,0,0,0,60,0,0,0,61,0,0,0,61,0,0,61,69,14,0,0,89,0,0,0,89,7,0,89,6,3,4,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,134,18,4,0,162,0,0,0,162,3,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,6,0,0,6,10,0,0,5,5,0,0,0,5,0,0,5,142,18,4,7,171,0,0,0,171,3,0,174,29,0,0,5,37,0,0,0,37,7,0,38,0,0,0,0,0,0,0,0,0,0,3,3,173,23,4,5,204,0,0,0,204,12,3,218
UCL115053,0,0,0,0,0,0,0,0,11,6,0,0,17,0,0,0,17,3,0,19,37,12,0,0,52,0,0,0,52,3,0,57,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,16,0,0,71,0,0,0,71,13,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,0,0,71,0,0,0,71,13,0,85,9,3,6,0,22,0,0,0,22,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,66,21,4,0,91,0,0,0,91,23,0,113
UCL115054,0,0,0,0,0,0,0,3,68,7,10,0,79,0,0,0,79,7,0,85,61,9,3,0,74,0,0,0,74,4,0,80,7,9,4,0,18,3,0,3,20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,131,26,17,0,175,3,0,3,174,15,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,26,17,0,175,3,0,3,174,14,0,191,24,5,0,0,29,0,0,0,29,0,0,29,0,0,3,0,3,0,0,0,3,0,7,5,159,28,22,0,207,3,0,3,210,14,7,230
UCL115055,5,0,0,0,5,0,0,0,44,3,0,0,49,0,0,0,49,6,0,57,96,6,7,0,107,0,0,0,107,7,0,117,15,4,0,0,16,0,0,0,16,0,0,16,0,0,0,0,3,0,0,0,3,0,0,3,160,14,3,0,181,0,0,0,181,16,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,14,3,0,181,0,0,0,181,16,0,193,57,6,4,0,58,0,0,0,58,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0,213,16,9,0,242,0,0,0,242,27,0,267
UCL115056,0,0,0,0,0,0,0,0,63,8,0,0,70,0,0,0,70,17,0,82,79,15,4,8,108,0,0,0,108,7,0,117,15,0,3,0,16,0,0,0,16,0,0,16,0,0,0,12,12,0,0,0,12,0,0,12,158,24,12,20,213,0,0,0,212,20,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,4,0,0,6,0,0,6,158,24,12,20,214,0,0,7,216,20,0,235,45,10,0,0,57,5,0,5,64,16,0,81,0,0,0,0,0,0,0,0,0,0,7,7,201,31,13,20,267,10,0,15,281,36,7,324
UCL115057,0,0,0,0,0,0,0,0,71,17,0,0,89,0,0,0,90,7,0,95,97,29,0,0,128,0,0,0,124,7,0,139,8,9,0,0,26,0,0,0,26,0,0,23,0,0,0,7,7,0,0,0,7,0,0,7,181,48,3,11,244,0,0,0,243,16,0,263,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,181,48,3,11,245,0,0,0,248,16,0,261,31,9,0,6,57,0,0,0,57,13,0,69,0,0,0,0,0,0,0,0,0,0,0,0,215,61,6,19,301,0,0,0,300,32,4,336
UCL115058,5,0,0,0,5,0,0,5,23,10,0,0,31,0,0,0,38,6,0,39,42,9,0,0,52,0,0,0,55,0,0,55,8,3,0,0,5,0,0,0,10,3,0,8,0,0,0,3,3,0,0,0,3,0,0,3,74,21,0,3,95,0,0,4,103,6,0,108,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,76,21,0,3,97,0,0,4,100,6,0,109,10,3,0,0,19,0,0,0,19,0,0,22,3,0,0,0,3,0,0,0,3,0,0,3,92,30,0,3,123,0,0,4,123,5,0,132
UCL115059,0,0,0,0,0,0,0,0,56,8,0,0,59,0,0,0,59,0,0,59,59,10,0,10,81,0,0,0,81,0,0,82,8,0,0,0,8,0,0,0,8,0,0,8,0,0,5,0,5,0,0,0,5,0,0,5,118,13,5,10,154,0,0,0,154,0,0,156,0,0,0,0,0,4,0,4,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,4,125,13,5,10,151,4,0,4,159,4,0,160,18,0,4,0,27,0,0,0,27,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,145,16,7,11,179,4,0,4,180,11,0,194
UCL115060,0,0,0,0,0,0,0,0,137,4,3,0,143,0,0,0,143,10,0,156,150,7,0,5,160,0,0,0,162,8,0,170,17,0,3,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,303,8,3,6,325,0,0,0,325,22,0,350,9,0,0,0,9,0,0,0,9,0,0,9,5,0,0,0,5,0,0,0,5,0,0,5,13,0,0,0,13,0,0,0,13,0,0,13,317,8,3,6,339,0,0,0,340,22,0,360,71,3,0,7,82,0,3,3,82,19,0,95,0,0,0,0,0,0,0,0,0,0,6,6,390,9,3,14,418,0,3,5,421,33,6,455
UCL115061,0,0,0,0,0,0,0,0,26,4,0,0,29,0,0,0,29,6,0,38,27,12,0,0,38,0,0,0,40,3,0,47,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,59,19,0,0,79,0,0,0,84,8,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,19,0,0,79,0,0,0,84,8,0,91,15,9,0,0,15,0,0,0,15,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,70,21,0,0,99,0,0,0,98,13,0,117
UCL115062,9,0,0,0,9,0,0,9,56,16,4,0,70,0,0,0,70,9,0,76,84,23,3,0,114,0,0,0,114,0,0,114,15,0,3,0,25,0,0,0,25,0,0,25,4,0,0,0,4,0,0,0,4,0,0,4,161,42,15,0,213,0,0,0,213,9,0,221,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,167,42,15,0,216,0,0,0,216,9,0,226,32,9,0,0,41,0,0,0,41,10,0,50,8,0,0,0,8,0,0,0,8,0,4,8,199,48,15,0,267,0,0,0,267,13,4,281
UCL115063,10,0,0,0,10,0,0,10,71,4,0,0,73,0,0,0,73,13,0,87,105,14,4,0,125,0,0,0,125,0,0,125,10,0,6,0,21,0,0,0,21,0,0,21,0,0,0,4,4,0,0,0,4,0,0,4,189,18,14,4,228,0,0,0,228,13,0,232,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,0,4,0,0,4,187,16,14,4,227,0,0,0,227,13,0,234,28,0,4,0,37,0,0,0,37,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,219,25,17,4,262,0,0,0,262,14,0,274
UCL115064,13,0,0,0,17,4,0,20,194,21,7,0,225,0,3,3,227,6,0,238,343,49,14,0,406,4,3,6,416,8,0,424,39,8,0,0,52,0,0,0,52,0,0,52,3,0,0,3,8,0,0,0,8,0,0,8,586,79,21,5,690,4,5,12,702,16,0,715,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,9,0,0,0,9,0,0,9,6,0,5,0,9,0,0,0,9,0,0,9,590,83,27,5,698,4,5,12,711,16,0,729,77,17,7,0,97,0,3,6,104,13,0,121,5,0,0,0,5,0,0,0,5,0,0,5,667,93,31,5,800,5,10,12,819,30,3,845
UCL115065,0,0,0,0,0,0,0,0,67,0,0,0,67,0,0,0,67,3,0,70,60,11,0,0,78,0,3,3,79,3,0,82,17,0,0,0,13,0,0,0,13,0,0,20,4,0,0,0,4,0,0,0,4,0,0,4,137,15,0,0,156,0,3,3,163,7,0,168,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,7,0,0,7,151,15,0,0,163,0,3,3,165,7,0,181,20,0,0,0,26,4,0,4,23,4,0,28,0,0,0,0,0,0,0,0,0,0,4,4,167,15,0,3,189,4,3,8,196,11,8,211
