UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL115128,..,5,28,7,10,15,10,0,0,72,..,3,5,7,18,32,26,17,4,112,4,4,0,3,4,8,4,0,0,31,205,104,118,159,194,169,105,38,11,1096,..,0,48,135,159,132,90,36,11,604,..,19,51,87,66,49,34,10,0,304,..,0,3,22,43,25,11,6,5,108,396,..,..,..,..,..,..,..,..,396,..,77,..,..,..,..,..,..,..,77,..,50,30,12,6,4,0,0,0,98,..,6,6,0,4,4,12,4,3,32,..,14,16,7,10,0,0,0,0,50,..,14,47,20,13,18,11,0,0,129,..,0,14,16,30,42,44,20,6,178,4,5,3,3,6,17,8,0,0,45,399,182,220,291,342,287,200,75,20,2025
UCL115129,..,0,0,0,0,6,6,0,0,9,..,0,0,0,4,4,14,7,5,34,4,0,3,0,0,0,0,0,0,15,142,90,75,92,107,135,93,32,12,778,..,4,49,111,186,203,144,53,6,754,..,6,29,32,28,33,9,5,0,146,..,0,3,6,10,11,0,0,6,32,281,..,..,..,..,..,..,..,..,281,..,110,..,..,..,..,..,..,..,110,..,53,35,13,6,0,0,0,0,103,..,5,3,0,0,0,4,0,3,14,..,10,15,4,0,4,0,0,0,29,..,0,10,5,9,6,8,0,0,31,..,0,5,11,11,9,19,16,4,79,4,0,9,0,0,4,4,0,0,24,282,188,156,172,255,275,183,79,15,1607
UCL115130,..,0,0,0,5,14,9,0,0,35,..,0,9,7,16,46,80,90,64,309,3,9,3,0,6,4,3,8,4,40,166,97,110,105,140,306,370,247,103,1651,..,5,71,101,109,308,472,286,48,1407,..,26,46,45,53,70,55,12,0,311,..,0,18,25,27,26,7,16,14,129,330,..,..,..,..,..,..,..,..,330,..,69,..,..,..,..,..,..,..,69,..,68,44,21,24,26,0,0,0,187,..,3,5,0,7,13,14,13,4,63,..,8,3,3,3,6,0,0,0,28,..,0,4,0,9,25,23,8,6,85,..,3,13,19,53,113,199,149,92,633,6,13,3,3,6,17,16,18,5,87,342,206,223,225,288,609,787,498,169,3332
UCL115131,..,5,0,0,17,11,8,8,0,48,..,4,8,3,18,41,71,61,27,220,7,6,3,0,0,6,6,5,0,33,317,182,209,182,237,309,314,174,51,1981,..,0,117,187,209,341,383,215,28,1487,..,56,113,54,76,68,31,4,0,406,..,0,43,50,60,34,19,11,12,228,648,..,..,..,..,..,..,..,..,648,..,134,..,..,..,..,..,..,..,134,..,159,56,38,32,10,3,0,0,290,..,21,9,9,10,11,15,13,7,99,..,9,12,4,10,0,0,0,0,35,..,12,13,6,17,21,23,11,0,106,..,6,20,18,49,88,123,89,39,440,10,4,13,12,5,7,6,5,0,59,658,410,395,370,468,592,609,350,90,3937
UCL115132,..,4,7,0,0,9,8,4,0,21,..,4,0,6,12,30,44,23,12,134,0,5,4,0,0,6,0,3,0,24,63,50,51,64,91,149,145,76,28,720,..,0,35,56,88,152,168,84,24,605,..,3,31,20,15,23,20,8,4,124,..,0,0,14,19,15,3,8,0,59,159,..,..,..,..,..,..,..,..,159,..,37,..,..,..,..,..,..,..,37,..,28,19,4,14,4,0,0,0,67,..,6,5,4,0,0,3,5,4,21,..,5,0,0,3,0,0,0,0,7,..,4,9,0,3,13,8,3,0,40,..,8,10,14,28,61,68,42,26,257,8,5,3,8,5,11,4,3,0,41,159,94,113,123,171,282,281,145,58,1430
UCL115133,..,3,3,0,3,7,7,4,6,26,..,0,0,3,5,27,81,97,43,262,0,0,0,0,4,3,6,0,0,22,79,47,39,65,77,211,469,338,84,1401,..,0,20,50,72,255,658,477,94,1620,..,0,21,26,28,23,36,25,0,160,..,0,9,16,16,6,3,9,8,64,150,..,..,..,..,..,..,..,..,150,..,33,..,..,..,..,..,..,..,33,..,39,8,9,8,15,0,0,0,80,..,14,0,0,0,6,17,4,6,46,..,5,4,4,0,0,0,0,0,9,..,0,7,4,9,17,16,10,0,59,..,0,13,10,14,49,119,144,66,408,0,5,0,0,10,3,10,4,0,36,150,97,75,125,148,374,858,663,175,2665
UCL115134,..,7,5,3,7,3,0,0,0,24,..,13,16,9,37,57,90,80,60,365,3,5,0,0,3,8,0,6,0,34,321,182,186,167,222,272,278,199,93,1917,..,10,125,175,186,284,325,200,48,1355,..,66,90,32,37,44,21,14,0,302,..,12,34,43,54,24,11,12,7,195,649,..,..,..,..,..,..,..,..,649,..,102,..,..,..,..,..,..,..,102,..,126,43,25,22,14,3,0,0,231,..,16,18,5,3,14,7,3,9,81,..,8,4,5,5,0,0,3,0,23,..,9,10,3,9,8,0,4,0,40,..,23,35,28,68,104,163,120,78,627,7,12,14,7,8,13,8,7,0,85,654,383,373,321,393,503,544,367,146,3692
UCL115135,..,9,5,3,0,3,4,9,0,33,..,5,13,11,14,64,90,64,30,290,0,7,4,0,3,5,3,7,0,26,198,124,93,119,121,210,285,151,47,1355,..,4,47,85,95,165,312,175,17,903,..,27,40,37,38,26,22,16,3,205,..,11,26,34,32,24,15,4,9,156,385,..,..,..,..,..,..,..,..,385,..,70,..,..,..,..,..,..,..,70,..,56,28,13,15,4,0,0,0,118,..,21,7,4,3,0,8,8,3,54,..,3,0,3,0,7,0,0,0,13,..,17,13,3,5,11,12,8,0,68,..,15,28,23,38,110,152,91,49,517,7,9,4,4,3,5,6,4,0,42,391,226,191,203,233,356,533,306,86,2529
UCL115136,..,0,0,0,0,0,6,0,0,5,..,0,0,4,5,15,13,12,4,59,10,0,0,0,0,0,0,0,0,14,240,127,144,167,141,109,83,38,10,1053,..,3,150,233,186,151,108,40,6,880,..,11,54,47,38,18,0,3,0,169,..,3,4,17,29,9,4,0,0,74,507,..,..,..,..,..,..,..,..,507,..,123,..,..,..,..,..,..,..,123,..,102,52,11,9,5,0,0,0,175,..,5,0,0,0,0,11,7,0,29,..,10,5,0,4,0,0,0,0,21,..,5,3,0,3,0,10,3,0,18,..,0,11,11,11,20,26,14,6,104,9,0,0,0,0,0,4,0,0,22,518,260,283,324,279,208,165,68,20,2122
UCL115137,..,4,0,0,0,5,4,4,0,15,..,8,12,15,22,49,53,36,17,211,0,8,5,0,0,0,0,0,0,24,399,260,293,231,213,247,221,118,37,2024,..,13,241,240,245,280,270,129,29,1447,..,109,195,71,46,25,21,8,0,487,..,6,24,56,59,18,11,6,6,188,797,..,..,..,..,..,..,..,..,797,..,137,..,..,..,..,..,..,..,137,..,178,64,21,9,10,4,0,0,282,..,16,12,8,10,14,17,3,8,83,..,8,8,11,0,0,0,0,0,33,..,3,9,5,4,8,3,6,0,37,..,4,31,24,38,75,86,64,28,353,4,17,10,3,6,0,8,0,0,40,802,492,593,433,421,444,423,224,72,3898
UCL115138,..,11,4,0,0,0,0,0,0,19,..,3,5,3,5,15,17,10,0,61,4,0,0,0,0,0,0,0,0,5,293,138,190,158,121,88,84,25,5,1092,..,4,139,177,138,90,105,37,4,698,..,62,139,37,38,15,3,0,0,290,..,5,23,29,24,7,6,6,0,101,535,..,..,..,..,..,..,..,..,535,..,75,..,..,..,..,..,..,..,75,..,48,14,12,6,3,0,0,0,82,..,14,13,0,5,4,11,3,0,57,..,14,8,6,5,0,0,0,0,35,..,16,7,3,3,3,0,0,0,41,..,11,26,14,18,22,23,10,0,111,3,0,6,3,0,0,0,0,0,18,541,248,374,286,228,143,151,57,8,2038
UCL115139,..,4,0,0,5,3,7,6,0,29,..,0,4,7,17,26,46,47,22,167,6,0,0,0,6,6,14,3,0,30,162,64,82,103,105,167,242,130,36,1097,..,3,63,122,94,169,302,150,29,948,..,15,56,22,25,43,37,5,0,205,..,5,6,14,19,12,3,3,0,73,314,..,..,..,..,..,..,..,..,314,..,60,..,..,..,..,..,..,..,60,..,36,15,7,11,5,0,0,0,75,..,5,0,0,8,6,17,0,5,42,..,3,3,0,3,0,4,3,0,21,..,3,11,5,10,7,18,3,0,51,..,6,9,15,35,52,92,82,38,324,7,9,4,5,3,8,21,8,0,54,314,143,175,187,208,311,494,261,75,2157
UCL115140,..,0,0,0,0,4,3,0,0,12,..,4,3,4,3,17,26,21,8,89,4,4,0,0,0,0,3,0,0,15,96,33,51,56,67,98,125,44,17,574,..,0,20,58,60,98,169,53,8,469,..,11,37,18,24,23,14,0,0,127,..,0,6,12,9,9,3,0,3,48,170,..,..,..,..,..,..,..,..,170,..,28,..,..,..,..,..,..,..,28,..,24,14,9,9,4,0,0,0,57,..,6,10,0,4,0,9,3,0,25,..,0,0,0,0,3,0,0,0,8,..,0,4,4,0,4,5,0,0,25,..,4,10,9,8,31,49,31,18,153,9,4,5,3,0,4,5,0,0,32,179,71,102,112,124,177,261,89,29,1142
UCL115141,..,0,0,0,0,0,0,0,0,9,..,3,3,9,15,17,17,20,10,96,5,9,0,0,0,0,3,0,0,28,136,63,72,87,97,90,88,61,22,715,..,4,58,66,88,109,117,76,15,525,..,16,26,28,28,10,4,0,0,116,..,0,18,29,27,8,4,0,0,87,244,..,..,..,..,..,..,..,..,244,..,48,..,..,..,..,..,..,..,48,..,34,23,10,3,0,0,0,0,71,..,5,3,0,0,7,5,4,0,24,..,4,0,0,0,3,0,0,0,12,..,9,4,0,4,7,0,0,4,21,..,11,12,11,30,40,35,27,15,187,8,9,0,5,0,0,8,5,3,45,249,138,138,152,179,191,175,120,38,1386
UCL115142,..,0,0,0,7,9,4,0,0,24,..,0,6,7,19,44,68,41,22,207,0,3,4,0,5,8,9,7,0,29,100,47,55,65,120,232,294,146,44,1098,..,0,30,57,102,227,381,192,43,1016,..,3,32,19,37,73,43,10,0,218,..,0,9,12,15,11,11,4,3,69,176,..,..,..,..,..,..,..,..,176,..,45,..,..,..,..,..,..,..,45,..,41,18,22,3,3,3,0,0,90,..,4,0,0,5,8,11,5,0,22,..,0,3,0,0,0,0,0,0,9,..,0,4,6,7,15,17,3,0,48,..,6,9,20,36,97,105,74,27,366,6,8,13,0,3,12,12,7,0,59,179,109,121,124,204,435,574,298,76,2121
UCL115143,..,5,0,0,4,3,9,0,0,24,..,9,9,5,19,37,60,35,13,185,4,3,0,0,0,3,5,4,0,26,213,116,129,130,139,173,175,88,22,1187,..,7,71,108,120,176,179,81,9,750,..,17,73,52,38,25,21,3,0,234,..,3,28,34,31,19,9,10,6,137,416,..,..,..,..,..,..,..,..,416,..,74,..,..,..,..,..,..,..,74,..,74,18,12,13,10,0,0,0,127,..,12,6,0,0,11,9,10,0,47,..,7,3,10,5,0,0,0,0,18,..,4,0,3,7,8,10,0,0,40,..,9,23,22,38,71,94,64,11,324,8,9,3,4,6,3,10,6,0,49,422,221,231,243,258,321,327,165,30,2223
UCL115144,..,0,0,0,10,11,9,3,3,37,..,0,6,10,14,43,62,56,31,221,0,3,7,0,4,9,0,3,0,24,172,77,103,105,128,230,234,147,63,1261,..,0,49,84,104,194,270,151,38,884,..,13,49,40,31,45,33,11,0,231,..,6,29,29,42,30,9,9,9,168,354,..,..,..,..,..,..,..,..,354,..,56,..,..,..,..,..,..,..,56,..,55,21,20,14,16,0,0,0,128,..,8,3,0,4,10,11,7,16,64,..,8,0,4,0,6,3,0,0,22,..,5,0,5,19,25,25,8,5,101,..,0,17,14,39,87,119,100,40,416,3,6,10,4,3,11,11,4,0,49,363,160,195,200,268,423,478,288,105,2469
UCL115145,..,0,4,0,0,3,8,0,0,20,..,0,7,8,5,27,47,35,8,140,0,0,3,0,3,0,3,0,0,14,109,49,79,63,79,130,146,78,13,753,..,3,33,53,78,119,159,82,13,550,..,3,31,30,18,33,24,8,0,149,..,0,9,16,12,10,6,0,0,58,184,..,..,..,..,..,..,..,..,184,..,42,..,..,..,..,..,..,..,42,..,33,14,7,3,0,0,0,0,58,..,3,7,0,0,12,3,6,0,24,..,4,11,0,0,0,0,0,0,21,..,5,8,5,3,4,16,5,0,40,..,4,8,8,16,48,64,56,14,208,8,7,6,0,6,0,7,0,0,25,194,95,126,120,142,221,274,153,30,1353
UCL115146,..,0,3,0,6,7,5,0,0,22,..,7,12,8,15,40,59,48,34,216,0,9,3,5,6,5,15,3,3,43,156,93,93,130,173,224,255,134,70,1325,..,0,39,138,179,284,296,157,24,1126,..,9,42,37,47,42,23,6,0,211,..,3,12,28,18,14,7,7,11,100,302,..,..,..,..,..,..,..,..,302,..,84,..,..,..,..,..,..,..,84,..,54,32,10,14,5,5,0,0,119,..,8,4,3,3,5,7,4,11,49,..,4,0,0,0,7,0,0,0,15,..,4,11,0,12,11,13,5,0,59,..,10,27,17,35,69,95,66,44,360,5,12,8,6,12,8,15,7,10,81,304,195,183,240,325,448,466,246,97,2499
UCL115147,..,0,6,0,0,0,0,0,0,5,..,0,6,0,10,9,18,5,0,51,4,0,0,0,0,0,0,0,0,12,144,43,87,87,65,69,86,23,0,613,..,0,71,126,77,81,120,33,3,509,..,12,49,24,7,7,9,0,0,109,..,0,5,13,12,7,0,4,0,37,252,..,..,..,..,..,..,..,..,252,..,32,..,..,..,..,..,..,..,32,..,22,3,7,0,0,0,0,0,39,..,0,0,0,0,3,4,3,0,14,..,0,0,0,0,0,0,0,0,0,..,0,9,0,0,0,0,0,0,10,..,0,11,3,16,14,25,8,0,68,0,0,0,5,0,0,0,0,0,17,259,73,156,168,109,119,159,46,7,1089
UCL115148,..,3,0,0,0,0,0,0,0,10,..,3,4,5,8,17,34,46,9,127,0,0,0,0,0,3,0,4,0,13,96,49,59,48,65,79,112,100,20,624,..,0,35,48,60,95,134,96,15,483,..,27,40,17,14,17,12,8,0,129,..,0,10,9,13,7,6,0,3,49,172,..,..,..,..,..,..,..,..,172,..,34,..,..,..,..,..,..,..,34,..,22,10,3,0,4,0,0,0,43,..,0,0,4,8,4,0,4,0,20,..,0,0,0,0,0,0,0,0,0,..,3,3,0,3,6,8,0,0,16,..,10,9,10,26,33,59,66,18,230,0,6,4,0,3,4,0,4,3,23,173,102,105,93,123,164,215,177,39,1204
UCL115149,..,0,7,0,5,0,0,0,0,14,..,0,8,5,6,9,3,7,0,41,8,4,4,4,6,6,0,0,0,31,78,33,79,36,42,52,27,9,4,359,..,3,43,28,22,35,30,5,0,166,..,5,27,12,12,11,3,0,0,83,..,0,25,6,12,4,0,4,0,56,164,..,..,..,..,..,..,..,..,164,..,12,..,..,..,..,..,..,..,12,..,12,11,5,5,0,0,0,0,28,..,13,8,0,0,6,3,3,0,31,..,0,0,0,0,3,0,0,0,12,..,0,6,0,6,0,4,0,0,26,..,7,12,10,18,28,15,7,4,96,10,5,9,6,12,13,3,0,0,54,172,64,141,74,84,109,70,23,4,732
UCL115150,..,0,0,4,8,5,0,0,0,14,..,0,0,0,5,17,19,14,5,62,3,6,0,0,0,0,0,0,0,12,105,57,56,72,70,80,69,29,7,551,..,0,47,89,80,81,76,14,0,389,..,14,22,16,7,8,11,0,0,72,..,0,14,5,16,9,9,0,0,52,196,..,..,..,..,..,..,..,..,196,..,47,..,..,..,..,..,..,..,47,..,41,16,5,4,4,0,0,0,70,..,5,4,4,3,10,4,3,6,31,..,0,4,9,6,5,0,0,0,22,..,0,6,4,6,3,5,0,0,19,..,0,7,7,14,27,34,21,5,107,3,0,0,0,0,3,4,0,0,19,203,113,112,145,124,143,134,45,9,1032
UCL115151,..,3,6,0,0,7,0,0,0,24,..,4,9,3,0,23,24,19,7,88,4,9,0,0,7,4,0,0,0,29,224,109,126,109,132,126,110,41,17,990,..,0,95,124,139,122,123,46,11,660,..,27,62,33,34,26,14,0,0,197,..,0,25,23,31,11,7,4,6,109,434,..,..,..,..,..,..,..,..,434,..,72,..,..,..,..,..,..,..,72,..,79,33,11,8,13,0,0,0,138,..,10,7,0,3,11,7,4,3,44,..,7,0,0,3,0,0,0,0,9,..,4,14,6,3,10,6,0,0,40,..,4,14,22,13,55,58,37,10,206,7,11,5,0,3,6,3,0,0,40,441,223,249,221,246,256,220,93,28,1965
UCL115152,..,0,0,6,0,4,0,0,0,13,..,0,3,4,11,14,23,30,15,106,7,0,4,0,0,3,3,5,0,21,79,40,55,45,54,79,82,63,13,515,..,0,29,36,42,87,81,46,7,336,..,9,22,13,27,14,4,5,0,91,..,0,15,10,10,5,4,4,3,56,175,..,..,..,..,..,..,..,..,175,..,20,..,..,..,..,..,..,..,20,..,22,18,9,4,0,4,0,0,55,..,7,0,0,0,0,3,0,0,14,..,3,0,0,0,0,0,0,0,8,..,5,0,3,0,4,7,5,0,29,..,6,11,5,23,32,47,44,16,186,0,7,4,0,5,9,10,9,0,37,174,75,104,76,112,156,167,106,27,1001
UCL115153,..,8,4,0,9,3,0,0,0,11,..,3,11,4,8,31,19,30,14,114,5,4,0,0,0,0,0,0,0,18,99,62,69,46,60,97,79,57,22,584,..,0,33,46,49,63,91,48,11,346,..,20,27,7,18,21,12,7,0,113,..,9,22,8,12,6,8,4,3,76,192,..,..,..,..,..,..,..,..,192,..,17,..,..,..,..,..,..,..,17,..,24,8,7,5,13,0,0,0,59,..,12,4,0,4,4,3,4,0,34,..,0,3,3,0,0,0,0,0,6,..,11,7,0,7,7,0,0,0,32,..,13,16,11,21,51,43,42,16,224,9,12,5,0,4,7,0,0,0,34,200,118,119,90,123,173,163,109,37,1137
UCL115154,..,0,6,0,4,3,0,0,0,20,..,6,5,4,11,21,14,26,7,93,0,5,0,0,0,4,0,4,5,17,139,73,84,81,60,104,71,51,12,676,..,6,56,74,50,102,77,38,5,407,..,21,49,23,15,19,5,6,0,144,..,9,16,20,20,11,7,7,0,92,300,..,..,..,..,..,..,..,..,300,..,48,..,..,..,..,..,..,..,48,..,43,18,10,6,6,0,0,0,74,..,12,0,0,3,4,3,0,0,25,..,10,4,6,0,4,0,0,0,13,..,9,8,5,4,10,7,0,0,38,..,8,14,12,26,47,26,33,16,183,0,12,0,3,0,5,0,3,4,31,304,163,165,152,128,200,130,92,23,1356
UCL115155,..,13,18,0,5,18,12,0,0,60,..,7,15,13,35,63,73,66,41,305,11,9,3,6,0,5,7,6,3,41,380,211,247,179,232,280,248,159,65,1995,..,5,114,117,159,251,215,143,27,1035,..,56,99,60,65,66,28,10,0,381,..,20,69,71,44,42,27,13,10,305,764,..,..,..,..,..,..,..,..,764,..,119,..,..,..,..,..,..,..,119,..,111,59,29,21,11,0,0,0,235,..,44,7,6,20,21,26,13,3,142,..,17,21,6,11,0,4,0,0,59,..,30,51,4,12,27,22,7,0,144,..,15,47,29,68,135,149,105,56,604,14,19,10,14,9,14,14,4,3,100,778,426,476,339,415,572,494,303,101,3900
UCL115156,..,0,0,0,5,0,0,3,0,6,..,0,4,4,8,18,31,14,12,95,0,6,0,0,0,4,0,0,0,10,67,40,44,30,56,115,102,58,21,526,..,0,10,24,37,102,124,66,6,374,..,16,18,15,17,38,10,0,0,114,..,0,14,8,17,9,9,7,3,60,126,..,..,..,..,..,..,..,..,126,..,31,..,..,..,..,..,..,..,31,..,23,20,4,10,3,0,0,0,62,..,4,3,0,0,7,8,6,4,28,..,5,0,0,0,0,0,0,0,7,..,0,0,0,4,3,0,3,0,17,..,0,9,3,27,38,69,33,14,196,4,9,4,0,8,7,0,0,0,27,129,90,78,60,119,198,221,113,31,1041
UCL115157,..,0,0,3,3,0,3,0,0,11,..,4,7,10,15,21,21,25,13,108,0,0,3,0,0,6,0,0,0,12,81,65,61,58,76,85,99,70,18,608,..,0,19,35,48,81,110,73,12,378,..,14,28,20,21,14,11,3,0,109,..,10,16,20,16,12,3,6,4,93,190,..,..,..,..,..,..,..,..,190,..,27,..,..,..,..,..,..,..,27,..,38,21,9,8,8,0,0,0,86,..,9,0,0,3,11,12,6,3,54,..,5,5,0,0,0,0,0,0,20,..,0,6,4,5,0,5,6,0,29,..,3,5,21,29,45,49,40,16,208,5,0,3,4,3,5,0,4,0,26,196,117,115,110,134,178,199,133,35,1225
UCL115158,..,3,0,0,0,0,0,0,0,12,..,12,10,13,16,30,38,62,48,224,3,8,6,0,3,4,0,4,0,29,229,146,139,145,111,151,140,122,66,1256,..,7,132,155,105,175,184,117,34,914,..,46,69,39,21,18,13,6,0,214,..,9,18,22,29,12,7,7,3,105,468,..,..,..,..,..,..,..,..,468,..,76,..,..,..,..,..,..,..,76,..,66,13,10,13,8,4,0,0,104,..,17,8,0,0,9,0,0,3,51,..,4,0,7,0,0,0,0,0,12,..,8,6,4,4,3,0,0,0,27,..,25,25,31,36,70,60,92,54,391,9,6,11,0,11,5,0,3,0,48,472,269,291,269,215,296,278,220,100,2413
UCL115159,..,0,0,0,5,0,0,0,0,5,..,0,0,0,10,7,16,5,5,43,0,0,3,0,0,0,0,0,0,11,164,95,119,104,148,115,80,31,20,864,..,0,93,155,181,169,102,41,11,754,..,21,66,22,22,23,4,0,0,162,..,0,4,13,18,6,3,4,3,59,349,..,..,..,..,..,..,..,..,349,..,82,..,..,..,..,..,..,..,82,..,94,37,12,3,8,0,0,0,158,..,0,7,7,3,4,11,8,3,45,..,9,4,5,0,0,0,0,0,18,..,0,0,3,6,3,0,0,0,14,..,0,0,11,21,17,18,10,8,86,0,6,4,0,0,0,0,0,0,20,350,214,230,220,264,233,142,68,25,1748
UCL115160,..,0,4,0,0,0,0,0,0,0,..,0,5,3,0,8,7,5,3,36,3,4,0,0,0,4,5,0,0,13,401,120,200,280,175,124,86,17,11,1412,..,0,213,448,286,186,111,23,0,1267,..,12,87,68,37,14,5,0,0,228,..,0,18,20,16,10,7,0,0,64,888,..,..,..,..,..,..,..,..,888,..,116,..,..,..,..,..,..,..,116,..,78,40,10,0,0,0,0,0,129,..,8,0,0,0,8,17,4,4,47,..,6,4,3,0,0,0,0,0,17,..,0,6,0,0,0,0,5,0,7,..,0,9,10,6,16,15,8,3,70,6,4,3,3,3,4,3,0,0,29,897,232,378,559,353,234,155,48,10,2856
UCL115161,..,3,6,8,9,12,10,0,3,49,..,0,9,9,38,79,81,78,42,342,3,5,11,0,10,6,5,7,0,38,372,186,246,230,244,334,303,192,77,2178,..,13,146,186,179,286,325,192,29,1347,..,45,109,69,67,50,31,12,0,387,..,16,58,74,63,45,26,12,16,313,788,..,..,..,..,..,..,..,..,788,..,114,..,..,..,..,..,..,..,114,..,134,69,31,33,22,5,0,0,298,..,21,16,0,10,28,18,18,7,113,..,21,13,3,8,9,0,3,0,56,..,12,16,14,17,28,20,3,3,110,..,13,31,26,74,142,142,119,59,611,16,10,24,12,16,6,3,7,0,93,805,386,472,416,461,620,578,366,117,4224
UCL115162,..,0,4,0,0,7,7,0,0,26,..,6,7,4,16,40,36,34,10,156,4,4,3,0,0,0,8,3,0,21,264,164,167,191,190,183,177,107,30,1472,..,10,104,216,218,181,212,120,23,1082,..,28,101,61,43,37,11,6,0,291,..,6,15,43,51,21,11,10,8,162,581,..,..,..,..,..,..,..,..,581,..,139,..,..,..,..,..,..,..,139,..,115,44,23,16,7,0,0,0,207,..,14,5,4,5,6,12,3,6,62,..,9,3,7,6,0,0,0,0,27,..,9,15,4,3,11,10,5,0,60,..,4,16,11,23,55,59,55,13,236,9,3,6,3,10,0,7,7,0,40,593,340,308,363,377,331,317,205,51,2890
UCL115163,..,0,4,0,5,4,0,0,0,14,..,0,0,0,0,14,16,18,12,59,6,3,0,0,0,3,6,0,0,22,170,128,99,106,117,130,84,49,22,905,..,5,74,116,149,168,107,46,7,685,..,19,48,36,27,13,8,0,0,151,..,5,8,18,37,12,3,0,3,93,323,..,..,..,..,..,..,..,..,323,..,78,..,..,..,..,..,..,..,78,..,113,33,20,6,4,3,0,0,179,..,3,14,0,6,11,14,9,5,63,..,18,3,0,6,4,3,0,0,31,..,9,7,0,5,4,0,3,0,29,..,0,10,6,13,23,21,27,23,117,6,3,8,4,0,5,10,0,0,37,328,245,202,208,242,255,174,96,38,1785
