UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL122106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,6,0,6,0,0,22,0,0,0,0,0,0,0,0,8,12,6,0,6,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,16,8,14,11,6,3,0,0,39
UCL122107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,6,3,4,0,0,49,0,0,0,0,0,0,0,0,20,16,6,3,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,20,17,12,9,10,0,0,63
UCL122108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,6,0,0,10
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
UCL122110,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,4,11,25,8,9,9,0,0,68,0,0,0,0,0,0,0,0,11,33,12,12,7,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,18,36,13,12,7,4,0,87
UCL122111,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,24,15,6,7,5,0,79,0,0,0,0,0,0,0,0,21,24,20,11,7,8,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,21,24,20,12,6,8,3,97
UCL122112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,6,5,6,3,4,8,0,0,18
UCL122113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,6,5,0,0,0,20,0,0,0,0,0,0,0,0,5,6,0,5,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,5,3,0,0,26
UCL122114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,3,0,0,0,22,0,0,0,0,0,0,0,0,5,7,3,3,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,9,5,12,4,9,10,0,0,33
UCL122115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,10,4,0,0,0,0,37,0,0,0,0,0,0,0,0,15,14,9,5,5,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,7,5,5,0,0,46
UCL122116,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,3,4,0,4,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,12,3,14,7,9,11,4,0,35
UCL122117,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,23,33,15,8,12,0,0,90,0,0,0,0,0,0,0,0,26,33,16,8,12,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,13,26,37,19,9,10,0,0,113
UCL122118,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,4,6,15,12,5,5,5,0,47,0,0,0,0,0,0,0,0,10,22,12,5,0,8,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,16,19,28,16,3,9,8,0,76
UCL122119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,5,0,0,0,0,21,0,0,0,0,0,0,0,0,7,15,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,11,8,8,0,4,0,0,40
UCL122120,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,7,0,0,0,0,0,10,20,28,25,10,7,0,0,94,0,0,0,0,0,0,0,0,20,31,25,19,8,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,18,29,37,28,19,8,0,0,119
UCL122121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,14,14,14,0,6,0,0,49,0,0,0,0,0,0,0,0,15,14,14,4,9,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,0,0,17,0,0,0,0,0,0,0,0,7,3,6,3,4,0,0,18,22,21,19,8,10,3,0,78
UCL122122,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,10,10,8,0,3,0,0,0,25,28,34,10,7,12,5,4,101,0,0,0,0,0,0,0,0,38,46,16,18,16,5,4,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,38,44,16,18,12,13,8,145
UCL122123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,5,6,6,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0,18,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0,15,5,14,8,6,3,0,0,35
UCL122124,0,0,0,0,0,0,0,6,6,3,0,0,0,0,0,7,0,3,0,0,0,0,0,4,13,29,8,4,6,3,0,59,0,0,0,0,0,0,0,0,16,33,7,8,14,3,0,80,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,18,35,7,8,15,3,0,84
UCL122125,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,12,0,0,0,0,0,0,0,0,0,4,3,3,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,5,3,4,3,3,5,0,0,23
UCL122126,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,4,0,5,0,0,0,3,11,14,12,3,11,3,0,65,0,0,0,0,0,0,0,0,16,25,14,9,13,3,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,20,28,17,7,13,5,6,91
UCL122127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,3,3,4,0,0,35,0,0,0,0,0,0,0,0,11,17,3,3,4,0,0,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,13,10,21,7,3,6,0,0,46
UCL122128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,5,4,3,0,0,22,0,0,0,0,0,0,0,0,11,5,8,4,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,11,7,8,10,5,0,4,0,44
UCL122129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,10,13,5,4,11,0,0,36,0,0,0,0,0,0,0,0,12,10,5,4,11,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,12,18,6,4,16,0,0,55
UCL122130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,12,5,0,0,3,3,0,23,0,0,0,0,0,0,0,0,18,8,9,0,3,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,17,8,10,3,6,3,0,39
UCL122131,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,8,5,5,3,0,5,17,0,0,0,0,0,0,0,0,0,8,4,3,3,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,7,8,9,3,3,0,5,28
UCL122132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,4,7,7,0,0,35,0,0,0,0,0,0,0,0,9,16,4,7,7,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,5,4,0,0,24,0,0,0,0,0,0,0,0,9,9,11,5,6,0,0,33,16,16,12,12,9,0,0,69
UCL122133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,0,0,15,0,0,0,0,0,0,0,0,5,9,5,0,0,0,0,15,11,8,5,8,5,0,0,29
UCL122134,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,15,7,5,7,3,0,53,0,0,0,0,0,0,0,0,18,22,7,5,13,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,11,0,0,0,0,0,0,0,0,4,3,0,3,6,0,0,8,20,22,12,12,9,3,0,75
UCL122135,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,10,6,0,0,0,0,32
UCL122136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,0,0,0,0,28,0,0,0,0,0,0,0,0,8,11,11,0,0,0,0,28,15,16,13,0,3,0,0,49
UCL122137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,0,0,0,0,23,0,0,0,0,0,0,0,0,3,11,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,10,0,6,0,0,31
UCL122138,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,3,0,0,23,0,0,0,0,0,0,0,0,7,13,9,7,3,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,18,10,13,8,6,3,3,0,46
UCL122139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,5,5,0,0,21,0,0,0,0,0,0,0,0,5,9,6,5,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,8,0,0,12,0,0,0,0,0,0,0,0,0,7,5,4,8,0,0,14,6,14,11,3,5,0,0,39
UCL122140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,5,0,0,0,0,29,0,0,0,6,0,0,0,6,10,8,5,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,9,13,14,4,3,0,0,0,44
UCL122141,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,10,0,0,0,0,0,0,0,6,20,22,8,9,7,0,0,58,0,0,0,0,0,0,0,0,18,26,9,4,9,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,26,27,9,4,10,0,0,75
UCL122142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,12,3,0,0,0,0,16,0,0,0,0,0,0,0,0,5,12,9,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,13,5,11,7,5,0,0,0,35
UCL122143,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,5,0,0,10,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,11,3,8,12,7,3,0,0,32
UCL122144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,5,4,6,0,0,40,0,0,0,0,0,0,0,0,12,13,5,4,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,6,4,4,9,0,4,0,24,0,0,0,0,0,0,0,0,6,7,10,10,0,4,0,29,17,18,13,8,8,4,0,74
UCL122145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,4,0,0,0,24,0,0,0,0,0,0,0,0,6,7,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,10,6,0,4,0,0,0,22
UCL122146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,5,6,3,4,5,0,0,27
UCL122147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,4,5,0,0,0,0,15,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,6,4,9,4,4,0,0,26
UCL122148,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,0,7,0,0,0,19
UCL122149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,6,8,0,5,0,0,33,0,0,0,0,0,0,0,0,10,6,7,0,5,0,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,23,22,19,9,5,4,0,0,61
UCL122150,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,15,0,0,0,0,0,0,0,5,27,16,8,0,4,0,3,67,0,0,0,0,0,0,0,0,31,23,14,7,4,0,3,81,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,9,0,0,0,20,0,0,0,0,0,0,0,0,9,6,0,9,3,0,0,26,36,31,14,11,7,0,3,107
UCL122151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,3,7,3,5,0,0,19,0,0,0,0,0,0,0,0,3,3,7,3,6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,11,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,11,7,7,14,3,7,0,0,38
UCL122152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,3,3,0,0,29,0,0,0,0,0,0,0,0,5,10,5,7,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,6,10,3,8,8,0,0,42
UCL122153,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,5,4,0,0,0,6,0,0,14,3,15,0,4,7,0,0,32,0,0,0,0,0,0,0,0,8,21,3,13,12,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,11,21,3,13,12,0,0,62
UCL122154,0,4,3,3,0,0,0,8,0,0,5,0,0,0,0,0,4,3,0,0,0,0,0,3,6,9,6,13,3,0,0,48,0,0,0,0,0,0,0,0,11,20,16,18,8,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,8,15,20,15,16,8,0,0,74
UCL122155,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,14,11,6,4,0,0,47,0,0,0,0,0,0,0,0,15,16,11,10,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,5,3,0,0,22,0,0,0,0,0,0,0,0,3,6,3,0,3,0,0,23,26,19,19,12,9,0,0,76
UCL122156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,13,14,24,15,0,3,0,0,54,0,0,0,0,0,0,0,0,21,25,14,8,6,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,7,0,0,25,0,0,0,0,0,0,0,0,4,3,5,3,7,0,0,25,22,33,22,5,5,0,0,91
UCL122157,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,5,10,6,13,16,18,9,4,80,0,0,5,0,0,0,0,3,10,9,19,17,23,16,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,17,13,9,24,20,29,15,3,113
UCL122158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,7,4,4,0,0,0,16,0,0,0,0,0,0,0,0,8,7,4,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,9,0,0,0,0,0,0,0,0,4,6,0,4,4,0,0,12,9,8,4,4,8,0,0,35
UCL131001,755,1056,786,568,799,374,203,4542,1106,1441,1065,779,935,308,114,5744,1427,1669,1116,744,959,279,112,6306,18675,22656,15449,10392,12116,3162,1182,83630,97,126,92,74,48,17,3,458,22054,26947,18511,12561,14858,4136,1612,100687,54,99,99,73,96,46,29,492,187,296,222,176,218,64,31,1183,102,196,152,127,135,31,22,765,2377,3285,2517,1773,1941,416,158,12464,120,106,98,61,45,19,5,450,2843,3976,3086,2209,2434,570,233,15351,24898,30925,21598,14768,17292,4707,1848,116036
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
