UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL121031,32,9,10,7,10,13,14,3,0,95,181,71,89,95,120,200,185,54,12,1012
UCL121032,15,7,9,7,9,11,11,15,9,90,103,68,65,67,72,101,123,93,39,725
UCL121033,23,10,12,15,4,3,8,0,0,77,136,41,62,83,57,56,49,23,3,513
UCL121034,18,12,23,12,7,10,3,3,0,91,167,127,143,110,156,103,67,21,11,907
UCL121035,29,13,11,13,16,6,0,0,0,92,269,147,152,126,139,149,90,43,11,1125
UCL121036,24,5,11,14,18,14,10,8,0,100,369,136,122,197,197,159,166,76,9,1427
UCL121037,9,8,5,8,10,9,3,4,0,53,123,73,59,84,121,117,149,55,9,791
UCL121038,34,6,14,9,7,13,16,7,5,110,105,46,65,62,45,99,94,58,25,601
UCL121039,26,4,8,21,15,12,15,10,3,102,139,61,95,105,114,101,78,31,8,733
UCL121040,0,7,3,0,5,3,10,0,0,32,101,71,22,64,107,71,59,20,0,511
UCL121041,0,4,3,0,6,12,4,6,0,35,91,66,50,38,82,91,98,63,17,592
UCL121042,0,8,8,8,0,7,14,4,0,50,55,51,63,52,49,102,104,70,15,553
UCL121043,9,6,7,0,3,3,4,0,0,36,173,78,64,94,97,72,67,25,7,684
UCL121044,23,17,11,9,17,8,13,3,3,97,128,55,70,54,77,66,81,31,11,562
UCL121045,3,8,0,0,5,4,11,0,0,44,68,38,39,50,65,105,98,41,8,522
UCL121046,3,0,0,5,0,0,6,0,0,17,126,42,41,85,82,62,42,22,4,503
UCL121047,8,0,3,8,0,4,5,4,0,36,139,37,83,82,81,72,67,33,9,604
UCL121048,0,0,0,0,0,3,3,0,0,17,89,48,32,37,85,78,87,37,3,500
UCL121049,17,17,15,14,14,11,4,9,0,105,134,90,87,87,90,67,51,35,3,641
UCL121050,9,6,5,11,9,9,12,14,5,84,39,28,40,30,55,101,142,180,47,661
UCL121051,12,7,7,6,8,11,12,20,9,86,154,71,71,87,84,147,165,117,54,940
UCL121052,18,6,9,10,5,19,12,5,0,95,93,47,75,99,85,167,160,74,24,825
UCL121053,21,4,10,8,12,18,19,11,10,102,128,51,78,73,64,114,137,77,29,747
UCL121054,10,5,3,5,9,7,6,4,0,48,135,134,51,78,148,117,92,26,4,777
UCL121055,17,7,6,7,8,0,4,3,0,57,130,51,50,101,84,111,86,43,7,668
UCL121056,13,9,10,3,5,5,6,3,0,55,183,92,87,97,116,137,101,60,15,890
UCL121057,11,5,9,3,6,3,8,0,0,36,123,103,78,89,86,108,77,5,3,683
UCL121058,30,12,3,30,19,18,12,3,0,132,358,223,124,209,299,268,247,119,19,1863
UCL121059,10,7,3,5,5,8,6,0,0,51,100,57,66,63,80,105,89,36,15,609
UCL121060,21,15,6,4,11,4,10,3,0,78,184,123,64,108,142,143,138,72,3,980
UCL121061,9,3,4,9,11,0,6,0,0,37,131,80,61,82,81,44,48,15,8,554
UCL121062,10,13,9,9,4,8,0,3,0,53,179,102,105,121,147,130,86,33,7,905
UCL121063,5,0,0,0,0,5,16,9,3,40,37,20,24,36,35,130,236,101,29,656
UCL121064,20,6,7,5,9,10,9,0,0,67,99,64,45,54,98,115,107,56,27,670
UCL121065,20,6,6,10,7,17,16,9,4,89,134,71,81,67,91,148,182,122,26,925
UCL121066,7,5,8,0,10,0,8,0,0,53,101,50,57,67,72,72,50,30,13,508
UCL121067,16,13,5,5,15,13,9,3,5,84,126,80,68,49,91,133,137,88,58,830
UCL121068,36,22,13,18,19,29,26,11,0,176,373,203,156,201,250,383,450,169,40,2231
UCL121069,12,3,0,0,5,3,0,0,0,26,179,117,71,95,156,85,49,16,3,767
UCL121070,6,8,4,3,4,4,0,6,0,40,93,43,37,57,96,110,70,37,5,539
UCL121071,6,0,5,8,0,9,3,3,4,33,104,47,39,66,83,62,79,28,19,529
UCL121072,34,0,25,15,0,12,7,0,4,109,194,65,172,86,75,101,74,43,15,819
UCL121073,11,8,5,9,12,10,15,6,4,75,94,55,46,70,94,106,124,79,25,691
UCL121074,5,0,4,3,6,0,12,3,0,36,53,55,60,60,72,103,93,49,15,556
UCL121075,5,0,0,0,0,5,9,41,65,136,54,46,19,32,48,64,101,177,115,656
UCL121076,38,21,14,13,13,10,10,0,0,120,238,142,131,167,141,117,96,26,14,1071
UCL121077,25,11,9,5,19,6,6,4,0,92,183,69,70,99,107,98,81,35,12,750
UCL121078,18,10,7,3,3,0,3,0,0,51,148,98,96,87,94,83,54,30,7,686
UCL121079,5,6,6,7,5,3,0,3,3,33,86,64,35,53,98,76,72,35,13,526
UCL121080,16,3,5,7,4,7,11,3,0,55,210,79,137,126,122,133,111,51,18,996
UCL121081,9,0,9,6,3,12,4,0,0,41,130,66,47,83,92,88,57,15,4,583
UCL121082,21,15,13,14,14,28,33,7,9,145,166,101,96,111,141,197,214,69,22,1125
UCL121083,4,0,3,5,7,0,8,9,0,37,123,83,84,108,121,150,146,76,12,913
UCL121084,3,9,0,5,7,8,5,3,0,44,183,127,84,127,123,94,65,29,10,844
UCL121085,16,0,5,13,3,12,5,3,0,56,217,64,50,161,144,150,177,59,6,1022
UCL121086,15,6,4,4,6,12,10,15,4,75,101,70,73,74,98,134,148,96,38,822
UCL121087,11,4,0,6,5,3,5,3,0,43,133,66,63,76,68,94,92,44,14,656
UCL121088,20,6,12,6,11,9,6,0,0,67,123,74,85,75,90,72,56,18,4,598
UCL121089,16,4,0,10,0,9,6,0,0,57,177,80,66,125,101,167,105,47,20,895
UCL121090,14,3,0,5,4,5,3,0,0,40,131,127,52,90,140,138,103,41,8,828
UCL121091,17,5,0,9,12,9,7,0,3,65,102,72,49,62,94,138,114,38,18,696
UCL121092,24,19,15,22,8,5,7,0,0,102,286,135,204,143,145,121,86,46,11,1179
UCL121093,18,18,7,4,9,9,7,0,0,80,290,127,175,137,150,117,100,48,13,1160
UCL121094,30,22,9,23,9,18,12,5,0,130,143,81,63,82,91,116,107,65,24,768
UCL121095,10,3,0,5,6,8,4,0,0,37,163,58,49,96,108,100,77,37,9,693
UCL121096,6,6,4,6,4,13,20,6,0,60,106,56,47,71,87,168,183,77,14,798
UCL121097,3,5,4,3,7,8,12,4,0,42,115,64,44,75,108,125,110,23,8,667
UCL121098,0,4,0,5,7,6,5,0,0,30,126,74,41,74,142,146,163,66,23,850
UCL121099,3,5,5,3,3,7,5,3,4,41,92,45,46,66,64,97,108,68,27,624
UCL121100,15,0,5,5,5,12,12,0,4,69,232,84,78,143,137,146,202,69,16,1103
UCL121101,30,14,4,11,17,12,12,8,3,112,193,134,84,123,160,179,137,77,17,1103
UCL121102,18,6,11,6,6,16,4,9,0,73,165,53,66,109,110,202,185,80,21,994
UCL121103,24,10,7,10,14,8,16,3,5,107,214,106,90,97,130,138,129,85,35,1021
UCL121104,13,7,3,4,0,9,10,9,5,64,133,71,70,71,84,108,103,68,26,738
UCL121105,7,9,3,0,8,9,6,3,3,48,81,38,59,50,68,135,155,50,16,656
UCL121106,6,0,4,3,10,10,20,13,0,72,104,59,73,63,113,174,278,114,5,993
UCL121107,18,7,5,3,7,4,4,4,4,67,209,78,98,90,112,139,120,70,49,953
UCL121108,12,10,5,5,9,17,16,3,3,84,179,77,96,72,96,124,130,49,19,840
UCL121109,6,0,5,0,10,5,4,4,0,36,92,57,31,47,76,62,86,38,7,499
UCL121110,15,14,10,7,3,5,9,0,4,70,202,105,113,112,108,98,142,83,30,991
UCL121111,24,11,12,10,10,25,15,14,14,134,143,57,102,61,70,100,119,79,41,768
UCL121112,11,6,5,8,13,7,10,0,0,59,181,73,112,91,94,97,91,24,11,767
UCL121113,16,11,3,19,10,9,4,6,3,72,108,79,36,64,59,90,43,47,13,532
UCL121114,25,10,11,15,8,17,21,14,0,108,183,77,72,102,118,135,149,44,3,884
UCL121115,5,0,0,0,3,11,15,0,0,41,64,35,39,44,56,142,180,82,13,651
UCL121116,15,5,0,7,9,6,5,5,0,55,214,140,71,119,163,130,71,29,13,963
UCL121117,21,6,4,4,10,12,3,0,0,66,116,80,80,68,86,119,73,29,10,662
UCL121118,5,6,3,3,6,0,0,0,0,32,108,80,43,63,97,52,52,21,7,518
UCL121119,12,3,8,4,9,11,15,0,0,68,147,87,66,84,129,152,135,57,14,872
UCL121120,35,21,19,15,14,15,13,4,3,140,130,83,79,50,81,55,27,13,7,539
UCL121121,6,0,9,5,6,6,5,5,0,44,89,45,74,65,64,79,65,33,0,510
UCL121122,20,12,8,11,4,10,3,0,0,78,177,65,68,94,84,92,59,25,7,665
UCL121123,25,19,15,16,15,5,4,9,8,122,125,87,79,80,104,76,68,50,9,678
UCL121124,0,3,0,0,0,4,12,6,0,37,46,27,24,33,64,108,137,68,11,503
UCL121125,17,10,0,16,17,4,16,12,8,100,126,66,63,70,104,174,212,86,29,935
UCL121126,5,3,8,7,3,3,3,0,0,34,130,51,51,56,85,75,81,43,10,593
UCL121127,17,14,7,11,11,12,3,0,0,76,146,114,80,96,104,70,57,33,3,702
UCL121128,10,13,14,18,7,7,8,5,0,79,195,138,114,123,152,117,86,45,14,974
UCL122001,12,0,4,4,5,0,0,0,0,18,50,39,36,31,48,26,15,8,3,255
UCL122002,15,0,4,12,3,9,8,5,0,68,31,16,26,31,32,48,38,30,7,257
UCL122003,8,5,5,7,3,0,0,0,0,25,75,59,59,47,66,46,31,12,5,410
UCL122004,0,0,0,0,0,3,0,0,0,8,20,5,16,14,26,31,60,9,8,192
UCL122005,5,3,5,3,7,5,4,5,0,34,56,16,30,23,43,62,67,38,6,352
UCL122006,0,3,0,0,3,3,3,6,0,19,45,15,12,25,32,35,62,28,14,272
UCL122007,4,5,0,4,10,3,0,3,3,39,71,42,30,31,55,74,85,56,24,472
UCL122008,6,4,6,6,5,11,8,4,0,41,61,33,50,19,34,45,28,13,0,280
UCL122009,12,3,3,5,0,5,0,0,0,23,61,38,37,37,38,37,44,17,0,307
UCL122010,10,5,0,0,7,0,0,0,0,32,76,47,40,35,61,57,30,15,3,362
UCL122011,6,7,0,6,10,8,0,0,0,32,57,61,38,38,56,74,34,7,0,365
UCL122012,5,5,0,3,5,3,8,0,0,28,39,27,29,27,38,36,48,18,14,276
UCL122013,9,0,0,5,3,7,0,3,0,29,36,17,14,19,37,40,35,22,0,212
UCL122014,6,5,3,6,9,0,0,5,0,26,61,29,31,32,43,53,49,20,12,322
UCL122015,5,0,0,0,7,5,7,7,0,31,35,15,14,25,29,46,55,33,6,255
UCL122016,0,6,5,0,4,0,14,0,0,34,44,20,46,25,36,36,34,9,4,251
UCL122017,8,0,3,10,3,0,9,0,0,43,58,28,23,40,33,53,44,22,8,302
UCL122018,8,3,0,3,12,8,14,0,0,57,57,38,24,34,57,64,83,35,6,399
UCL122019,7,3,3,7,4,5,10,0,0,37,43,27,19,33,42,58,33,19,0,281
UCL122020,5,5,0,0,5,0,0,5,0,22,26,14,14,17,36,73,57,26,10,278
UCL122021,0,0,4,3,4,0,5,0,0,17,32,13,12,20,26,28,44,15,0,194
UCL122022,0,3,0,0,0,5,7,0,0,25,79,45,39,44,44,91,82,51,8,476
UCL122023,3,0,0,0,0,4,3,7,0,20,60,46,31,43,53,65,74,35,8,411
UCL122024,11,0,4,8,4,0,6,0,0,39,55,26,28,33,55,37,41,18,0,290
UCL122025,5,3,6,3,6,5,0,5,0,33,52,29,35,19,49,47,11,15,4,253
UCL122026,0,4,0,0,8,0,3,0,0,16,46,19,20,33,42,32,25,6,0,231
UCL122027,5,0,3,3,0,0,3,5,5,21,30,12,18,9,34,47,46,28,16,248
UCL122028,10,5,3,8,4,8,4,3,0,48,55,35,35,22,51,76,57,39,10,374
UCL122029,0,0,7,7,5,4,4,3,0,31,28,14,19,25,41,43,64,29,4,270
UCL122030,13,4,4,5,10,8,5,0,0,55,66,42,37,44,50,85,58,9,0,389
UCL122031,4,0,0,0,0,0,0,0,0,17,122,64,41,73,67,39,23,7,0,438
UCL122032,12,3,7,9,0,6,9,0,0,41,107,41,74,63,55,71,47,7,7,473
UCL122033,6,4,4,6,0,10,0,0,0,24,65,14,36,31,29,33,15,11,3,246
UCL122034,0,5,0,0,0,0,0,0,0,3,34,29,23,22,38,34,29,10,3,229
UCL122035,3,0,0,0,4,7,5,5,0,35,67,41,27,46,43,87,69,31,7,417
UCL122036,29,19,19,15,23,12,13,4,0,125,82,67,45,37,60,54,57,23,4,425
UCL122037,6,0,0,3,3,3,0,0,0,18,63,19,27,52,45,26,11,5,3,251
UCL122038,3,0,0,5,4,4,0,0,6,17,48,16,26,35,45,44,47,16,9,291
UCL122039,12,3,0,8,3,6,3,0,0,40,84,47,29,50,47,68,65,30,10,430
UCL122040,11,0,3,6,6,12,0,0,0,27,52,21,29,17,30,42,36,13,3,240
UCL122041,5,8,8,3,4,8,6,0,0,39,74,38,53,42,42,73,55,15,4,389
UCL122042,9,4,4,3,4,9,0,0,0,32,50,47,31,40,44,29,33,13,0,282
UCL122043,5,4,5,0,0,0,4,0,0,15,66,33,25,35,36,47,55,22,7,317
UCL122044,0,0,0,0,0,0,3,0,0,8,13,11,8,10,21,20,25,7,0,117
UCL122045,3,8,0,0,4,0,0,3,0,23,48,19,23,17,27,47,38,27,7,261
UCL122046,6,0,5,3,4,14,8,3,3,37,44,28,32,36,34,124,113,56,22,479
UCL122047,0,0,0,0,0,4,3,0,0,14,45,18,9,27,46,75,65,33,0,313
UCL122048,19,13,16,16,7,16,9,8,3,113,74,40,50,45,59,74,61,50,10,456
UCL122049,3,8,0,0,3,4,15,0,0,32,25,36,13,18,51,56,83,36,7,315
UCL122050,4,0,5,0,0,0,5,0,0,19,29,15,16,17,18,44,33,17,14,201
UCL122051,9,4,9,6,11,7,3,0,3,54,62,36,17,33,35,47,30,23,0,281
UCL122052,0,3,4,4,3,3,7,0,0,26,49,22,10,28,35,46,56,18,0,268
UCL122053,3,0,4,3,0,6,4,6,3,31,24,16,17,20,35,63,47,43,24,296
UCL122054,28,16,19,13,18,18,16,7,4,143,98,56,79,46,64,55,76,20,6,500
UCL122055,0,0,0,0,0,4,6,5,0,24,73,24,18,26,51,64,84,64,5,419
UCL122056,5,6,5,0,0,0,0,0,0,22,55,37,16,39,33,31,58,24,10,302
UCL122057,6,4,3,4,3,3,0,0,0,16,42,25,28,27,49,34,40,7,4,258
UCL122058,3,0,3,0,7,7,6,4,0,31,86,29,59,44,54,80,84,51,5,491
UCL122059,7,8,9,0,8,6,7,4,0,45,103,47,53,51,53,56,59,22,11,460
UCL122060,9,6,4,3,7,13,8,3,4,60,68,37,45,44,44,64,59,24,9,399
UCL122061,9,5,11,6,8,8,0,3,0,42,36,20,26,17,23,24,18,11,0,179
UCL122062,4,8,7,5,9,9,6,6,0,53,65,46,51,22,51,48,32,15,5,334
UCL122063,4,6,0,4,5,4,0,0,0,22,58,27,38,43,31,47,29,20,13,307
UCL122064,19,5,6,3,0,12,6,0,0,46,88,34,33,37,42,53,36,27,12,351
UCL122065,5,0,0,3,7,6,15,8,0,43,30,18,29,27,30,96,86,43,7,365
UCL122066,5,3,4,0,4,5,3,0,0,22,69,56,27,44,62,62,44,19,5,374
UCL122067,4,4,4,4,5,3,4,0,0,32,60,53,36,36,70,78,72,28,6,440
UCL122068,7,12,9,6,4,9,0,0,0,41,23,15,16,28,23,25,26,3,3,162
UCL122069,4,4,0,3,3,0,0,4,0,16,47,30,19,31,48,61,50,25,6,316
UCL122070,5,3,0,0,3,4,4,0,0,20,89,51,27,53,57,54,60,33,15,436
UCL122071,5,3,7,0,6,4,0,3,0,23,71,40,47,30,36,43,55,37,8,363
UCL122072,8,3,7,0,0,3,0,0,0,30,39,27,23,19,27,44,28,26,6,246
UCL122073,9,3,0,0,10,4,8,9,0,37,31,15,29,28,33,58,61,32,5,284
UCL122074,7,0,0,7,0,6,10,0,0,38,32,23,20,16,37,62,60,32,0,273
UCL122075,5,3,4,6,3,3,0,0,0,20,63,30,29,39,38,30,21,12,6,273
UCL122076,0,5,0,0,4,5,0,0,0,17,46,25,15,31,32,39,24,11,0,215
UCL122077,12,10,4,4,3,5,6,3,0,41,57,47,26,22,36,64,57,30,7,352
UCL122078,0,0,8,5,0,6,4,3,0,23,24,14,21,20,27,54,57,47,15,267
UCL122079,0,3,0,0,0,3,0,0,0,12,44,32,21,31,44,42,36,19,3,273
UCL122080,19,4,4,8,0,3,0,0,0,46,112,49,58,65,51,59,42,26,0,456
UCL122081,7,0,0,3,7,4,4,9,0,38,52,14,19,32,35,45,35,22,5,254
UCL122082,0,0,0,0,5,4,5,0,0,15,14,14,5,13,33,51,64,31,8,228
UCL122083,0,11,3,4,4,3,3,0,0,30,45,45,30,20,51,57,30,8,3,297
UCL122084,0,3,7,4,5,0,5,3,0,27,33,26,25,31,29,29,12,9,5,207
UCL122085,8,3,0,5,3,6,0,0,0,32,44,32,30,26,26,34,51,24,3,275
UCL122086,9,8,5,3,9,10,20,10,0,76,51,35,41,31,53,61,70,32,10,380
UCL122087,0,0,0,0,0,5,0,0,0,13,26,16,9,23,13,32,52,11,4,187
UCL122088,7,4,0,5,4,3,7,3,0,32,35,39,19,27,38,32,43,9,3,249
UCL122089,9,3,9,0,9,9,8,0,0,52,85,35,65,54,49,68,48,36,9,454
UCL122090,8,7,4,9,8,0,7,0,0,45,53,41,50,59,62,81,66,36,4,448
UCL122091,8,9,5,9,6,6,7,10,4,62,64,27,39,30,34,52,44,33,13,339
UCL122092,4,0,0,5,0,4,4,0,0,25,65,39,29,52,43,62,54,21,3,366
UCL122093,12,7,5,9,5,11,0,5,4,60,53,37,31,43,46,67,35,27,8,348
UCL122094,0,0,10,0,4,3,8,3,0,32,42,30,29,29,49,61,56,25,11,336
UCL122095,6,0,4,5,9,4,3,5,4,25,48,18,23,27,38,45,14,12,3,233
UCL122096,3,0,0,0,3,6,3,4,0,31,22,24,13,18,30,56,37,36,0,245
UCL122097,0,3,7,4,4,3,0,3,0,30,33,24,16,13,38,36,25,15,4,202
UCL122098,32,9,13,16,20,23,24,8,6,151,80,31,46,54,61,104,84,23,14,500
UCL122099,0,3,0,0,4,3,7,3,0,24,41,31,30,16,25,39,46,17,4,250
UCL122100,10,5,0,4,9,10,17,5,3,67,48,31,23,37,63,108,111,51,8,491
UCL122101,8,4,0,4,7,7,0,0,0,24,58,37,12,46,68,57,68,18,0,365
UCL122102,6,14,5,0,9,18,12,3,0,65,46,29,18,15,38,64,57,32,6,314
UCL122103,4,0,0,0,4,0,4,0,0,19,31,20,13,19,23,39,24,16,7,196
UCL122104,3,3,0,0,0,3,0,0,0,9,55,70,25,33,75,80,43,21,5,411
UCL122105,8,0,0,6,0,3,0,0,0,20,77,27,27,54,48,58,20,4,0,321
UCL122106,19,4,14,10,6,24,17,12,0,97,51,17,48,22,26,65,46,25,3,305
UCL122107,5,0,3,0,0,0,3,4,0,18,58,30,41,46,40,65,39,24,4,345
UCL122108,0,4,0,4,0,5,16,3,3,30,11,16,6,12,17,42,66,43,6,211
UCL122109,0,0,5,0,7,0,0,0,0,13,10,8,35,14,20,10,3,0,0,99
UCL122110,4,0,3,0,4,0,0,0,0,19,80,26,39,56,40,61,36,24,3,362
UCL122111,0,5,0,0,0,4,8,0,0,21,80,40,26,52,52,68,50,9,3,367
UCL122112,0,5,0,0,7,5,3,0,0,17,18,17,10,13,42,70,69,35,6,279
UCL122113,6,8,0,0,3,0,0,0,0,16,28,18,8,24,25,40,27,18,0,191
UCL122114,5,0,5,0,0,7,7,5,0,22,25,11,19,15,35,66,75,26,11,282
UCL122115,4,4,6,0,7,0,5,3,0,29,51,18,16,36,29,42,58,32,5,285
UCL122116,9,0,8,0,4,0,6,3,3,35,34,22,20,12,46,54,57,30,10,283
UCL122117,10,4,0,3,6,6,0,0,0,40,97,61,50,43,53,62,37,19,0,433
UCL122118,10,0,0,4,0,3,5,3,0,23,68,33,39,38,42,35,25,9,0,292
UCL122119,6,0,5,3,3,3,9,5,0,26,38,14,27,30,40,69,75,28,5,319
UCL122120,8,6,7,3,6,8,5,3,0,40,117,40,50,54,68,65,46,26,6,469
UCL122121,8,4,6,11,3,7,0,0,0,36,76,35,40,50,29,36,29,11,0,304
UCL122122,13,3,5,0,3,4,6,0,0,34,123,50,46,66,64,59,49,19,4,483
UCL122123,0,0,0,0,4,4,4,0,0,20,33,17,9,15,28,38,47,22,5,207
UCL122124,3,0,0,0,0,3,0,3,0,17,73,45,24,48,49,22,24,12,0,284
UCL122125,11,6,0,4,0,5,7,7,3,39,29,14,11,20,17,39,54,24,8,212
UCL122126,0,3,5,4,0,8,4,0,0,25,74,36,32,51,50,94,44,20,5,409
UCL122127,0,9,0,4,4,6,4,0,4,23,43,26,15,19,42,50,56,23,15,292
UCL122128,6,0,5,0,3,0,3,0,0,27,42,13,35,17,24,27,26,16,5,206
UCL122129,3,4,0,5,7,0,7,0,0,26,39,28,30,26,40,48,42,28,10,288
UCL122130,3,0,0,5,6,0,3,0,0,23,38,11,25,22,27,33,36,14,3,210
UCL122131,5,18,36,22,16,14,6,3,0,123,38,54,96,52,75,56,23,6,5,400
UCL122132,7,16,5,3,3,4,0,0,0,48,66,73,38,37,52,63,53,39,13,445
UCL122133,4,0,0,0,18,9,13,9,3,58,27,10,11,11,49,48,68,33,5,269
UCL122134,10,6,5,0,5,5,7,0,0,38,66,48,36,44,55,66,54,19,6,388
UCL122135,3,4,11,3,7,3,5,0,0,37,28,18,50,38,40,17,21,15,3,236
UCL122136,0,6,0,0,0,0,0,0,0,8,48,38,27,16,29,16,8,3,0,187
UCL122137,5,6,7,6,0,9,5,4,10,49,31,19,33,20,17,44,47,29,29,263
UCL122138,3,3,7,4,6,13,4,0,0,40,42,29,29,33,32,60,55,32,16,335
UCL122139,0,0,3,0,0,4,3,0,0,9,34,25,18,21,30,54,56,16,0,253
UCL122140,12,9,6,5,0,5,3,8,0,46,52,12,32,22,11,36,26,17,16,218
UCL122141,9,4,6,6,8,6,5,4,0,43,71,27,56,43,47,84,36,15,6,382
UCL122142,0,0,0,0,6,3,3,0,0,20,36,15,11,24,39,46,34,9,0,206
UCL122143,4,11,3,4,5,8,6,0,5,45,32,22,12,25,29,34,37,6,4,211
UCL122144,0,3,0,10,4,7,8,3,0,26,65,30,35,41,46,62,75,40,28,418
UCL122145,0,4,3,0,0,5,10,0,0,25,23,16,25,16,20,52,51,23,3,227
UCL122146,5,4,0,0,5,7,11,0,0,27,18,19,12,15,24,58,55,32,11,248
UCL122147,0,0,3,4,4,3,5,0,0,23,29,8,16,11,34,28,53,19,10,218
UCL122148,6,3,3,5,8,15,3,0,0,39,21,8,10,13,29,58,42,20,5,216
UCL122149,10,11,0,3,9,10,0,0,0,53,64,44,32,28,60,63,41,19,0,346
UCL122150,10,3,6,12,3,4,0,0,0,38,102,41,57,69,46,77,40,25,4,462
UCL122151,8,0,0,11,3,7,16,3,0,60,39,16,20,26,33,55,58,32,8,285
UCL122152,13,3,3,4,11,8,10,0,0,46,43,15,25,24,31,63,74,40,3,327
UCL122153,7,6,4,3,5,4,3,5,0,33,46,31,27,40,63,79,58,20,7,371
UCL122154,0,0,0,8,9,7,4,0,0,30,67,26,29,55,59,96,68,5,9,419
UCL122155,9,10,8,9,13,11,4,0,6,57,77,47,57,56,66,88,68,19,13,491
UCL122156,7,6,7,0,0,4,3,0,0,41,88,38,57,37,61,59,62,32,5,432
UCL122157,6,4,0,4,3,0,4,0,0,26,63,98,33,38,76,67,34,11,0,416
UCL122158,3,0,0,0,0,0,0,0,3,8,32,22,21,23,26,35,25,25,22,221
UCL131001,10930,7302,6588,7670,9114,9902,7544,3664,999,63710,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
UCL201001,57030,40617,54467,45951,39935,31762,22863,15296,9177,317085,822705,564204,745220,690688,585234,489125,372835,220034,95489,4585537
UCL203001,1694,1156,1128,909,1017,837,708,474,283,8219,19502,13189,14830,13043,12584,12102,10924,6377,2790,105348
UCL203002,1700,1031,1090,933,921,913,687,519,387,8184,18905,12190,13806,12295,11773,11857,10787,6256,2780,100649
UCL203003,2496,1995,1997,1646,1586,1375,1113,680,363,13239,31722,23401,28627,23294,21426,19990,17033,10156,4583,180239
UCL211001,689,418,393,366,340,319,253,143,64,2985,7509,4657,5187,4754,4553,4453,3985,2082,671,37839
UCL211002,2075,945,1182,1101,789,541,376,173,53,7227,19391,9096,13038,12129,8198,6435,5308,2153,591,76346
UCL212001,370,177,216,198,188,155,130,68,21,1529,4527,2383,3250,3016,2657,2301,2073,1080,404,21692
UCL212002,217,134,147,117,163,152,155,112,106,1302,2293,1508,1603,1393,1686,1863,1762,1150,512,13764
UCL212003,773,462,512,454,428,380,324,214,159,3704,6475,4171,5296,4211,4211,4210,3740,2323,1016,35652
UCL212004,268,141,109,187,161,198,226,129,56,1473,4417,2021,1822,2938,2950,2930,3066,1374,519,22035
UCL212005,1083,673,689,628,536,513,374,295,141,4928,9956,5941,6919,6112,5847,5642,4933,3148,1352,49862
UCL212006,548,335,377,336,350,288,151,102,53,2531,7247,4601,5422,5140,5187,4733,3411,1625,644,38010
UCL212007,338,189,154,237,256,172,192,94,80,1710,5085,2247,2322,3697,3264,2501,2385,1085,414,22998
UCL212008,480,288,301,285,270,297,228,216,172,2549,5102,3114,3855,3448,3183,3437,2998,1775,725,27628
UCL212009,579,369,312,394,352,296,245,205,128,2877,5656,3661,4254,3901,4076,4252,3790,2258,1045,32894
UCL213001,251,138,146,107,145,151,156,132,124,1352,2328,1444,1623,1361,1499,1704,1869,1367,543,13734
UCL213002,119,113,261,226,199,135,125,122,120,1418,1493,797,992,1284,1421,1475,1630,1005,465,10577
UCL213003,185,118,125,100,125,114,123,83,36,1017,2092,1343,1621,1364,1425,1499,1488,1033,492,12348
UCL213004,292,129,145,140,127,126,110,73,23,1174,3007,1528,2055,1665,1613,1723,1738,1060,372,14764
UCL213005,218,125,98,124,89,101,126,101,44,1026,2842,1580,1723,1898,1866,2185,2383,1296,424,16199
UCL213006,145,91,48,113,91,63,49,32,6,645,2610,1252,923,1694,1607,1212,900,578,223,10999
UCL213007,266,197,189,144,115,133,115,91,56,1302,3011,1859,2194,1835,1780,2018,1797,1213,576,16289
UCL213008,219,113,122,110,123,86,101,34,27,940,3283,1791,2373,2242,2085,1576,1464,701,262,15772
UCL213009,169,74,100,73,99,78,70,55,16,739,2286,1381,1554,1552,1567,1495,1316,864,301,12319
UCL213010,353,189,196,178,206,206,173,98,49,1648,2507,1657,2005,1614,1838,2170,2157,1258,554,15758
UCL213011,428,230,256,244,242,197,155,111,115,1982,2446,1587,1741,1476,1728,1898,1691,1021,467,14068
UCL213012,191,105,98,133,116,116,119,65,23,964,1653,1093,1015,1119,1345,1608,1497,779,334,10450
UCL213013,203,162,157,150,169,118,124,70,67,1227,2545,1525,1783,1639,1701,1721,1678,1047,460,14100
UCL213014,261,121,152,113,87,118,95,60,39,1048,2072,1214,1619,1297,1092,1270,1086,803,417,10869
UCL213015,338,156,185,183,121,97,61,33,5,1188,3639,1752,2501,2278,1780,1486,902,343,75,14741
UCL213016,324,178,188,164,186,189,167,133,87,1620,3405,2144,2268,2206,2357,2454,2383,1698,793,19712
UCL213017,291,153,212,161,167,132,131,101,51,1406,3523,2097,2630,2241,2247,2245,2183,1403,563,19134
