UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL122002,0,0,0,0,0,4,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,11,5,7,3,43,0,9,26,31,32,48,38,30,7,211
UCL122003,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,0,0,8,12,36,59,47,66,46,31,12,5,322
UCL122004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,26,31,60,9,8,169
UCL122005,0,0,0,0,0,3,6,6,4,20,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,6,3,4,0,22,7,8,30,23,43,62,67,38,6,288
UCL122006,0,0,0,0,3,0,6,3,3,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,8,5,0,29,5,10,12,25,32,35,62,28,14,222
UCL122007,0,0,0,0,3,8,12,17,11,50,0,0,0,0,0,0,4,3,0,10,4,0,3,4,11,4,11,11,0,44,21,9,30,31,55,74,85,56,24,384
UCL122008,0,0,0,0,0,0,7,4,0,15,0,0,0,0,0,0,0,0,0,3,4,0,6,6,5,11,3,8,0,39,12,13,50,19,34,45,28,13,0,208
UCL122009,0,0,0,0,0,4,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,0,16,9,17,37,37,38,37,44,17,0,237
UCL122010,0,0,0,0,0,0,3,5,4,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,4,0,17,13,21,40,35,61,57,30,15,3,269
UCL122011,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,9,5,3,3,0,0,26,12,37,38,38,56,74,34,7,0,300
UCL122012,0,0,0,6,0,5,10,0,8,33,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,6,4,0,29,11,15,29,27,38,36,48,18,14,230
UCL122013,0,0,0,0,3,8,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,4,4,4,0,16,0,10,14,19,37,40,35,22,0,174
UCL122014,0,0,0,5,0,4,12,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,4,24,10,14,31,32,43,53,49,20,12,260
UCL122015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,6,0,21,3,5,14,25,29,46,55,33,6,219
UCL122016,0,0,0,0,0,0,3,0,3,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,13,0,0,29,0,11,46,25,36,36,34,9,4,200
UCL122017,0,0,0,0,0,4,8,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,6,3,0,26,4,11,23,40,33,53,44,22,8,236
UCL122018,0,0,0,0,6,7,12,7,0,27,0,0,0,0,0,0,0,0,0,7,0,0,5,3,12,4,17,7,0,47,11,19,24,34,57,64,83,35,6,336
UCL122019,0,0,0,0,0,4,5,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,5,7,0,0,26,3,9,19,33,42,58,33,19,0,228
UCL122020,0,0,0,0,0,4,4,5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,17,4,4,14,17,36,73,57,26,10,243
UCL122021,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,10,12,20,26,28,44,15,0,161
UCL122022,0,0,0,0,0,3,4,8,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,10,20,39,44,44,91,82,51,8,390
UCL122023,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,15,20,31,43,53,65,74,35,8,338
UCL122024,0,0,0,0,0,0,4,3,0,10,0,0,0,0,3,0,0,0,0,5,0,0,6,0,8,0,3,0,0,14,5,12,28,33,55,37,41,18,0,232
UCL122025,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,18,4,14,35,19,49,47,11,15,4,193
UCL122026,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,4,7,11,20,33,42,32,25,6,0,178
UCL122027,0,0,0,0,0,5,4,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,3,4,18,9,34,47,46,28,16,213
UCL122028,0,0,0,0,5,8,8,13,5,32,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,13,8,3,0,35,11,13,35,18,51,71,57,39,10,307
UCL122029,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,5,5,0,27,7,3,19,25,41,43,64,29,4,229
UCL122030,0,0,0,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,4,5,6,13,3,0,0,38,8,16,37,44,50,85,58,9,0,307
UCL122031,0,0,0,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,11,10,27,41,73,67,39,23,7,0,296
UCL122032,0,0,3,0,7,7,5,0,0,16,0,0,0,0,0,0,4,0,0,3,0,7,4,4,4,4,6,0,3,30,4,19,74,63,55,71,47,7,7,350
UCL122033,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,18,0,5,36,31,29,33,15,11,3,171
UCL122034,0,0,0,0,0,0,0,5,0,9,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,5,13,23,22,38,34,29,10,3,177
UCL122035,0,0,0,0,0,7,4,7,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,11,0,0,35,12,18,27,46,43,87,69,31,7,340
UCL122036,0,0,0,0,0,6,11,3,0,24,0,0,0,0,0,0,3,0,0,6,14,8,19,11,22,13,13,6,0,100,23,34,45,37,60,54,57,23,4,326
UCL122037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,3,5,27,52,45,26,11,5,3,179
UCL122038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,5,0,15,3,6,26,35,45,44,47,16,9,241
UCL122039,0,0,0,0,0,3,15,7,4,33,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,5,9,0,28,12,18,29,50,47,68,65,30,10,331
UCL122040,0,0,0,0,6,0,5,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,16,6,6,29,17,30,42,36,13,3,180
UCL122041,0,0,0,0,0,4,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,8,5,3,7,10,6,0,0,28,9,25,53,42,42,73,55,15,4,307
UCL122042,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,19,12,22,31,40,44,29,33,13,0,225
UCL122043,0,0,0,0,0,5,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,6,0,14,5,12,25,35,36,47,55,22,7,247
UCL122044,0,0,0,0,0,3,7,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,5,6,8,10,21,20,25,7,0,102
UCL122045,0,0,0,0,0,5,9,4,0,16,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,0,19,6,13,23,17,27,47,38,27,7,209
UCL122046,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,3,6,24,3,13,32,36,34,124,113,56,22,432
UCL122047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,11,3,5,9,27,46,75,65,33,0,256
UCL122048,5,0,0,0,8,12,15,12,0,50,0,0,0,0,0,0,0,0,0,0,9,4,18,13,7,19,7,10,6,102,18,11,50,45,59,74,61,50,10,376
UCL122049,0,0,0,0,0,5,6,5,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,17,5,0,40,5,18,13,18,51,56,83,36,7,282
UCL122050,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,4,5,0,7,0,0,0,0,0,0,13,4,7,16,17,18,44,33,17,14,168
UCL122051,0,0,0,0,7,3,3,0,0,18,0,0,0,0,0,0,0,0,0,4,3,0,9,9,8,9,3,3,0,38,11,13,17,33,35,47,30,23,0,212
UCL122052,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,0,0,15,6,9,10,28,35,46,56,18,0,218
UCL122053,0,0,0,0,0,4,9,8,3,20,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,5,7,30,3,0,17,20,35,63,47,43,24,257
UCL122054,0,0,0,0,0,0,14,7,3,27,0,0,0,0,5,0,0,0,0,5,18,5,17,13,14,14,24,7,4,108,19,17,78,46,64,55,76,20,6,383
UCL122055,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,15,4,12,18,26,51,64,84,64,5,331
UCL122056,0,0,0,0,0,3,3,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,6,8,12,39,33,31,58,24,10,230
UCL122057,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,10,14,28,27,49,34,40,7,4,213
UCL122058,0,0,0,0,0,0,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,5,7,0,31,3,17,59,44,49,80,84,51,5,391
UCL122059,0,0,3,4,0,5,9,0,5,24,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,3,9,0,0,30,7,30,53,51,53,56,59,22,11,345
UCL122060,0,0,0,0,0,5,5,4,4,20,0,0,0,0,0,0,0,0,0,0,4,3,5,7,11,12,11,3,4,54,12,15,45,44,44,64,59,24,9,317
UCL122061,0,0,0,3,0,7,7,4,0,19,0,0,0,0,0,0,0,0,0,7,0,0,4,3,8,5,0,3,0,35,0,10,26,17,23,24,18,11,0,133
UCL122062,0,0,0,0,0,0,8,3,0,21,0,0,0,0,0,0,0,0,0,0,3,3,4,5,9,9,6,4,0,36,10,19,51,22,51,48,32,15,5,255
UCL122063,0,0,0,0,0,5,4,0,3,20,0,0,0,0,0,4,0,0,0,4,3,0,0,3,0,3,0,4,0,20,16,8,38,43,31,47,29,20,13,240
UCL122064,0,0,0,0,4,3,0,9,5,21,0,0,0,4,0,0,0,0,0,5,3,0,6,6,4,12,3,6,3,41,8,16,33,37,42,53,36,27,12,261
UCL122065,0,0,0,0,0,0,6,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,8,0,26,0,11,29,27,30,96,86,43,7,329
UCL122066,0,0,0,0,0,0,4,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,28,27,44,62,62,44,19,5,286
UCL122067,0,0,0,0,0,0,4,7,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,3,0,0,17,13,19,36,36,70,78,72,28,6,364
UCL122068,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,4,4,9,6,0,7,3,0,0,27,8,3,16,28,23,25,26,3,3,141
UCL122069,0,0,0,0,0,5,8,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,12,4,6,19,31,48,61,50,25,6,255
UCL122070,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,9,13,25,27,53,57,54,60,33,15,335
UCL122071,0,0,0,0,0,4,11,4,3,22,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,4,0,11,11,12,47,30,36,43,55,37,8,284
UCL122072,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,10,6,16,23,19,27,44,28,26,6,197
UCL122073,0,0,0,0,0,4,4,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,3,7,0,25,0,10,29,28,33,58,61,32,5,254
UCL122074,0,0,0,0,0,9,13,11,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,8,9,5,0,28,7,11,20,16,37,62,60,32,0,239
UCL122075,0,0,0,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,15,5,15,29,39,38,30,21,12,6,201
UCL122076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,11,15,31,32,39,24,11,0,167
UCL122077,0,0,0,0,0,10,7,9,0,32,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,4,0,4,0,28,21,20,26,22,36,64,57,30,7,289
UCL122078,0,0,0,0,0,0,0,4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,19,0,4,21,20,27,48,57,47,15,242
UCL122079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,21,31,44,42,36,19,3,213
UCL122080,0,0,0,0,3,0,3,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,4,0,15,11,27,58,65,51,59,42,26,0,332
UCL122081,0,0,0,0,0,5,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,11,9,0,38,8,9,19,32,35,45,35,22,5,202
UCL122082,0,0,0,0,0,0,9,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,16,3,3,5,13,33,51,64,31,8,212
UCL122083,0,0,0,0,0,0,5,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,11,5,23,30,20,51,57,30,8,3,237
UCL122084,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,5,0,0,25,10,16,25,31,29,29,12,9,5,163
UCL122085,0,0,0,0,0,4,14,9,3,30,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,8,9,0,28,12,4,30,26,26,34,51,24,3,210
UCL122086,0,0,0,0,0,3,13,8,4,34,0,0,0,0,0,0,0,0,0,5,5,4,6,0,11,13,21,5,0,70,16,14,41,29,53,61,70,32,10,323
UCL122087,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,5,0,0,15,4,0,9,23,13,32,52,11,4,161
UCL122088,0,0,0,5,0,5,5,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,5,12,7,0,35,12,15,19,30,38,32,43,9,3,204
UCL122089,0,0,5,4,0,4,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,10,4,3,0,39,12,14,65,54,49,68,48,36,9,355
UCL122090,0,0,0,0,0,5,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,4,8,0,0,41,10,21,50,59,62,81,66,36,4,389
UCL122091,0,0,0,0,0,0,6,5,5,14,0,0,0,0,0,0,0,0,0,0,8,0,9,9,6,14,7,12,7,60,8,14,39,30,34,52,44,33,13,267
UCL122092,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,0,0,19,6,21,29,52,43,62,54,21,3,293
UCL122093,0,0,0,4,3,3,9,9,0,21,0,0,0,0,0,0,0,0,0,5,7,6,4,12,3,11,0,6,4,51,11,15,31,43,46,67,35,27,8,284
UCL122094,0,0,0,0,0,3,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,3,0,21,9,10,29,29,49,61,56,25,11,291
UCL122095,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,4,16,3,9,23,27,38,45,14,12,3,174
UCL122096,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,5,4,0,21,11,4,13,18,30,56,37,36,0,215
UCL122097,0,0,0,0,4,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,9,12,0,26,7,18,16,13,38,36,25,15,4,173
UCL122098,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,4,0,0,3,5,3,17,18,18,23,28,10,12,115,7,11,46,54,61,104,84,23,14,403
UCL122099,0,0,0,0,3,3,10,6,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,3,0,18,13,16,30,16,25,39,46,17,4,205
UCL122100,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,7,0,3,9,9,11,0,4,51,8,12,23,37,63,108,111,51,8,433
UCL122101,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,13,14,14,12,46,68,57,68,18,0,296
UCL122102,0,0,0,0,3,0,4,4,0,12,0,0,0,0,0,0,0,5,0,5,9,5,0,0,4,15,14,3,0,55,13,14,18,15,38,64,57,32,6,258
UCL122103,0,0,0,0,0,3,3,6,5,16,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,3,0,0,0,13,6,12,13,19,23,39,24,16,7,166
UCL122104,0,0,0,0,0,5,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,25,33,75,80,43,21,5,342
UCL122105,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,13,27,54,48,58,20,4,0,233
UCL122106,0,0,0,0,0,4,5,4,0,20,0,0,0,0,0,0,0,0,0,0,6,0,14,7,3,18,18,9,0,77,3,4,48,22,26,65,46,25,3,249
UCL122107,0,0,0,0,0,4,5,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,15,9,17,41,46,40,65,39,24,4,279
UCL122108,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,15,7,3,31,4,7,6,12,17,42,66,43,6,196
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,10,0,0,0,0,15,0,11,35,14,20,10,3,0,0,91
UCL122110,0,0,0,0,0,5,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,39,56,40,61,36,24,3,277
UCL122111,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,9,3,0,0,18,9,20,26,52,52,68,50,9,3,281
UCL122112,0,0,0,0,0,5,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,17,3,13,10,13,42,70,69,35,6,256
UCL122113,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,7,8,24,25,40,27,18,0,155
UCL122114,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,6,3,0,16,3,7,19,15,35,66,75,26,11,248
UCL122115,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,3,0,22,4,9,16,36,29,42,58,32,5,234
UCL122116,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,5,0,26,4,4,20,12,46,54,57,30,10,244
UCL122117,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,12,17,28,50,43,53,62,37,19,0,320
UCL122118,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,11,8,21,39,38,42,35,25,9,0,221
UCL122119,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,4,4,0,16,9,6,27,30,40,69,75,28,5,285
UCL122120,0,0,0,0,5,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,4,6,4,0,7,7,0,29,15,20,50,54,68,65,46,26,6,350
UCL122121,0,0,0,0,0,0,4,6,0,9,0,0,0,0,0,0,0,0,0,0,5,0,6,10,3,0,5,0,0,30,13,7,40,50,29,36,29,11,0,217
UCL122122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,10,8,31,46,66,64,59,49,19,4,350
UCL122123,0,0,0,0,3,0,4,6,0,14,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4,3,0,0,13,4,8,9,15,28,38,47,22,5,171
UCL122124,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,25,24,48,49,22,24,12,0,199
UCL122125,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,7,3,30,7,3,11,20,17,39,54,24,8,176
UCL122126,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,0,13,12,18,32,51,50,94,44,20,5,324
UCL122127,0,0,0,0,0,0,3,5,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,6,23,10,17,15,19,42,50,56,23,15,248
UCL122128,0,0,0,4,0,3,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,16,0,7,35,17,24,27,26,16,5,156
UCL122129,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10,4,10,30,26,40,48,42,28,10,234
UCL122130,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,3,0,0,0,15,3,0,25,22,27,35,36,14,3,159
UCL122131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,36,22,16,14,4,3,0,115,10,41,96,52,75,56,23,6,5,355
UCL122132,3,0,0,4,0,8,17,15,8,60,0,0,0,0,0,0,0,0,0,0,9,4,4,3,10,7,4,6,4,53,20,34,38,37,52,63,53,39,13,361
UCL122133,0,0,0,0,5,8,8,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,11,15,3,64,3,8,11,11,49,48,68,33,5,244
UCL122134,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,5,6,0,0,24,13,19,36,44,55,66,54,19,6,310
UCL122135,0,0,3,8,12,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,3,10,3,3,4,5,4,0,32,0,16,50,38,40,17,21,15,3,199
UCL122136,0,0,5,0,7,3,0,0,0,21,0,0,0,0,4,0,0,0,0,4,5,3,0,0,7,0,0,0,0,19,14,15,27,16,29,16,8,3,0,130
UCL122137,0,0,0,0,0,4,6,4,6,17,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,9,5,4,9,41,3,15,33,20,17,44,47,29,29,230
UCL122138,0,0,0,4,3,0,11,5,5,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,5,4,0,35,7,11,29,33,32,60,55,32,16,282
UCL122139,0,0,0,0,0,9,6,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,9,6,15,18,21,30,54,56,16,0,213
UCL122140,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,11,5,0,0,4,5,12,49,8,8,32,22,11,36,26,17,16,165
UCL122141,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,20,11,14,56,43,47,84,36,15,6,297
UCL122142,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,13,10,7,11,24,39,46,34,9,0,172
UCL122143,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,9,4,3,6,5,6,7,0,5,39,12,9,12,25,29,34,37,6,4,178
UCL122144,0,0,0,0,0,4,7,5,20,36,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,7,9,3,0,26,12,14,35,41,46,62,75,40,28,348
UCL122145,0,0,0,0,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,28,6,8,25,16,20,52,51,23,3,199
UCL122146,0,0,0,0,0,5,14,8,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,3,3,0,24,9,7,12,15,24,58,55,32,11,223
UCL122147,0,0,0,0,0,4,11,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,0,0,16,0,10,16,11,34,28,53,19,10,187
UCL122148,0,0,0,0,0,0,8,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,19,3,4,0,37,7,0,10,13,29,58,42,20,5,194
UCL122149,0,0,0,0,4,6,8,4,0,21,0,0,0,0,0,0,0,0,0,0,4,3,0,3,7,10,4,0,0,36,16,30,32,28,60,63,41,19,0,275
UCL122150,0,0,0,0,0,4,5,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,6,5,0,28,7,24,57,69,46,77,40,25,4,350
UCL122151,0,0,0,0,4,4,4,0,3,16,0,0,0,0,0,0,0,0,0,3,0,0,5,4,7,5,14,5,0,35,0,3,20,26,33,55,58,32,8,236
UCL122152,0,0,0,5,3,3,12,10,0,31,0,0,0,0,0,3,0,0,0,6,0,0,0,0,6,4,6,0,0,30,7,9,25,24,31,63,74,40,3,277
UCL122153,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,7,5,0,18,5,12,27,40,63,79,58,20,7,313
UCL122154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,15,8,14,29,55,59,96,68,5,9,336
UCL122155,0,0,0,0,4,7,11,5,5,29,0,0,0,0,0,0,0,0,0,0,3,3,10,3,7,12,9,0,5,46,19,19,57,56,66,88,68,19,13,405
UCL122156,0,0,0,0,0,6,6,5,5,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,0,0,22,10,20,57,37,61,59,62,32,5,332
