UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL122086,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,7,0,6,0,6,..,0,0,0,70,70,305,7,0,6,70,380
UCL122087,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,4,4,177,3,0,3,4,187
UCL122088,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,10,0,10,..,0,0,0,30,30,215,10,0,10,30,249
UCL122089,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,39,39,406,5,0,5,39,454
UCL122090,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,28,4,28,0,28,..,0,0,0,33,37,382,28,4,31,33,448
UCL122091,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,29,3,28,0,30,..,0,0,0,58,56,250,27,3,28,58,339
UCL122092,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,17,18,347,3,0,3,17,366
UCL122093,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,21,0,26,0,26,..,0,0,0,47,47,278,21,0,26,47,348
UCL122094,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,17,17,317,0,0,0,17,336
UCL122095,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,19,19,209,0,0,3,19,233
UCL122096,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,25,25,220,4,0,4,25,245
UCL122097,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,16,16,191,0,0,0,16,202
UCL122098,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,33,0,34,0,34,..,5,0,5,133,131,336,35,0,33,133,500
UCL122099,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,22,22,221,8,0,8,22,250
UCL122100,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,7,23,0,23,..,0,0,0,45,46,419,15,7,19,45,491
UCL122101,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,25,25,338,10,0,10,25,365
UCL122102,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,61,62,239,7,0,6,61,314
UCL122103,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,4,7,0,7,..,3,4,6,0,6,..,0,0,0,8,8,177,3,4,6,8,196
UCL122104,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,80,3,79,0,79,..,0,0,0,0,0,327,80,3,79,0,411
UCL122105,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,6,..,25,3,25,0,25,..,0,0,0,6,4,286,22,3,27,9,321
UCL122106,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,89,89,221,0,0,0,89,305
UCL122107,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,9,333,0,0,0,8,345
UCL122108,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,6,9,0,9,..,5,0,5,28,27,168,12,6,12,28,211
UCL122109,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,22,3,24,0,24,..,0,0,0,15,15,64,22,3,24,15,99
UCL122110,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,6,357,0,0,0,8,362
UCL122111,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,3,19,0,19,..,0,0,0,8,8,339,19,3,19,8,367
UCL122112,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,13,15,262,3,0,3,13,279
UCL122113,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,8,6,181,7,0,7,8,191
UCL122114,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,18,18,259,3,0,3,18,282
UCL122115,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,5,0,9,0,9,..,0,0,0,20,20,260,5,0,9,20,285
UCL122116,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,15,0,15,..,0,0,0,30,26,240,14,0,14,30,283
UCL122117,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,16,13,414,4,0,7,16,433
UCL122118,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,13,12,283,4,0,4,13,292
UCL122119,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,0,0,0,14,14,289,12,0,12,14,319
UCL122120,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,18,18,440,9,0,9,18,469
UCL122121,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,29,29,273,3,0,3,29,304
UCL122122,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,0,0,0,7,7,457,17,0,17,7,483
UCL122123,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,8,8,187,6,0,6,8,207
UCL122124,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,5,5,277,11,0,11,5,284
UCL122125,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,0,0,0,..,15,3,14,0,14,..,5,0,5,33,40,162,15,3,16,33,212
UCL122126,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,4,4,397,7,0,7,4,409
UCL122127,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,16,16,272,0,0,0,15,292
UCL122128,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,21,24,177,3,0,5,21,206
UCL122129,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,8,0,8,..,0,0,0,14,14,266,7,0,8,14,288
UCL122130,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,16,18,184,8,0,8,16,210
UCL122131,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,33,3,35,0,35,..,0,0,0,118,117,245,33,3,38,118,400
UCL122132,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,47,42,402,0,0,0,47,445
UCL122133,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,4,9,0,9,..,0,0,0,59,55,210,8,4,6,59,269
UCL122134,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,34,33,353,3,0,3,34,388
UCL122135,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,15,13,19,0,19,..,32,29,65,0,67,..,0,0,0,27,27,143,32,29,65,31,236
UCL122136,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,7,16,0,16,..,11,7,16,0,16,..,0,0,0,4,4,168,11,7,16,4,187
UCL122137,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,3,9,0,8,..,0,0,0,41,41,212,8,3,9,43,263
UCL122138,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,17,0,17,..,0,0,0,25,33,291,14,0,20,25,335
UCL122139,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,7,..,0,0,0,5,5,245,3,0,3,6,253
UCL122140,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,44,44,169,0,0,0,44,218
UCL122141,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,22,22,353,5,0,5,22,382
UCL122142,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,11,0,13,..,0,0,0,11,11,180,9,0,11,17,206
UCL122143,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,6,8,0,8,..,6,5,10,0,10,..,0,0,0,34,34,162,6,5,10,34,211
UCL122144,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,7,0,7,..,0,0,0,18,21,393,7,0,9,18,418
UCL122145,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,21,21,202,6,0,6,21,227
UCL122146,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,9,4,9,..,0,0,0,15,16,224,9,0,6,16,248
UCL122147,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,8,0,8,10,19,191,14,0,14,10,218
UCL122148,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,34,34,178,0,0,0,34,216
UCL122149,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,8,0,8,..,0,0,0,43,42,299,5,3,7,43,346
UCL122150,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,0,0,0,23,25,426,12,0,12,23,462
UCL122151,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,12,0,10,0,10,..,0,0,0,39,35,237,12,0,9,39,285
UCL122152,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,0,29,29,294,5,0,5,29,327
UCL122153,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,39,0,39,0,39,..,0,0,0,16,16,319,39,0,39,16,371
UCL122154,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,10,0,10,0,10,..,0,0,0,17,19,387,16,0,16,17,419
UCL122155,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,16,0,16,..,0,0,0,46,46,436,15,0,16,46,491
UCL122156,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,10,8,18,0,18,..,0,0,0,17,16,397,12,8,20,17,432
UCL122157,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,15,0,15,..,4,0,4,12,11,383,19,0,19,12,416
UCL122158,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,3,3,208,3,0,3,3,221
UCL131001,17,103,0,106,..,449,110,553,0,560,..,178,19,197,3,205,..,289,88,379,4,381,..,5253,523,5773,96,5870,..,23463,3121,26588,315,26901,..,1079,82,1164,46320,47484,499886,24549,3204,27752,46634,574269
UCL179997,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
UCL199994,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
UCL201001,2235,31756,359,32118,..,9825,2104,11932,83,12018,..,26000,6303,32299,228,32525,..,78996,34287,113287,833,114119,..,184519,39066,223580,3996,227574,..,1360103,257270,1617374,15776,1633150,..,22251,5188,27441,190048,217490,2734902,1382354,262462,1644813,205824,4585537
UCL203001,0,140,3,147,..,114,18,129,4,136,..,16,3,18,0,18,..,157,19,177,0,177,..,1057,123,1177,35,1213,..,6921,718,7642,111,7755,..,295,36,333,4973,5303,92292,7220,753,7971,5085,105348
UCL203002,3,83,0,81,..,68,15,83,0,83,..,22,3,25,0,25,..,124,41,159,5,167,..,1698,886,2583,48,2635,..,5902,1358,7263,107,7365,..,280,58,341,4929,5265,88018,6181,1419,7598,5028,100649
UCL203003,35,428,4,431,..,251,61,315,3,321,..,214,52,260,0,260,..,476,171,653,6,655,..,4150,1205,5352,97,5452,..,22075,3676,25751,293,26047,..,571,85,662,8030,8696,145499,22646,3765,26412,8326,180239
UCL211001,4,17,0,17,..,26,8,33,0,33,..,4,0,4,0,4,..,120,84,201,0,201,..,522,170,690,15,704,..,2290,477,2766,39,2805,..,137,24,165,1770,1936,33101,2429,504,2932,1809,37839
UCL211002,49,404,8,412,..,124,24,148,0,148,..,281,38,328,5,331,..,536,269,799,3,807,..,4941,1146,6082,119,6202,..,21161,3245,24409,360,24770,..,498,137,639,4837,5471,46102,21662,3383,25046,5195,76346
UCL212001,4,41,0,41,..,16,0,11,0,11,..,20,5,20,0,20,..,37,14,52,0,52,..,381,43,429,9,441,..,1904,207,2104,30,2138,..,67,11,72,784,858,18697,1969,215,2182,813,21692
UCL212002,0,9,0,9,..,0,3,6,0,6,..,0,0,0,0,0,..,16,9,27,0,27,..,74,12,83,0,83,..,577,79,656,13,669,..,58,3,63,798,853,12239,632,83,717,811,13764
UCL212003,12,74,0,77,..,53,52,105,0,110,..,222,136,362,0,364,..,185,182,371,7,377,..,886,311,1198,16,1213,..,3966,1562,5530,73,5605,..,129,33,162,2435,2592,27450,4097,1598,5689,2511,35652
UCL212004,0,0,0,0,..,5,0,11,0,11,..,6,0,6,0,6,..,10,0,9,0,14,..,145,6,150,7,154,..,611,30,644,20,669,..,29,3,28,954,982,20383,638,36,679,976,22035
UCL212005,14,151,0,157,..,92,27,118,0,118,..,282,102,379,0,385,..,57,20,81,8,81,..,1830,704,2541,45,2583,..,8311,2175,10492,152,10638,..,217,61,275,3294,3568,35658,8529,2239,10761,3443,49862
UCL212006,0,22,0,22,..,68,12,81,0,81,..,44,7,46,0,47,..,75,15,87,0,90,..,494,76,567,14,581,..,3234,340,3574,42,3613,..,92,5,98,1305,1404,32991,3330,345,3669,1345,38010
UCL212007,0,0,0,0,..,12,0,14,0,14,..,3,0,3,0,3,..,10,0,11,0,13,..,202,17,221,8,228,..,969,71,1039,22,1064,..,47,3,55,930,987,20948,1013,74,1094,950,22998
UCL212008,0,36,0,36,..,34,3,41,0,41,..,9,4,14,0,14,..,53,12,60,4,63,..,294,36,321,21,342,..,1755,213,1967,32,2001,..,76,5,87,1562,1646,23977,1838,213,2052,1600,27628
UCL212009,6,28,0,28,..,51,15,73,0,73,..,8,0,10,4,16,..,69,54,123,0,124,..,244,36,280,13,293,..,1502,315,1819,42,1855,..,97,8,103,1764,1869,29167,1599,322,1920,1804,32894
UCL213001,0,30,0,30,..,12,22,32,0,32,..,0,0,0,0,0,..,38,22,60,0,60,..,62,18,73,4,81,..,641,122,765,8,773,..,53,12,66,967,1034,11926,695,138,828,977,13734
UCL213002,0,9,0,9,..,10,0,10,0,10,..,5,0,5,0,5,..,3,0,3,0,3,..,82,15,96,0,96,..,358,39,397,8,400,..,33,0,32,1249,1283,8891,391,40,429,1255,10577
UCL213003,0,8,0,8,..,13,3,16,0,18,..,0,0,0,0,0,..,13,6,19,0,19,..,140,35,167,12,182,..,636,268,908,9,918,..,29,3,35,559,600,10835,662,274,938,572,12348
UCL213004,0,11,0,11,..,9,0,6,0,6,..,3,0,3,0,3,..,9,5,11,0,11,..,159,11,178,3,183,..,649,80,723,7,734,..,33,4,36,639,669,13362,681,81,759,643,14764
UCL213005,0,5,0,5,..,23,0,24,0,24,..,8,0,11,0,11,..,10,0,10,0,10,..,142,19,159,5,167,..,695,72,767,12,775,..,42,6,47,477,520,14897,737,71,809,490,16199
UCL213006,0,3,0,3,..,10,0,10,0,10,..,11,0,13,0,13,..,5,6,7,0,7,..,76,12,86,3,86,..,500,33,533,5,538,..,38,0,38,296,334,10129,535,33,572,302,10999
UCL213007,4,11,0,13,..,8,0,9,0,9,..,11,0,20,0,15,..,19,0,19,0,19,..,122,59,187,7,189,..,770,107,875,14,889,..,33,8,49,817,864,14537,804,115,924,834,16289
UCL213008,5,20,0,20,..,42,10,55,0,55,..,17,0,16,0,16,..,43,18,63,0,61,..,218,36,250,11,260,..,1568,158,1725,33,1752,..,38,4,47,422,472,13550,1604,159,1770,460,15772
UCL213009,0,5,0,5,..,9,0,9,0,9,..,12,0,12,0,12,..,12,0,14,0,14,..,137,11,150,0,157,..,726,73,796,9,806,..,24,3,27,442,467,11048,745,76,823,451,12319
UCL213010,0,0,0,0,..,17,6,18,0,18,..,0,0,3,0,3,..,15,9,23,0,23,..,259,50,304,4,317,..,776,154,936,12,947,..,61,4,60,1144,1203,13611,835,158,996,1156,15758
UCL213011,0,7,0,7,..,10,6,16,0,16,..,4,0,3,0,3,..,19,15,40,7,38,..,276,108,390,9,395,..,1210,279,1490,18,1508,..,49,30,79,1476,1555,11002,1263,304,1569,1496,14068
UCL213012,0,4,0,4,..,12,0,12,0,12,..,0,0,0,0,0,..,11,5,17,0,13,..,59,7,68,0,70,..,345,20,360,5,367,..,31,0,32,641,674,9411,374,20,390,644,10450
UCL213013,5,41,0,36,..,14,0,14,0,14,..,0,0,0,0,0,..,36,21,57,3,58,..,110,24,130,3,135,..,784,110,897,17,908,..,47,0,52,825,878,12313,834,114,947,836,14100
UCL213014,0,9,0,9,..,9,0,10,0,10,..,0,0,0,0,0,..,91,69,161,0,158,..,147,46,200,11,205,..,1031,326,1354,24,1373,..,46,17,62,674,742,8756,1079,340,1416,694,10869
UCL213015,4,46,0,46,..,15,0,13,0,18,..,89,20,108,0,108,..,30,7,31,0,31,..,395,99,494,13,511,..,2422,294,2715,37,2750,..,53,4,54,606,661,11326,2469,295,2771,642,14741
UCL213016,6,33,0,33,..,17,7,28,0,28,..,5,0,0,0,3,..,15,7,26,0,26,..,133,15,147,13,154,..,1045,131,1181,21,1195,..,54,7,60,1019,1080,17435,1101,139,1242,1034,19712
UCL213017,3,22,0,21,..,31,7,40,0,44,..,4,0,4,0,4,..,37,17,57,0,57,..,234,19,251,5,260,..,1176,148,1324,14,1340,..,41,3,42,849,885,16904,1218,152,1368,857,19134
UCL213018,0,0,0,0,..,5,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,43,4,50,0,50,..,257,22,282,3,284,..,27,0,24,488,518,7775,287,28,309,491,8580
UCL214001,0,3,0,3,..,5,0,5,0,5,..,6,0,7,0,7,..,11,4,15,0,15,..,73,9,82,5,83,..,407,74,490,7,491,..,17,0,17,373,397,6135,430,80,509,375,7015
UCL214002,0,0,0,0,..,7,0,9,0,9,..,0,0,0,0,0,..,3,0,6,0,6,..,51,12,59,0,62,..,184,24,209,3,214,..,10,0,13,191,203,5759,196,25,221,200,6178
UCL214003,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,5,..,50,4,54,0,54,..,380,39,424,14,436,..,27,0,27,773,797,8500,406,39,446,792,9742
UCL214004,0,13,0,13,..,16,11,22,0,22,..,5,0,0,0,0,..,0,0,0,0,0,..,27,5,33,0,33,..,518,192,706,17,720,..,19,3,20,321,344,4329,538,191,726,336,5389
UCL214005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,4,17,0,17,..,0,0,0,51,53,925,21,4,23,51,1004
UCL214006,0,4,0,4,..,12,0,12,0,12,..,4,0,4,0,4,..,17,0,24,0,24,..,68,9,71,0,71,..,469,58,526,4,528,..,25,0,30,412,438,5828,503,58,555,417,6797
UCL214007,0,13,0,13,..,17,3,21,0,21,..,12,0,15,0,15,..,13,3,17,0,24,..,112,12,122,6,126,..,1090,95,1185,22,1203,..,11,3,13,191,201,3604,1096,95,1192,211,5011
UCL214008,0,0,0,0,..,14,7,21,0,21,..,0,0,0,0,0,..,11,0,8,0,8,..,55,13,69,3,75,..,313,37,355,10,362,..,16,0,23,501,524,8693,335,37,373,512,9577
UCL214009,0,0,0,0,..,20,0,19,0,19,..,0,0,0,0,0,..,5,0,3,0,3,..,83,7,94,6,101,..,341,38,381,8,389,..,40,4,42,389,436,7875,388,41,427,400,8698
UCL214010,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,47,9,53,0,51,..,220,23,245,0,251,..,16,0,19,238,260,5538,243,22,267,242,6046
UCL214011,0,10,0,10,..,10,0,14,0,14,..,17,0,20,0,20,..,12,0,12,0,12,..,107,20,128,7,127,..,581,74,652,12,663,..,16,0,19,444,462,7663,600,76,669,453,8786
UCL214012,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,54,8,64,4,60,..,258,38,298,6,309,..,30,0,32,357,391,5317,292,42,331,364,6010
UCL214013,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,4,0,4,..,42,6,52,0,48,..,253,67,321,9,325,..,12,0,12,208,217,4606,265,67,335,213,5151
UCL214014,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,12,8,14,0,14,..,61,0,67,3,67,..,295,28,324,3,330,..,18,0,18,626,638,5553,311,28,340,628,6527
UCL214015,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,7,3,0,3,..,46,5,53,0,51,..,248,45,298,0,297,..,15,3,20,272,289,5029,262,52,314,274,5618
UCL214016,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,4,6,8,0,8,..,43,9,45,0,45,..,238,22,259,3,269,..,27,0,32,418,451,7054,271,24,288,424,7769
UCL214017,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,38,0,38,0,37,..,176,10,185,0,189,..,3,0,3,314,314,4760,180,10,192,314,5265
UCL214018,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,11,0,11,0,11,..,128,8,134,0,135,..,543,75,620,10,633,..,25,0,25,644,672,7744,568,75,646,651,9048
UCL214019,0,0,0,0,..,6,7,16,0,16,..,0,0,0,0,0,..,7,8,13,0,13,..,35,5,39,0,39,..,339,67,404,3,406,..,15,3,21,513,530,5076,356,72,426,514,6016
UCL214020,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,94,12,109,0,109,..,351,75,425,0,430,..,12,4,17,483,500,4695,369,78,445,488,5627
UCL214021,0,0,0,0,..,9,0,9,0,9,..,4,0,3,0,3,..,7,5,12,0,12,..,39,7,42,0,43,..,286,40,323,5,328,..,15,0,15,204,214,4952,302,40,335,210,5497
UCL214022,0,3,0,3,..,20,5,24,0,24,..,0,0,5,0,5,..,10,5,10,0,10,..,69,16,84,0,84,..,381,70,447,6,451,..,24,0,21,495,524,7458,401,70,475,500,8430
UCL215001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,31,3,39,4,34,..,3,0,3,91,94,1260,33,3,35,99,1395
