SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED30091,4,9,0,0,0,8,7,29,55,868,702,208,1778,118,122,240,2021,1476,59,3558
SED30092,5,11,0,0,0,14,7,17,35,700,482,89,1278,32,32,65,1344,522,23,1887
SED30093,8,19,3,0,3,19,29,41,93,1063,810,232,2106,190,142,328,2434,2199,71,4705
SED39494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED40001,0,0,0,0,0,0,3,3,9,461,237,24,726,14,19,38,762,390,8,1160
SED40002,0,0,0,0,0,0,8,10,13,545,343,39,928,26,30,51,978,572,10,1559
SED40003,0,5,0,0,0,5,0,8,8,563,392,42,999,19,18,38,1032,388,14,1439
SED40004,6,3,3,0,3,6,3,0,15,406,281,38,730,26,20,49,777,367,4,1146
SED40005,0,9,0,0,0,11,10,11,32,387,369,50,806,40,33,74,884,648,22,1550
SED40006,0,6,0,0,0,6,10,4,15,541,452,66,1057,35,30,70,1128,808,16,1952
SED40007,0,0,0,0,0,0,0,5,7,476,307,36,817,30,20,46,861,484,17,1365
SED40008,0,0,0,0,0,8,14,10,32,481,397,42,916,53,50,106,1025,1044,17,2094
SED40009,0,6,0,0,0,6,0,4,3,571,380,46,988,10,29,38,1033,411,7,1451
SED40010,0,5,0,0,0,5,0,6,6,511,342,37,892,27,20,43,935,452,8,1395
SED40011,0,4,0,0,0,4,3,4,9,537,416,35,986,21,24,42,1028,583,14,1622
SED40012,8,12,0,0,0,18,16,21,54,642,539,98,1277,104,124,227,1506,1351,38,2893
SED40013,3,3,0,0,0,7,6,6,23,552,388,39,979,46,47,90,1071,683,14,1767
SED40014,0,7,0,0,0,7,4,0,16,266,392,46,711,9,16,33,742,505,7,1256
SED40015,6,7,0,0,0,5,15,21,45,331,364,35,736,27,25,48,780,483,31,1304
SED40016,4,9,0,0,3,16,17,9,31,583,451,68,1100,37,56,87,1193,811,14,2013
SED40017,4,6,0,0,0,10,9,6,21,344,378,42,769,28,18,49,812,566,17,1395
SED40018,0,0,0,0,0,0,4,7,10,579,407,45,1030,30,25,50,1085,594,14,1689
SED40019,6,10,6,0,9,13,30,20,61,427,386,76,884,67,55,118,1003,776,35,1820
SED40020,3,6,3,0,3,14,15,10,31,456,428,63,944,58,35,92,1040,681,19,1740
SED40021,0,5,0,0,0,6,0,4,18,487,402,45,932,35,43,78,1013,628,22,1661
SED40022,0,0,0,0,0,0,9,0,8,364,294,34,691,14,18,29,718,273,6,998
SED40023,4,7,0,0,0,7,8,5,20,541,499,59,1098,38,42,72,1173,754,15,1940
SED40024,3,4,0,5,4,5,15,10,33,611,634,88,1334,60,56,119,1450,869,19,2336
SED40025,0,3,0,0,0,3,3,0,11,606,531,64,1199,19,26,42,1244,445,8,1699
SED40026,3,4,0,0,0,4,3,3,9,614,408,60,1087,31,23,54,1135,510,10,1654
SED40027,6,6,0,0,0,7,13,7,27,506,344,55,902,33,32,65,969,710,18,1693
SED40028,7,8,0,0,0,8,10,7,22,680,526,96,1295,46,51,96,1395,737,18,2148
SED40029,3,7,0,0,0,7,10,15,34,332,332,43,710,24,16,36,750,442,16,1202
SED40030,4,6,0,0,0,6,5,8,19,463,495,59,1018,32,39,72,1093,524,11,1629
SED40031,4,3,0,0,0,3,3,5,12,526,365,45,934,26,24,49,983,494,13,1487
SED40032,6,9,0,0,0,9,0,4,12,430,342,39,807,21,23,45,849,421,12,1289
SED40033,0,3,0,0,0,3,12,9,19,430,452,63,944,36,41,73,1017,542,13,1577
SED40034,7,8,0,0,5,9,25,12,47,202,260,49,508,39,22,60,575,556,19,1149
SED40035,3,5,0,0,0,0,6,0,8,523,375,40,939,30,30,61,1009,561,10,1572
SED40036,0,5,0,0,0,5,8,15,25,581,497,59,1138,38,56,94,1230,948,23,2201
SED40037,0,3,0,0,0,3,10,11,26,633,458,58,1141,41,44,86,1228,783,22,2034
SED40038,9,11,0,0,3,18,24,22,57,627,587,86,1297,92,94,183,1486,1320,38,2838
SED40039,0,8,0,0,0,9,12,5,28,599,582,60,1244,49,55,100,1344,910,16,2272
SED40040,0,3,0,0,0,3,4,5,13,418,345,43,803,23,25,47,857,336,11,1205
SED40041,0,0,0,0,0,0,21,18,47,367,376,61,806,55,56,106,915,766,35,1718
SED40042,4,11,5,3,4,13,22,24,61,665,608,95,1369,107,107,220,1584,1302,37,2921
SED40043,0,4,0,0,0,4,5,12,17,579,428,49,1060,34,37,74,1131,772,23,1921
SED40044,0,0,0,0,0,0,0,6,9,515,293,24,838,15,18,31,874,373,9,1257
SED40045,0,3,0,0,0,3,0,4,8,511,339,36,882,17,17,37,916,303,7,1218
SED40046,0,3,0,0,0,3,4,0,10,496,322,40,862,23,28,52,909,622,9,1547
SED40047,0,6,0,0,0,3,6,7,16,606,460,62,1131,35,38,72,1198,600,8,1805
SED49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,3,5,0,0,0,5,10,9,23,438,455,49,942,25,27,49,988,563,21,1578
SED50202,9,11,4,0,6,15,14,32,62,776,602,96,1480,116,126,244,1722,1258,47,3030
SED50304,7,7,0,0,0,7,4,8,23,604,408,62,1074,44,50,95,1172,637,16,1831
SED50405,10,14,0,0,0,14,9,18,36,844,623,99,1568,55,76,128,1701,782,24,2510
SED50502,3,10,0,0,0,15,6,10,24,682,469,61,1209,53,60,115,1321,771,27,2124
SED50605,3,5,0,0,3,6,3,3,17,537,374,36,953,25,36,59,1010,468,10,1487
SED50702,5,6,0,0,0,3,19,7,29,604,384,46,1031,66,72,138,1167,757,16,1946
SED50805,0,9,0,0,0,9,4,4,15,584,387,40,1010,21,19,44,1052,386,12,1445
SED50906,3,7,0,0,0,5,11,8,26,665,564,91,1319,46,57,105,1425,816,18,2258
SED51004,0,10,0,0,0,8,3,7,20,786,524,66,1381,50,46,96,1474,586,14,2074
SED51104,0,14,0,0,0,14,7,11,33,947,795,100,1844,96,96,195,2032,923,19,2973
SED51205,4,8,0,4,4,7,4,25,34,615,429,66,1110,58,55,111,1224,801,33,2062
SED51304,0,0,0,0,0,0,4,3,7,500,327,29,854,15,17,34,888,320,13,1218
SED51401,0,12,0,0,0,9,21,23,44,324,270,47,644,33,35,76,712,540,30,1283
SED51504,0,0,0,0,0,0,0,3,7,501,337,25,865,15,24,35,906,400,11,1312
SED51605,0,0,0,0,0,0,7,8,16,728,516,61,1311,33,55,86,1398,518,13,1935
SED51706,4,9,0,0,0,13,8,6,26,482,468,61,1014,43,40,88,1096,590,18,1708
SED51804,0,0,0,0,0,0,0,3,9,468,372,28,870,26,23,48,922,368,7,1305
SED51902,0,8,0,0,0,8,14,5,26,602,426,65,1090,38,34,69,1163,509,12,1677
SED52006,0,13,0,0,0,9,6,9,33,505,484,66,1055,56,64,125,1179,646,21,1842
SED52102,5,5,0,5,5,10,6,9,29,706,455,60,1225,47,61,109,1331,615,20,1968
SED52205,3,5,0,0,0,7,13,16,29,601,528,55,1185,36,51,91,1273,742,28,2037
SED52301,0,3,0,0,0,3,10,20,32,543,416,62,1022,47,52,96,1116,677,40,1827
SED52404,4,9,0,0,0,9,7,3,16,637,430,49,1111,32,33,69,1178,453,11,1642
SED52505,5,3,0,0,0,9,0,5,17,677,415,60,1144,21,33,54,1201,441,11,1653
SED52604,6,4,0,0,0,4,0,0,15,579,396,63,1043,28,39,64,1111,398,10,1516
SED52702,0,6,0,0,0,6,7,0,18,446,318,41,809,27,18,42,848,391,11,1251
SED52803,6,14,0,0,0,14,0,31,50,546,206,46,799,25,27,49,852,390,39,1283
SED52903,6,11,0,0,4,9,44,49,108,427,247,59,739,32,40,76,813,956,73,1838
SED53004,5,5,0,0,0,5,4,0,16,641,430,42,1120,26,18,50,1167,455,13,1635
SED53105,5,6,0,0,0,8,11,12,32,742,555,81,1383,62,66,137,1520,831,19,2363
SED53204,4,5,0,5,5,9,0,7,17,719,472,69,1260,32,52,84,1339,480,9,1832
SED53306,3,6,0,0,0,7,8,16,29,580,580,79,1238,83,82,169,1402,984,27,2408
SED53402,3,4,0,0,0,4,9,8,21,568,338,53,966,50,38,86,1052,530,12,1592
SED53502,3,13,0,0,0,13,11,15,32,778,551,85,1417,61,68,132,1551,828,25,2405
SED53602,4,9,0,0,0,5,14,26,43,654,593,82,1320,71,94,164,1491,1223,37,2751
SED53701,7,6,3,0,3,8,9,14,34,305,255,45,609,31,28,60,667,394,22,1086
SED53802,3,9,0,0,0,6,4,7,16,651,465,55,1171,44,51,99,1269,794,16,2073
SED53902,0,3,0,0,0,6,6,11,19,512,403,31,952,29,28,61,1005,488,25,1520
SED54006,5,8,0,0,0,8,10,9,24,495,431,59,991,41,56,102,1091,677,23,1789
SED54104,6,8,0,0,0,8,0,0,11,531,326,35,895,34,24,51,949,321,3,1280
SED54203,0,0,0,0,0,0,15,9,26,182,113,21,322,16,20,39,361,297,12,666
SED54304,0,3,0,0,0,3,5,4,11,554,289,31,873,16,24,42,917,389,8,1309
SED54403,4,3,0,0,0,3,10,15,34,541,161,58,753,21,26,52,808,335,22,1171
SED54505,0,0,0,0,0,0,7,0,4,573,389,41,1001,26,25,45,1049,462,4,1517
SED54605,3,8,0,0,0,8,22,12,42,544,408,67,1021,51,52,108,1128,850,22,2003
SED54701,0,3,0,0,0,6,8,23,36,345,267,38,649,37,40,73,722,462,35,1215
SED54804,3,11,0,0,0,11,3,7,16,627,453,45,1130,29,26,51,1183,482,13,1681
SED54905,0,0,0,0,0,0,10,13,20,477,319,35,824,23,27,48,875,431,12,1321
SED55005,0,3,0,0,0,3,7,10,24,673,501,64,1240,40,58,102,1342,663,18,2023
SED55102,4,7,0,0,0,7,10,11,23,786,506,83,1375,44,41,85,1464,601,18,2083
SED55202,0,9,0,0,3,13,9,19,42,662,474,58,1189,80,77,155,1350,931,38,2316
SED55306,0,6,0,0,0,11,3,10,19,476,558,58,1092,21,21,41,1132,444,11,1592
SED55405,0,0,0,0,0,0,10,12,20,512,344,33,891,37,33,65,955,536,18,1509
SED55504,11,15,0,0,0,17,9,11,33,795,584,65,1444,40,48,92,1535,625,18,2179
SED55605,6,15,0,0,0,15,8,25,40,808,644,99,1552,77,61,140,1691,791,29,2514
SED55706,0,0,0,0,0,0,8,8,20,393,497,48,935,30,21,51,980,460,16,1463
SED55802,7,12,0,0,0,12,9,10,27,834,555,84,1474,50,47,93,1571,659,17,2251
SED55905,0,9,0,0,0,9,7,13,22,565,458,59,1084,33,52,87,1171,693,23,1883
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED60105,0,0,0,0,0,0,3,3,6,368,290,41,695,19,24,44,741,344,9,1088
SED60106,0,0,0,0,0,0,0,3,3,55,75,14,139,5,5,7,147,127,7,284
SED60113,5,5,0,0,0,5,11,7,21,489,450,40,977,25,42,65,1051,499,19,1569
SED60115,3,6,0,0,4,9,30,17,52,498,537,66,1098,63,97,159,1254,1092,26,2375
SED60207,4,9,0,0,0,9,22,18,42,507,507,79,1086,55,54,112,1196,772,36,2009
SED60208,0,3,0,0,0,3,9,12,26,373,392,57,827,25,35,64,890,599,23,1513
SED60209,0,7,0,0,0,9,11,10,34,396,404,55,861,54,55,106,966,774,26,1763
SED60301,0,0,0,0,0,0,4,0,17,326,261,38,621,14,30,45,669,394,12,1075
SED60302,0,0,0,3,6,5,20,10,32,534,482,69,1089,54,51,104,1191,831,26,2052
SED60303,0,0,0,0,0,0,8,6,12,432,315,38,790,21,28,45,835,340,11,1184
SED60304,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,4,0,16
SED60310,0,0,0,0,0,0,0,0,5,223,179,15,418,11,15,27,444,175,3,624
SED60404,0,5,0,0,0,6,10,7,23,405,422,41,868,30,14,41,907,515,9,1437
SED60410,0,0,0,0,0,0,0,3,5,243,205,19,472,7,3,12,481,243,4,735
SED60411,0,0,0,0,0,4,7,6,19,503,384,46,926,26,22,50,972,453,16,1447
SED60414,0,3,0,0,0,0,6,11,24,407,387,47,843,31,37,62,912,517,15,1445
SED60501,0,3,0,5,0,9,20,11,40,265,314,60,631,61,57,120,752,798,20,1564
SED60505,0,0,0,0,0,0,0,0,0,139,132,10,275,6,8,19,295,132,7,435
SED60506,0,3,0,0,0,3,12,7,21,285,319,40,648,23,27,55,705,521,17,1244
SED60508,0,0,0,0,0,0,0,0,0,34,31,5,71,5,5,9,78,76,0,152
SED60512,5,9,0,0,0,12,18,10,31,409,403,80,891,33,40,70,962,574,19,1555
SED60514,0,5,0,0,0,5,0,0,4,159,123,17,301,7,4,14,314,121,0,442
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,0,0,0,0,0,0,5,11,21,55,49,13,118,28,26,53,173,314,17,502
SED70002,0,5,0,0,0,5,3,0,9,191,64,10,267,7,6,12,277,119,4,405
SED70003,0,0,0,0,0,0,7,3,16,76,42,13,129,20,8,28,155,306,9,468
SED70004,0,0,0,0,0,0,5,13,21,63,37,15,114,30,9,38,148,336,16,496
SED70005,0,0,0,0,0,0,4,4,10,182,66,25,276,20,3,29,304,122,11,441
SED70006,0,0,0,0,0,5,0,3,10,181,62,18,272,9,4,11,279,134,0,418
SED70007,0,0,0,0,0,0,0,3,3,272,71,20,366,3,3,9,370,70,4,443
SED70008,0,3,0,0,0,3,3,5,7,147,55,7,206,6,0,3,217,98,5,316
SED70009,0,3,0,0,0,0,9,8,23,59,57,16,129,15,7,29,155,242,14,413
SED70010,0,0,0,0,0,4,5,4,12,221,95,9,321,21,15,32,364,205,13,578
SED70011,0,0,0,0,0,0,0,0,6,159,48,11,220,5,10,16,236,93,0,334
SED70012,0,0,0,0,0,0,0,4,4,135,35,8,175,6,3,5,185,53,8,240
SED70013,3,3,0,0,0,3,0,10,14,139,50,21,212,5,5,10,218,90,11,319
SED70014,5,4,0,0,0,4,0,10,16,39,56,15,117,27,8,39,151,276,18,442
SED70015,0,0,0,0,0,0,0,11,12,184,93,8,283,4,7,12,298,159,10,469
SED70016,0,0,0,0,0,7,0,5,9,177,79,23,277,19,16,32,312,199,21,530
SED70017,0,0,0,0,0,0,3,7,12,120,29,12,160,8,10,24,188,155,18,361
SED70018,0,0,0,0,0,4,7,5,14,90,45,17,157,12,18,25,183,323,13,520
SED70019,0,0,0,0,0,0,8,12,22,110,51,10,177,18,8,25,206,288,13,508
SED70020,0,4,0,0,0,4,3,4,12,113,41,15,177,7,4,10,187,78,8,271
SED70021,0,0,0,0,0,0,0,0,0,150,53,18,216,4,3,7,230,71,6,309
SED70022,0,0,0,0,0,0,0,0,0,100,44,11,155,7,0,7,156,35,0,196
SED70023,0,0,0,0,0,0,3,6,8,161,55,14,236,5,6,9,246,148,14,399
SED70024,0,0,0,0,0,0,0,0,3,213,64,13,296,5,7,12,303,92,5,403
SED70025,0,0,0,0,0,0,0,0,0,155,49,5,209,5,4,11,218,78,8,298
SED79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED80001,0,11,0,0,0,11,9,10,26,1769,733,144,2651,47,57,107,2751,1098,13,3872
SED80002,3,5,0,0,0,3,10,14,28,1540,744,140,2424,54,64,121,2541,1174,30,3746
SED80003,0,4,0,0,0,0,3,13,26,1156,426,59,1632,42,34,75,1713,677,21,2412
SED80004,0,6,0,0,0,5,11,9,30,1495,567,99,2166,49,34,77,2245,945,18,3208
SED80005,0,7,0,0,0,15,0,16,28,1693,631,118,2449,44,42,84,2530,853,30,3414
SED89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,0,0,0,0,0,0,0,0,4,47,39,4,92,0,3,4,95,38,0,135
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
