SED_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SED10085,103,0,0,0,103,3,0,110,3099,317,84,26,3520,29,3,28,3553,150,3,3699,4239,496,135,56,4931,27,15,46,4971,175,8,5155,509,84,88,4,691,12,0,12,704,12,4,720,60,0,10,67,138,0,0,0,138,3,11,151,7910,894,324,160,9283,62,21,84,9368,342,23,9729,47,0,6,0,58,21,0,21,78,3,0,89,117,12,0,0,139,5,0,5,143,12,0,156,165,19,6,10,201,25,0,25,223,16,0,242,8074,916,329,165,9486,86,21,105,9589,355,23,9965,1954,198,92,94,2344,62,37,101,2447,359,13,2818,10,5,0,19,33,0,0,0,33,3,32,70,10039,1121,427,278,11867,149,60,210,12073,715,68,12853
SED10086,515,8,0,9,522,61,4,585,3339,420,46,27,3831,51,8,61,3887,238,5,4133,3472,693,62,18,4240,47,5,51,4298,180,5,4479,604,132,113,7,852,5,0,5,858,27,0,893,62,6,3,65,142,0,0,0,142,0,11,154,7482,1249,223,120,9069,104,9,116,9189,453,24,9666,56,19,0,0,77,13,0,13,90,0,0,92,116,11,0,0,134,0,0,5,136,0,0,141,171,31,3,0,211,16,0,14,226,0,0,231,7650,1278,227,123,9280,119,16,134,9413,454,24,9893,2324,389,54,79,2849,47,7,55,2900,364,0,3263,24,4,0,23,47,0,0,0,47,0,23,79,9997,1678,284,221,12180,167,17,185,12363,816,52,13235
SED10087,127,3,0,3,135,28,0,161,4160,445,49,26,4676,35,15,49,4720,179,0,4897,4593,452,66,36,5152,36,11,46,5196,122,6,5330,567,53,85,10,724,4,0,7,726,17,0,747,55,0,0,58,110,0,0,0,110,7,12,135,9379,949,199,129,10660,72,28,97,10758,331,18,11107,54,11,0,0,66,18,0,18,83,7,0,89,69,16,0,0,92,10,7,20,108,15,0,123,126,23,7,0,156,33,7,36,193,19,0,209,9503,976,204,133,10815,106,35,133,10952,350,18,11315,1584,279,56,55,1971,69,34,105,2071,566,3,2646,10,3,7,8,22,0,0,0,26,6,33,67,11091,1263,261,193,12812,177,70,243,13055,920,52,14031
SED10088,554,7,0,9,563,70,0,639,4941,773,218,22,5958,115,11,126,6084,343,5,6428,5267,926,174,17,6390,52,13,67,6451,224,0,6676,1040,175,176,7,1392,19,3,22,1418,64,4,1485,27,8,6,47,84,0,0,0,84,10,12,105,11281,1880,573,94,13831,181,29,211,14040,637,19,14699,84,9,0,0,96,16,0,16,109,8,0,121,107,18,0,0,129,3,0,3,135,7,0,133,188,27,0,6,222,21,0,21,242,10,0,253,11470,1904,582,95,14053,202,29,232,14286,647,19,14956,2032,336,65,32,2460,36,4,36,2501,312,0,2816,25,0,0,9,34,0,0,0,34,0,27,64,13529,2244,645,138,16550,234,38,270,16824,962,52,17829
SED10089,273,0,3,4,280,37,0,314,3143,460,104,10,3710,34,23,58,3772,242,0,4022,4749,711,94,31,5584,53,10,68,5655,160,4,5814,634,143,118,0,893,11,0,13,902,19,0,924,28,3,0,27,60,3,0,3,61,3,11,73,8556,1316,312,67,10250,107,38,141,10392,424,13,10837,61,24,0,0,89,16,0,16,99,0,0,106,123,37,4,0,160,8,5,18,175,5,0,183,185,61,4,0,248,21,5,33,278,6,0,288,8743,1376,314,67,10497,129,44,175,10678,430,13,11124,1541,390,91,38,2058,75,54,132,2190,441,15,2642,20,7,3,3,43,0,0,0,43,8,21,65,10308,1770,405,116,12602,203,103,301,12905,874,52,13833
SED10090,530,11,6,19,544,110,0,653,5500,567,143,26,6234,123,26,150,6379,376,13,6770,4105,815,61,7,4990,65,3,73,5060,173,0,5237,819,125,136,3,1090,10,0,14,1101,36,0,1139,50,3,8,41,98,0,0,0,100,3,11,109,10481,1510,349,71,12409,205,31,236,12641,589,22,13252,166,10,6,0,180,18,5,20,201,10,0,211,181,22,0,0,208,8,6,9,214,16,0,231,345,30,9,0,384,23,13,33,414,26,0,447,10826,1544,354,73,12796,220,42,265,13056,618,22,13702,2616,389,94,50,3148,51,16,70,3216,465,3,3681,19,0,6,17,43,0,0,0,41,0,34,82,13462,1932,453,136,15986,280,57,331,16317,1085,63,17468
SED10091,237,9,0,9,241,25,0,271,3767,563,223,41,4600,53,9,63,4665,219,5,4887,4674,985,258,35,5945,36,8,46,5996,179,0,6179,853,208,222,15,1302,12,0,12,1311,30,3,1344,77,5,5,80,163,0,0,0,163,3,9,180,9375,1764,711,164,12016,98,15,118,12136,435,18,12589,28,6,3,0,35,16,3,21,54,3,0,60,118,29,13,7,163,5,0,4,168,8,0,180,138,34,12,7,197,18,4,24,219,16,0,239,9515,1795,727,176,12211,122,22,142,12353,452,19,12826,1909,410,205,63,2586,48,3,50,2636,452,5,3088,20,4,8,17,48,0,0,0,48,0,47,97,11442,2213,936,261,14848,169,25,192,15041,895,74,16015
SED10092,267,6,0,5,279,51,0,326,2141,366,156,14,2674,41,16,50,2732,195,4,2927,2781,603,154,23,3555,33,5,39,3594,205,3,3800,672,173,151,3,999,7,0,13,1010,31,0,1043,24,6,0,30,65,3,0,4,72,5,15,99,5616,1155,458,77,7301,77,24,107,7407,441,23,7868,28,7,4,3,38,21,0,21,57,13,0,66,117,30,8,7,158,6,8,22,179,12,0,189,141,33,6,10,194,29,8,39,232,25,0,256,5760,1183,463,84,7498,110,35,141,7636,464,24,8124,1470,529,140,63,2193,86,57,141,2342,892,5,3231,4,8,5,17,31,0,0,0,31,6,61,102,7233,1725,604,161,9722,193,89,283,10005,1364,88,11455
SED10093,208,4,0,4,211,25,0,237,2565,481,172,17,3233,42,7,54,3279,239,3,3529,3305,771,208,39,4321,26,3,29,4354,166,11,4529,836,207,213,9,1260,12,0,12,1271,51,0,1321,54,3,4,70,134,5,0,5,135,18,11,157,6757,1464,591,137,8943,82,9,94,9045,466,28,9536,55,14,0,8,82,6,5,11,93,7,0,94,92,34,6,0,138,0,0,0,138,5,0,145,151,47,10,8,214,6,5,14,232,14,0,242,6908,1509,601,141,9165,89,17,110,9274,482,28,9781,1744,441,171,69,2425,62,16,78,2502,569,10,3077,20,0,0,24,41,0,0,0,41,0,45,88,8672,1946,773,234,11624,156,38,189,11816,1053,82,12947
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,190,7,3,10,196,38,4,235,2334,248,43,6,2624,54,4,65,2689,185,0,2875,2028,327,48,6,2409,36,0,34,2445,70,7,2522,383,48,45,0,482,11,0,13,494,14,4,510,26,4,0,27,52,0,0,0,52,4,4,57,4774,626,135,39,5569,102,11,112,5682,277,12,5968,74,7,0,0,86,11,0,11,94,10,0,104,76,10,0,0,86,4,3,6,91,5,0,100,149,20,0,0,169,13,3,22,187,17,0,204,4919,642,135,39,5742,119,16,132,5873,290,12,6177,1172,177,42,25,1411,43,7,49,1460,208,3,1673,6,0,3,7,26,0,0,0,26,0,19,43,6107,819,177,65,7166,157,21,185,7352,504,36,7890
SED20207,517,12,3,14,533,72,0,606,7240,729,123,33,8127,174,37,209,8337,395,9,8736,6073,987,109,39,7208,93,22,111,7321,286,11,7613,857,101,122,9,1103,21,0,23,1122,26,4,1151,65,15,3,93,183,4,3,10,189,5,18,214,14243,1830,368,173,16618,292,63,355,16976,710,34,17716,338,80,3,10,431,52,3,61,485,25,0,515,439,72,13,15,538,25,13,40,581,15,3,597,777,152,10,22,965,81,16,99,1061,37,12,1108,15022,1984,380,200,17581,373,82,455,18037,755,42,18828,4191,751,152,104,5200,160,25,181,5382,778,16,6175,35,13,0,74,123,0,0,0,124,3,80,202,19247,2752,532,369,22905,528,104,634,23544,1529,132,25209
SED20302,352,5,4,3,362,37,0,402,5187,659,105,25,5977,78,37,120,6087,284,6,6387,6872,1427,127,58,8481,75,23,100,8577,303,21,8909,1034,174,153,23,1378,13,0,13,1390,22,9,1417,95,23,3,118,243,3,0,3,251,11,17,273,13182,2286,386,225,16077,169,62,232,16307,623,56,16988,166,29,0,3,210,24,4,31,233,14,0,253,287,35,5,4,333,22,3,28,361,20,0,378,459,66,9,8,543,46,5,50,597,31,0,628,13642,2354,393,234,16619,218,67,284,16906,656,59,17619,3868,698,153,128,4856,113,30,140,5000,668,36,5705,33,13,0,48,94,0,0,0,100,12,120,229,17541,3071,551,408,21573,335,100,430,22003,1335,214,23551
SED20401,279,11,0,11,289,28,0,316,2426,349,54,5,2834,24,7,30,2863,138,0,3003,4257,542,79,17,4902,49,23,71,4971,148,4,5128,539,73,62,0,679,0,0,3,681,27,0,704,35,0,0,38,75,0,0,0,75,6,4,88,7256,967,199,57,8480,84,26,110,8589,320,18,8922,78,10,0,0,83,7,0,7,94,5,0,94,108,22,0,3,138,7,0,8,144,9,0,149,184,30,4,3,220,9,0,16,235,13,0,248,7440,999,203,63,8706,92,29,124,8826,327,18,9167,1570,240,40,41,1890,36,5,41,1936,250,7,2198,9,0,0,12,24,0,0,0,24,0,21,45,9020,1234,245,113,10617,130,38,165,10784,581,42,11417
SED20508,219,3,0,3,224,17,0,238,2344,397,68,13,2823,32,14,48,2871,149,11,3022,4627,711,98,40,5483,42,17,63,5551,125,3,5681,513,83,71,4,671,3,0,3,668,24,0,701,60,10,0,44,109,0,0,0,109,3,4,115,7547,1202,239,103,9087,81,29,110,9196,309,14,9524,35,0,0,0,39,9,0,9,47,0,0,47,94,22,0,0,117,4,0,4,121,4,0,121,130,27,0,0,158,9,0,9,161,4,0,163,7674,1230,239,98,9242,89,29,118,9359,307,14,9688,1270,196,58,63,1582,25,0,23,1607,192,3,1802,3,0,0,0,4,0,0,0,4,4,18,30,8950,1421,296,160,10826,109,29,143,10969,503,41,11513
SED20604,80,5,4,0,87,16,0,101,2965,305,83,23,3373,27,10,33,3403,171,5,3585,4034,493,71,30,4631,29,11,39,4669,168,3,4839,457,56,66,5,581,0,0,3,585,22,0,605,63,8,0,61,129,0,0,0,135,8,17,156,7519,858,222,117,8723,62,18,72,8796,368,20,9190,55,18,0,0,83,18,0,18,95,9,0,109,80,13,0,4,103,3,8,11,113,16,0,121,137,34,0,4,184,19,8,26,207,21,0,226,7656,895,222,127,8904,80,23,101,9007,389,20,9421,1249,184,66,20,1511,28,12,38,1550,288,0,1836,9,0,0,6,11,0,0,0,11,0,30,43,8916,1080,289,145,10427,102,37,141,10575,678,45,11301
SED20704,194,5,3,5,199,23,0,226,2854,359,80,18,3298,36,10,46,3348,165,5,3519,4591,682,102,22,5397,40,6,45,5439,178,5,5627,574,87,70,7,740,14,0,14,757,25,0,784,36,0,0,63,99,0,0,0,99,21,5,127,8050,1129,249,110,9531,92,24,113,9648,389,14,10054,27,4,0,0,29,5,0,5,33,4,0,40,98,5,4,3,122,11,0,11,132,8,0,142,128,11,4,3,147,17,0,17,165,12,0,178,8173,1140,255,110,9677,110,24,130,9817,402,14,10231,1603,267,76,30,1975,34,5,41,2017,335,0,2348,15,0,0,6,19,0,0,0,19,0,30,51,9791,1411,334,141,11674,145,25,172,11841,741,49,12630
SED20804,120,0,0,0,120,15,0,133,1722,314,40,10,2087,15,8,24,2114,142,0,2255,3242,579,88,42,3954,19,9,28,3978,146,3,4136,376,62,73,8,515,0,0,4,521,15,0,536,36,3,0,31,79,0,0,0,79,15,0,92,5379,966,201,87,6637,33,20,54,6692,317,7,7017,30,4,0,0,33,7,0,7,40,3,0,39,56,24,0,0,88,0,0,0,87,4,0,92,93,36,0,0,121,7,0,7,131,7,0,137,5466,997,207,87,6760,41,20,61,6823,323,7,7152,1105,226,55,30,1422,34,3,42,1465,280,0,1746,11,3,11,4,22,0,0,0,22,7,24,54,6585,1229,271,122,8203,80,28,103,8312,607,32,8947
SED20906,530,13,0,12,543,67,0,615,4488,434,66,15,4998,100,12,111,5111,261,6,5381,4840,687,75,27,5625,48,17,67,5695,187,11,5881,563,47,56,0,662,7,0,7,670,26,0,698,52,3,0,40,93,0,0,0,93,4,0,94,9936,1171,199,76,11383,162,26,188,11571,471,16,12062,91,21,0,6,118,9,0,9,127,4,0,132,148,20,9,0,177,4,5,10,187,8,3,200,246,31,10,6,287,15,5,25,310,15,3,330,10176,1202,212,81,11669,179,32,208,11880,489,19,12393,1575,180,31,20,1803,47,11,58,1865,271,5,2134,20,3,0,16,38,0,0,0,38,0,20,53,11772,1387,243,115,13517,227,44,267,13788,754,42,14583
SED21001,576,12,8,18,594,91,0,685,3746,451,43,9,4240,76,14,98,4338,214,12,4563,4161,633,61,6,4863,45,20,66,4926,220,0,5149,434,62,36,3,537,11,0,11,552,23,0,569,23,13,4,33,68,0,0,0,63,6,11,86,8359,1154,151,47,9708,140,35,176,9878,468,25,10369,101,14,3,0,117,14,4,15,127,12,0,135,158,10,0,0,174,11,3,15,183,13,0,194,258,22,3,0,285,18,6,29,314,20,0,335,8611,1181,155,47,9991,162,37,204,10191,484,25,10703,1505,333,42,18,1899,41,11,52,1947,423,8,2380,19,9,0,9,36,0,0,0,36,5,34,72,10140,1515,196,72,11923,202,49,254,12179,915,61,13149
SED21106,550,7,4,11,564,66,3,629,3618,380,41,14,4052,79,6,89,4143,213,3,4351,3646,513,47,19,4230,69,9,71,4302,106,11,4419,380,50,33,13,476,4,0,4,481,11,0,495,44,0,0,43,88,0,0,0,88,4,0,95,7695,945,126,81,8841,149,15,167,9006,332,11,9358,61,0,0,5,70,11,0,14,83,0,0,83,133,14,0,0,145,6,5,9,149,4,0,162,198,14,0,5,214,16,0,20,234,6,0,244,7894,961,126,82,9055,164,19,184,9242,343,11,9596,1721,225,22,19,1988,28,9,39,2025,236,8,2265,15,8,0,16,38,0,0,0,38,0,26,60,9628,1189,150,122,11079,191,25,218,11303,568,41,11921
SED21203,337,30,6,37,377,196,9,572,1114,258,29,10,1414,70,23,93,1506,193,0,1699,1675,654,57,26,2413,87,37,125,2538,252,9,2802,212,68,29,5,314,15,8,18,330,33,0,360,49,11,4,68,132,5,0,5,135,13,20,169,3046,989,126,115,4270,176,66,239,4509,482,27,5026,102,47,0,5,154,48,0,49,208,25,0,233,185,104,3,8,299,46,51,96,398,82,9,487,287,151,3,17,455,92,53,146,600,107,9,714,3335,1142,126,130,4726,269,112,387,5114,591,36,5741,3151,1856,188,234,5436,402,128,535,5968,2936,38,8940,18,30,4,59,107,3,0,3,109,25,128,263,6498,3030,319,426,10268,679,247,922,11192,3549,202,14943
SED21303,236,0,0,5,237,43,0,285,2524,423,55,8,3011,51,4,51,3061,183,8,3254,2892,523,66,13,3485,40,10,47,3536,128,5,3666,456,82,52,0,591,6,0,6,595,7,6,610,30,8,0,26,62,0,0,0,62,3,0,70,5903,1035,180,42,7158,90,16,103,7260,323,12,7599,53,7,0,0,62,5,0,5,66,0,0,66,70,13,7,0,86,3,9,10,95,7,0,103,121,23,5,0,148,7,9,11,158,7,0,169,6028,1054,183,42,7302,96,19,114,7415,336,12,7771,995,228,46,21,1283,26,11,31,1315,238,8,1559,4,7,0,5,17,0,0,0,17,3,13,38,7022,1286,230,62,8609,117,28,145,8756,569,30,9361
SED21401,571,14,8,23,594,97,0,692,2935,363,54,14,3361,57,16,73,3436,206,4,3648,3315,670,73,21,4085,45,24,65,4147,203,0,4351,344,52,52,0,453,5,4,12,461,25,0,496,18,4,0,43,68,3,0,3,71,0,7,80,6612,1094,183,81,7966,107,44,149,8112,436,21,8572,61,15,0,0,67,8,4,14,82,9,0,97,117,11,4,7,144,22,12,39,181,9,0,189,180,26,4,7,210,36,13,47,262,17,0,279,6796,1114,187,88,8180,136,55,197,8379,453,21,8847,1700,364,59,46,2168,76,17,91,2258,419,10,2687,15,10,0,15,44,0,0,0,44,0,26,69,8509,1492,243,154,10397,212,74,284,10676,872,53,11607
SED21503,371,9,6,9,377,57,3,436,2253,336,66,16,2670,55,21,75,2743,111,5,2862,3609,536,77,19,4242,58,10,63,4311,152,7,4464,483,69,62,5,618,5,6,11,629,23,0,650,25,7,0,36,76,5,0,5,72,3,0,83,6374,946,207,74,7602,123,32,151,7757,288,10,8058,56,13,3,0,71,12,0,12,83,6,0,88,114,26,0,4,145,12,10,18,168,4,0,170,168,46,3,4,217,20,10,30,247,11,0,264,6544,988,209,80,7816,147,42,186,8006,302,10,8318,1374,292,29,39,1733,67,20,87,1821,269,8,2095,7,0,0,13,21,0,0,0,21,0,36,60,7922,1274,235,134,9566,217,65,276,9844,569,50,10466
SED21608,147,0,0,0,149,15,0,161,2465,353,57,22,2890,12,6,22,2917,168,0,3082,4119,504,73,24,4715,21,25,44,4762,144,4,4912,546,66,51,13,680,4,0,4,686,22,0,701,55,0,0,46,107,4,0,4,112,9,4,125,7189,924,180,106,8397,45,31,78,8469,343,15,8829,59,6,7,5,74,14,0,19,91,16,0,101,116,19,0,4,141,6,0,9,146,13,0,164,177,24,7,7,215,25,0,24,238,27,0,267,7363,947,182,117,8610,70,34,100,8709,364,15,9092,1641,237,56,63,1998,41,13,57,2052,278,14,2345,9,0,5,3,18,0,0,0,18,0,38,55,9009,1190,242,183,10620,109,46,156,10773,645,67,11493
SED21706,652,17,4,17,672,89,0,760,4195,436,80,17,4729,92,8,97,4832,236,0,5067,4322,573,38,13,4947,50,6,60,5010,162,4,5180,498,39,50,0,593,4,0,4,597,28,0,628,18,7,0,40,65,0,0,0,65,3,3,72,9039,1063,180,63,10340,148,16,164,10507,429,11,10946,88,17,0,0,102,9,0,9,109,4,0,115,133,8,0,6,146,12,0,10,158,13,0,173,216,24,0,6,251,17,0,20,268,13,0,283,9257,1085,176,73,10589,167,19,186,10769,446,12,11229,1601,225,35,25,1884,33,24,65,1949,283,10,2238,21,0,0,18,44,0,0,0,40,0,22,71,10881,1317,211,109,12521,203,45,244,12766,733,38,13534
SED21805,288,6,0,6,291,31,0,324,2800,324,40,15,3179,33,8,47,3228,172,8,3404,4364,521,72,33,4991,39,0,44,5035,143,3,5176,677,74,77,6,836,11,4,8,846,30,0,879,56,6,5,53,115,0,0,0,115,5,10,134,7898,923,195,112,9125,83,16,94,9221,353,20,9592,54,4,0,0,59,4,0,4,61,10,0,72,111,16,10,0,129,3,0,7,135,5,0,139,161,20,10,0,188,11,0,12,197,18,0,217,8055,944,198,111,9312,94,20,110,9418,361,23,9809,1757,208,56,45,2058,20,20,33,2092,234,0,2334,17,0,0,4,19,0,0,0,25,4,33,55,9823,1154,255,159,11390,112,36,144,11537,603,54,12199
SED21906,551,10,0,8,561,44,0,604,3236,440,39,6,3723,65,21,88,3808,160,3,3979,4074,775,58,36,4947,72,4,81,5026,136,13,5176,484,79,67,11,638,3,0,3,644,15,0,655,56,6,4,55,117,0,0,0,117,3,17,140,7843,1306,165,105,9423,147,23,170,9594,312,34,9945,63,5,0,0,66,9,0,9,74,0,0,73,101,10,0,0,113,3,0,4,118,6,0,125,165,14,4,0,184,12,0,14,194,7,0,204,8014,1312,169,112,9606,155,23,182,9791,322,34,10147,1570,267,27,40,1899,37,10,49,1947,217,3,2171,33,14,0,23,74,6,0,6,75,0,41,123,9614,1599,197,179,11580,197,38,237,11817,542,85,12437
SED22005,404,11,3,18,415,87,4,511,2941,431,63,16,3451,75,17,90,3536,211,5,3757,3098,612,82,20,3810,62,15,76,3884,175,0,4062,441,71,43,0,556,17,0,16,573,27,0,605,45,4,3,37,91,0,0,0,91,5,15,107,6527,1114,192,78,7913,140,34,180,8088,413,21,8524,105,13,5,0,124,11,0,14,137,15,0,150,149,18,4,0,173,14,11,25,202,16,0,219,260,27,12,0,294,27,16,44,338,33,0,368,6782,1143,204,81,8206,167,52,216,8427,445,21,8894,1781,471,54,71,2376,73,24,96,2469,660,11,3139,21,6,0,25,50,7,0,7,53,3,38,105,8584,1615,255,176,10633,249,67,321,10953,1106,75,12137
SED22105,676,18,15,32,707,121,4,831,6997,996,142,54,8189,154,47,200,8391,420,14,8821,8030,1571,154,83,9826,97,30,133,9957,442,12,10417,1088,171,164,10,1435,17,5,27,1462,54,4,1515,89,18,4,109,221,4,11,11,236,14,41,286,16201,2750,463,257,19673,274,91,365,20043,927,69,21039,262,64,8,5,337,27,9,36,379,15,0,392,427,88,5,17,533,41,0,43,577,37,0,609,683,154,10,24,872,65,10,75,950,54,0,1004,16891,2909,472,276,20545,348,96,445,20991,982,69,22037,5797,1495,145,230,7666,273,61,341,8006,1321,52,9380,61,20,0,61,142,0,0,0,145,10,97,247,22747,4420,618,570,28355,621,167,790,29143,2309,217,31670
SED22201,300,3,0,5,307,42,3,351,2430,275,43,11,2757,34,10,44,2802,149,3,2954,4207,530,85,12,4832,37,4,43,4876,122,4,5004,531,55,62,10,664,0,0,0,662,15,5,681,35,3,0,38,76,0,0,0,76,6,6,84,7199,863,199,70,8326,73,18,92,8417,285,16,8722,29,5,0,6,40,11,0,11,48,5,0,53,131,9,0,4,143,0,0,3,143,11,0,156,159,11,0,7,182,6,0,15,196,13,0,212,7361,872,199,76,8507,84,17,105,8612,305,16,8932,1740,223,37,28,2022,32,0,36,2059,221,0,2287,16,0,0,4,21,0,0,0,21,0,31,54,9112,1096,232,111,10549,115,25,137,10690,524,53,11268
SED22305,360,26,11,35,394,143,9,537,2045,352,38,13,2441,64,14,79,2523,217,6,2745,2069,625,34,23,2756,59,30,89,2841,227,16,3086,242,39,42,3,330,0,0,0,326,33,0,365,40,9,0,46,94,4,7,8,102,9,3,119,4395,1024,112,92,5619,128,50,181,5797,492,28,6309,137,19,0,0,155,35,4,36,193,28,0,220,162,52,4,9,222,24,23,46,267,31,0,300,297,70,4,10,378,56,27,80,462,55,0,521,4691,1093,116,100,5997,186,74,257,6261,545,28,6830,3226,1067,124,136,4546,363,48,414,4959,1592,54,6605,25,16,0,39,82,7,0,7,84,5,88,176,7940,2173,240,271,10629,550,123,678,11308,2142,162,13613
