SED_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SED30036,462,64,16,3,546,10,3,15,563,56,4,618,532,158,12,6,711,5,8,12,726,44,3,768,194,58,42,4,287,3,0,7,290,18,4,313,0,0,0,4,7,0,0,0,7,7,5,13,1186,275,70,19,1555,23,14,36,1592,117,11,1720,27,18,0,5,50,10,6,11,61,6,0,66,47,13,5,0,66,6,7,18,79,6,0,86,72,31,5,4,112,18,14,28,140,15,0,153,1261,313,75,24,1664,38,24,60,1729,133,11,1877,713,271,53,34,1073,67,21,92,1164,239,8,1404,3,4,0,8,20,0,0,0,20,3,19,38,1975,590,127,65,2758,104,47,153,2913,375,36,3321,567,83,25,3,677,19,4,19,696,60,8,764,560,149,8,10,721,5,4,14,734,42,3,777,88,27,23,5,139,0,0,3,140,10,0,150,10,0,0,15,21,3,0,3,24,0,5,34,1227,255,46,28,1556,26,7,34
SED30037,403,54,12,7,476,6,5,9,492,23,0,505,550,95,17,3,665,9,6,11,678,20,0,693,243,20,39,0,297,7,0,9,305,0,0,309,9,0,0,11,21,0,0,0,26,3,0,28,1203,170,73,22,1468,17,7,27,1492,48,0,1545,9,0,0,3,13,6,0,6,18,3,0,24,25,5,0,0,31,5,0,5,34,0,0,33,34,3,0,3,45,8,0,8,52,3,0,54,1234,178,73,22,1507,24,7,33,1542,55,0,1595,455,101,29,13,601,18,7,20,623,67,7,701,5,0,0,3,10,0,0,0,10,0,3,14,1699,277,104,42,2119,43,13,54,2176,123,12,2308,597,71,29,0,691,10,5,18,710,45,0,755,575,82,16,5,679,10,0,11,688,27,0,714,105,14,7,0,136,0,0,0,132,10,0,145,0,0,0,6,11,0,6,6,18,0,3,18,1287,164,54,17,1516,20,12,34
SED30038,408,49,14,0,470,6,5,11,477,24,4,509,596,60,19,8,678,8,5,13,692,24,0,712,252,33,32,0,319,0,0,0,319,18,0,335,12,0,0,12,17,0,4,4,22,0,0,22,1264,137,66,23,1484,17,12,26,1509,64,4,1579,13,0,0,0,13,3,0,3,15,0,0,17,33,0,3,0,38,3,0,3,34,0,0,36,47,0,3,0,50,0,0,0,53,4,0,56,1305,141,63,22,1533,16,12,32,1562,68,4,1635,415,87,21,11,542,20,0,28,565,87,0,657,7,0,0,5,10,0,0,0,10,0,0,16,1736,228,90,35,2086,42,11,56,2139,157,7,2303,641,68,18,3,731,6,4,4,740,42,0,779,680,88,20,12,799,7,0,8,810,46,5,854,111,19,15,0,146,0,0,0,146,16,0,156,13,3,0,14,33,0,0,0,33,0,0,33,1450,171,49,37,1709,9,4,16
SED30039,920,128,28,3,1079,13,0,13,1093,39,0,1135,1185,174,25,8,1389,13,3,18,1405,25,10,1437,437,61,56,6,556,0,0,0,563,22,0,583,27,8,0,22,55,0,0,0,56,4,4,64,2566,366,107,39,3078,27,3,35,3115,92,10,3221,38,6,4,0,38,0,0,0,45,3,0,48,55,14,3,0,72,0,0,0,77,0,0,77,92,13,6,0,113,3,0,3,119,3,0,117,2661,383,116,40,3195,33,3,36,3237,90,10,3341,851,136,45,19,1046,32,0,33,1082,95,4,1180,7,3,0,12,19,0,0,0,24,3,13,32,3513,520,157,72,4260,60,8,73,4332,196,28,4559,1370,156,41,5,1568,17,3,19,1591,63,0,1658,1339,184,34,11,1558,14,0,21,1577,56,5,1637,173,29,35,3,239,4,0,4,241,17,0,258,14,4,0,18,40,0,0,0,38,3,12,51,2895,367,111,30,3407,37,5,42
SED30040,230,59,16,8,308,0,0,0,317,13,0,326,615,107,26,4,759,0,4,6,762,16,0,784,230,36,33,5,309,0,0,0,313,8,0,314,9,0,0,7,22,0,0,0,22,0,7,23,1084,203,76,24,1394,9,3,14,1408,37,7,1449,4,3,0,0,8,0,0,0,8,0,0,8,15,0,3,0,25,0,0,0,25,0,0,22,22,6,3,0,34,0,0,0,34,0,0,30,1114,205,80,24,1424,9,3,14,1438,36,7,1483,325,55,28,8,415,4,3,12,424,33,0,459,3,0,0,0,5,0,0,0,5,0,8,9,1434,259,108,39,1845,13,9,24,1868,68,14,1951,500,90,19,3,611,10,0,11,619,26,0,644,809,149,38,6,997,3,4,10,1007,34,0,1043,93,18,8,4,128,0,0,0,126,0,0,131,6,0,0,9,16,0,0,0,16,0,4,18,1413,257,63,13,1755,12,8,19
SED30041,327,34,8,0,374,4,0,4,373,9,0,389,633,76,30,5,741,3,0,9,745,27,3,770,251,24,48,0,310,0,0,0,310,6,0,317,8,0,0,10,20,0,0,0,21,0,0,19,1215,130,88,16,1441,11,0,7,1456,40,3,1497,4,3,0,0,8,0,0,0,8,0,0,8,16,0,0,0,17,4,0,3,22,0,0,24,22,4,0,0,28,4,0,3,31,0,0,31,1241,136,88,11,1474,9,0,15,1483,45,3,1530,357,37,12,16,425,13,4,17,437,49,0,488,0,0,0,0,7,0,0,0,7,0,5,13,1600,172,103,29,1895,19,3,31,1925,98,11,2033,666,66,14,3,741,7,0,7,753,30,3,782,746,107,21,9,885,3,0,3,885,30,0,922,80,17,13,0,103,0,0,0,103,5,0,103,11,0,0,15,24,0,0,0,24,4,0,25,1496,178,45,27,1752,10,0,10
SED30042,454,66,21,7,541,9,0,7,553,36,0,590,793,107,27,3,932,8,5,6,942,29,3,977,291,55,46,4,398,3,0,3,401,16,0,416,7,4,0,8,20,0,0,0,20,5,5,27,1554,230,88,19,1894,15,3,21,1912,82,10,2008,13,0,0,0,13,0,0,0,9,0,0,9,32,0,0,0,42,0,0,0,42,0,0,42,49,0,0,0,49,0,0,4,50,0,0,52,1599,230,88,23,1944,17,8,26,1969,81,10,2061,598,63,31,21,711,22,0,21,732,48,3,789,9,0,0,6,6,0,0,0,6,0,3,14,2206,294,122,48,2667,36,11,45,2715,134,21,2866,732,81,24,3,844,13,5,16,864,46,0,912,922,131,25,8,1087,12,0,12,1095,31,0,1130,126,18,19,3,167,0,0,0,167,20,0,181,13,4,0,12,30,0,0,0,30,0,3,29,1798,238,67,23,2121,23,5,29
SED30043,331,32,4,3,372,10,4,8,382,27,0,410,522,87,23,0,634,4,4,5,645,21,0,666,179,41,26,0,246,3,4,4,249,13,0,264,0,5,0,9,20,0,0,0,20,0,0,20,1036,154,57,15,1271,15,4,25,1297,58,0,1353,9,0,5,0,13,0,0,0,13,3,0,13,20,6,0,0,25,0,0,0,25,0,0,25,28,3,5,0,41,0,0,0,41,3,0,39,1062,159,63,19,1310,15,4,25,1331,62,0,1392,470,86,38,24,621,33,4,42,659,98,0,753,0,0,0,12,15,0,0,0,15,0,20,35,1534,251,102,54,1937,51,11,66,2001,159,22,2178,545,59,11,7,620,10,0,10,633,43,0,682,626,92,17,5,748,3,0,9,754,30,0,788,112,19,11,0,137,3,0,3,142,10,0,149,12,0,0,12,26,0,0,0,26,3,0,29,1292,176,34,35,1533,20,3,19
SED30044,554,72,18,3,651,11,5,16,668,40,0,709,808,145,16,10,982,8,4,15,992,34,0,1023,293,56,60,3,411,0,0,5,410,7,0,414,17,4,0,26,48,0,0,0,48,4,5,50,1672,281,101,34,2087,23,14,28,2123,81,6,2204,23,0,5,0,29,4,0,4,33,0,0,37,54,11,4,4,74,4,0,9,84,0,0,85,85,12,0,5,101,12,0,11,120,4,0,121,1756,295,103,39,2188,33,17,44,2238,81,6,2325,796,157,48,45,1053,51,3,57,1109,111,9,1226,3,0,0,8,11,0,0,0,11,4,29,41,2552,451,154,86,3256,84,22,105,3359,196,37,3591,812,100,30,5,946,16,4,21,964,53,0,1015,850,149,13,4,1013,13,0,15,1024,33,0,1063,127,22,20,0,166,0,0,0,170,5,0,171,12,0,0,14,35,0,0,0,35,0,9,47,1799,266,64,26,2161,28,4,36
SED30045,523,49,12,0,586,10,0,9,593,22,0,612,811,113,28,3,956,3,0,3,962,13,0,973,305,31,50,0,387,4,0,4,392,3,0,397,7,0,0,8,12,0,0,0,12,3,0,16,1652,197,87,15,1944,19,0,17,1957,42,0,2002,17,0,0,0,16,0,0,0,15,0,0,15,27,3,0,0,34,0,0,0,34,0,0,34,42,4,0,0,49,0,0,0,46,0,0,47,1691,201,87,15,1990,20,0,14,2008,43,0,2051,443,56,27,11,534,15,0,15,551,28,0,575,3,0,0,0,5,0,0,0,5,0,5,7,2134,253,113,23,2524,32,0,32,2558,73,5,2634,786,88,25,0,899,7,0,11,914,40,0,956,918,98,20,8,1039,12,0,12,1052,22,0,1070,122,11,12,3,157,9,0,9,161,9,0,163,0,0,0,5,11,0,0,0,11,6,0,12,1829,198,58,24,2108,24,0,27
SED30046,436,43,22,3,501,4,5,6,508,26,0,531,639,120,27,6,789,9,0,5,798,39,0,836,247,39,34,0,323,5,0,5,325,12,0,337,12,0,0,15,34,0,0,0,33,3,3,39,1331,207,84,23,1641,16,3,16,1665,84,3,1745,16,4,0,0,25,7,0,7,30,5,0,30,47,16,0,0,67,0,3,3,71,0,0,71,64,22,0,0,93,7,3,9,99,5,0,103,1394,234,84,23,1740,16,12,26,1763,85,3,1848,627,137,35,29,834,37,11,49,879,102,0,985,4,4,0,11,17,3,0,3,17,0,32,49,2029,378,115,60,2580,57,21,77,2664,184,41,2886,625,80,24,0,731,6,0,7,740,36,3,778,724,144,18,3,887,14,0,14,903,45,0,947,103,15,15,5,139,4,0,4,142,9,0,148,11,0,0,11,21,0,0,0,21,4,10,37,1461,238,57,25,1782,25,0,24
SED30047,303,44,10,3,354,0,0,0,354,8,0,365,703,65,16,18,794,5,0,4,804,20,0,824,150,5,24,0,185,0,0,0,185,3,0,186,10,0,0,5,17,0,0,0,16,0,4,18,1159,111,51,27,1350,10,0,13,1361,32,4,1392,10,0,0,0,12,0,0,0,18,0,0,18,20,0,0,4,22,3,0,3,22,0,0,25,29,4,0,4,37,3,0,3,39,0,0,40,1189,117,51,25,1384,12,0,12,1401,31,4,1435,463,42,28,23,558,6,9,14,575,29,5,612,0,0,0,3,8,0,0,0,8,0,11,14,1651,164,76,58,1953,21,6,31,1983,63,21,2062,550,54,10,4,618,0,0,0,620,18,0,640,782,66,15,8,873,7,5,11,880,22,0,907,43,0,9,0,57,0,0,0,57,0,0,57,13,0,0,8,18,0,0,0,18,0,3,22,1386,125,32,20,1564,11,5,13
SED30048,411,55,15,0,486,7,5,9,496,35,0,526,559,93,17,4,669,12,6,15,685,22,0,709,218,28,24,5,273,0,5,5,277,5,0,287,9,0,0,9,12,0,0,0,12,0,0,13,1198,170,51,18,1438,14,7,23,1465,66,5,1534,24,3,0,0,28,0,0,4,38,0,0,38,30,0,0,0,40,0,0,0,40,0,0,39,55,9,0,0,67,0,0,4,75,0,0,75,1253,184,58,16,1508,17,13,27,1536,68,8,1606,350,61,27,6,445,11,4,16,463,57,4,520,9,0,0,0,9,0,0,0,9,0,0,10,1608,246,85,18,1964,33,13,42,2007,123,4,2137,789,64,29,4,884,12,8,16,902,48,0,951,777,119,23,4,916,0,0,3,918,26,6,954,99,18,36,0,154,0,0,0,155,8,0,159,3,0,0,3,8,0,0,0,12,0,3,15,1669,206,80,13,1969,16,6,19
SED30049,555,71,16,4,640,3,0,7,648,29,0,674,726,161,17,5,914,11,5,14,927,18,0,942,242,36,34,6,307,4,0,4,313,3,0,317,6,0,0,12,22,0,0,0,22,0,0,23,1522,268,67,24,1882,23,3,22,1905,46,3,1958,29,4,0,0,36,0,0,0,33,0,0,36,28,10,0,0,35,6,0,9,44,5,0,57,55,17,0,0,75,7,0,9,81,8,0,92,1579,286,66,24,1952,26,7,34,1990,55,3,2046,472,88,24,13,592,12,3,17,610,95,0,705,0,0,0,7,10,0,0,0,10,0,8,13,2050,373,90,38,2553,41,9,51,2603,153,11,2764,918,106,20,4,1046,15,0,15,1061,37,0,1100,1019,212,29,4,1259,9,0,14,1272,40,0,1311,96,10,8,0,108,3,0,3,112,0,0,111,10,8,0,13,24,0,0,0,24,0,0,31,2038,326,49,18,2443,26,3,29
SED30050,187,32,14,0,232,3,0,7,241,20,0,253,434,106,17,4,567,5,0,5,573,19,0,593,157,24,26,3,216,0,0,0,218,5,0,224,9,0,0,8,8,0,0,0,8,0,0,14,793,172,53,17,1028,9,0,12,1034,41,6,1083,6,4,0,0,12,0,0,0,12,0,0,12,19,3,0,0,25,0,0,0,23,0,0,27,24,3,0,0,35,0,0,0,36,0,0,38,813,176,54,17,1060,9,5,9,1068,43,6,1120,295,73,20,12,399,5,6,10,408,34,0,441,3,0,0,3,8,0,0,0,8,0,11,19,1113,254,73,37,1467,15,5,17,1486,77,13,1579,300,51,18,5,376,0,4,6,380,15,0,400,540,117,20,6,687,0,0,0,686,27,0,710,60,11,13,0,87,3,0,3,84,3,0,89,0,0,0,4,6,0,0,0,6,0,0,8,905,184,50,10,1152,4,4,9
SED30051,188,27,10,3,224,0,0,0,224,14,4,240,384,77,13,0,469,5,0,6,479,32,0,510,90,14,12,0,117,0,0,0,117,4,0,119,11,0,0,8,17,0,0,0,17,0,0,19,672,114,28,8,828,4,0,10,837,48,4,891,11,0,0,0,14,4,0,4,15,0,0,15,11,8,0,0,17,0,0,0,17,0,0,17,21,3,0,0,31,4,0,4,37,0,0,37,694,125,28,9,853,12,0,18,868,48,4,924,256,70,11,14,351,19,10,25,381,123,0,497,0,0,0,3,3,0,0,0,3,0,9,8,946,193,42,27,1208,30,11,43,1248,176,9,1433,411,55,14,3,476,17,4,13,494,33,0,528,501,102,19,3,622,3,7,11,638,43,0,679,29,5,11,6,45,0,0,0,45,5,0,54,3,3,0,9,20,0,0,0,20,0,0,22,948,161,37,16,1165,17,9,31
SED30052,328,49,10,0,390,11,5,11,394,19,0,418,305,63,8,4,379,4,3,4,385,12,0,396,148,16,18,0,184,3,0,3,190,0,3,195,3,0,0,9,12,0,0,0,12,0,0,12,788,129,37,12,962,9,7,17,979,34,3,1021,21,0,0,0,24,0,0,0,30,0,0,31,13,6,0,0,27,3,0,3,26,3,0,26,37,4,0,0,49,5,0,5,56,6,0,57,824,136,37,15,1011,18,7,22,1033,42,3,1076,313,64,10,3,389,11,0,8,398,58,0,456,0,0,0,3,3,0,0,0,3,5,0,8,1141,197,44,24,1406,27,5,28,1437,100,9,1542,320,41,6,0,368,5,4,7,381,16,0,394,235,49,0,0,287,6,0,11,291,9,4,302,20,10,5,0,34,0,0,0,34,0,0,37,7,0,0,4,9,0,0,0,9,0,0,9,573,104,19,4,697,13,8,19
SED30053,314,46,10,0,369,4,0,5,378,15,0,394,679,113,14,0,814,6,0,0,815,23,0,840,231,32,43,0,306,0,0,0,305,3,0,312,19,0,0,6,25,0,0,0,25,0,3,30,1249,188,64,13,1511,6,4,12,1524,44,3,1569,8,0,0,0,7,0,0,0,7,0,0,7,24,9,0,0,36,5,0,5,40,0,0,40,37,9,0,0,45,5,0,5,52,0,0,52,1280,198,66,11,1556,8,4,15,1570,44,3,1622,321,74,18,3,416,5,6,9,427,40,0,468,3,0,0,3,8,0,0,0,8,0,10,13,1601,269,86,22,1980,20,11,22,2004,82,12,2099,530,77,5,3,617,11,0,7,633,27,3,656,720,155,18,3,898,4,3,10,907,33,0,943,91,23,5,0,114,0,0,0,114,0,0,121,18,0,0,5,20,0,0,0,20,0,0,24,1354,251,34,10,1654,13,3,20
SED30054,469,67,22,0,558,11,6,10,572,21,0,594,755,112,23,3,892,7,8,14,901,18,0,923,314,38,35,0,388,3,0,3,390,4,0,397,19,0,0,4,23,0,0,0,23,9,0,26,1553,217,75,11,1855,15,10,23,1886,51,5,1938,4,0,0,0,11,0,0,0,11,0,0,11,28,3,0,0,32,0,0,0,33,0,0,33,40,4,0,0,40,0,0,0,44,0,0,44,1590,228,74,11,1905,14,10,26,1927,51,5,1979,328,56,19,9,410,11,0,10,420,39,0,459,3,0,0,0,7,0,0,0,8,0,0,7,1915,277,95,24,2316,25,13,42,2356,89,5,2447,754,91,21,0,867,12,3,17,883,36,0,921,923,129,20,0,1074,11,0,10,1086,21,0,1111,95,13,9,0,121,0,0,0,121,5,0,127,5,0,0,6,11,0,0,0,15,3,0,14,1786,231,48,7,2076,28,3,32
SED30055,315,37,4,6,363,5,0,5,364,9,0,373,733,44,14,12,803,0,0,0,804,8,3,815,194,12,22,6,234,0,0,0,234,3,0,239,9,3,0,12,26,0,0,0,26,6,0,32,1258,94,41,29,1418,5,0,8,1426,28,3,1457,3,0,0,3,7,0,0,0,7,0,0,7,23,0,0,0,28,0,0,0,28,0,0,27,23,0,4,3,29,0,0,0,29,0,0,38,1283,101,42,28,1452,5,0,8,1455,31,3,1492,493,40,30,26,590,14,0,12,605,32,0,644,0,0,0,3,5,0,0,0,5,0,6,16,1770,143,72,60,2044,18,3,20,2066,61,13,2150,562,35,8,0,606,0,0,5,612,15,5,631,840,75,34,11,958,7,0,5,961,20,0,984,44,6,15,0,64,0,0,0,64,4,0,73,8,4,0,12,23,0,0,0,23,4,0,27,1458,116,57,26,1652,5,5,9
SED30056,405,58,8,0,476,8,0,9,490,11,0,499,742,105,28,5,876,3,0,3,882,9,4,896,242,25,30,3,297,0,0,0,300,4,0,304,9,0,0,3,12,0,0,0,12,0,0,13,1399,192,66,6,1663,18,3,14,1679,27,3,1716,8,0,0,0,9,0,0,0,9,0,0,9,30,5,0,0,32,0,0,0,35,0,0,35,44,5,0,0,43,0,0,0,45,0,0,45,1438,196,70,6,1706,13,7,19,1725,27,3,1755,359,36,21,3,415,0,0,0,420,28,3,442,0,0,0,3,5,0,0,0,5,0,7,9,1797,228,92,19,2129,12,7,23,2148,54,10,2221,924,107,20,0,1057,26,3,32,1089,39,0,1130,1057,156,20,8,1250,15,4,14,1263,20,0,1282,154,23,12,0,198,0,0,0,198,0,0,199,11,0,0,7,15,0,0,0,15,0,5,17,2149,289,62,17,2520,38,7,40
SED30057,310,41,11,3,362,10,0,10,377,27,3,407,509,105,16,0,628,7,6,14,646,27,0,672,192,41,28,6,264,7,3,4,266,12,0,280,11,0,0,5,13,0,0,0,15,0,5,15,1017,186,61,14,1268,24,9,32,1301,68,7,1376,15,4,0,0,18,3,0,5,25,3,0,24,34,9,8,0,53,3,0,3,53,0,0,53,48,11,10,0,65,8,0,6,77,3,0,77,1066,191,70,14,1337,28,10,38,1372,73,7,1456,541,114,44,18,722,36,16,50,768,143,0,919,3,0,0,9,10,0,0,0,10,0,11,21,1605,311,114,40,2065,69,24,90,2154,218,23,2394,484,78,22,5,582,6,0,6,594,48,0,640,589,125,16,4,738,9,7,21,759,51,0,805,85,17,11,4,121,5,0,4,120,0,0,126,0,0,0,4,8,0,0,0,8,6,0,14,1167,219,47,16,1445,18,11,31
SED30058,435,67,18,0,522,3,3,7,533,22,3,558,834,109,28,0,971,6,4,10,976,22,0,998,321,48,38,4,412,0,0,0,412,0,0,416,9,0,0,3,10,0,0,0,11,0,0,10,1594,222,84,11,1915,12,9,17,1932,53,5,1985,21,8,0,0,30,0,0,3,32,0,0,32,24,0,0,0,23,0,0,0,29,0,0,27,44,11,0,0,53,0,0,5,61,0,0,60,1639,237,87,11,1972,11,10,20,1991,52,5,2049,399,66,32,13,511,9,4,10,527,32,0,554,0,0,0,4,10,0,0,0,10,0,0,15,2044,304,115,27,2488,22,10,39,2524,84,7,2616,754,83,30,5,873,5,0,5,880,34,0,917,951,134,24,9,1117,7,6,15,1133,25,4,1161,135,18,20,0,167,0,0,0,171,0,0,175,6,0,0,5,9,0,0,0,13,0,5,10,1847,229,76,20,2168,18,6,23
SED30059,386,66,17,3,483,3,0,10,485,14,3,505,894,135,44,11,1084,6,0,7,1097,30,0,1128,260,30,32,3,329,3,0,3,333,9,0,337,9,0,0,15,25,0,0,0,29,0,0,30,1552,235,93,38,1919,15,4,21,1937,59,0,2000,9,0,0,0,9,0,0,0,14,0,0,14,19,4,0,0,27,0,0,0,26,0,0,30,32,4,0,0,37,0,0,6,42,0,0,38,1581,243,93,38,1950,15,3,21,1973,59,0,2040,419,74,25,21,534,18,0,23,561,36,0,596,0,0,0,0,0,0,0,0,0,0,8,4,2000,316,119,57,2491,36,9,43,2533,94,7,2642,704,113,24,6,847,14,3,19,866,55,0,922,1081,174,32,3,1292,12,0,12,1304,43,0,1346,115,19,22,0,149,0,0,0,149,8,0,159,8,0,0,28,40,0,0,0,37,4,0,42,1909,302,69,39,2326,26,4,29
