SOSR_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR299,0,0,3,9,5,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,6,3,24,11,3,0,0,0,46,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,5,10,7,3,0,0,26,0,3,0,9,3,0,0,0,0,12,0,0,5,12,8,9,0,0,0,28,0,0,0,14,8,4,0,0,0,33,0,0,3,16,0,0,0,0,0,15,0,0,6,8,0,0,0,0,0,13,0,0,0,8,3,3,4,0,0,25,3,6,4,18,9,0,0,0,0,36,0,0,6,13,5,10,3,0,0,38,0,0,0,5,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,5,3,18,32,105,31,18,17,3,3,233,146,300,363,1421,586,371,178,34,11,3416,414,730,1131,3553,1393,1074,613,152,29,9089
SOSR301,57,601,589,2678,470,234,141,26,9,4796,26,300,951,2149,2239,1535,854,309,123,8488,113,1412,3036,10908,4835,3495,1935,525,127,26385,9,33,57,1003,447,494,635,268,162,3110,18,337,672,2213,1652,1637,949,305,40,7832,22,303,585,1971,1800,2262,2040,1337,516,10834,74,470,722,1781,814,552,441,128,30,5007,125,1523,3155,9044,5196,3318,1879,787,208,25232,41,403,836,3288,1430,1211,861,412,125,8607,120,524,901,7032,1433,1144,1127,257,42,12586,53,605,1175,3611,994,460,219,46,8,7156,4,59,56,572,248,174,54,35,5,1220,250,1011,1376,3507,1342,1106,849,326,62,9835,87,688,1724,6368,4422,3514,2176,676,276,19926,7,105,220,633,526,490,411,288,83,2776,5,88,477,1931,1024,886,471,109,32,5020,600,4635,7749,29176,10605,8491,6385,3603,1346,72588,5174,11618,13006,32015,11431,9132,7472,5468,3503,98820,138151,302142,306215,682727,296180,240341,182994,100251,38897,2287896
SOSR302,10,48,99,413,81,51,18,10,3,735,3,34,127,312,526,371,197,50,15,1625,51,366,612,2980,1197,1004,566,141,49,6955,6,30,35,432,202,201,360,160,88,1511,0,9,36,120,99,83,66,34,10,454,11,168,236,827,759,1049,1170,844,268,5336,19,143,119,328,207,221,167,45,12,1257,48,738,1336,3773,2504,1848,1233,511,141,12138,0,59,118,369,168,144,145,79,23,1100,29,102,161,1057,258,151,134,43,11,1948,29,244,297,1249,527,232,95,13,6,2695,3,17,16,167,136,118,81,42,9,582,88,454,500,1528,624,647,591,246,59,4726,16,130,249,779,323,168,96,25,6,1788,0,81,109,368,313,244,292,203,63,1684,3,9,136,537,374,323,217,66,19,1690,135,1043,1545,8111,3419,3145,3045,2089,785,23320,1935,4938,5363,14130,6206,5446,4993,3838,2163,49022,46039,108365,104428,233176,118890,107542,95649,56766,20942,891797
SOSR303,3,50,55,172,25,17,7,0,0,325,18,247,533,952,776,466,284,54,14,3337,28,340,686,1970,962,733,374,80,6,5185,0,12,0,112,60,47,72,23,12,341,0,7,18,55,29,38,38,7,4,196,5,41,44,243,225,360,334,230,80,1574,13,36,42,165,97,68,44,11,5,477,15,137,377,812,516,335,176,78,27,2463,10,70,113,412,164,106,71,41,7,1000,7,23,20,348,41,23,21,0,0,492,15,104,175,577,261,116,47,13,0,1304,15,9,3,46,23,16,5,5,0,129,23,98,163,574,218,189,191,83,13,1551,0,60,100,352,172,73,49,8,0,829,0,8,19,92,51,86,65,35,12,376,0,25,109,272,184,147,79,34,8,853,121,871,1228,3525,1563,1282,947,613,180,10322,1452,3282,4556,9459,3913,3262,2440,1562,791,30717,25034,57988,58516,118212,56401,50383,39374,21445,7954,435301
SOSR311,3,20,20,84,10,17,0,0,0,151,0,14,54,111,125,83,40,3,3,438,22,305,433,1354,635,435,253,51,10,3490,0,3,5,24,5,19,34,22,4,116,0,4,6,29,11,14,11,0,0,74,0,13,24,75,75,165,255,179,53,840,4,9,13,39,31,16,16,3,0,131,27,141,231,618,416,273,134,57,24,1919,19,53,49,243,94,37,25,15,4,538,0,5,27,203,3,4,0,0,0,254,6,43,67,259,126,59,15,3,0,577,0,3,0,14,15,14,4,3,0,67,6,34,43,162,68,83,86,32,6,518,0,27,90,254,122,50,29,0,0,581,0,0,9,35,26,34,39,48,9,205,0,26,58,171,110,116,49,8,9,549,40,160,137,794,362,401,436,343,109,2786,700,1772,1905,4800,2335,2135,1816,1485,728,17673,13776,32990,29496,61107,30685,31956,28630,18205,6854,253701
SOSR312,0,12,0,42,3,0,0,0,0,63,0,12,16,41,66,44,21,5,6,212,3,131,156,424,226,134,105,29,3,1219,0,4,5,11,6,14,24,5,5,74,0,0,0,9,6,0,0,0,0,19,0,5,10,53,44,76,121,110,32,456,0,6,4,15,17,13,14,0,0,61,9,60,92,216,170,113,69,43,9,774,0,9,5,48,16,4,6,8,0,98,0,0,4,10,0,3,0,0,0,20,0,23,29,77,57,21,13,3,0,220,0,0,0,6,4,0,4,7,0,18,4,22,17,70,37,52,51,17,0,272,0,6,9,26,20,8,10,0,0,77,0,6,9,17,6,30,30,17,0,117,0,4,7,41,27,31,24,6,0,141,12,45,53,254,180,186,234,156,59,1181,227,636,567,1417,781,796,722,585,253,5972,4899,11870,10469,21449,12032,13539,13363,8024,2822,98469
SOSR313,0,12,9,51,11,7,3,0,0,93,0,21,28,110,90,54,19,0,4,335,18,171,251,733,353,262,124,20,3,1934,0,3,5,39,16,10,17,13,5,100,0,5,19,78,24,23,13,0,0,162,0,6,9,66,50,110,134,92,26,495,3,4,7,21,29,17,7,0,0,79,31,126,160,476,275,191,97,33,10,1392,0,14,8,91,25,12,9,0,0,171,0,14,16,151,3,0,3,0,0,190,0,33,31,131,54,21,3,0,0,278,3,0,0,13,7,0,0,0,0,22,8,41,44,131,44,64,72,25,4,427,0,12,19,97,29,9,0,0,0,170,0,0,11,29,16,34,17,23,7,136,3,15,54,145,94,65,18,12,0,406,10,86,147,736,273,247,231,193,50,1963,533,1244,1242,3371,1374,1265,911,665,366,10963,10890,24039,19360,42465,19187,18587,15650,8949,3127,162262
SOSR314,0,18,0,49,9,6,5,0,0,98,3,25,62,161,160,96,47,9,0,567,13,155,162,517,278,208,107,32,8,1471,0,3,0,25,12,10,25,11,3,87,0,0,0,24,10,10,4,4,0,59,0,13,34,67,82,121,108,86,15,527,0,11,21,26,16,6,14,0,0,98,3,103,126,387,269,156,96,46,4,1200,4,14,10,67,24,20,13,7,5,162,5,5,38,481,5,5,0,0,0,537,0,28,38,161,70,24,9,0,0,333,0,0,0,9,9,16,4,4,0,38,5,41,33,130,50,80,80,30,6,460,0,15,21,100,33,23,12,4,0,206,0,0,14,24,32,30,23,24,5,147,0,3,18,72,63,51,22,8,4,240,20,101,179,1113,336,342,290,193,89,2661,586,1720,1673,4053,1801,1536,1317,844,450,13969,10109,24065,19336,42443,21204,19722,16817,9787,3636,167109
SOSR315,5,5,0,27,3,7,0,0,0,50,0,29,41,142,176,131,76,14,0,607,29,231,201,1040,330,230,171,43,5,2288,0,0,0,23,12,20,32,4,6,110,0,9,12,61,10,6,5,7,0,115,0,12,18,90,94,207,274,174,40,907,0,4,8,18,38,28,22,3,0,120,7,62,104,371,260,173,143,47,14,1184,0,4,5,34,18,22,20,12,3,110,3,13,8,139,9,4,4,0,0,175,8,33,33,175,111,40,8,0,0,407,0,0,0,5,3,0,0,0,0,12,10,38,50,154,107,122,132,59,11,686,3,30,31,171,39,31,10,5,0,315,0,4,11,45,40,40,50,36,9,233,0,10,22,88,73,76,40,15,5,322,9,85,192,1107,411,471,476,305,102,3157,843,2132,2238,5817,2801,2977,2432,1469,658,21370,14585,34029,27312,60195,31642,34435,31515,16331,5464,255514
SOSR321,0,4,0,11,3,0,6,0,0,20,0,13,15,55,74,69,43,6,0,273,6,43,46,207,115,71,58,17,0,567,0,0,0,8,5,8,14,7,0,38,0,0,0,0,4,3,3,0,0,12,4,7,3,50,43,80,95,56,16,357,3,0,0,7,18,11,11,0,0,50,4,24,41,122,98,104,55,31,6,487,0,0,0,13,7,5,7,0,0,38,0,3,3,25,0,0,0,0,0,32,4,17,7,60,34,13,8,0,0,137,0,0,0,0,5,0,0,0,0,3,5,12,15,56,37,60,67,27,9,283,0,4,6,18,12,5,5,0,0,52,0,0,0,9,15,20,20,3,0,82,0,0,6,18,26,29,31,3,0,117,0,31,45,264,168,243,219,146,26,1147,350,934,821,1924,1148,1252,1041,670,176,8311,5094,13026,9807,20672,12880,14911,12997,6404,1556,97351
SOSR322,0,0,0,0,0,0,0,0,0,4,0,13,8,32,47,54,21,7,0,175,0,4,15,68,27,38,22,0,0,172,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,6,0,0,0,6,0,0,0,9,16,33,34,18,3,120,0,0,0,4,3,3,5,0,0,17,0,3,14,53,27,35,22,9,0,156,0,0,0,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,4,19,19,10,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,6,3,22,13,11,30,10,0,96,0,0,0,6,3,0,5,0,0,12,0,0,0,3,4,7,4,3,0,22,0,0,7,7,10,15,11,4,0,51,4,10,13,95,41,93,73,54,7,395,168,456,344,902,531,689,550,338,80,4072,2357,5399,4023,8768,5469,7289,6268,3024,702,43299
SOSR331,0,0,9,34,9,20,3,4,0,78,0,18,41,186,313,282,123,19,6,979,16,131,141,649,328,294,188,28,4,1785,0,0,0,58,33,45,63,23,4,227,0,0,7,66,20,15,17,3,0,137,0,27,33,124,200,329,346,157,37,1252,0,20,20,44,60,51,23,13,0,229,10,130,258,755,611,520,252,115,24,2670,0,5,8,44,24,31,46,18,0,167,3,9,16,169,34,36,31,13,0,305,3,61,55,301,160,75,26,3,0,679,0,0,4,11,12,11,3,3,0,39,16,82,93,290,185,279,309,99,18,1366,3,19,25,167,118,92,38,10,0,467,0,4,12,61,64,96,97,47,14,395,0,11,35,141,194,176,110,19,3,693,22,152,291,1568,778,1085,931,531,111,5471,1413,4266,4064,9813,6844,7247,5300,2529,550,42026,20997,57012,46780,93493,67583,74122,58073,25367,5145,448574
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,32,8,0,0,0,128,0,0,16,116,45,5,3,0,0,183
SOSR399,0,4,5,3,4,4,0,0,0,14,0,10,6,15,7,3,6,0,0,41,0,3,14,20,7,11,4,0,0,61,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,7,3,4,0,11,7,16,13,5,0,64,0,0,0,4,0,0,0,0,0,3,6,0,3,30,13,17,14,3,0,89,0,0,3,7,0,0,0,0,0,9,0,0,0,41,0,0,0,0,0,45,0,0,3,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,0,7,20,12,16,3,0,0,62,0,0,0,21,0,0,0,3,0,24,0,0,0,3,0,7,0,0,0,13,0,0,0,0,3,6,7,0,0,15,6,17,50,240,31,32,32,7,0,408,67,124,317,1087,430,386,268,51,11,2744,504,932,1495,4724,1929,2468,2124,444,44,14670
SOSR401,109,944,975,2712,393,149,82,31,6,5395,3,17,55,181,293,134,61,19,9,776,47,684,1509,5214,2132,1551,851,252,59,12305,5,24,61,909,548,887,1124,470,347,4365,0,9,10,29,28,11,16,3,0,105,17,148,298,955,989,2010,2016,1404,565,8384,27,219,392,884,384,273,277,85,14,2557,51,546,807,2029,1266,748,462,240,54,6208,57,431,511,2406,739,334,218,122,32,4848,14,64,134,987,136,97,61,17,0,1506,30,182,311,1545,460,197,91,14,0,2836,6,29,27,216,107,77,74,50,26,622,88,408,468,1307,512,502,420,207,41,3965,61,537,1595,4935,3229,3065,1863,487,231,15997,5,63,109,315,315,482,382,269,116,2056,8,57,136,455,238,168,81,18,8,1166,299,2699,4491,14090,5898,4879,4279,3098,1578,41300,1874,4219,4933,12759,5475,5142,4651,3722,2181,44954,67086,144379,152601,346165,155078,148698,124690,73023,33293,1245011
SOSR412,5,10,5,44,7,8,0,0,0,79,0,0,3,6,28,4,4,0,0,50,7,71,117,269,154,88,57,14,4,786,0,0,5,19,9,16,25,12,8,91,0,0,0,0,0,0,0,0,0,0,0,13,14,56,102,276,236,187,64,947,0,4,13,26,15,10,0,0,0,65,6,95,76,194,136,59,41,16,3,623,0,14,21,59,31,4,9,0,0,141,0,0,4,41,0,3,0,0,0,42,0,60,81,65,22,4,0,0,0,234,0,0,0,3,0,0,0,0,0,11,6,27,27,70,35,37,19,7,0,232,0,8,7,31,23,8,9,0,0,81,0,4,7,14,25,53,28,25,15,165,0,7,15,50,32,22,13,0,0,132,3,70,79,313,162,188,234,133,59,1237,213,522,496,1139,588,568,508,438,249,4723,5579,12537,11728,24066,12564,12284,10096,6368,2494,97725
SOSR413,0,6,6,42,13,3,0,0,0,72,0,0,0,9,15,10,4,0,0,40,8,69,109,321,132,87,59,20,0,796,0,0,0,17,12,7,22,4,5,65,0,0,0,3,0,0,0,0,0,4,0,8,11,21,32,85,132,102,42,434,0,13,0,10,11,8,11,0,0,53,0,32,28,87,71,56,38,22,4,331,0,3,0,47,3,9,3,0,0,72,0,0,4,33,0,5,0,0,0,44,0,11,10,31,33,11,4,0,0,98,0,0,0,3,7,4,9,3,0,31,3,26,13,67,36,54,39,18,0,258,3,28,14,107,30,13,7,0,0,210,0,0,0,14,16,33,36,16,11,129,0,0,8,11,25,19,9,8,0,80,10,49,69,383,141,138,167,127,59,1146,192,531,484,1158,652,701,619,480,250,5073,4553,10664,9594,19658,11117,12100,12358,7810,2996,90848
SOSR414,0,8,5,14,3,0,0,0,0,35,0,0,0,3,9,6,3,0,0,26,0,36,23,84,30,15,5,3,0,204,0,0,0,10,5,3,7,0,3,32,0,0,0,23,0,0,0,0,0,24,0,0,6,15,18,42,68,38,14,187,0,0,0,0,3,4,0,0,0,12,0,9,8,45,20,13,14,8,3,113,0,0,0,12,3,0,3,4,0,25,0,0,0,10,0,0,0,0,0,15,0,6,6,31,13,6,0,0,0,61,0,0,0,4,0,0,0,0,0,4,0,4,3,14,13,20,22,9,0,82,0,3,4,23,12,3,4,0,0,50,0,0,0,9,3,12,14,6,0,50,0,0,3,13,0,10,3,0,0,30,0,10,16,89,29,59,53,37,23,326,52,155,115,355,194,186,249,236,112,1635,1555,3478,2978,6724,3612,4089,4964,3201,1108,31700
SOSR415,0,8,16,39,8,5,4,0,0,72,0,0,0,8,24,8,9,0,0,50,3,78,69,297,121,76,43,15,7,706,0,0,0,21,13,13,20,7,7,75,0,0,0,3,0,0,0,0,0,6,0,12,19,53,70,175,161,108,42,635,0,0,0,8,8,9,9,0,0,33,0,14,31,101,73,67,32,21,0,343,0,10,6,106,16,3,5,0,0,154,3,5,9,46,0,0,0,0,0,64,0,10,14,75,31,10,3,0,0,144,0,3,0,7,0,0,4,0,0,26,4,21,11,78,32,49,54,20,3,277,0,11,25,73,54,39,15,4,0,222,0,0,8,12,17,35,17,31,10,133,0,4,5,34,17,15,10,3,0,87,3,36,80,353,132,164,209,156,68,1196,271,713,627,1649,968,1041,1070,825,407,7563,6023,13775,11253,25172,14070,16065,16059,9856,4077,116347
SOSR421,0,0,0,5,0,0,0,0,0,6,0,3,0,0,4,5,6,0,0,17,0,18,19,65,32,23,11,3,0,182,0,0,0,3,10,3,3,4,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,24,46,31,8,136,0,0,0,0,0,0,3,0,0,4,5,15,8,31,27,4,14,6,0,106,0,0,0,3,0,3,0,0,0,10,0,0,0,25,0,0,0,0,0,27,0,3,0,9,10,4,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,5,15,0,11,9,0,0,48,0,3,0,5,6,0,0,0,0,17,0,3,6,9,8,8,6,0,0,37,0,0,4,4,6,0,0,0,0,13,0,6,24,119,30,39,38,35,15,314,82,214,190,499,326,391,392,241,139,2467,1593,3644,2962,6500,3879,4944,4809,2545,1159,32033
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,0,15,0,5,3,30,11,13,3,0,0,69,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,26,31,18,0,90,0,0,0,4,0,0,0,0,0,3,0,4,0,21,9,10,9,4,0,61,0,0,0,4,0,0,4,0,0,10,0,0,0,3,0,0,0,0,0,3,0,3,0,8,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,18,0,0,34,0,0,0,0,5,0,0,0,0,4,0,0,0,4,6,3,7,8,0,36,0,0,0,0,0,5,0,0,0,7,0,0,0,21,21,41,54,30,10,178,35,146,114,266,225,306,311,158,49,1612,882,2010,1705,3651,2399,3314,3111,1556,442,19066
SOSR431,0,0,0,5,0,0,0,0,0,8,0,0,5,7,25,20,7,0,0,76,0,39,39,171,74,71,46,7,0,454,0,0,0,14,26,20,20,8,5,98,0,0,0,10,0,0,0,0,0,13,0,8,23,52,74,177,197,102,12,645,0,8,8,10,14,11,5,0,0,60,7,28,60,129,86,65,40,14,0,419,0,0,4,28,14,5,0,0,0,50,0,0,4,20,0,0,4,0,0,36,4,14,23,86,42,8,5,0,0,183,0,0,0,10,9,14,7,0,0,37,7,9,27,65,66,61,66,27,8,335,0,9,13,117,117,106,56,15,0,442,0,0,6,12,27,43,48,25,7,154,0,0,12,28,28,21,14,3,0,114,5,22,64,282,179,282,275,151,43,1299,357,1021,1049,2176,1721,1998,1663,806,231,11032,6812,18167,15122,28862,21437,25136,19900,8239,1738,145402
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
SOSR499,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,17,47,4,10,5,0,0,89,24,49,61,214,82,93,54,7,0,587,140,262,394,1159,478,513,359,64,11,3377
SOSR501,109,793,1078,4122,553,282,193,60,14,7203,0,64,205,379,478,218,75,15,3,1429,131,2889,5463,11770,5906,2728,1275,293,40,30488,6,80,104,1390,687,914,1268,361,315,5122,0,13,44,158,105,86,53,20,3,483,46,746,1486,4560,3794,4702,3920,2452,823,22530,74,906,1699,4700,2400,2426,2080,750,203,15238,154,2038,5147,12220,8177,5375,2956,1263,369,37701,43,493,914,3544,1407,898,782,394,111,8590,43,130,110,2479,268,150,146,30,6,3362,88,898,1361,3365,1424,682,341,61,13,8226,13,73,71,587,289,195,88,46,17,1375,208,932,1040,2818,1133,1125,894,354,90,8594,82,599,1200,5799,3656,3019,1845,507,235,16942,19,171,400,1316,1003,1096,905,564,191,5661,30,306,1273,3708,2224,1749,835,257,68,10442,479,4725,7455,31028,11544,9641,7092,4126,1435,77528,3963,8771,9564,30132,12035,9877,7732,6153,4261,92480,125841,262039,246891,593820,263686,229678,182320,99540,39936,2043762
SOSR511,3,20,9,56,0,5,3,0,0,92,0,6,5,16,13,10,3,0,0,44,12,99,143,413,196,69,42,3,0,982,0,0,0,25,7,18,19,9,10,91,0,0,0,7,4,0,0,0,0,11,0,9,18,57,67,126,105,63,18,455,0,7,9,36,14,19,20,7,0,116,3,102,204,403,333,211,105,48,18,1433,0,4,3,32,8,8,6,0,0,67,0,0,5,135,0,0,4,0,0,148,0,23,15,61,40,18,5,0,0,161,0,0,0,0,0,6,0,0,0,7,0,14,10,34,29,32,41,9,0,185,0,7,7,52,25,13,13,0,0,114,0,0,4,21,20,27,23,20,8,126,0,21,50,124,96,86,53,7,6,456,11,73,49,333,180,169,118,72,24,1030,162,378,356,1074,524,510,402,273,189,3881,4533,10441,8488,19244,9801,9377,7670,4119,1523,75196
SOSR512,4,11,13,73,11,9,6,0,0,125,6,25,38,60,47,13,9,0,0,192,14,189,282,780,364,181,87,14,3,1916,0,0,0,21,17,5,9,14,12,76,0,0,3,11,10,14,0,0,0,38,0,12,18,86,71,168,152,118,33,665,0,3,5,31,33,27,11,6,0,116,6,135,206,508,365,207,110,52,20,1596,4,14,19,55,30,3,9,3,0,137,0,5,4,65,0,4,0,0,0,77,8,86,76,171,91,53,14,0,0,495,0,0,0,13,0,0,0,0,0,17,0,25,26,91,40,54,53,23,9,313,0,9,21,104,45,19,20,11,0,230,0,0,4,37,41,48,39,20,7,198,0,31,47,200,123,92,34,8,3,547,20,105,104,563,274,247,189,147,67,1724,422,1109,894,2414,1135,1109,839,572,288,8775,7088,16200,13466,29789,15690,15229,12592,7165,2918,120142
SOSR513,0,4,0,43,7,5,0,0,0,63,0,3,6,15,14,3,3,0,0,45,3,120,160,532,231,129,41,0,0,1219,0,0,0,19,16,8,8,4,5,52,0,0,0,8,0,3,5,0,0,8,0,26,30,133,80,97,55,32,3,456,0,10,4,36,19,13,21,6,0,115,8,74,107,366,224,114,52,18,6,969,0,16,0,74,20,12,4,0,0,140,0,0,0,65,0,0,0,0,0,71,4,37,35,173,61,28,6,0,0,349,0,0,0,8,3,5,0,0,0,22,0,9,8,84,21,23,13,3,0,174,3,8,7,78,15,4,0,0,0,124,0,0,11,26,16,19,14,11,3,103,0,3,31,125,71,54,14,3,0,298,3,49,78,558,176,146,80,38,12,1141,507,1247,935,3091,1222,907,362,191,49,8510,5432,10982,7312,22704,9050,6923,3599,1677,503,68192
