SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,6,0,0,0,21,0,0,0,0,4,5,13,6,0,4,7,8,0,4,5,57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,10,0,0,3,0,0,0,0,0,9,0,0,6,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,6,20,12,0,11,6,4,4,24,3,90,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,15,0,0,0,0,0,0,0,12
SOSR301,0,0,0,7,85,294,1068,1635,239,228,152,205,138,115,97,4266,0,0,5,25,43,207,925,519,117,118,146,92,49,33,26,2307,11,44,260,531,636,692,1393,966,176,193,275,233,139,76,82,5714,63,269,265,303,1916,3007,13368,8432,2440,2746,2693,3802,1310,210,754,41593,12,132,598,217,128,507,144,54,10,9,8,6,7,4,42,1862,36,114,122,59,102,113,407,243,59,61,57,92,67,19,42,1600,15,46,185,519,2350,2365,2695,1112,191,192,200,223,112,55,201,10466,985,1147,798,628,1059,736,1498,602,139,120,137,210,104,49,210,8421,107,574,691,230,134,85,77,109,14,19,20,14,3,5,130,2208,21,68,158,467,1651,2129,1666,1202,351,301,373,515,399,145,204,9666,88,96,492,596,1047,2044,18322,11624,2630,2877,3864,4583,1598,372,817,51043,54,185,159,225,470,841,1356,656,169,192,208,252,178,23,89,5048,0,16,9,60,346,371,1520,2426
SOSR302,0,0,0,0,12,34,55,37,3,0,6,3,0,0,0,153,0,0,5,3,6,37,153,74,5,20,25,41,10,0,0,388,3,33,144,303,344,395,809,596,115,159,165,187,139,43,49,3470,27,55,59,70,486,717,2774,2075,621,626,672,766,289,24,181,9441,14,132,396,129,66,192,61,18,6,0,3,5,4,0,38,1064,49,118,146,69,77,62,98,69,11,15,22,18,3,0,34,792,9,31,65,128,287,242,351,133,19,28,25,24,16,10,42,1414,396,938,514,353,639,405,652,274,64,65,70,90,45,21,118,4652,17,159,234,73,32,27,28,43,0,7,4,3,0,5,29,664,14,19,46,135,278,344,310,293,85,76,94,113,95,49,40,1988,64,42,158,145,168,318,2662,2087,588,597,798,887,321,69,186,9076,20,72,56,88,145,244,348,242,65,64,60,71,36,9,45,1544,0,3,14,39,132,108,300,346
SOSR303,0,0,0,3,0,9,20,88,16,19,3,8,0,12,8,187,0,0,0,4,3,10,69,58,7,14,19,18,13,0,0,225,0,14,65,114,110,137,255,174,32,33,39,55,32,9,20,1083,11,14,18,28,115,115,606,377,99,115,128,160,59,8,21,1870,0,24,85,14,5,14,5,6,0,0,0,0,0,0,11,168,3,7,15,10,5,13,53,42,5,3,11,36,0,4,9,219,5,13,32,40,104,105,197,94,15,18,20,18,8,0,19,705,144,286,219,151,243,174,365,128,18,32,32,45,15,3,41,1892,6,43,60,22,13,6,6,13,8,0,0,6,0,0,5,197,11,9,19,38,81,59,84,87,23,7,30,28,26,0,4,502,8,16,60,52,75,135,1642,1260,326,343,411,581,283,56,114,5346,6,27,29,34,37,78,163,116,37,29,32,59,21,4,7,678,0,0,6,18,35,19,54,59
SOSR311,0,0,0,0,0,0,12,8,3,0,7,0,4,0,0,42,0,0,0,0,0,15,97,34,5,10,17,11,3,4,0,195,5,11,33,44,44,41,93,60,17,26,11,24,14,9,3,420,5,12,4,4,22,51,227,156,42,83,110,127,35,3,24,916,0,12,31,9,5,6,5,3,0,0,0,0,0,0,5,73,0,0,16,0,3,4,13,0,0,9,7,36,7,5,4,102,0,5,13,18,52,49,120,63,9,17,18,23,10,0,10,406,79,201,144,85,102,51,96,26,3,11,7,13,6,0,22,866,0,5,16,8,0,0,0,4,0,0,0,0,0,0,3,38,0,7,5,7,16,22,21,24,6,5,3,5,4,0,4,128,10,3,24,17,14,37,564,465,116,129,119,186,67,50,37,1826,5,17,9,5,16,29,42,38,11,3,11,15,18,0,7,220,0,0,0,0,9,6,11,31
SOSR312,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,0,0,0,0,0,3,10,10,5,6,6,4,0,0,0,42,0,4,9,21,23,14,50,28,3,7,5,9,3,0,10,185,3,8,4,3,6,17,53,34,4,10,10,13,6,0,3,171,0,5,20,12,5,3,0,3,0,0,3,0,0,0,0,48,0,5,8,0,0,0,0,12,0,3,0,3,0,3,0,39,0,0,10,15,15,20,29,32,3,4,0,3,0,0,6,138,52,107,59,54,50,19,34,18,3,8,0,0,5,0,19,415,0,9,13,3,0,0,0,9,0,0,0,0,0,0,0,36,5,0,6,3,9,3,5,10,0,0,0,0,0,0,0,53,4,0,12,6,10,14,200,151,33,30,39,40,20,10,8,583,3,11,8,7,6,5,26,21,10,0,7,3,0,0,3,107,0,0,3,0,5,3,8,14
SOSR313,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,15,0,0,0,0,0,4,9,4,0,0,0,0,0,0,0,20,3,4,13,37,26,21,36,53,12,19,9,6,9,7,6,268,0,3,0,4,16,18,72,55,18,14,20,58,4,6,0,281,0,10,24,7,4,0,0,4,0,0,0,0,0,0,4,46,0,0,3,0,0,7,6,4,4,0,0,4,7,0,5,36,0,0,7,5,32,51,91,51,9,5,17,25,15,0,3,314,43,109,72,37,52,39,54,27,7,3,15,10,10,3,9,473,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,6,11,9,24,15,0,3,0,6,0,0,3,74,4,3,15,3,6,13,282,218,47,60,54,44,17,18,11,802,0,5,5,3,8,16,25,24,7,6,11,9,13,0,7,133,0,0,0,0,0,0,7,5
SOSR314,0,0,0,0,0,3,10,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,24,18,0,7,0,6,3,0,0,55,0,4,19,30,41,31,34,53,9,4,8,7,11,0,3,250,6,8,6,0,10,13,89,76,16,50,69,151,30,13,16,548,0,16,26,6,0,9,4,0,0,0,0,0,0,0,0,66,0,3,8,3,0,0,10,12,0,9,4,0,0,3,0,43,0,0,5,20,38,27,38,27,5,10,16,16,5,0,5,205,60,115,64,62,92,33,78,28,3,9,7,7,7,0,19,583,4,20,16,9,3,0,0,0,0,0,0,0,0,0,4,62,0,0,4,4,14,12,12,19,3,3,11,12,9,0,5,110,5,3,15,20,18,33,390,298,97,81,122,201,78,19,34,1418,3,15,12,7,7,20,38,19,9,21,36,31,6,0,11,239,0,0,6,0,4,3,3,10
SOSR315,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,25,0,0,29,56,54,49,94,46,6,8,6,12,0,8,10,385,0,11,7,0,18,17,70,52,13,15,29,59,4,0,19,323,0,12,34,17,4,9,0,0,0,0,0,0,0,0,3,85,4,3,15,4,6,0,5,0,0,0,0,0,0,0,5,41,3,3,13,21,48,43,58,29,4,12,0,9,4,0,18,264,82,225,133,88,149,67,125,64,3,13,14,10,7,3,27,1021,0,12,11,5,3,4,0,0,0,0,0,0,0,0,7,38,0,4,9,14,9,13,20,14,0,5,3,4,5,0,3,107,5,10,39,20,17,17,196,149,45,37,34,57,14,9,35,694,8,18,18,8,12,20,38,28,9,0,18,46,14,4,9,247,0,0,0,4,4,3,10,19
SOSR321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,17,27,19,23,32,19,5,0,5,3,0,3,3,164,0,4,4,0,3,0,26,9,0,8,0,5,4,0,8,85,3,5,8,4,0,3,0,0,0,4,0,0,0,0,0,28,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,8,0,6,3,12,6,14,28,9,0,5,0,4,7,0,3,111,21,92,61,43,72,31,57,18,8,0,7,0,0,0,16,430,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,8,0,0,8,0,0,0,0,0,0,0,0,21,0,4,14,8,4,6,46,36,8,14,29,11,3,0,6,197,4,8,9,3,0,6,26,8,0,0,3,0,5,0,0,81,0,0,0,0,0,0,4,0
SOSR322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,18,7,11,9,11,0,0,0,0,0,0,4,71,0,6,0,0,0,0,11,5,3,0,5,0,3,0,0,36,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,4,7,4,0,0,0,0,0,3,0,38,21,45,23,17,23,9,19,12,0,0,0,5,0,0,0,178,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,3,0,0,20,13,4,0,7,6,0,0,4,71,0,4,0,0,0,5,0,4,0,0,0,7,6,0,5,30,0,0,0,0,0,0,0,0
SOSR331,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,14,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,18,0,18,81,112,101,131,179,106,14,11,21,24,11,4,19,829,5,14,21,4,28,31,107,76,28,21,28,27,19,0,16,433,5,28,81,20,5,14,3,3,0,0,0,0,0,0,8,169,6,9,13,7,3,0,5,0,3,0,0,0,0,0,0,49,4,11,28,41,76,71,61,31,6,3,8,15,5,0,26,381,129,308,261,178,376,172,250,107,15,15,16,32,18,0,55,1942,4,21,22,8,7,0,0,0,0,0,0,0,0,0,6,68,0,0,22,14,19,21,27,12,4,3,8,6,6,0,6,160,8,18,47,36,59,52,242,113,14,20,24,35,14,3,16,713,8,40,32,21,25,31,47,40,7,9,21,29,13,0,16,344,0,0,0,4,9,4,6,15
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,6,6,0,0,9,6,3,9,0,46,0,0,0,0,6,0,8,4,6,6,12,24,4,4,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,3,3,0,0,0,0,0,0,3,16,4,4,14,5,4,3,6,12,6,0,7,26,8,3,11,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,6,8,3,0,8,3,6,0,0,48,0,3,0,3,0,0,0,0,0,0,5,8,4,0,0,34,0,0,0,0,0,0,0,0
SOSR401,0,0,0,0,31,359,2460,2878,409,389,379,554,151,157,111,7878,0,0,4,3,13,58,680,689,105,145,196,139,99,13,22,2162,3,21,123,224,285,256,456,255,57,68,70,100,64,28,27,2032,23,120,122,248,843,1157,7486,5864,1723,1899,1702,2335,688,77,364,24654,33,343,772,271,131,578,214,24,10,9,3,4,3,0,57,2451,33,208,132,49,97,98,322,240,52,85,63,108,53,9,33,1577,8,21,36,82,237,193,293,90,20,28,35,26,13,3,21,1108,1161,2073,954,457,515,318,564,273,24,54,47,67,48,11,196,6770,90,2489,3162,650,224,117,116,220,28,19,3,26,10,3,238,7393,13,15,64,160,507,535,683,580,234,246,238,318,304,64,87,4039,73,75,378,351,372,825,13122,8418,2626,2946,4626,5634,2282,226,524,42485,13,73,44,84,150,241,449,372,108,95,131,129,76,11,37,2004,0,8,10,27,382,506,1054,1765
SOSR412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,18,0,0,14,14,14,18,35,19,3,0,0,3,5,0,6,135,0,4,8,0,3,14,67,30,12,8,19,19,3,0,3,195,0,10,46,6,0,0,0,0,0,0,0,0,0,0,5,77,3,0,0,0,3,0,12,5,0,0,4,14,4,0,0,43,0,0,0,0,4,9,12,10,0,0,0,3,0,0,0,40,65,175,77,37,38,17,35,12,0,0,0,5,5,0,22,466,0,31,41,3,4,0,3,0,0,0,0,0,0,0,10,90,0,0,0,5,3,5,0,5,3,3,8,0,0,0,0,40,0,0,6,11,9,8,165,128,31,38,72,44,21,12,15,566,0,6,0,3,3,8,12,14,0,5,3,0,0,0,3,65,0,0,0,0,0,6,13,15
SOSR413,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,11,0,0,0,0,0,0,4,9,0,3,7,0,3,0,0,33,0,4,7,17,22,13,23,3,0,5,6,4,4,0,6,106,0,4,4,3,5,6,96,96,24,19,23,19,0,3,10,314,0,23,24,22,4,0,0,3,0,0,0,0,0,0,3,89,0,3,6,0,0,0,3,0,0,8,0,5,0,0,0,25,0,0,0,0,5,4,11,12,0,3,0,0,0,0,0,40,77,173,72,40,60,21,41,11,3,0,4,8,7,0,9,528,3,17,11,3,3,0,4,4,0,0,0,0,0,0,0,47,0,0,0,3,8,0,11,8,0,0,0,0,0,0,7,38,4,7,19,9,14,18,133,87,20,50,64,45,23,4,9,497,0,4,3,3,0,6,5,6,0,0,0,7,0,0,0,55,0,0,0,0,3,3,5,3
SOSR414,0,0,0,0,0,11,42,68,10,15,0,8,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,10,0,4,7,0,3,0,0,0,37,0,4,0,0,0,0,9,22,15,32,16,12,0,0,4,116,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,11,26,83,30,9,18,11,21,5,0,0,0,0,0,0,9,208,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,10,3,0,4,4,3,4,14,7,0,3,5,5,0,0,4,67,0,3,0,0,3,0,4,8,0,0,8,3,0,0,0,30,0,0,0,0,0,0,0,0
SOSR415,0,0,0,0,0,3,33,68,10,5,0,9,4,0,0,127,0,0,0,0,0,0,3,10,0,3,0,0,0,0,0,18,0,0,3,20,15,18,27,6,0,7,0,0,0,0,0,100,0,4,0,9,9,6,54,38,13,17,18,21,9,3,4,198,5,20,45,9,0,3,0,0,0,0,0,0,0,0,4,85,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,3,6,4,9,6,0,4,0,5,0,0,0,44,93,191,83,53,48,30,35,12,6,0,5,4,0,0,18,586,5,75,128,25,10,5,0,0,0,0,0,5,0,0,22,276,0,0,4,8,5,5,3,7,5,0,0,5,3,0,0,47,4,0,7,8,20,35,215,155,37,41,57,96,35,6,11,737,0,10,3,6,0,0,19,4,5,0,6,18,21,0,3,103,0,0,0,0,0,3,7,0
SOSR421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,3,4,0,4,3,0,4,0,0,4,0,0,0,4,28,0,0,0,0,0,3,4,3,4,6,3,9,0,0,0,35,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,15,49,31,8,10,4,5,7,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,11,7,3,3,8,10,9,4,3,12,0,0,0,77,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,15,0,3,8,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,38,14,10,11,3,3,3,0,0,0,0,0,0,8,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,11,9,4,4,0,3,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
SOSR431,0,0,0,0,0,0,8,13,0,3,0,0,0,0,6,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,4,10,27,29,24,38,14,0,0,7,6,0,0,7,169,0,8,8,9,8,6,40,25,15,9,5,22,0,0,6,153,0,19,32,9,0,3,0,0,0,0,0,0,0,0,3,76,0,3,6,0,0,0,0,3,0,0,0,0,0,0,0,19,0,3,0,3,11,12,6,3,0,0,0,5,0,0,0,56,66,202,94,59,95,32,50,30,5,3,0,10,8,0,17,673,3,100,130,26,21,5,5,3,0,0,0,0,0,0,26,315,0,0,3,3,10,0,4,10,0,0,0,5,0,0,0,47,4,9,22,29,31,43,102,46,12,15,19,33,7,0,15,389,0,11,0,5,3,11,16,15,4,0,0,15,4,0,10,86,0,0,0,0,5,3,13,6
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,4,0,0,0,0,0,0,4,0,6,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0
SOSR501,0,0,0,17,157,641,1848,1539,190,205,160,283,142,101,107,5375,0,6,17,95,72,148,1032,729,96,102,127,128,90,6,25,2665,3,41,285,562,607,723,1280,786,140,147,152,186,108,49,61,5138,32,35,71,225,1377,2206,10174,6257,1296,1298,1144,1795,626,75,495,27105,83,506,1259,436,283,883,418,117,12,17,4,10,7,0,137,4177,83,148,247,132,176,214,490,494,77,74,62,53,32,8,59,2366,7,22,42,91,215,130,212,171,17,19,28,34,5,8,33,1046,942,918,745,665,1329,777,1655,840,105,114,145,186,87,32,158,8689,108,525,653,237,101,43,74,138,9,18,0,18,4,6,59,1999,15,28,156,471,1030,1002,1292,949,218,194,233,267,195,59,118,6221,359,269,2228,1946,1884,2681,18894,14034,2935,2390,3505,4203,1452,285,919,57989,44,131,100,282,1123,2829,3839,1855,407,431,456,560,558,62,258,12937,8,4,12,60,678,691,1505,2134
SOSR511,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,4,21,0,6,9,0,0,0,0,44,0,0,7,13,10,25,23,18,3,0,8,0,0,0,3,116,0,0,0,0,0,7,73,58,10,20,15,20,0,0,5,206,0,9,11,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,23,0,0,0,5,5,0,7,4,0,0,0,0,0,0,0,21,59,36,33,18,38,6,44,7,0,4,4,4,0,0,12,260,0,6,5,0,0,0,0,6,0,5,0,0,0,0,0,25,0,0,3,0,6,3,5,12,3,3,3,3,10,0,5,48,13,0,21,11,9,15,167,189,27,31,33,40,13,4,12,586,6,0,0,0,5,16,40,31,11,5,8,3,0,0,3,132,0,0,0,0,3,0,4,22
SOSR512,0,0,0,0,0,0,8,44,4,0,5,9,0,0,3,84,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,20,0,0,16,24,19,29,62,28,18,7,4,7,7,0,8,238,3,0,3,0,10,22,85,78,12,19,17,29,11,8,16,306,0,6,19,5,10,4,5,0,0,0,0,0,0,0,5,51,0,4,0,4,4,6,0,0,0,0,3,0,0,9,0,41,0,0,0,6,18,9,40,29,3,7,16,7,0,11,0,142,83,72,40,25,42,33,84,42,13,7,7,6,0,0,16,459,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,5,0,4,5,16,0,0,0,0,0,0,7,58,10,9,50,21,16,25,252,242,29,33,48,55,23,9,13,839,4,3,4,3,19,29,72,53,16,15,17,11,13,0,4,260,0,0,0,0,7,0,0,25
