SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR322,21912,21390,43299,1178,1181,2357,2753,2644,5399,1082,975,2051,991,972,1970,2114,2268,4384,2141,2245,4381,2708,2761,5469,3684,3604,7289,3343,2929,6268,1605,1416,3024,312,386,702,20189,19969,40156,1718,1423,3139,1686,1775,3461,1352,1383,2740,880,901,1777,3913,4056,7971,17719,17214,34937,2033,2259,4289,17381,16841,34224,2482,2764,5245,19293,18892,38183,207,245,455,2408,2321,4728,579,589,1166,120,165,290,288,618,907,5967,7113,13082,1490,1557,3045,5576,4948,10528,1365,1030,2397,1461,1072,2537,100,73,172,19357,19149,38513,5076,4297,9378
SOSR331,233099,215473,448574,10777,10221,20997,29669,27340,57012,14115,12901,27016,10707,9058,19762,21406,20340,41750,25861,25889,51750,34129,33453,67583,38217,35907,74122,31383,26694,58073,14142,11227,25367,2696,2454,5145,218153,205492,423641,14952,9984,24935,9538,8164,17702,770,576,1345,773,612,1386,11079,9360,20439,184733,170098,354830,25067,26651,51718,199985,188673,388665,8413,9081,17493,200628,189309,389932,2464,2301,4764,26722,24762,51483,8787,9128,17916,1683,2419,4104,2783,6957,9742,72344,85190,157531,14939,13762,28702,58708,46433,105137,13290,8931,22213,11365,6844,18210,766,536,1305,202156,195279,397438,45232,28959,74191
SOSR379,149,28,183,0,0,0,0,0,0,0,0,0,4,9,16,37,13,49,55,7,64,42,0,45,3,4,5,3,0,3,0,0,0,0,0,0,108,12,112,45,23,70,0,0,0,0,0,0,0,0,0,0,0,0,27,0,29,19,4,23,27,0,32,18,3,22,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,29,0,0,3,18,0,15,0,0,0,0,0,0,0,0,0,3,0,0,303,54,354
SOSR399,7861,6807,14670,277,229,504,478,457,932,272,291,566,444,493,934,1301,1345,2649,1194,885,2077,1042,887,1929,1297,1170,2468,1253,870,2124,283,160,444,23,25,44,0,0,0,7861,6807,14670,553,471,1025,44,27,72,57,30,84,652,533,1188,4859,4153,9019,1440,1472,2917,5206,4768,9972,551,630,1184,5052,4566,9621,26,37,63,365,357,721,94,120,212,41,70,112,139,233,369,2202,2483,4685,535,494,1026,1513,1272,2785,441,304,752,278,151,428,42,27,64,0,0,0,0,0,0
SOSR401,610146,634871,1245011,34504,32582,67086,74161,70220,144379,35644,33732,69374,42541,40690,83229,89123,89419,178542,82765,84854,167621,76573,78507,155078,71483,77213,148698,58214,66473,124690,32643,40379,73023,12507,20793,33293,587287,615254,1202545,22854,19616,42470,10115,10444,20560,299,311,616,309,278,588,10726,11036,21761,414177,426603,840784,173003,186268,359273,446408,462865,909273,139228,148981,288213,521955,545100,1067048,9624,8922,18552,70757,67068,137828,27947,28128,56079,17917,19846,37768,23776,34784,58558,284842,309203,594045,80122,75611,155734,66692,70107,136792,21854,23068,44924,19020,23393,42413,5395,7114,12511,574715,599740,1174457,29978,32457,62430
SOSR412,47572,50153,97725,2896,2688,5579,6459,6074,12537,3029,2892,5922,2955,2851,5809,6174,6319,12493,5552,6021,11577,6024,6535,12564,5918,6369,12284,4848,5250,10096,2729,3642,6368,990,1510,2494,45249,48122,93373,2325,2030,4352,1328,1416,2749,43,48,88,42,37,78,1412,1500,2920,38206,39734,77941,7027,8031,15057,42635,44763,87393,2661,3065,5721,43108,45343,88451,719,746,1466,6065,5710,11776,2124,2128,4251,569,857,1423,1017,2181,3202,15857,19231,35092,8652,8073,16728,7044,7235,14284,2421,2349,4774,1798,1864,3661,171,190,363,44312,46832,91140,2985,2883,5863
SOSR413,44620,46229,90848,2360,2196,4553,5372,5294,10664,2604,2438,5035,2336,2223,4559,5052,4842,9891,4896,4866,9760,5437,5682,11117,5845,6250,12100,5811,6547,12358,3729,4081,7810,1181,1818,2996,41790,43958,85752,2830,2268,5100,2916,2748,5667,44,51,94,38,53,91,2998,2850,5851,36239,37492,73729,5780,6269,12052,38679,41122,79796,2445,2768,5209,39449,42028,81476,571,553,1132,4987,4915,9901,1780,1790,3571,401,563,967,788,1577,2366,14333,17146,31480,7537,7356,14894,7575,7034,14606,2455,2467,4925,2182,2153,4343,165,151,313,39783,42636,82416,4588,3476,8066
SOSR414,15259,16437,31700,803,755,1555,1742,1729,3478,795,771,1567,708,700,1408,1674,1674,3346,1592,1787,3372,1759,1853,3612,1905,2187,4089,2281,2680,4964,1544,1653,3201,451,658,1108,14334,15643,29970,931,797,1733,265,254,523,7,10,19,7,0,7,277,264,547,12104,13089,25191,2342,2527,4873,13764,14923,28686,790,799,1587,13778,14973,28755,205,192,405,1650,1639,3288,579,584,1166,141,209,354,261,582,846,5027,6264,11288,2681,2791,5474,2635,2537,5170,883,849,1736,583,629,1208,117,66,180,14048,15188,29237,902,1045,1955
SOSR415,57207,59145,116347,3040,2979,6023,6978,6797,13775,3116,2819,5938,2802,2513,5315,6220,6395,12613,6141,6417,12559,6840,7231,14070,7954,8113,16065,7952,8108,16059,4589,5260,9856,1568,2513,4077,53739,56229,109969,3465,2917,6379,1775,1847,3626,50,29,74,54,64,118,1885,1936,3820,46191,47585,93770,7127,7885,15010,50634,52744,103383,3048,3128,6174,51391,53516,104907,725,666,1386,6489,6322,12807,2106,2085,4191,482,644,1125,896,1934,2827,17122,21078,38197,10067,9463,19525,9609,9214,18819,3591,3028,6625,2906,2835,5740,264,199,456,51792,53792,105583,5615,5578,11198
SOSR421,15796,16230,32033,798,793,1593,1854,1789,3644,815,777,1591,700,674,1374,1533,1632,3167,1637,1694,3331,1901,1981,3879,2441,2506,4944,2443,2365,4809,1228,1318,2545,448,711,1159,14699,15312,30005,1099,922,2024,582,635,1220,11,8,18,3,7,6,599,650,1250,12921,13190,26117,1641,1808,3446,13982,14387,28368,684,741,1431,14143,14606,28753,164,184,345,1732,1643,3374,556,574,1132,137,201,338,180,509,687,4451,5758,10208,2935,2784,5721,2762,2397,5155,945,779,1724,841,747,1583,29,38,72,14045,14515,28560,1788,1651,3441
SOSR422,9764,9305,19066,441,437,882,1041,967,2010,490,427,915,425,366,787,906,926,1832,891,931,1815,1228,1172,2399,1682,1631,3314,1655,1459,3111,805,754,1556,198,239,442,9088,8736,17815,676,571,1242,908,995,1904,4,3,9,6,9,18,916,1007,1929,7926,7520,15451,979,1021,2001,8145,7690,15829,840,913,1756,8740,8318,17058,110,117,231,919,873,1790,264,268,541,56,69,125,100,262,357,2292,2948,5239,1872,1608,3482,1870,1541,3413,719,542,1259,626,435,1063,34,36,72,8733,8393,17121,1354,1163,2517
SOSR431,76352,69044,145402,3427,3386,6812,9486,8678,18167,4556,4075,8627,3577,2908,6493,6667,6110,12777,8119,7971,16088,10966,10470,21437,13220,11916,25136,10839,9060,19900,4625,3608,8239,878,859,1738,71513,65317,136833,4842,3728,8572,2048,1929,3981,39,32,68,27,21,48,2116,1984,4097,62377,55738,118118,7984,8271,16248,66742,61211,127949,3393,3490,6880,67971,62351,130319,758,766,1528,8734,8062,16794,3055,2957,6013,676,983,1660,871,2046,2916,23726,28124,51845,13656,10907,24568,12916,8851,21762,4381,2686,7069,3131,1938,5068,239,194,437,67495,63042,130538,12026,6678,18695
SOSR479,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
SOSR499,1873,1506,3377,77,56,140,128,139,262,74,112,186,108,95,206,320,305,627,289,245,534,299,178,478,311,197,513,214,141,359,40,26,64,7,10,11,0,0,0,1873,1506,3377,199,180,376,0,0,0,7,3,6,203,180,384,1248,1010,2262,282,249,530,1230,1034,2261,148,167,314,1267,1065,2335,10,13,25,96,110,200,33,61,92,18,22,39,39,54,94,435,417,850,280,228,509,291,256,543,113,70,185,64,31,95,10,6,21,0,0,0,0,0,0
SOSR501,1007026,1036733,2043762,64683,61163,125841,134500,127538,262039,60648,57892,118535,64814,63540,128352,144955,150941,295897,147237,150691,297929,130284,133403,263686,111637,118041,229678,86701,95610,182320,46197,53346,99540,15377,24562,39936,947764,998062,1945823,59268,38672,97941,18808,19070,37880,491,419,901,494,486,983,19792,19978,39768,598604,609524,1208128,357846,385306,743151,744077,760255,1504326,207247,230519,437765,833478,861960,1695439,18722,17424,36147,127480,120851,248336,46627,46806,93436,25220,28104,53322,32435,51854,84291,475352,520467,995822,74886,73449,148333,149056,148119,297176,32836,31777,64616,19211,23092,42305,5444,6891,12339,924591,973560,1898148,50953,51178,102130
SOSR511,36962,38239,75196,2348,2183,4533,5413,5027,10441,2312,2329,4649,1951,1888,3838,4567,4762,9322,4882,5039,9920,4750,5044,9801,4551,4828,9377,3690,3978,7670,1901,2221,4119,584,942,1523,33871,36166,70040,3087,2070,5157,1273,1331,2605,16,14,25,30,35,64,1314,1376,2691,27682,28540,56218,7161,7933,15098,31386,33008,64393,2890,3437,6335,31722,33506,65230,673,583,1257,5080,4741,9821,1567,1639,3210,305,444,750,635,1476,2107,11686,14441,26127,3632,3840,7471,8915,8368,17277,1820,1603,3414,878,902,1773,117,89,207,32727,35408,68136,2696,2007,4704
SOSR512,59351,60792,120142,3616,3478,7088,8281,7913,16200,3694,3487,7185,3238,3044,6283,7417,7268,14681,7407,7697,15102,7607,8081,15690,7498,7735,15229,6098,6500,12592,3357,3805,7165,1143,1776,2918,54389,57125,111513,4971,3668,8630,3682,3610,7292,45,45,92,75,53,129,3802,3710,7514,43785,44616,88392,10878,12092,22971,49308,51242,100551,4745,5222,9968,49627,51871,101495,916,889,1806,7503,7185,14686,2326,2326,4652,466,576,1040,1149,2474,3619,18721,22735,41455,5782,5999,11778,13612,12306,25920,2851,2508,5365,1777,1575,3356,282,245,533,51457,54550,106006,7492,6155,13651
SOSR513,34557,33632,68192,2837,2603,5432,5568,5414,10982,2021,1813,3837,1796,1686,3483,5376,6031,11408,5664,5635,11301,4739,4315,9050,3721,3205,6923,1823,1774,3599,814,860,1677,207,300,503,31984,31529,63515,2574,2101,4678,3817,4003,7818,149,119,268,238,236,473,4197,4365,8566,23081,22227,45309,6897,7477,14375,26302,25657,51958,3432,3862,7292,26872,26282,53150,677,647,1320,4779,4665,9446,1153,1123,2280,233,297,535,705,1491,2192,11046,13290,24334,3232,2800,6032,6041,4636,10672,1241,964,2197,552,503,1051,110,98,211,28843,29080,57930,12522,8511,21033
SOSR514,14058,14412,28471,898,821,1715,2074,1995,4067,876,744,1625,616,533,1148,1583,1637,3227,1850,2123,3973,1829,1933,3760,1670,1797,3470,1657,1645,3298,777,849,1624,226,346,567,12595,13368,25968,1463,1043,2507,545,537,1081,5,7,16,9,11,11,560,550,1111,10336,10571,20908,2440,2739,5175,11933,12329,24263,874,999,1875,11910,12385,24295,190,218,406,1875,1781,3656,570,494,1060,72,101,172,210,550,759,4596,5611,10209,1393,1339,2733,2839,2746,5589,662,547,1209,390,302,697,37,21,59,11990,12718,24709,1572,1513,3090
SOSR515,46388,46132,92523,3111,2881,5989,6642,6142,12788,2657,2441,5095,2289,2191,4481,5755,6169,11923,5755,6095,11851,5998,5835,11838,5946,5868,11810,4934,4901,9832,2547,2538,5083,755,1077,1831,42408,43074,85480,3976,3062,7042,3857,4067,7927,88,82,173,69,82,152,4018,4238,8252,33002,32500,65508,7859,8765,16625,37275,37350,74624,3653,3941,7598,37950,37977,75926,690,638,1328,5748,5303,11051,1534,1511,3043,267,321,592,637,1596,2233,13084,16055,29141,4431,4412,8841,10188,9007,19189,2446,1885,4322,1436,1213,2649,251,216,466,38800,39826,78626,11443,9242,20685
SOSR521,19079,18844,37925,1203,1112,2319,2504,2302,4806,977,953,1926,897,847,1740,2075,2271,4346,2137,2332,4477,2513,2473,4984,2859,2706,5562,2418,2245,4668,1177,1169,2347,320,436,754,17427,17601,35032,1651,1245,2894,2541,2762,5297,10,14,26,20,29,43,2572,2802,5368,13816,13502,27316,2895,3218,6117,15334,15035,30363,1512,1817,3333,15829,15657,31489,246,228,476,2163,1975,4131,511,543,1052,74,98,175,206,536,741,4970,6036,11003,1644,1765,3416,4699,4120,8817,1052,919,1972,805,623,1431,70,75,143,15759,16091,31852,5639,3959,9604
SOSR522,10961,10626,21588,685,633,1316,1432,1433,2865,632,577,1206,557,612,1168,1263,1292,2556,1202,1218,2419,1348,1262,2606,1543,1517,3061,1432,1225,2656,688,648,1336,176,201,375,9931,9837,19760,1034,788,1826,2680,2821,5497,14,11,22,12,25,37,2702,2856,5560,8402,8105,16506,1360,1439,2797,8008,7673,15679,1736,1903,3637,9270,9025,18298,133,144,279,1234,1237,2473,278,282,556,44,66,109,98,238,335,2734,3196,5936,1006,1094,2099,2723,2340,5054,658,509,1169,525,359,881,66,78,148,9230,9241,18468,3284,2514,5800
SOSR531,89366,74281,163652,3737,3484,7220,10087,9280,19368,4741,4187,8927,4644,3081,7726,10059,7309,17368,11495,9310,20805,13733,11683,25420,14468,12660,27127,11045,8919,19970,4509,3563,8074,841,805,1649,81729,69070,150795,7637,5214,12854,4765,3365,8134,58,25,84,109,40,143,4933,3431,8358,62603,52983,115588,15424,14330,29754,69826,62474,132299,5515,5178,10693,70755,63344,134102,887,866,1756,9060,8333,17391,2954,2866,5811,672,722,1392,901,2265,3170,29094,30817,59912,7759,6852,14609,20801,13663,34466,4006,2574,6582,2292,1334,3625,432,179,607,66460,63980,130438,51043,20059,71105
SOSR579,455,58,514,0,0,0,0,0,0,7,3,6,25,11,31,99,14,116,157,11,170,103,9,109,55,3,62,14,4,18,0,0,0,0,0,0,455,57,511,3,0,5,7,3,9,0,0,0,0,0,0,7,3,9,131,24,151,132,14,148,206,29,232,60,4,66,189,29,216,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,143,30,174,38,0,38,59,6,61,13,0,16,0,0,0,3,0,3,10,4,15,2846,390,3234
SOSR599,4639,3416,8055,149,153,300,244,230,473,118,147,261,295,256,562,822,692,1512,926,613,1543,842,468,1313,667,477,1144,444,316,758,118,38,155,14,16,30,0,0,0,4639,3416,8055,786,677,1464,11,0,11,13,5,19,819,683,1495,2708,2061,4775,775,656,1431,2185,1896,4079,243,244,486,2120,1823,3943,22,17,34,163,164,327,38,44,76,26,33,62,63,106,169,997,1029,2024,239,218,457,620,423,1036,143,100,241,80,36,118,10,14,30,0,0,0,0,0,0
SOSR603,95846,101610,197451,5261,4954,10218,11367,10743,22108,5357,5121,10486,6254,6173,12423,17136,16898,34039,12326,12997,25323,11047,11958,23007,10655,12048,22706,9363,10946,20305,5279,6683,11961,1795,3084,4881,91683,97478,189159,4159,4132,8291,3900,4006,7899,196,197,395,196,220,418,4281,4426,8711,71399,76244,147645,20270,20957,41226,76333,82189,158519,14816,15039,29858,79023,85468,164494,1419,1356,2773,10736,10140,20874,4110,4063,8173,2440,2570,5013,5513,6815,12333,45249,48907,94158,5807,6293,12094,16897,18439,35339,4136,4631,8768,2427,2711,5137,435,498,937,89086,94802,183886,6565,6548,13114
SOSR611,39168,41778,80943,2146,2117,4264,4798,4583,9378,2342,2302,4638,2776,2625,5399,6280,6050,12328,4738,5027,9767,4658,5211,9868,4467,4964,9428,3806,4552,8358,2358,2943,5299,794,1412,2208,37337,40043,77384,1827,1736,3561,1397,1500,2901,54,78,135,49,60,114,1499,1647,3147,30634,33202,63837,6558,6651,13206,32809,35628,68436,4451,4309,8750,33567,36560,70132,550,561,1109,4522,4315,8833,1699,1734,3437,804,905,1708,1695,2217,3907,14618,16369,30990,2565,3055,5618,9256,9582,18836,2182,2265,4447,1292,1419,2712,312,341,649,36150,38744,74888,3030,3042,6070
SOSR612,21432,23428,44860,1239,1169,2401,2681,2700,5383,1283,1241,2524,1266,1318,2582,2870,3007,5878,2305,2639,4941,2642,2866,5504,2690,3119,5814,2439,2846,5288,1540,1743,3287,472,785,1254,20294,22333,42629,1136,1097,2233,1618,1794,3408,61,59,117,73,77,149,1750,1924,3674,17924,19698,37625,2336,2485,4818,19197,21063,40260,1140,1270,2406,19310,21219,40531,309,267,579,2502,2513,5014,879,910,1793,218,320,541,518,878,1397,5843,7037,12877,1677,1933,3608,6244,6526,12768,1633,1787,3423,865,927,1792,88,79,176,19932,21794,41728,1358,1459,2816
SOSR613,6037,6688,12723,277,282,555,738,634,1373,358,351,713,309,332,643,606,651,1259,606,663,1264,691,820,1514,872,1027,1898,847,973,1817,542,672,1218,188,278,471,5644,6364,12003,397,329,723,468,555,1024,15,19,35,21,20,49,509,599,1107,5090,5661,10750,525,627,1148,5521,6169,11686,153,197,347,5514,6187,11700,60,64,131,678,591,1271,256,265,522,60,72,127,115,220,332,1505,1883,3387,432,531,961,1826,2053,3876,560,598,1166,319,321,638,11,9,22,5514,6178,11698,367,387,753
SOSR614,8144,8610,16757,480,433,910,1053,1006,2063,449,437,890,451,406,854,938,1016,1954,912,991,1907,912,1061,1967,1214,1216,2430,1059,1142,2200,527,683,1205,144,222,366,7701,8220,15922,444,392,834,533,608,1136,22,25,52,32,27,58,582,662,1244,6914,7236,14153,647,796,1444,7470,7892,15364,178,225,403,7446,7871,15313,116,117,234,974,928,1900,290,308,601,69,79,146,160,311,473,2105,2648,4758,634,756,1387,2397,2375,4772,595,570,1168,334,289,628,36,18,53,7468,7946,15412,530,536,1064
SOSR615,31321,33552,64877,1754,1661,3416,3932,3692,7620,1746,1527,3270,1575,1591,3169,3688,3927,7612,3288,3599,6894,3552,4031,7584,4196,4646,8836,4374,4744,9113,2452,2967,5420,764,1180,1944,29706,32055,61766,1612,1498,3111,1886,1995,3879,78,81,159,57,63,125,2020,2142,4160,25823,27772,53594,3559,3820,7382,28441,30612,59057,1157,1238,2395,28323,30563,58884,406,427,827,3650,3426,7074,1205,1124,2331,264,369,634,716,1211,1921,8352,10551,18906,2337,2723,5061,9179,9309,18489,2575,2455,5035,1276,1149,2424,93,65,161,28912,30994,59906,1993,2164,4154
SOSR621,10961,10997,21957,538,489,1031,1244,1242,2486,540,479,1022,493,420,916,1136,1150,2286,1168,1216,2385,1370,1430,2800,1718,1818,3538,1663,1625,3294,878,857,1735,201,270,478,10261,10312,20572,702,683,1380,604,639,1248,22,35,54,40,21,62,666,691,1364,8889,8861,17746,1272,1395,2667,9903,9937,19838,362,418,777,9882,9964,19847,130,120,250,1162,1151,2315,369,365,731,98,107,207,238,402,639,3303,3915,7219,815,850,1663,3078,2747,5826,793,755,1547,460,318,771,26,30,56,9907,10004,19906,1046,926,1967
SOSR622,4659,4578,9236,202,176,381,474,459,933,205,214,418,191,160,347,396,418,810,441,458,897,593,602,1192,807,857,1662,866,757,1622,388,357,744,98,134,232,4363,4318,8679,296,265,557,206,247,453,19,17,30,15,20,33,238,280,514,3724,3677,7402,560,549,1112,4213,4134,8345,128,144,267,4207,4148,8350,38,44,85,433,428,865,134,146,275,32,39,69,88,148,232,1353,1548,2904,325,364,688,1403,1253,2658,364,295,659,187,134,317,8,7,14,4182,4114,8297,442,422,866
SOSR631,55419,51943,107361,2610,2452,5065,6649,6267,12915,3202,2821,6019,2414,2146,4564,5182,5084,10269,6007,6364,12366,7739,7815,15552,9634,9227,18867,8133,6690,14821,3249,2497,5751,600,571,1169,51946,49152,101104,3469,2791,6260,2875,2775,5644,132,114,247,107,123,226,3111,3005,6116,45018,42059,87080,6283,6224,12503,50242,47127,97368,1656,1746,3403,49934,46969,96903,608,585,1190,6122,5789,11908,2199,2120,4318,468,564,1023,1038,1836,2870,16489,19546,36036,4023,4222,8252,16243,12663,28910,3918,2736,6651,1827,1001,2826,114,58,178,50246,47705,97950,4271,3744,8013
SOSR679,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,6,12,0,11,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,72,366
SOSR699,758,616,1377,21,19,42,50,36,92,43,48,95,71,53,119,135,92,228,99,97,198,130,78,203,104,98,199,90,72,163,18,13,31,0,4,3,0,0,0,758,616,1377,86,55,143,0,0,0,3,3,5,93,64,150,551,428,973,76,82,161,525,459,978,33,41,74,521,463,985,6,0,6,36,34,68,12,22,36,9,11,24,18,32,50,161,214,374,56,39,94,185,130,314,46,28,75,37,16,50,3,0,8,0,0,0,0,0,0
SOSR703,61583,60623,122207,4374,4166,8542,8277,7935,16217,3340,3204,6547,4451,3779,8228,11752,12239,23991,9620,9996,19618,7817,7592,15409,6100,5936,12042,3989,3797,7784,1528,1566,3088,336,414,749,57619,57706,115318,3970,2917,6887,5699,5653,11352,226,188,415,651,634,1280,6572,6485,13050,38865,36832,75693,17426,19143,36574,39627,38672,78290,15229,16788,32009,46940,46520,93460,1152,1125,2269,7457,7165,14622,2140,2250,4385,1010,1263,2278,2980,4981,7964,27012,29737,56751,5448,4761,10208,7913,6276,14193,1863,1701,3564,1444,1408,2855,358,426,783,53535,55497,109032,14058,11554,25608
SOSR712,12075,12776,24855,956,854,1811,1755,1653,3407,739,689,1428,606,638,1235,2184,2576,4759,1906,2002,3916,1466,1665,3131,1382,1461,2837,780,802,1581,252,317,570,48,124,169,11249,11939,23182,825,842,1667,2381,2764,5143,14,14,27,45,46,96,2442,2824,5270,8026,8551,16574,3279,3403,6676,8261,8546,16803,2954,3303,6257,9400,10025,19424,252,207,457,1609,1513,3122,448,415,866,82,113,196,493,910,1401,4768,5829,10597,1145,1095,2234,1613,1367,2980,493,520,1016,450,465,909,112,156,272,10790,11395,22190,2608,2794,5409
SOSR714,3009,2971,5980,249,192,448,474,449,921,172,147,320,219,208,424,573,637,1208,420,440,857,317,365,675,298,316,612,197,150,347,77,50,129,16,17,30,2797,2787,5588,210,183,391,814,936,1753,21,19,44,24,27,53,859,985,1845,2043,2069,4109,547,568,1115,1903,1850,3755,603,675,1272,2293,2296,4588,52,36,94,383,372,759,87,68,149,20,32,54,101,157,251,940,1087,2021,251,258,507,424,372,794,132,102,235,102,97,197,30,30,59,2541,2585,5127,1011,953,1963
SOSR715,8819,8804,17625,701,658,1357,1595,1470,3060,836,724,1560,688,705,1388,1498,1687,3181,1331,1399,2730,1013,1072,2090,739,728,1467,327,282,606,77,77,147,10,16,29,8403,8285,16694,412,521,933,5930,6081,12006,21,16,35,65,60,123,6012,6148,12163,7539,7564,15104,568,605,1175,2327,2291,4614,5661,5828,11491,7730,7807,15538,160,164,324,1379,1233,2610,307,288,594,17,33,54,145,255,395,1995,2389,4387,1001,1084,2089,1564,1374,2932,586,541,1122,497,504,994,107,101,209,7879,7930,15805,1355,1041,2401
SOSR721,6106,6298,12403,530,454,985,1007,986,1991,506,511,1023,527,546,1071,1074,1177,2255,855,919,1775,735,775,1515,538,592,1137,247,253,505,67,57,120,11,16,26,5766,5906,11675,338,388,732,4008,4302,8310,14,12,31,29,34,66,4052,4354,8406,5327,5499,10823,377,430,797,1942,1892,3828,3743,4019,7756,5497,5697,11196,130,138,264,901,875,1779,162,190,355,25,36,60,94,175,267,1286,1613,2899,660,661,1323,987,1005,1991,520,471,991,545,576,1120,126,140,259,5544,5767,11305,1349,1224,2570
SOSR722,5813,5954,11762,491,425,914,1115,966,2077,481,458,935,473,490,961,926,1028,1957,750,807,1557,642,739,1381,508,599,1108,314,341,648,99,91,187,17,11,28,5429,5550,10982,380,401,779,4448,4627,9078,13,19,38,29,33,65,4497,4675,9170,5238,5352,10593,225,254,481,1452,1420,2875,3952,4129,8079,5380,5495,10874,115,104,220,964,830,1790,130,134,261,6,16,23,65,117,182,777,985,1765,578,664,1239,983,1033,2009,584,547,1127,665,659,1328,151,178,332,5357,5507,10867,1456,1305,2767
