SOSR_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SOSR299,0,0,0,6,6,0,0,0,0,8,0,0,3,15,8,0,3,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,3,22,6,12,8,9,0,75,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,4,0,6,0,16,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,3,3,20,4,0,0,0,0,29,0,0,0,4,3,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,6,25,5,0,0,0,0,34
SOSR301,13,41,59,373,154,145,119,64,13,972,90,913,2919,11493,3167,2643,1625,568,274,23703,0,6,8,178,139,228,185,154,65,955,9,82,100,229,51,65,94,65,21,720,178,1822,3226,7786,6798,7642,6236,4888,1841,40415,12,89,305,2085,1157,1012,689,266,60,5673,21,82,132,723,234,197,118,86,36,1635,25,81,194,1143,599,533,953,602,238,4365,0,18,29,82,55,98,258,324,191,1055,42,306,688,1915,583,826,558,107,46,5072,202,1517,2077,14912,2184,1276,879,386,153,23578,17,126,313,1285,593,283,278,156,55,3107,6,195,305,1747,357,184,130,44,21,2976,4,133,202,514,199,98,67,21,3,1238,10,206,180,1273,503,331,332,236,126,3207,6,54,90,568,198,301,593,651,463,2930,34,182,315,1862,962,290,137,57,36,3872,36,377,699,4172,1249,411,176,66,14,7183,8,22,27,136,120,111,78,25,17,533,28,280,687,2376,973,919,710,267,61,6305
SOSR302,3,5,17,235,72,52,42,30,9,470,26,273,484,2623,925,745,344,133,53,5606,0,0,5,69,64,119,148,111,46,553,0,15,18,59,29,44,90,63,31,359,87,984,1647,4309,3893,4378,4221,3236,1329,24079,0,9,47,238,152,162,100,55,23,780,4,39,47,341,104,109,90,69,30,839,8,23,80,565,262,336,568,498,203,2550,0,6,9,41,19,42,68,87,32,305,13,106,128,347,147,181,117,16,8,1057,29,211,437,2558,312,213,166,107,52,4087,3,35,84,383,214,113,110,32,22,999,0,31,35,288,57,70,49,21,7,569,0,6,17,67,23,19,13,3,6,150,3,58,56,337,188,160,177,123,51,1148,0,20,43,239,92,132,269,172,111,1081,20,113,229,1334,939,408,177,64,19,3304,15,125,211,1156,425,226,74,36,7,2265,0,10,4,35,32,37,25,20,7,166,4,36,104,387,250,282,182,59,15,1321
SOSR303,0,5,4,66,10,9,4,8,0,97,3,42,68,520,224,151,69,30,16,1125,0,0,0,7,6,13,18,14,10,72,4,10,25,25,6,6,5,3,8,97,15,170,291,1136,981,1278,1114,794,276,6058,0,13,39,135,76,57,40,16,6,380,0,12,15,131,38,33,31,18,4,291,3,21,50,249,140,158,200,155,68,1034,0,0,5,11,15,10,18,21,20,91,4,7,20,118,30,41,30,8,0,259,25,154,335,1486,257,136,71,34,12,2513,9,24,40,162,100,41,34,12,10,426,0,6,24,61,19,15,11,10,0,139,43,336,285,323,78,43,27,16,0,1148,0,42,19,124,64,45,60,38,21,407,0,9,19,110,29,64,106,98,72,514,5,40,62,570,482,133,35,17,7,1347,3,39,40,472,107,11,12,0,0,693,0,0,0,8,10,7,4,4,5,28,0,24,28,189,88,109,47,26,7,521
SOSR311,0,0,0,10,0,3,4,3,0,24,8,25,38,268,95,68,30,8,6,538,0,0,0,0,0,8,8,9,4,35,0,3,0,19,7,3,6,0,3,47,9,79,143,392,418,701,832,711,224,3501,0,4,15,75,37,45,18,15,0,220,0,0,6,18,9,11,9,15,0,78,0,7,8,56,30,78,130,103,53,463,0,0,0,0,3,7,5,0,4,17,0,4,4,35,4,15,0,0,0,73,16,61,64,532,81,34,22,19,3,842,0,4,6,57,35,18,21,10,6,152,0,0,5,19,3,5,0,9,0,41,0,3,0,6,0,0,0,0,0,10,3,8,9,53,23,16,22,22,13,160,3,4,0,26,11,22,35,36,37,172,4,5,12,52,20,6,8,0,0,106,0,5,14,121,22,7,0,0,0,166,0,0,0,0,4,0,0,0,0,6,4,3,26,119,28,36,30,8,0,253
SOSR312,0,0,0,4,0,0,3,0,0,13,4,3,8,34,31,18,13,4,4,118,0,4,0,3,5,3,5,10,0,27,0,4,0,4,0,0,0,0,0,22,4,38,56,193,236,444,507,384,160,2008,0,4,4,19,20,7,11,4,0,69,0,0,0,9,0,9,11,6,3,40,0,4,0,16,21,26,75,51,13,219,0,0,5,0,0,8,0,0,6,12,0,0,0,7,5,3,0,0,0,23,4,24,22,168,21,11,11,7,4,273,0,0,6,19,21,3,15,7,3,77,0,0,0,6,3,9,3,0,0,15,0,0,0,0,6,0,0,0,0,8,0,0,11,20,3,6,17,12,5,73,0,5,0,12,0,3,13,7,9,57,0,10,3,24,11,16,7,0,0,67,0,3,0,20,6,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,8,17,15,12,15,0,0,60
SOSR313,0,0,0,27,9,0,0,0,0,33,0,3,8,112,30,24,14,0,0,190,0,0,0,3,7,3,6,10,3,27,3,0,0,8,0,0,3,0,0,17,4,36,75,331,284,433,421,340,109,2043,0,10,11,77,30,21,15,0,0,160,0,0,6,22,8,15,9,10,6,77,0,0,13,66,20,31,59,56,19,259,0,0,0,5,0,0,4,0,0,12,0,0,0,15,7,8,5,0,0,31,6,24,22,277,18,16,3,11,0,379,4,3,3,44,26,5,5,4,5,96,0,5,0,12,0,3,0,0,0,18,0,0,0,4,0,0,0,0,0,5,0,5,6,47,19,15,11,15,0,113,0,0,0,11,4,14,11,15,6,63,0,0,9,32,17,3,3,0,0,67,0,0,4,70,3,0,0,0,0,80,0,0,0,3,0,3,0,0,0,7,0,5,9,47,21,19,8,0,4,105
SOSR314,0,0,0,11,4,3,4,0,0,20,0,8,25,195,38,25,11,5,3,311,0,0,0,5,0,4,5,8,3,30,0,0,3,7,3,0,4,3,0,21,4,66,133,383,412,505,485,374,134,2494,0,4,5,42,22,26,6,5,0,111,0,6,12,41,7,10,7,7,0,94,0,0,11,56,30,48,80,56,30,311,0,0,0,0,0,3,11,11,5,28,0,0,17,42,7,6,0,0,0,68,6,29,49,449,43,33,14,16,3,637,0,14,8,63,27,11,17,3,3,150,0,0,0,12,5,0,0,0,0,18,0,5,0,6,3,0,0,0,0,13,0,9,13,63,20,21,6,13,5,144,0,0,9,32,4,29,74,105,100,354,0,0,4,84,42,11,4,0,0,151,0,0,9,93,10,3,0,0,0,119,0,0,0,0,0,0,0,0,0,3,0,9,8,37,19,28,8,3,0,119
SOSR315,0,0,3,65,4,3,3,3,0,85,5,10,9,103,37,29,13,9,4,217,0,0,0,0,6,7,9,11,0,31,0,0,0,0,0,3,5,0,0,11,3,66,147,508,508,1039,1021,725,212,4230,0,8,5,48,32,27,15,0,3,141,0,0,4,57,11,23,23,11,5,141,0,0,13,98,46,95,141,109,27,536,0,0,0,0,0,3,4,0,5,13,0,3,0,22,3,17,8,4,0,59,3,13,25,171,30,25,15,20,0,305,0,6,6,76,23,18,19,5,3,149,0,0,0,7,5,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,9,4,48,25,30,35,21,16,184,0,4,0,42,13,24,66,91,84,320,0,7,10,59,28,15,8,0,0,126,0,0,10,101,7,6,5,0,0,129,0,0,0,0,6,4,0,0,0,4,0,5,5,35,33,43,22,5,0,147
SOSR321,0,0,0,4,0,0,0,0,0,10,0,0,0,18,13,21,6,0,0,56,0,4,0,3,3,3,0,3,0,17,0,0,0,0,0,0,0,5,0,4,4,23,43,197,231,473,414,283,58,1727,0,0,8,15,3,12,11,5,0,56,0,0,0,24,3,13,7,4,0,48,0,0,8,40,25,52,58,33,13,230,0,0,0,0,0,4,0,3,0,9,0,0,0,5,0,0,0,0,0,10,0,6,0,42,9,9,4,3,0,79,0,0,4,11,12,10,6,4,0,50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,14,11,8,0,61,0,5,0,6,6,3,20,13,7,56,0,3,0,20,11,6,4,0,0,42,0,0,0,16,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0,3,0,17,12,12,10,0,0,55
SOSR322,0,0,0,9,0,0,0,0,0,5,0,0,0,19,4,6,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,15,58,84,176,136,74,20,574,0,0,0,8,10,3,0,0,0,25,0,0,0,3,0,3,3,0,0,16,0,0,6,11,4,18,22,18,5,88,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,4,0,23,0,3,3,6,0,34,0,0,0,4,5,4,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,6,3,6,0,38,0,0,0,5,0,0,8,23,19,50,0,0,0,11,3,3,0,0,0,18,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,0,0,0,0,15
SOSR331,0,0,0,28,10,8,5,0,0,49,0,12,17,105,66,55,20,6,4,274,0,0,0,12,7,19,26,10,8,77,0,3,0,3,0,0,9,8,0,15,6,110,271,838,1236,2042,1637,904,158,7208,0,3,7,52,47,43,28,5,9,204,0,0,8,89,22,40,33,16,5,212,0,6,32,222,147,226,245,119,24,1018,0,0,0,3,4,4,15,6,4,34,4,8,15,21,9,24,11,9,0,94,6,13,23,137,49,39,40,24,0,325,0,6,16,70,39,26,31,17,0,210,0,0,0,3,3,3,3,0,0,12,0,0,0,0,0,4,0,0,0,9,0,20,18,87,53,39,31,35,3,286,0,0,3,40,11,44,119,94,50,366,0,4,12,107,49,34,18,4,3,233,0,4,9,52,8,10,6,0,0,85,0,0,0,0,0,9,3,0,0,12,0,4,6,54,56,79,52,13,0,261
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,26,0,0,0,0,0,28,0,0,7,33,4,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,89,35,86,78,14,0,333,0,0,0,0,4,5,0,0,0,7,0,0,11,28,0,6,4,0,0,43,0,0,6,26,6,0,6,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,9,0,0,0,16,0,0,3,0,0,21,0,0,0,13,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,19,0,0,5,3,0,26,0,0,0,12,0,3,0,0,0,21,0,0,4,6,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,23
SOSR401,0,10,16,130,65,82,52,33,9,401,57,529,1839,7191,1758,1330,856,276,117,13955,0,4,6,167,125,263,315,256,137,1277,12,80,61,234,58,62,104,92,44,746,75,786,1742,3639,4572,8531,7013,5416,2697,34465,0,17,33,197,107,118,81,32,11,595,9,46,22,238,93,108,67,47,37,669,17,30,68,429,287,423,1079,848,531,3709,3,21,58,120,106,413,1036,1412,751,3930,24,103,379,851,178,214,202,32,8,1991,195,1465,2362,12257,1568,743,559,253,110,19513,3,61,134,602,185,100,88,33,17,1223,18,172,348,1211,298,207,126,56,26,2462,0,45,83,319,130,87,34,14,5,725,0,62,62,263,173,207,206,163,132,1264,0,43,80,316,231,835,2230,2398,1685,7822,6,39,78,457,265,79,47,26,20,1020,6,101,271,1070,390,99,27,5,6,1971,6,26,43,218,131,171,152,89,33,873,34,291,650,1813,584,479,474,196,41,4562
SOSR412,0,0,0,4,6,4,0,0,0,18,0,8,5,67,21,20,8,0,0,132,0,0,0,0,0,3,8,24,3,34,0,3,0,4,0,0,0,0,0,18,0,38,85,231,390,888,672,575,257,3133,0,0,0,8,0,7,0,5,0,23,0,0,0,4,10,3,10,3,6,33,0,4,4,22,9,41,95,53,37,266,0,0,0,0,0,3,10,17,9,39,0,0,6,6,3,0,3,0,0,18,0,10,26,146,22,20,3,6,4,244,0,4,5,15,16,4,4,0,0,40,0,4,0,12,5,3,0,0,0,22,4,0,6,7,0,0,0,0,0,15,0,7,4,8,10,6,13,15,7,73,0,0,0,3,3,15,41,45,29,141,0,5,6,16,9,3,0,0,0,38,0,0,10,21,4,0,0,0,0,29,0,0,0,5,0,0,0,0,0,7,0,6,8,29,27,8,11,4,0,89
SOSR413,0,0,0,0,0,0,0,0,0,0,5,14,4,93,35,19,9,0,0,184,0,0,0,0,5,4,15,11,5,33,0,3,0,3,0,0,0,0,0,10,0,37,50,117,230,510,633,503,200,2272,0,0,0,9,0,0,0,0,0,20,0,0,3,10,3,4,3,4,5,32,0,0,0,24,24,47,88,69,25,284,0,0,3,3,0,0,3,12,3,22,0,0,0,8,3,4,0,0,0,19,5,12,20,130,21,9,6,3,5,220,0,0,0,14,8,0,6,4,0,35,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,5,9,6,9,14,13,3,67,0,0,0,6,4,19,29,50,36,133,0,0,0,6,10,4,10,6,0,34,0,0,4,21,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,6,0,8,3,29,14,3,10,4,0,68
SOSR414,0,0,0,0,0,0,0,0,0,0,0,4,0,28,8,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,70,98,219,359,261,88,1124,0,0,0,0,0,0,0,0,5,5,0,0,0,6,0,4,0,3,0,12,0,0,0,16,7,20,26,28,22,112,0,0,0,0,0,0,0,0,5,3,0,3,0,7,0,0,0,0,0,9,0,0,0,9,5,4,9,0,0,21,0,0,0,9,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,3,8,0,24,0,0,0,0,0,0,12,0,7,23,0,0,0,4,7,5,0,0,0,15,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,26,12,5,0,0,0,52
SOSR415,0,3,0,0,0,0,0,0,0,3,0,4,6,62,21,19,0,0,0,115,0,0,0,0,4,7,8,10,4,31,0,0,0,0,0,0,0,0,0,3,0,38,76,217,400,844,752,616,253,3190,0,0,0,7,9,5,0,0,0,20,0,0,0,6,7,9,4,3,0,31,0,0,4,30,19,40,86,87,34,303,0,0,0,4,0,12,29,65,24,137,0,0,0,5,3,0,4,0,0,21,8,23,39,198,28,23,14,4,0,343,0,0,6,31,6,0,4,0,0,55,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,10,13,12,5,52,0,0,0,15,9,18,30,55,36,161,0,0,4,15,5,0,0,0,0,31,0,0,7,16,3,0,3,0,0,35,0,0,0,0,3,7,0,0,4,13,0,12,9,55,6,9,17,0,0,104
SOSR421,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,48,100,266,202,138,63,830,0,0,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,0,6,0,7,29,13,9,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,6,3,3,0,32,0,0,0,3,4,6,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,23,0,0,0,3,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,7,0,0,14
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,18,51,134,146,80,15,453,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,8,15,14,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,3,0,0,11,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
SOSR431,0,0,4,8,0,0,0,0,0,12,0,0,5,43,20,16,6,0,0,95,0,0,0,0,0,0,15,3,0,32,0,0,0,0,0,0,0,3,0,4,3,31,77,247,461,1196,858,422,98,3395,0,0,0,13,0,6,3,0,0,26,0,0,0,22,10,12,5,5,0,57,0,0,4,56,43,76,84,46,16,331,0,0,0,0,7,21,51,59,18,152,0,3,3,13,10,3,0,0,0,30,0,7,11,79,21,33,20,7,5,178,0,0,3,23,14,10,4,0,0,57,0,0,0,3,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,4,26,13,19,15,10,0,89,0,0,0,3,12,32,71,54,35,213,0,0,6,17,14,5,0,0,0,36,0,0,0,15,0,0,0,0,0,14,0,0,0,4,4,5,4,0,0,11,0,6,14,44,18,24,8,5,0,103
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,11,6,18,11,6,0,64,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,11,0,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SOSR501,6,25,51,337,170,167,117,63,14,955,53,583,1358,7241,2672,2031,1051,312,175,15468,0,19,21,327,215,431,572,337,220,2138,8,122,132,296,88,126,162,121,59,1112,171,2544,5588,15359,13700,17289,13143,9580,3648,81024,0,19,33,202,97,117,53,26,5,552,12,66,106,934,252,182,116,73,29,1769,9,96,201,1354,664,630,970,636,202,4759,3,12,38,79,55,114,229,286,223,1032,34,165,363,1420,415,447,359,84,36,3322,241,1614,2220,15481,2753,2215,1800,1110,440,27878,62,332,705,3640,1522,798,652,220,65,7990,12,145,265,1581,393,307,191,71,36,2998,7,115,182,789,314,153,79,29,0,1667,39,399,449,3525,914,908,764,508,200,7707,8,95,153,1028,395,788,2081,1893,1379,7826,46,138,200,1364,815,298,156,59,18,3091,33,180,191,2059,519,225,96,26,3,3334,3,23,26,162,100,125,71,23,6,540,65,638,1552,5979,2657,2548,2465,897,250,17056
SOSR511,0,0,0,5,4,0,0,0,0,8,0,4,13,66,32,17,3,0,0,135,0,0,0,0,0,3,3,0,0,11,0,0,0,5,0,0,0,0,0,10,5,43,106,284,321,540,409,305,108,2122,0,0,0,4,0,0,0,0,0,7,0,0,0,14,6,3,0,9,0,33,0,0,8,29,15,23,37,29,12,147,0,0,0,3,0,0,4,4,0,16,0,3,3,17,0,5,0,0,0,29,3,25,13,174,17,13,13,9,3,270,0,3,4,59,15,3,9,0,0,96,0,0,0,13,0,0,0,0,0,16,0,3,3,13,3,0,0,0,0,22,0,8,21,53,24,17,25,6,6,152,0,0,0,8,6,13,56,41,31,155,0,0,0,16,10,0,0,0,0,32,0,0,5,46,3,0,0,0,0,56,0,0,0,6,0,3,3,4,0,21,0,5,3,48,24,13,14,8,0,110
SOSR512,0,0,0,10,7,7,3,0,0,30,0,4,3,88,32,23,10,6,0,163,0,0,0,0,5,6,3,5,0,24,4,0,0,5,0,0,6,0,5,19,3,60,93,385,458,715,698,612,252,3276,0,0,7,35,12,11,5,0,0,70,0,4,4,26,7,9,8,0,0,60,0,0,7,75,31,34,72,39,16,275,0,0,0,0,0,6,0,3,0,9,0,0,0,11,7,5,3,0,0,34,3,29,15,221,36,22,26,23,13,379,0,14,15,88,44,10,11,4,0,176,0,0,0,18,5,0,0,0,0,25,0,0,0,5,0,0,0,0,0,5,0,7,9,69,16,19,26,20,9,171,0,3,4,16,3,16,30,41,41,157,0,0,0,26,13,3,6,5,0,47,0,0,3,38,3,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,6,40,11,22,8,5,4,105
SOSR513,0,0,0,18,0,4,0,0,0,22,0,0,11,114,13,5,4,0,0,151,0,0,0,7,4,0,4,3,0,15,0,0,0,4,0,0,5,0,0,12,8,59,117,509,313,359,205,128,43,1751,0,0,7,10,8,0,3,0,0,32,0,0,3,40,4,5,0,0,0,56,0,0,14,65,34,19,15,10,4,163,0,0,0,0,3,3,0,0,0,9,3,0,0,13,5,0,4,0,0,32,0,27,9,166,29,14,13,3,4,263,3,16,9,78,23,10,6,0,0,144,0,0,0,3,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,8,0,89,13,11,7,5,0,130,0,0,6,19,0,10,8,5,3,54,0,0,0,25,16,0,0,0,0,47,0,0,3,21,3,0,6,0,0,28,0,0,0,3,0,0,0,0,0,3,0,4,4,33,20,8,4,5,3,78
