SOSR_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR612,81,117,49,82,57,15,18,29,4,450,157,193,97,352,194,78,40,66,18,1210,526,222,1672,1006,602,370,440,514,72,5426,33,13,49,91,66,90,40,101,0,490,29,21,27,100,63,45,20,50,4,364,12,12,13,26,23,6,3,5,0,111,16,29,34,56,33,35,36,89,59,391,1204,2665,2095,2134,1235,719,642,1082,191,11957
SOSR613,17,32,10,43,28,3,0,0,0,141,48,47,24,82,63,19,9,14,0,301,168,72,510,269,161,83,121,147,14,1546,3,4,8,31,17,17,10,23,0,107,6,0,3,33,19,12,11,13,5,103,3,3,3,3,3,0,0,3,0,20,6,7,4,15,5,6,9,15,10,84,377,775,599,554,354,149,170,262,48,3284
SOSR614,33,39,24,34,22,6,3,5,0,168,52,76,39,121,69,19,10,14,8,400,214,76,774,394,214,117,150,180,45,2163,7,0,11,41,23,18,3,24,4,150,9,3,7,32,16,8,8,12,5,101,0,6,4,14,0,8,0,3,0,35,11,17,17,28,13,6,13,18,15,136,505,852,941,751,451,217,203,289,96,4299
SOSR615,133,160,63,168,98,41,18,31,10,708,255,237,161,433,296,107,45,76,23,1626,923,354,2574,1313,843,423,649,765,124,7961,47,17,46,117,122,96,58,114,5,616,46,26,37,103,95,42,34,51,8,444,6,17,11,25,18,11,9,28,6,140,53,51,42,80,60,46,69,100,77,572,2109,3719,3151,2725,1887,892,933,1378,305,17093
SOSR621,64,71,30,37,60,16,0,12,4,282,89,83,60,128,97,38,8,46,9,546,330,98,876,332,239,125,238,271,48,2551,18,8,17,26,36,22,18,39,0,184,22,10,19,39,33,17,14,29,0,181,15,14,4,3,3,3,0,7,3,53,35,14,18,34,20,17,20,56,24,237,872,1527,1103,791,659,280,303,536,110,6185
SOSR622,28,43,9,21,23,5,0,3,4,140,40,25,34,58,39,17,3,10,0,227,115,48,343,158,105,52,106,91,17,1040,3,0,15,14,7,18,8,16,0,85,9,9,6,16,16,3,4,11,0,66,4,0,0,5,0,0,0,0,0,23,14,9,11,3,4,13,8,20,9,92,328,558,457,337,251,119,145,191,36,2420
SOSR631,523,467,186,246,264,75,42,92,28,1915,694,496,337,624,458,165,67,156,56,3058,2386,572,4740,1787,1288,636,1185,1369,257,14212,114,36,81,154,165,121,92,174,10,945,150,62,90,189,145,65,54,111,8,876,41,54,31,38,30,13,9,33,9,253,211,104,114,136,105,83,101,171,87,1112,6255,7665,6071,3987,3224,1355,1639,2591,571,33352
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SOSR699,0,5,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,12,3,3,30,8,10,5,7,11,0,79,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,7,12,45,34,22,20,10,7,28,5,181
SOSR703,370,416,236,378,296,81,57,93,21,1951,871,777,595,1260,859,258,145,226,93,5078,1431,877,4623,2142,1898,612,784,782,231,13371,92,65,93,193,222,133,64,134,11,1007,114,95,124,165,210,95,61,84,16,965,44,120,50,90,52,24,29,39,8,452,108,145,109,189,130,85,59,115,162,1099,6499,13907,6953,7154,5971,2201,1635,2252,809,47375
SOSR712,54,92,33,79,56,23,3,13,8,366,177,157,125,327,152,50,18,27,17,1043,293,189,841,489,387,134,139,179,50,2697,12,15,13,44,42,17,5,14,0,167,22,23,12,68,34,12,10,22,6,201,10,30,13,12,5,5,3,10,4,88,19,43,26,63,14,13,12,29,50,267,1249,3099,1247,1701,1067,369,233,410,226,9608
SOSR714,12,17,10,30,12,0,0,9,6,93,38,40,12,78,40,6,3,10,0,224,58,42,218,133,69,14,27,40,22,615,7,3,4,14,9,0,0,8,3,52,8,0,4,8,3,6,0,3,0,40,0,6,0,3,0,0,0,0,0,14,7,8,4,11,8,8,0,7,21,80,237,510,286,410,226,82,51,103,59,1950
SOSR715,24,43,7,27,10,8,3,0,3,128,53,54,16,77,42,7,8,8,0,267,91,103,356,175,111,22,67,47,14,988,0,22,7,38,22,6,4,18,0,116,9,24,4,46,11,6,9,13,6,138,0,0,0,0,4,0,0,4,0,10,13,32,11,42,17,4,16,19,38,198,395,958,432,527,319,79,121,130,69,3025
SOSR721,15,18,19,31,15,3,0,0,0,104,39,33,30,66,37,5,12,17,3,247,123,79,254,173,82,23,61,74,15,884,6,16,8,35,22,7,3,20,5,119,10,17,3,23,5,7,5,3,3,82,0,0,0,0,0,0,0,0,0,3,11,17,13,33,9,9,14,14,3,128,370,578,361,478,232,74,99,145,36,2372
SOSR722,13,28,4,21,12,0,0,8,0,82,19,21,8,36,9,0,0,8,0,105,91,59,105,98,47,16,26,72,13,531,7,37,0,37,15,0,0,7,4,114,7,14,6,30,13,0,0,11,0,79,0,0,0,0,0,0,0,0,0,0,4,22,6,30,6,9,14,16,15,114,239,451,148,303,143,37,41,123,36,1519
SOSR731,119,112,43,71,71,4,15,23,12,467,217,149,99,205,182,35,21,56,10,976,620,251,1588,455,520,152,333,432,80,4426,31,36,44,64,60,32,31,76,7,376,35,24,45,48,49,14,21,36,0,276,10,16,0,4,14,0,3,6,0,68,42,45,56,51,40,17,33,67,44,388,1559,1759,1976,1083,1147,305,483,792,173,9282
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
SOSR799,0,3,0,0,0,0,3,4,0,18,8,9,3,6,7,0,0,9,0,31,10,11,20,7,13,0,13,20,0,96,0,3,4,3,3,0,0,0,0,11,0,0,0,6,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,4,5,5,0,0,0,11,8,29,44,104,33,42,35,18,16,73,13,378
SOSR802,1801,2088,800,1074,1595,392,180,258,140,8333,3286,3073,1682,3041,3350,779,302,590,332,16440,3804,2812,9749,4256,4692,1370,1154,1722,564,30130,265,256,218,408,504,301,80,192,27,2255,434,403,287,512,790,233,123,210,65,3045,182,418,136,157,185,68,45,70,31,1307,290,521,255,316,399,144,114,184,468,2701,37680,72061,17327,17953,25505,6727,3247,5794,3911,190200
SOSR822,6,8,0,0,3,0,0,0,0,19,3,8,3,4,4,0,0,0,0,25,8,3,25,3,3,0,3,8,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,8,51,94,32,19,30,5,4,11,5,255
SOSR831,4,8,0,0,3,3,0,0,0,19,6,0,4,0,5,0,0,0,0,18,20,3,38,8,7,0,0,3,0,84,8,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,87,49,46,13,25,5,0,8,4,249
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,3,0,0,0,0,0,0,0,5,0,3,3,6,0,0,0,0,0,11,3,0,10,8,6,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
SOSR915,9,4,0,0,0,0,0,5,0,27,8,6,0,8,11,0,0,7,0,45,22,13,74,19,17,3,11,23,3,183,0,0,3,10,5,6,0,4,0,31,0,0,0,6,4,0,0,0,0,10,0,0,0,0,6,0,0,0,0,3,4,0,3,5,3,0,4,0,6,28,74,90,95,69,54,4,24,37,7,452
SOSR921,11,4,8,8,11,5,0,0,0,45,14,3,4,15,14,3,0,3,0,53,33,8,109,20,15,14,5,18,3,227,4,0,0,7,0,6,0,3,0,24,3,0,3,5,0,3,0,3,0,21,5,0,4,0,5,0,0,3,0,13,0,3,3,10,7,7,0,3,4,35,101,95,138,93,72,41,12,37,4,600
SOSR922,4,0,0,0,3,0,0,0,0,4,8,0,0,6,4,0,0,0,0,16,12,4,19,8,6,0,0,7,0,61,0,0,3,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,0,16,44,42,25,30,17,4,4,18,0,182
SOSR931,6,3,0,0,0,0,0,0,0,12,4,0,0,0,4,0,0,0,0,12,19,6,27,4,10,3,3,9,0,79,0,0,0,0,4,0,3,0,0,10,0,0,0,0,3,0,0,5,0,8,0,0,0,0,5,0,0,0,0,5,4,0,4,0,0,0,0,0,4,16,44,37,37,23,29,10,7,14,5,202
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
