SOSR_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOSR379,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,0,23,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,128,128,26,7,4,16,130,183
SOSR399,89,412,333,3294,64,4192,8,34,22,684,37,783,145,10,7,9,4,177,20,4,0,7,0,35,116,29,24,39,0,208,1159,341,261,2698,75,4536,58,5,17,12,8,95,93,7,4,29,0,132,180,29,29,387,5,632,19,9,0,9,0,40,15,5,0,13,0,26,66,9,3,4,0,74,276,67,63,862,16,1293,130,32,17,153,0,341,31,0,0,0,0,30,11,3,0,14,0,24,0,0,0,0,0,6,14,6,5,17,0,41,102,19,21,6,6,151,121,27,24,21,5,198,50,12,5,24,0,88,16,0,0,3,0,25,15,4,4,4,0,32,281,100,63,780,9,1229,7,3,0,0,0,20,32,4,6,5,0,53,70,3,5,18,0,98,8,0,0,4,0,11,25,0,3,0,0,24,38,10,5,32,3,80,752,81,73,274,30,1205,64,10,8,94,3434,3597,3155,745,560,6577,3637,14670
SOSR401,14679,44320,33411,267971,3341,363719,246,1363,692,17671,391,20355,51197,896,1848,1571,252,55767,4798,859,479,2108,45,8290,8671,3077,1942,5808,101,19598,108044,43322,33732,254947,3935,443972,14162,397,1889,489,82,17027,2700,517,422,2304,32,5960,14150,6046,4143,54126,497,78950,18452,3874,1776,11955,235,36291,2742,619,288,1154,39,4836,39463,688,507,458,84,41204,18617,7186,4985,61999,580,93365,39993,10031,4229,33886,554,88688,4031,81,274,122,9,4515,2846,791,435,1266,20,5356,926,155,105,423,13,1625,2638,846,499,2421,40,6434,1371,501,271,361,37,2537,2202,1140,802,500,23,4667,9740,1649,1060,4166,112,16726,4149,395,428,887,50,5917,318,113,34,17,0,479,23191,8947,6938,59234,598,98905,4991,559,342,803,29,6718,3644,498,422,190,12,4773,3225,326,283,795,20,4643,2689,189,172,105,13,3154,19443,696,749,518,105,21508,4334,987,742,3107,40,9211,134802,10243,8060,15376,1181,169661,6240,463,401,4247,40696,52051,486244,87966,64147,555923,50736,1245011
SOSR412,725,3758,2880,31264,434,39057,24,120,67,2544,44,2793,500,30,42,113,0,688,203,44,19,113,10,391,967,321,215,729,17,2242,9387,3689,2995,27594,432,44097,809,41,161,40,12,1064,146,28,16,194,5,393,1152,543,400,6683,77,8854,268,99,36,337,5,750,118,45,23,94,0,279,564,38,13,30,4,655,1511,542,406,5856,70,8386,951,388,144,1562,32,3084,48,4,15,5,0,71,41,18,8,36,0,96,21,5,0,8,0,28,118,65,23,141,0,349,133,84,49,43,0,305,172,118,96,56,3,453,310,93,55,316,5,781,122,26,23,48,0,222,3,7,0,0,0,11,2358,783,586,6076,68,9875,93,21,3,22,0,146,355,39,50,16,0,464,195,34,19,72,0,317,88,11,9,9,0,119,96,20,18,7,0,141,353,95,51,249,6,750,3359,578,423,1093,60,5515,229,44,22,707,4149,5151,20420,6763,5031,60345,5165,97725
SOSR413,480,2856,2144,29294,469,35239,15,182,55,4828,88,5161,569,36,46,108,4,762,209,65,24,156,6,447,696,209,141,443,8,1500,6413,2994,2180,27477,481,39536,838,15,116,32,8,1018,148,41,32,190,6,410,1010,488,309,6608,89,8492,217,74,40,301,10,633,89,23,19,47,5,183,364,17,18,30,0,426,1040,464,290,5710,65,7565,924,362,139,1374,22,2820,48,3,18,9,0,82,34,25,4,43,3,106,15,3,6,11,0,32,71,26,15,95,4,212,143,31,22,25,0,222,138,100,58,58,4,357,238,92,51,207,9,598,103,17,10,53,0,181,17,0,0,0,0,23,1360,620,461,6077,56,8578,42,12,10,18,0,80,156,37,28,19,0,237,98,17,10,50,0,176,28,5,18,24,0,76,174,10,12,4,0,200,257,65,34,257,3,621,2550,547,398,1197,44,4733,151,29,34,670,5102,5981,15169,5487,3856,60183,6151,90848
SOSR414,179,1057,847,10206,178,12469,4,23,23,431,13,500,198,4,16,17,0,237,30,10,0,21,4,70,319,102,68,216,3,707,2936,1152,844,9559,173,14671,206,0,32,12,5,251,60,20,11,60,0,149,422,187,120,3205,28,3963,43,15,5,64,0,127,42,11,10,26,0,88,60,9,0,4,0,69,458,182,116,1820,16,2596,159,80,57,338,7,650,12,3,4,0,0,14,10,6,0,14,0,25,11,0,0,0,0,4,25,11,8,38,0,80,97,15,9,8,5,136,58,31,35,19,0,133,98,16,6,80,0,203,29,5,9,10,0,49,23,6,4,0,0,26,526,260,196,2321,27,3330,11,0,4,8,0,23,50,18,3,0,0,67,33,3,8,19,3,59,9,0,8,5,0,19,39,0,4,0,0,51,116,22,10,87,0,250,1034,178,145,370,22,1750,64,7,17,201,1247,1535,6017,1959,1505,20583,1643,31700
SOSR415,747,3524,2901,39625,642,47442,19,112,84,3292,66,3575,447,17,34,92,13,602,187,45,15,139,3,391,885,276,191,607,10,1969,9141,3702,3060,33925,731,50563,723,18,144,45,13,942,172,33,17,235,5,460,1255,583,437,10303,147,12733,613,131,53,498,12,1307,104,36,11,83,4,236,578,35,23,50,4,690,1187,513,354,6631,103,8794,999,402,171,1729,37,3345,50,0,13,3,0,60,44,19,14,66,0,138,26,9,0,8,0,39,113,48,22,166,0,353,215,41,45,31,5,328,209,87,78,44,4,422,339,76,49,304,4,772,94,13,13,34,3,159,22,3,0,8,0,23,1886,740,595,7129,126,10481,101,13,9,35,0,153,207,25,26,16,5,272,129,33,7,85,4,255,80,6,6,11,0,99,279,13,14,14,8,330,296,74,49,322,3,744,3320,517,439,1427,74,5768,183,50,37,880,5954,7100,20108,6488,5134,77062,7554,116347
SOSR421,155,917,753,11330,167,13322,6,30,12,1100,50,1196,71,3,17,33,3,127,33,10,0,7,0,60,286,65,60,160,10,586,2427,936,814,9635,232,14041,195,7,27,3,0,230,46,12,10,65,0,127,319,143,114,2699,47,3324,26,12,8,40,0,85,40,13,5,13,0,64,59,7,0,17,0,84,343,140,91,1936,22,2539,171,75,40,306,7,601,7,0,3,0,0,10,14,6,0,17,0,29,6,0,0,7,0,9,18,13,3,28,0,56,31,7,13,4,0,59,48,20,18,13,0,98,105,22,8,83,0,226,28,11,4,19,0,62,3,0,0,0,0,3,432,192,161,2062,37,2889,9,7,3,11,0,25,83,7,8,7,0,97,13,0,0,19,0,34,10,0,0,0,0,14,21,3,4,0,0,27,87,31,10,83,0,210,617,125,92,341,23,1203,25,17,14,258,2026,2330,4602,1634,1297,21994,2496,32033
SOSR422,88,512,389,6100,105,7192,0,27,7,1767,39,1841,27,4,0,18,0,52,41,6,10,13,0,76,172,32,34,110,3,352,1389,509,443,5399,146,7886,64,0,6,0,0,71,27,0,0,31,0,61,202,101,68,1399,25,1793,29,7,4,24,0,61,29,11,0,12,0,56,43,0,0,12,0,52,195,63,58,1121,15,1455,91,48,10,140,3,300,0,0,0,0,0,4,0,0,0,11,0,13,6,0,0,0,0,3,23,7,0,7,0,43,40,0,5,5,0,58,29,11,4,4,0,60,72,17,3,35,0,128,23,3,3,6,0,36,0,0,0,0,0,4,272,120,96,1176,26,1693,9,0,0,3,0,19,38,3,0,0,0,47,20,3,0,13,0,34,5,0,0,4,0,5,3,0,0,0,0,6,56,8,8,51,0,128,314,75,54,184,16,641,20,12,6,153,1271,1459,2663,930,711,13189,1572,19066
SOSR431,753,4055,3457,50537,649,59445,16,107,47,3427,99,3693,382,27,46,138,4,598,216,57,30,145,3,446,1227,372,275,698,26,2593,10195,3980,3472,42309,717,60673,443,12,141,46,10,648,215,38,40,282,3,576,1587,691,624,13865,149,16917,790,102,58,459,18,1432,203,54,8,98,0,373,299,30,27,37,5,396,1480,606,424,8485,109,11103,1603,461,175,2030,42,4319,27,0,15,12,0,47,52,26,10,77,3,171,26,6,7,23,0,67,128,43,47,118,0,337,147,51,30,29,11,260,275,151,93,80,0,599,381,107,73,375,4,934,167,26,17,67,3,280,15,4,0,6,0,23,2077,829,647,9796,116,13460,93,18,6,36,0,159,234,29,34,21,5,321,128,28,20,96,4,265,33,8,6,7,0,50,553,16,27,8,15,622,356,75,69,381,7,885,3279,658,534,1481,66,6009,199,43,43,1096,9784,11164,22334,7318,6066,98322,11353,145402
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,5,5,8,0,0,0,5,12
SOSR499,26,90,68,732,20,937,6,18,10,205,12,244,45,3,4,7,7,59,6,0,0,0,0,12,18,13,5,12,0,49,258,110,94,634,23,1109,9,0,0,0,0,5,21,0,0,3,0,26,30,12,13,142,3,198,11,0,0,8,0,15,7,3,0,3,0,12,18,0,0,3,0,23,34,28,9,152,3,223,40,13,6,57,0,114,3,0,0,0,0,3,6,0,0,0,0,8,5,0,0,3,0,6,0,0,5,5,0,7,11,3,4,5,0,22,11,9,4,0,0,23,14,7,5,8,0,32,6,4,0,0,0,14,0,0,0,0,0,0,47,16,18,164,4,247,3,0,0,0,0,6,0,0,0,6,0,3,9,0,0,4,0,14,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,8,0,21,142,21,9,53,7,235,13,0,0,16,772,808,652,202,148,1548,831,3377
SOSR501,28598,92165,75583,366787,4297,567431,583,2733,1726,31743,656,37439,101642,2254,4270,2957,524,111638,9249,2647,1427,7523,143,20993,20556,5649,3782,10220,188,40395,292285,82605,65798,305844,5516,752060,34303,538,2700,597,138,38285,9526,1098,946,2455,73,14093,23484,5168,4295,24332,373,57651,5945,2036,1073,5212,70,14337,3056,544,362,843,31,4835,67122,2266,1632,1704,194,72922,69016,15117,11119,84161,1032,180448,45170,14829,7227,45007,624,112854,7512,121,404,115,16,8166,1899,435,243,514,11,3104,6388,1092,697,2250,60,10498,1955,682,373,1339,25,4372,18272,2495,1629,775,193,23358,12856,4980,2990,1456,107,22393,11742,1862,1537,4084,98,19325,4464,365,606,750,43,6234,2261,316,100,56,20,2762,69282,17280,13355,75988,941,176843,6390,560,357,643,40,7985,23255,2188,1904,571,95,28018,7684,629,566,1725,56,10663,5490,475,310,359,24,6661,20502,515,931,414,68,22431,11524,2012,1417,4141,63,19161,249216,19129,19063,20557,1951,309920,12164,994,835,5188,90047,109230,962035,163503,129665,684409,104151,2043762
SOSR511,634,3402,2629,21722,201,28584,14,161,64,2249,43,2536,692,24,56,55,5,833,69,39,28,133,0,274,779,243,147,433,10,1607,8063,3410,2657,19296,251,33685,1057,8,104,22,6,1193,168,26,16,137,0,354,717,196,148,1386,19,2460,97,42,16,190,6,342,47,13,6,32,0,96,694,28,19,52,0,790,1692,498,433,4395,35,7054,1094,527,200,2632,20,4475,130,0,16,0,0,151,68,13,6,4,0,95,15,11,9,43,0,72,27,20,16,35,0,98,922,152,96,43,16,1227,431,220,111,84,5,854,332,82,80,222,5,727,130,11,17,31,0,181,48,3,6,0,0,62,1919,649,552,4205,39,7375,47,3,8,12,0,71,831,56,62,28,0,976,133,17,22,103,0,277,38,3,8,5,0,58,110,5,17,3,3,134,264,81,44,207,4,603,3198,430,426,779,48,4880,194,45,37,335,4137,4742,19332,6049,4622,40515,4676,75196
SOSR512,980,5092,4377,34395,479,45320,24,312,165,6151,135,6789,811,33,87,156,5,1088,167,72,39,295,9,576,1195,367,213,841,21,2632,11824,4819,3950,29098,507,50193,2022,37,209,59,16,2345,314,52,48,154,4,571,1150,309,283,2316,33,4095,98,59,25,158,0,339,91,28,9,51,0,182,969,48,54,96,5,1161,2195,850,600,7265,87,11000,1044,494,249,2613,44,4444,95,0,15,7,0,117,22,3,3,21,0,44,50,15,13,70,0,142,67,35,16,54,4,177,1331,185,163,78,27,1786,755,334,192,122,9,1412,382,93,71,308,8,859,118,18,24,47,0,209,159,16,4,7,3,192,2770,1024,769,6540,60,11166,61,9,7,17,0,98,906,116,75,46,6,1148,243,29,14,135,3,415,85,6,10,3,0,110,265,9,14,3,0,296,435,117,85,308,0,954,5509,736,784,1447,72,8554,343,74,56,683,8825,9992,28772,8923,7182,65216,10054,120142
SOSR513,586,2505,2389,16545,198,22232,22,371,178,7089,180,7844,611,39,50,181,12,897,92,43,26,139,7,301,458,170,112,341,16,1100,7121,2188,1914,12126,249,23592,1288,25,137,42,3,1505,259,16,27,87,0,385,666,187,149,1210,16,2224,75,21,20,84,0,197,42,12,9,18,0,93,714,46,16,38,5,820,1557,406,314,3310,43,5627,452,228,104,1102,16,1906,61,0,7,0,0,77,15,3,5,3,0,30,46,10,12,34,0,99,25,31,12,38,0,99,1054,152,93,66,15,1384,582,227,118,60,5,994,159,35,40,115,0,353,59,3,17,25,0,107,103,7,10,10,0,126,1771,460,402,2916,38,5587,36,12,4,11,0,56,586,53,80,23,3,745,188,9,18,41,3,257,68,6,8,8,0,88,111,0,10,0,3,132,242,48,33,115,0,444,3815,523,583,1560,59,6549,255,41,34,358,8177,8852,17918,4515,3914,32975,8874,68192
SOSR514,250,1338,1162,8216,115,11078,0,50,26,964,14,1056,149,18,8,27,3,201,25,23,11,61,4,120,244,76,33,192,7,550,3108,1288,1104,6993,148,12641,266,4,36,6,3,325,153,13,29,47,0,249,397,101,88,539,15,1138,30,11,8,42,0,91,21,7,4,6,0,43,138,14,5,21,0,181,633,243,174,1633,31,2716,369,158,48,608,7,1193,48,0,0,0,0,50,4,0,0,0,0,7,6,6,3,9,0,17,9,3,4,14,0,34,158,43,26,5,0,240,173,91,59,31,0,358,196,33,28,110,3,374,28,7,6,17,4,65,8,0,0,0,0,9,698,284,185,1601,26,2792,25,0,3,3,0,39,150,26,23,12,0,201,76,3,10,13,0,100,20,4,4,3,0,31,37,0,5,0,3,47,134,38,21,97,0,291,1052,212,225,279,13,1777,63,22,19,137,2218,2454,6605,2335,1910,15096,2521,28471
SOSR515,725,3757,3298,25660,462,33900,17,332,170,7016,185,7725,565,30,50,108,3,757,158,64,28,179,6,437,805,269,175,575,12,1838,9287,3542,3035,20154,554,36571,1307,14,109,39,4,1470,275,45,27,124,3,474,796,213,229,1716,26,2980,62,33,22,129,5,249,71,12,13,30,7,132,424,36,16,48,5,527,1780,621,432,4671,77,7583,971,389,205,1857,28,3449,51,4,10,0,0,71,25,5,3,16,0,54,93,27,7,67,0,191,43,24,15,45,0,121,940,142,127,55,28,1297,587,268,175,88,9,1131,256,63,42,183,6,549,52,9,14,39,0,110,66,7,3,8,0,84,2212,726,635,4559,79,8211,73,4,0,17,0,98,427,81,59,19,0,587,136,20,13,77,0,246,29,0,5,3,0,40,137,0,16,3,0,158,339,65,44,196,8,655,3937,533,516,1208,114,6315,228,55,46,455,9342,10122,21228,6641,5446,48622,10590,92523
SOSR521,290,1450,1249,10083,268,13340,13,141,42,4740,144,5067,121,9,10,34,3,182,35,24,11,56,4,128,298,96,64,168,0,612,3708,1374,1084,7993,265,14427,526,0,36,3,6,578,92,16,8,39,0,161,363,92,91,547,25,1121,21,13,4,35,0,72,44,9,0,3,0,63,137,23,7,30,0,195,709,221,162,1893,43,3031,281,118,55,598,9,1071,13,0,3,0,0,12,8,3,5,0,0,9,14,4,3,3,0,22,12,8,0,13,0,39,286,55,48,31,11,430,185,93,58,15,4,357,99,27,18,71,3,222,34,7,9,7,0,50,21,3,0,0,0,21,887,296,245,1760,35,3224,17,5,4,5,0,27,180,19,15,8,0,228,66,12,5,33,0,115,14,3,0,4,0,19,45,0,0,0,5,48,139,27,20,103,3,292,1114,193,174,330,45,1855,100,15,25,227,3813,4179,7682,2542,2003,21198,4510,37925
SOSR522,111,709,575,4924,97,6410,5,63,20,5155,91,5334,51,0,0,15,0,76,43,10,0,45,0,103,146,46,32,66,4,290,1838,699,602,4113,115,7374,125,0,12,5,4,141,37,0,0,11,0,53,153,35,38,326,5,558,9,8,0,8,0,36,8,4,0,7,0,20,81,9,5,13,0,109,331,125,96,1000,22,1567,120,61,36,251,4,474,8,0,0,0,0,9,5,0,0,0,0,6,3,0,0,4,0,9,6,0,0,4,0,16,117,11,18,3,3,154,103,35,21,12,7,186,53,11,6,30,0,102,10,0,3,5,0,21,20,0,0,0,0,14,408,126,118,898,23,1571,7,0,0,0,0,10,65,7,8,4,3,81,16,0,0,15,0,34,0,3,0,5,0,8,17,0,7,0,0,17,62,23,16,36,0,128,437,101,64,217,12,838,42,11,10,138,2049,2255,3509,1252,980,13486,2362,21588
SOSR531,1216,6275,5883,45138,645,59161,34,218,131,6402,127,6910,843,35,73,136,11,1104,432,139,73,489,14,1152,1843,533,407,908,23,3710,19132,6021,5476,36889,762,68293,768,5,94,25,5,902,581,54,68,215,0,919,1879,443,457,3027,44,5855,168,64,28,177,3,437,114,36,25,52,5,230,445,70,39,79,3,634,3288,1016,817,8530,134,13783,2336,827,426,3550,76,7215,60,0,14,3,0,76,30,4,7,23,0,68,126,28,16,95,0,272,112,49,24,92,4,276,863,102,90,44,7,1106,910,358,260,131,16,1671,506,111,84,313,5,1021,123,9,23,66,0,225,64,4,6,3,0,71,4171,1291,1106,8583,134,15282,109,26,10,23,0,175,1037,100,88,39,4,1274,242,30,18,149,3,446,40,16,9,20,0,89,367,9,23,16,0,414,628,118,100,397,10,1245,5040,935,895,1496,91,8454,303,81,59,706,19675,20824,37467,11084,9650,84122,21324,163652
SOSR579,9,8,4,59,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
SOSR599,38,167,166,1347,24,1746,6,8,6,354,25,402,51,0,0,8,0,67,13,3,0,8,0,28,52,12,9,13,0,89,602,174,149,916,17,1856,34,0,9,0,0,34,44,0,0,5,0,52,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,14,23,0,0,0,0,29,146,32,16,278,6,481,79,19,10,60,3,175,8,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,44,8,5,0,0,56,50,8,9,6,4,73,20,3,0,11,0,37,12,0,0,0,0,8,4,0,0,0,0,4,141,29,34,255,0,463,0,0,0,0,0,5,34,3,9,0,0,52,25,0,0,0,0,32,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,31,314,29,24,68,16,450,19,6,0,32,3432,3489,1481,314,268,2478,3512,8055
SOSR603,1008,6734,4469,58518,675,71404,33,248,116,7257,100,7744,8068,119,240,293,31,8752,349,104,41,208,7,710,1423,580,371,1333,13,3722,10973,6546,4355,59215,833,81921,1107,40,244,41,3,1434,391,88,67,319,12,872,1747,643,433,4172,49,7038,803,214,72,599,9,1688,206,109,28,137,5,480,3386,84,75,111,5,3654,2080,1380,835,16569,173,21025,1323,547,183,1793,23,3874,512,18,57,27,3,618,110,37,16,61,0,229,33,7,4,17,0,62,80,62,23,111,0,279,148,101,58,89,0,402,391,215,131,164,5,909,944,313,143,779,5,2183,281,49,38,124,3,491,32,23,12,5,0,70,2618,1620,1040,12970,102,18349,176,36,17,42,0,270,431,74,59,42,0,611,387,48,33,127,3,599,374,15,10,19,0,415,949,16,17,22,3,1005,465,154,103,533,5,1253,16006,1633,1149,2787,150,21724,649,67,41,1153,7914,9820,48613,12384,8110,118671,9671,197451
SOSR611,377,2516,1870,27475,370,32611,5,97,62,2710,48,2918,1473,37,65,163,5,1735,57,21,10,50,0,137,715,303,215,770,5,2005,3870,2364,1749,26552,389,34915,422,11,141,25,5,602,104,35,16,142,4,298,506,260,140,1805,17,2715,85,37,9,95,3,236,55,36,9,42,0,146,1007,44,20,25,5,1097,710,394,286,6250,57,7704,385,211,51,696,13,1361,127,0,15,9,0,154,31,13,5,13,0,64,13,0,3,5,0,29,24,17,10,44,0,93,77,47,24,42,0,196,120,85,57,56,0,313,215,69,33,175,0,496,92,6,10,26,0,132,27,8,6,4,0,50,995,590,412,5545,47,7585,27,5,5,3,0,34,122,28,24,15,0,182,114,7,9,54,4,190,128,11,10,6,0,149,237,5,15,4,0,262,150,36,37,153,0,380,5997,467,450,885,56,7858,218,24,22,589,3199,4059,15636,4463,3281,53514,4050,80943
SOSR612,158,1141,831,17591,299,20018,6,73,43,3142,23,3285,381,12,14,60,3,464,19,16,0,16,0,60,264,102,75,267,3,713,1952,1082,774,15621,350,19782,227,13,78,18,6,340,39,0,10,57,0,109,248,102,50,968,17,1384,37,14,5,47,0,110,26,11,6,6,0,51,336,11,0,22,4,378,333,178,111,3468,40,4134,90,64,6,227,3,387,24,0,0,5,0,32,13,8,0,6,0,30,3,3,0,0,0,9,31,9,4,31,0,71,49,17,18,25,0,109,84,41,22,54,0,203,82,19,14,58,0,169,17,5,0,19,0,43,24,6,0,3,0,33,503,241,197,3042,41,4028,20,0,0,3,0,28,60,6,7,3,0,78,60,0,0,26,0,92,48,0,10,6,0,64,74,0,7,0,0,81,94,22,12,83,0,212,1498,197,149,568,25,2443,85,23,15,439,1823,2378,5732,1997,1418,33229,2483,44860
