SOSR_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
SOSR301,0,0,0,160,237,28826,1124,762,142,145,121,301,132,44,1363,32961,5742,147,78,13,4,18,12,8,5,693,6725,1971,46,24,0,0,3,17,5,0,225,2287,1560,88,52,11,15,7,34,11,3,186,1952,24,0,0,0,0,0,0,0,0,18,42,3550,131,71,12,14,12,44,19,3,426,4286,49,0,0,0,0,0,0,0,0,205,253,9344,274,156,30,19,32,55,21,5,1328,11269,183304,53258,36140,6004,5668,6142,6535,3374,1622,7101,309153,89633,66663,57291,13560,14005,16095,18701,6997,1808,4307,289056,16224,7196,7820,2117,2128,2694,4874,2074,591,1524,47238,201,104,96,41,32,43,70,50,30,149,811,106057,73965,65206,15713,16158,18827,23653,9126,2423,5978,337108,290,101,128,16,19,25,55,25,12,1596,2270,289651,127330,101471,21729,21844,24995,30243,12528,4062,14670,648523
SOSR302,0,0,0,117,157,16989,832,413,98,61,74,122,59,28,748,19416,4175,139,59,10,11,9,17,4,0,386,4812,982,6,11,0,0,0,0,0,0,111,1114,349,21,13,3,6,5,16,0,0,56,465,8,0,0,0,0,0,0,0,0,6,9,1335,31,26,7,3,5,15,6,0,171,1595,35,5,0,0,0,0,0,0,0,172,207,5547,171,87,14,16,6,32,12,0,729,6611,94434,27310,18281,3368,3026,3142,3499,1936,932,3763,159689,23759,13853,13591,3841,4093,4480,5052,1937,478,1334,72421,3118,1217,1438,394,447,529,926,449,75,321,8917,78,28,22,11,6,10,12,11,11,31,219,26950,15099,15055,4242,4545,5023,5996,2400,562,1690,81555,134,44,26,8,8,11,12,7,3,524,766,121511,42450,33355,7622,7579,8172,9508,4336,1501,5979,242014
SOSR303,0,0,0,31,54,4306,162,105,12,29,17,32,16,4,185,4864,915,18,10,3,0,3,8,0,0,78,1032,248,7,0,0,0,0,3,0,0,31,289,122,7,4,0,0,0,0,3,0,20,160,0,0,0,0,0,0,0,0,0,0,0,372,12,7,0,6,0,5,3,0,43,451,8,0,0,0,0,0,0,0,0,44,57,1296,34,12,6,6,4,9,3,0,173,1536,26857,5982,4189,685,713,760,833,431,211,1005,41665,7977,7189,6605,1441,1736,2119,2781,1017,230,568,31658,940,712,823,189,305,576,1063,296,59,167,5130,21,14,18,7,6,13,22,8,0,43,149,8942,7917,7439,1633,2044,2704,3870,1324,293,778,36935,54,21,16,3,4,8,4,5,3,190,305,35845,13913,11641,2321,2768,3476,4706,1764,507,1968,78908
SOSR311,0,0,0,18,30,3264,107,44,4,5,3,19,9,4,180,3636,746,22,6,0,0,0,0,0,0,94,872,166,3,5,0,0,0,0,0,0,12,185,39,4,0,0,0,0,0,0,0,11,55,6,0,0,0,0,0,0,0,0,0,7,204,6,5,0,0,0,0,0,0,26,238,9,0,0,0,0,0,0,0,0,20,29,954,28,5,0,0,0,0,0,0,142,1135,14522,2825,1897,313,315,267,431,265,99,700,21634,2585,2938,2614,605,651,681,950,432,165,191,11809,236,302,252,64,106,125,259,108,42,68,1559,13,7,7,0,0,5,12,12,0,13,72,2827,3244,2881,676,759,808,1220,549,207,277,13440,27,9,7,0,0,0,7,6,0,78,133,17380,6070,4781,990,1066,1078,1659,821,303,1052,35211
SOSR312,0,0,0,4,5,1642,43,27,4,3,7,3,4,0,81,1818,392,11,7,3,0,0,0,0,0,44,450,54,0,0,0,0,0,0,0,0,11,64,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,6,67,0,0,0,0,0,0,0,0,13,83,0,0,0,0,0,0,0,0,0,21,21,460,12,4,3,0,0,0,0,0,74,556,7786,1281,984,157,142,135,159,70,23,412,11157,1067,826,925,184,187,155,195,62,28,64,3694,94,45,55,14,17,18,32,19,6,9,318,10,5,0,0,0,0,0,0,0,6,19,1171,872,980,200,210,172,222,83,33,85,4032,16,3,0,0,0,0,0,0,0,38,53,8969,2155,1962,363,347,308,386,156,58,531,15242
SOSR313,0,0,0,0,5,1558,50,29,6,6,8,9,0,0,54,1722,340,12,4,0,0,3,0,0,0,26,390,55,0,0,0,0,0,0,0,0,7,67,15,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,72,7,0,0,0,0,0,0,0,7,87,0,0,0,0,0,0,0,0,0,0,0,414,14,7,0,0,3,0,0,0,38,478,8772,1994,1620,239,259,263,288,166,96,395,14086,1505,1656,1503,332,359,379,561,236,112,117,6766,93,93,87,30,20,50,123,47,19,29,591,7,0,0,0,0,0,6,3,0,3,30,1606,1743,1600,361,379,430,682,284,132,153,7379,13,10,0,0,0,3,0,0,0,22,48,10394,3749,3221,598,640,696,974,447,230,572,21509
SOSR314,0,0,0,6,17,1918,59,25,5,4,3,4,0,0,86,2113,388,6,7,0,0,0,3,0,0,39,448,158,6,0,0,0,0,0,0,0,16,175,95,0,0,0,0,0,0,0,0,10,106,3,0,0,0,0,0,0,0,0,4,12,255,6,0,0,0,0,0,0,0,29,293,0,0,0,0,0,0,0,0,0,16,17,645,11,3,0,4,0,3,0,0,78,749,10386,2227,1490,230,230,257,296,152,67,490,15822,1939,1459,1389,354,412,567,891,320,184,216,7731,325,121,155,42,73,169,324,95,67,69,1449,17,3,0,0,0,0,14,5,9,12,74,2285,1589,1551,399,484,739,1227,421,269,298,9248,23,6,3,0,0,0,12,0,3,60,102,12690,3821,3044,628,715,993,1535,566,335,838,25171
SOSR315,0,0,0,10,19,3251,71,26,12,0,4,9,0,0,185,3566,666,8,3,0,0,0,6,0,0,64,746,135,0,0,0,0,0,0,0,0,13,151,59,0,0,0,0,0,0,0,0,10,72,3,0,0,0,0,0,0,0,0,0,4,202,3,0,0,0,0,0,0,0,19,227,3,0,0,0,0,0,0,0,0,12,15,866,7,5,0,0,0,6,0,0,95,990,17183,2762,1828,300,243,246,316,157,70,930,24037,2278,1334,1326,335,349,477,830,342,96,235,7610,231,118,102,44,49,84,153,67,54,57,954,11,3,13,8,4,0,9,3,3,22,71,2524,1455,1446,380,403,560,987,412,159,314,8637,28,7,5,0,0,0,5,0,0,249,291,19735,4215,3277,683,642,807,1310,572,232,1487,32962
SOSR321,0,0,0,3,8,1288,32,17,5,7,3,0,5,0,61,1414,190,0,6,0,0,0,0,0,0,11,212,34,0,0,0,0,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,232,3,6,0,0,0,0,0,0,15,263,7057,959,562,100,99,82,108,58,27,339,9384,843,450,366,69,92,96,108,51,21,61,2160,74,21,23,9,9,10,24,8,8,15,195,10,0,0,0,0,0,0,0,5,6,21,921,471,396,80,99,109,135,58,31,79,2379,10,0,0,0,0,0,5,0,5,54,75,7987,1431,956,182,200,191,242,112,65,465,11843
SOSR322,0,0,0,5,5,463,14,9,0,0,0,0,4,0,35,521,78,0,0,0,0,0,0,0,0,10,91,11,0,0,0,0,0,0,0,0,14,23,3,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0,0,0,0,0,3,3,91,0,0,0,0,0,0,0,0,33,127,2564,310,175,37,28,26,45,25,10,139,3366,322,122,124,37,23,38,54,25,9,52,807,28,9,10,5,5,3,8,0,0,11,85,0,0,0,0,0,0,0,0,0,6,8,357,127,136,40,30,43,65,28,13,64,900,9,0,0,0,0,0,0,0,0,11,21,2928,436,314,78,61,71,112,58,17,217,4289
SOSR331,0,0,0,12,19,4600,103,52,8,10,13,19,12,3,223,5036,641,15,11,0,0,0,6,0,0,40,718,175,0,0,0,0,0,0,0,0,13,194,65,0,5,0,0,0,0,0,0,3,72,3,0,0,0,0,0,0,0,0,0,3,243,0,5,0,0,0,0,0,0,19,272,0,0,0,0,0,0,0,0,0,0,0,884,19,15,0,0,7,6,0,0,61,993,29812,4559,2476,343,346,318,403,211,100,1578,40140,4424,1727,1284,279,279,344,658,305,163,304,9758,532,130,150,45,45,58,120,69,56,89,1290,26,6,5,3,0,0,4,4,14,18,77,4980,1859,1437,326,320,405,782,369,231,409,11129,47,0,5,0,0,0,8,4,0,378,452,34840,6430,3915,675,663,725,1193,583,326,2373,51718
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
SOSR399,0,0,0,0,0,113,4,7,0,0,0,0,0,0,0,126,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,9,1096,174,131,35,19,47,110,77,61,72,1821,122,61,83,35,25,81,217,127,57,40,842,18,5,7,4,10,7,36,10,12,4,118,0,0,0,0,0,0,0,0,0,3,9,146,69,89,38,27,89,257,133,67,42,966,3,0,0,0,0,4,7,0,0,112,128,1245,239,223,69,47,138,371,213,124,230,2917
SOSR401,0,0,0,44,115,28343,497,325,69,49,51,157,59,4,1045,30593,6643,33,19,0,5,3,12,0,0,562,7284,3773,11,9,3,0,0,4,0,0,216,4018,2958,46,40,8,10,3,11,11,0,208,3293,39,0,0,0,0,0,0,0,0,21,63,6768,54,52,8,10,4,16,13,0,444,7369,48,0,0,0,0,0,0,0,0,104,153,13463,93,74,10,15,12,22,11,0,1107,14807,102136,16724,10656,1886,1881,2238,2478,1413,471,3479,143371,54751,36495,33924,9558,10205,11987,13701,5517,796,2618,179552,14117,4557,5930,1460,1389,1704,3040,1320,381,1034,34924,219,63,61,6,18,19,32,26,12,82,547,69085,41115,39917,11029,11610,13708,16772,6862,1193,3730,215021,225,37,38,16,11,12,25,23,0,497,875,171447,57882,50611,12930,13497,15961,19276,8300,1664,7709,359273
SOSR412,0,0,0,5,12,1810,22,10,0,0,3,4,0,0,85,1937,575,0,0,0,0,0,0,0,0,50,631,99,0,0,0,0,0,0,0,0,12,110,28,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,20,148,0,0,0,0,0,0,0,0,0,7,9,701,0,0,0,0,0,0,0,0,75,783,8512,935,624,92,80,82,65,57,43,334,10820,1070,829,790,176,187,244,197,74,33,92,3692,101,101,105,17,28,26,54,24,13,17,481,7,3,4,0,0,0,0,0,0,4,22,1183,934,893,192,209,268,248,100,44,114,4196,16,0,0,0,0,0,0,0,0,24,46,9709,1867,1518,292,290,354,316,154,83,469,15057
SOSR413,0,0,0,0,3,1707,13,13,0,0,3,9,0,0,65,1818,526,0,0,0,0,0,0,0,0,30,555,112,0,0,0,0,0,0,0,0,5,116,24,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,4,143,4,0,0,0,0,0,0,0,0,3,12,668,0,0,0,0,0,0,0,0,41,706,6613,630,454,63,69,81,95,35,17,280,8345,944,599,615,146,232,180,224,107,25,56,3126,90,57,85,25,21,17,57,39,7,16,416,0,0,0,0,0,0,0,0,0,0,11,1040,652,698,171,248,197,283,146,36,71,3547,14,0,0,0,0,0,0,0,0,138,157,7671,1286,1158,229,321,284,379,177,54,488,12052
SOSR414,0,0,0,0,3,761,16,8,0,3,0,0,0,0,28,820,200,3,3,0,0,0,0,0,0,17,223,35,0,0,0,0,0,0,0,0,3,42,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,39,0,0,0,0,0,0,0,0,12,46,0,0,0,0,0,0,0,0,0,6,0,239,3,3,0,0,0,0,0,0,29,280,2903,273,184,30,31,30,25,20,8,144,3642,250,150,210,63,67,51,90,17,18,25,947,22,32,61,22,33,21,20,22,0,12,258,0,0,0,0,0,0,0,0,0,4,9,275,181,274,84,107,70,116,34,16,46,1209,9,0,0,0,0,0,0,0,0,3,23,3184,458,458,111,139,105,140,51,29,193,4873
SOSR415,0,0,0,6,19,1960,22,14,9,5,3,6,0,0,115,2133,540,7,0,0,0,0,4,0,0,67,616,116,0,0,0,0,0,0,0,0,10,129,59,0,0,0,0,0,0,0,0,14,73,3,0,0,0,0,0,0,0,0,3,5,178,0,0,0,0,0,0,0,0,25,202,3,0,0,0,0,0,0,0,0,3,10,725,7,0,0,0,0,4,3,0,95,829,8328,997,572,80,74,61,90,47,13,417,10681,1100,608,683,162,204,231,279,127,30,79,3510,262,79,103,33,29,23,73,31,26,69,730,12,0,0,0,0,0,3,0,0,11,34,1375,695,787,203,234,253,356,165,56,154,4279,24,0,0,3,0,0,0,0,3,26,60,9731,1689,1360,282,311,317,441,216,76,592,15010
SOSR421,0,0,0,4,9,425,6,0,0,0,0,5,0,0,19,457,134,3,0,0,0,0,0,0,0,14,151,6,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,3,9,151,3,0,0,0,0,0,0,0,18,174,2227,189,103,21,23,17,19,4,3,115,2732,144,80,127,41,31,42,80,58,6,4,617,7,0,17,6,0,5,19,7,11,4,69,0,0,0,0,0,0,0,8,0,0,7,151,80,139,42,31,46,100,74,13,13,698,7,0,0,0,0,0,0,0,0,5,22,2395,274,244,63,52,75,121,70,18,138,3446
SOSR422,0,0,0,0,3,281,8,0,0,0,0,0,0,0,18,302,62,0,0,0,0,0,0,0,0,5,72,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0,0,0,0,0,6,79,1421,95,54,8,13,5,8,0,4,80,1685,118,52,35,9,18,15,22,8,0,9,291,5,0,0,0,0,0,3,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,120,54,32,9,18,15,24,9,0,13,307,5,0,0,0,0,0,0,0,0,4,8,1546,151,91,17,32,20,25,9,11,96,2001
SOSR431,0,0,0,0,3,1776,11,13,0,3,5,5,10,0,90,1909,285,0,0,0,0,0,0,0,0,19,306,97,0,0,0,0,0,0,0,0,4,103,50,0,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,6,155,4,0,0,0,0,0,0,0,0,0,4,435,0,0,0,0,0,0,0,0,25,465,9706,1011,544,88,84,101,90,60,18,506,12200,1534,426,392,102,109,107,191,84,24,118,3090,446,57,66,22,28,32,58,30,15,42,788,11,8,0,0,0,0,0,0,0,3,30,1994,492,459,127,139,136,248,117,38,163,3907,15,0,0,0,0,0,0,0,0,124,145,11716,1497,998,220,217,237,337,179,52,796,16248
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
SOSR499,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,179,32,16,11,3,7,13,8,17,8,301,36,16,28,5,15,19,37,10,18,7,190,12,0,0,0,0,0,4,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,44,16,28,5,13,21,40,12,19,7,209,0,0,0,0,0,0,0,0,0,12,15,228,53,47,11,14,25,56,22,34,36,530
SOSR501,0,0,0,126,233,43443,1529,922,159,111,140,347,200,31,1549,48423,10020,265,115,10,15,18,31,17,3,784,11285,3373,48,34,7,0,5,7,6,0,279,3757,2176,84,53,13,12,10,25,14,0,174,2547,27,0,5,0,0,0,0,0,0,48,81,5579,125,90,16,11,15,36,17,0,493,6377,65,4,0,0,0,0,0,0,0,149,215,15664,391,198,27,29,35,62,38,3,1426,17881,245199,68141,52684,5844,5160,5313,6116,3426,1498,7608,400991,92103,73367,66942,12646,11506,13185,15702,6486,1332,4354,297620,15476,7257,6819,1628,1599,1805,3500,1825,485,1385,41780,252,141,117,27,23,30,71,38,27,176,904,107839,80765,73878,14303,13122,15025,19275,8351,1846,5911,340305,359,117,106,28,18,24,27,25,5,1142,1854,353400,149025,126662,20172,18296,20361,25422,11797,3346,14657,743151
SOSR511,0,0,0,4,10,1068,28,23,0,0,0,6,8,0,39,1180,285,6,6,0,0,0,0,3,0,24,324,63,0,0,0,0,0,0,0,0,3,65,28,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,3,96,5,0,0,0,0,0,0,0,0,0,0,368,9,5,0,0,0,0,3,0,33,425,6462,1787,1147,111,104,112,127,78,37,254,10214,947,1198,1237,191,208,177,210,95,33,69,4376,81,61,52,5,29,47,76,30,3,9,396,3,0,3,0,0,0,0,0,0,0,18,1030,1261,1294,201,240,225,282,128,43,76,4785,8,0,0,0,0,0,0,0,0,86,100,7494,3054,2448,308,347,341,418,204,75,418,15098
SOSR512,0,0,0,13,17,1919,47,31,4,7,3,6,6,0,103,2126,544,15,4,0,0,0,3,0,0,68,623,89,0,0,0,0,0,0,0,0,10,102,19,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,3,111,0,0,0,0,0,0,0,0,15,123,6,0,0,0,0,0,0,0,0,10,14,661,15,3,0,0,0,3,0,0,90,768,9975,2193,1668,177,189,224,243,129,62,427,15282,1328,1911,1839,304,328,363,421,179,106,91,6866,135,86,136,51,17,32,60,38,47,26,619,7,6,0,0,0,0,5,0,0,3,24,1462,2000,1973,356,341,393,481,220,157,116,7511,30,5,0,0,0,0,3,0,0,136,182,11468,4201,3642,534,534,619,732,345,218,678,22971
SOSR513,0,0,0,3,11,444,28,12,3,0,0,0,0,3,36,532,94,0,3,0,0,0,0,3,0,12,108,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,27,8,0,0,0,0,0,0,0,0,8,18,118,3,7,0,0,0,0,3,0,25,150,4492,2066,1645,163,137,155,209,113,54,238,9286,772,1256,1259,261,219,251,393,155,53,103,4724,60,42,35,12,14,27,53,22,3,8,280,6,3,3,0,0,0,0,3,0,0,21,834,1306,1303,275,235,273,452,181,59,110,5029,20,9,3,0,0,0,7,0,0,32,62,5346,3383,2957,439,370,433,668,297,108,383,14375
SOSR514,0,0,0,0,7,408,11,14,0,0,0,0,0,0,23,452,96,0,0,0,0,0,0,3,0,9,107,19,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,6,8,116,0,0,0,0,0,0,3,0,22,146,2582,463,400,64,35,38,72,30,11,108,3805,270,262,317,60,55,63,83,42,11,33,1183,19,18,21,7,0,3,14,12,0,57,152,4,0,0,0,0,0,0,0,0,0,3,285,282,340,59,57,74,101,47,12,85,1338,7,0,0,0,0,0,0,0,0,19,28,2880,743,745,127,89,113,169,79,25,211,5175
SOSR515,0,0,0,12,24,1395,30,10,0,0,0,3,3,0,98,1535,312,4,3,0,0,0,0,0,0,32,354,66,0,0,0,0,0,0,0,0,17,81,18,0,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,23,105,7,0,0,0,0,0,0,0,0,18,25,399,4,4,0,0,0,0,0,0,73,481,7906,1469,1037,129,130,133,171,83,44,457,11569,937,973,951,249,189,257,373,159,109,162,4359,84,119,96,31,26,51,74,29,22,34,561,5,0,4,0,0,0,3,6,6,4,35,1028,1097,1058,278,214,307,455,197,134,204,4957,29,3,3,0,0,0,5,0,0,51,101,8964,2570,2094,407,348,443,630,282,179,712,16625
SOSR521,0,0,0,0,3,527,8,5,0,0,0,5,0,0,35,575,108,0,0,0,0,0,0,0,0,8,118,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,7,4,137,0,0,0,0,0,0,0,0,14,150,3250,485,392,59,50,49,58,28,16,209,4595,296,280,328,73,55,80,110,57,43,33,1359,9,13,12,0,5,23,26,13,14,7,119,5,3,3,0,0,0,0,0,3,0,18,310,290,347,75,62,106,132,73,60,38,1491,14,0,0,0,0,0,0,0,0,13,26,3570,781,736,131,112,156,190,102,71,263,6117
SOSR522,0,0,0,5,5,300,5,0,0,0,0,0,0,0,13,315,59,0,0,0,0,0,0,0,0,3,66,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,70,0,0,0,0,0,0,0,0,10,75,1652,217,171,44,24,26,35,16,5,91,2278,111,82,110,30,13,33,50,13,5,14,453,15,3,4,0,0,0,3,0,0,0,32,3,0,0,0,0,0,0,0,0,0,3,130,83,110,31,13,33,51,13,5,17,486,5,0,0,0,0,0,0,0,0,26,35,1790,301,287,74,36,62,82,23,13,135,2797
