SOSR_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
SOSR299,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
SOSR301,40271,63584,139539,134262,119513,76794,16203,1365,95,591631,26831,13754,29361,28645,26886,43191,76619,49502,21119,315910,2733,4095,9331,7228,5373,4162,3729,3517,3330,43520,69837,81441,178233,170143,151775,124148,96551,54379,24542,951062,9476,52889,173278,177431,161890,95968,15954,1011,45,687942,43230,49035,71011,68580,56169,44432,16941,2411,141,351937,10894,12593,21103,15263,12301,11105,3496,346,41,87144,1043,2436,5218,3594,2533,1539,451,156,46,17019,64642,116953,270605,264870,232893,153042,36840,3927,271,1144039,2885,6184,9249,6564,6017,4464,576,26,5,35962,10148,5340,5063,3669,2829,2683,800,64,14,30611,13033,11524,14313,10233,8847,7150,1373,81,20,66577,77674,128476,284917,275103,241737,160191,38212,4008,293,1210617,59503,26366,45734,42256,42569,71142,137310,90057,33727,548662,5632,8564,19499,15212,11872,9001,7470,6180,4876,88322,142815,163409,350151,332576,296180,240341,182994,100251,38897,1847605
SOSR302,16197,21405,46998,48453,48764,34907,8857,786,54,226416,8079,3947,9151,9611,10276,19536,39266,26726,10236,136819,1217,1737,4068,3319,2968,2644,2501,2483,2276,23216,25492,27087,60215,61380,62015,57084,50621,29997,12572,386454,3701,16606,51123,56254,58334,36487,7242,531,18,230295,18194,16606,27610,29090,27311,23903,10196,1513,87,154514,4471,4479,8147,6230,5763,5461,1802,233,23,36604,492,1001,2159,1542,1234,770,239,78,40,7544,26852,38690,89038,93107,92640,66628,19478,2358,169,428960,969,1629,2626,2017,2308,1979,286,18,4,11837,3209,1519,1712,1414,1227,1481,500,55,3,11123,4172,3146,4342,3435,3538,3465,785,69,7,22956,31034,41843,93379,96538,96179,70086,20265,2423,172,451917,18275,7466,13918,14052,16327,32138,70402,49935,17349,239865,2447,3373,8355,6932,6382,5317,4975,4411,3421,45607,51749,52677,115654,117521,118890,107542,95649,56766,20942,737390
SOSR303,8543,11063,23497,23030,22927,16474,3962,369,30,109890,4726,2578,5230,4670,4565,8013,15220,10287,4320,59610,828,1151,2460,1966,1688,1373,1129,966,652,12218,14099,14789,31188,29667,29172,25862,20310,11627,5003,181716,2764,11726,29610,28520,29471,19888,3576,246,11,125810,10222,7919,12497,12256,11147,9839,4125,600,37,68639,650,862,2528,1674,1550,1743,539,51,6,9606,258,493,894,598,467,319,112,38,10,3191,13897,21003,45530,43052,42635,31785,8349,933,66,207252,606,1038,1553,1155,1211,942,103,8,0,6619,1744,745,869,690,620,612,198,18,3,5501,2351,1784,2425,1849,1827,1555,304,25,5,12122,16246,22786,47950,44894,44466,33343,8652,959,71,219373,10260,4450,8030,7520,7998,13892,28272,18741,6844,106008,1832,2941,5488,4324,3935,3154,2452,1746,1034,26896,28337,30179,61474,56737,56401,50383,39374,21445,7954,352278
SOSR311,4607,5417,11811,11888,12130,9230,2050,182,14,57328,2320,1202,2953,2589,2807,6478,11935,8679,3563,42526,420,566,1137,944,942,833,806,957,582,7186,7345,7181,15899,15420,15879,16545,14790,9823,4161,107048,1898,6167,14896,14950,15407,11031,1933,112,0,66400,5462,3460,6154,6435,5923,5678,2075,256,21,35462,292,389,1248,852,883,1044,262,25,0,4990,180,227,569,383,319,246,74,47,11,2049,7829,10244,22865,22622,22533,18000,4341,438,37,108908,443,580,855,644,640,607,80,7,0,3863,892,364,475,375,340,413,105,3,0,2971,1338,945,1332,1019,986,1021,178,10,0,6829,9167,11188,24199,23636,23520,19021,4526,444,42,115735,5080,2008,4286,3984,4839,10889,22423,16088,5861,75463,876,1169,2611,2385,2324,2040,1684,1676,953,15732,15119,14374,31099,30005,30685,31956,28630,18205,6854,206931
SOSR312,1597,1748,3774,4076,4457,3684,769,70,7,20182,975,490,1213,1217,1437,3069,5790,3892,1477,19568,132,141,339,322,315,307,309,326,231,2434,2705,2385,5328,5612,6214,7065,6870,4282,1712,42184,546,1788,4615,4846,5352,3992,665,42,0,21855,1761,1208,2147,2397,2460,2424,864,101,3,13370,243,219,522,417,470,586,155,12,0,2624,45,93,189,138,132,101,31,18,5,757,2602,3305,7474,7796,8416,7111,1715,176,17,38610,249,310,404,328,341,325,46,0,0,2003,348,151,198,173,143,195,44,3,0,1260,599,458,611,501,479,522,88,7,0,3269,3197,3764,8080,8300,8894,7633,1804,186,19,41877,2092,818,1777,1861,2407,5220,10927,7257,2463,34809,291,308,714,724,724,687,636,587,341,5011,5574,4896,10567,10884,12032,13539,13363,8024,2822,81697
SOSR313,2981,3575,8255,8088,7541,5686,1230,116,11,37495,1509,853,2273,1857,1769,3425,6404,4209,1673,23969,263,310,834,661,553,474,426,375,249,4139,4754,4740,11362,10607,9867,9590,8059,4700,1932,65608,1344,4230,10640,10312,10085,7007,1291,112,9,45023,3714,2022,4227,4289,3572,3429,1317,224,19,22812,213,310,1019,651,584,650,196,17,3,3644,116,157,395,291,211,110,58,14,9,1361,5387,6714,16272,15544,14452,11200,2865,370,37,72841,254,360,529,328,365,310,42,0,0,2187,492,195,306,214,184,214,63,3,0,1670,749,555,831,545,551,522,102,8,0,3857,6132,7271,17104,16090,14999,11723,2961,378,37,76701,3317,1319,3055,2689,2811,5674,11804,7904,2713,41274,587,736,1923,1604,1376,1185,880,674,377,9351,10032,9324,22086,20381,19187,18587,15650,8949,3127,127325
SOSR314,2978,3224,8006,8060,8189,5908,1363,146,12,37894,1618,783,2057,1906,1860,3526,6647,4476,1803,24668,381,387,1006,807,789,559,553,485,385,5355,4973,4394,11069,10779,10840,9997,8566,5109,2203,67919,1250,3868,10272,10344,10671,7325,1346,137,8,45233,3384,1876,4076,4175,4023,3616,1430,209,16,22806,420,360,952,814,792,769,252,29,3,4395,132,196,392,324,260,217,55,25,7,1620,5189,6300,15696,15661,15748,11927,3084,407,36,74049,235,341,496,369,429,346,49,3,4,2278,472,186,261,241,204,237,65,3,0,1653,702,525,754,606,636,584,112,8,4,3924,5890,6826,16452,16264,16378,12510,3195,414,39,77977,3596,1243,2834,2721,3071,5821,12445,8439,2998,43165,816,962,2330,1842,1750,1394,1173,934,600,11799,10301,9031,21617,20825,21204,19722,16817,9787,3636,132939
SOSR315,3813,4389,10778,11126,11497,9520,2228,224,26,53606,2648,1282,3264,2951,3285,6898,12338,7116,2691,42482,520,580,1364,1138,1146,1134,992,839,537,8234,6984,6247,15395,15213,15934,17552,15559,8185,3254,104319,1731,5047,13132,13701,14641,10951,2148,176,14,61543,4185,2607,5608,6110,5937,6114,2380,323,25,33297,517,457,1490,1063,1188,1395,428,36,13,6591,195,259,566,416,423,334,108,52,14,2365,6633,8374,20789,21294,22192,18795,5068,587,69,103797,422,509,704,609,624,611,76,6,4,3566,604,291,399,295,339,387,127,10,9,2456,1025,801,1099,902,967,999,202,16,7,6021,7659,9177,21889,22201,23157,19800,5267,602,73,109818,5716,2409,5441,4884,5830,12025,24102,14136,4542,79079,1073,1282,3150,2635,2656,2620,2146,1589,846,17996,14444,12864,30481,29715,31642,34435,31515,16331,5464,206897
SOSR321,1388,1387,3383,4083,4685,4024,930,92,6,19978,997,452,1148,1073,1341,3064,4875,2624,757,16332,234,218,454,434,479,524,440,317,109,3212,2619,2059,4982,5588,6504,7617,6245,3035,877,39529,592,1566,4034,4808,5667,4432,934,87,0,22122,1543,853,1775,2258,2532,2783,999,136,11,12886,235,184,433,398,494,584,182,21,5,2536,84,111,199,182,212,151,51,16,0,1009,2454,2716,6435,7644,8908,7958,2166,260,17,38556,185,219,318,298,333,300,42,3,0,1690,198,88,130,103,148,180,37,3,0,891,387,299,451,399,480,477,83,3,0,2584,2839,3020,6883,8040,9387,8433,2250,266,17,41137,2183,865,1922,1905,2417,5382,9829,5494,1348,31352,469,430,966,947,1080,1102,915,644,200,6747,5498,4316,9775,10899,12880,14911,12997,6404,1556,79232
SOSR322,471,604,1409,1563,1986,1944,452,50,11,8490,425,277,632,484,563,1381,2240,1209,317,7521,88,87,227,196,214,278,237,157,57,1544,975,972,2268,2245,2761,3604,2929,1416,386,17558,261,732,1719,1862,2408,2378,520,48,0,9925,462,325,754,882,1034,1203,459,90,8,5214,55,67,192,171,196,260,67,9,0,1020,36,40,88,74,103,98,42,13,5,496,809,1162,2752,2987,3741,3937,1088,164,14,16667,60,91,151,126,136,151,23,0,0,735,82,48,71,49,55,86,24,0,4,425,142,143,221,180,192,239,47,0,4,1162,955,1308,2974,3163,3934,4172,1136,171,17,17829,919,480,952,786,1043,2509,4616,2513,576,14390,181,182,460,437,493,601,517,338,116,3327,2051,1970,4384,4381,5469,7289,6268,3024,702,35541
SOSR331,7330,6644,14290,19376,25126,20952,6075,1095,91,100979,4576,1513,4032,4294,5612,12211,18511,9002,2061,61814,998,898,2021,2219,2715,2748,2106,1127,298,15124,12901,9058,20340,25889,33453,35907,26694,11227,2454,177913,3888,8438,18567,24565,33107,26677,7748,1559,116,124669,8168,3952,7496,10956,13132,13708,5987,1324,148,64873,1129,857,2135,1846,2393,2848,917,178,23,12323,444,449,782,843,1085,825,486,309,70,5305,13632,13696,28978,38205,49722,44064,15140,3367,359,207163,466,661,864,722,1046,1070,153,4,0,4991,965,332,441,401,489,749,174,14,0,3559,1433,993,1303,1121,1534,1820,327,21,0,8553,15064,14691,30283,39327,51253,45881,15470,3391,358,215714,9793,3061,6870,7330,9882,21843,37903,19551,4139,120365,2164,2007,4595,5085,6449,6402,4703,2428,649,34482,27016,19762,41750,51750,67583,74122,58073,25367,5145,370559
SOSR379,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,3,8,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,12,13,15,0,0,0,0,35,0,0,4,4,0,0,3,0,0,11,0,14,34,48,32,8,0,0,0,135,0,16,49,64,45,5,3,0,0,183
SOSR399,113,224,605,330,309,267,48,3,0,1892,117,143,382,296,360,713,715,132,19,2883,58,127,362,259,219,194,106,26,5,1349,291,493,1345,885,887,1170,870,160,25,6127,23,161,575,320,255,225,42,0,0,1610,72,118,329,217,169,157,52,7,0,1119,23,35,86,79,55,75,13,3,0,371,8,15,32,23,22,12,4,0,0,124,128,325,1027,644,497,464,118,7,0,3219,37,69,157,104,104,70,12,0,0,565,41,30,59,44,53,59,13,0,0,286,76,96,212,142,157,130,25,4,0,851,204,426,1241,790,656,596,140,9,0,4069,229,236,644,575,665,1368,1672,361,33,5780,124,267,765,717,612,501,313,74,12,3387,566,934,2649,2077,1929,2468,2124,444,44,13234
SOSR401,18749,31814,70158,67009,61645,47188,10792,907,91,308350,13957,7430,15918,15106,14547,27889,53443,37196,19036,204510,1025,1446,3350,2745,2316,2141,2236,2278,1663,19208,33732,40690,89419,84854,78507,77213,66473,40379,20793,532069,3829,24620,86515,84752,79872,54972,9619,611,32,344825,24487,30657,43434,41621,35465,32489,12502,1798,126,222573,1542,2378,6770,4815,3459,4181,1284,169,22,24619,431,1064,2225,1549,1163,808,293,117,47,7680,30286,58715,138940,132731,119963,92447,23689,2698,226,599698,1149,3081,4869,3578,3347,2522,314,14,4,18879,4852,3189,2971,2242,1795,1724,434,42,9,17264,5999,6273,7841,5814,5143,4241,756,56,14,36143,36284,64993,146786,138542,125101,96698,24450,2754,236,635843,30950,15151,24528,22997,24695,47336,95969,66395,30465,358488,2142,3083,7236,6078,5279,4665,4279,3876,2592,39227,69374,83229,178542,167621,155078,148698,124690,73023,33293,1033551
SOSR412,1787,2243,4798,4701,5144,3860,758,65,8,23377,989,481,1231,1059,1157,2272,4269,3295,1292,16038,112,124,290,264,236,239,225,281,206,1971,2892,2851,6319,6021,6535,6369,5250,3642,1510,41390,559,2310,6032,5811,6582,4469,749,33,3,26553,2250,1667,2836,2794,2721,2657,916,117,7,15964,147,165,557,351,324,417,125,7,7,2105,63,81,163,131,105,100,31,14,0,686,3023,4226,9582,9096,9732,7638,1818,172,24,45310,107,276,319,207,265,210,23,3,0,1401,332,167,190,131,120,138,24,0,0,1107,438,440,511,334,384,351,49,3,0,2509,3456,4671,10088,9428,10118,7990,1861,178,21,47816,2241,861,1803,1605,1911,3829,7791,5742,2163,27937,227,275,601,536,532,463,443,448,317,3851,5922,5809,12493,11577,12564,12284,10096,6368,2494,79604
SOSR413,1430,1672,3583,3688,4345,3690,906,98,7,19417,881,439,1002,937,1075,2295,5359,3757,1673,17420,123,115,262,236,264,266,279,226,136,1911,2438,2223,4842,4866,5682,6250,6547,4081,1818,38749,443,1548,4091,4193,5072,3781,755,59,0,19943,1840,1348,2287,2423,2610,2785,1133,165,8,14597,118,133,459,288,295,415,139,17,6,1873,68,73,136,92,124,96,35,24,6,648,2469,3103,6971,6998,8097,7081,2064,264,19,37053,102,195,273,229,234,204,30,0,0,1257,241,146,128,115,149,170,48,0,0,994,337,340,399,343,382,374,74,5,0,2250,2801,3440,7372,7338,8481,7450,2136,271,19,39302,1978,866,1939,1885,2068,4061,9690,7109,2751,32351,254,248,578,541,571,587,531,432,236,3981,5035,4559,9891,9760,11117,12100,12358,7810,2996,75634
SOSR414,474,560,1290,1389,1497,1294,323,45,3,6875,271,115,308,318,294,818,2244,1497,597,6463,25,27,78,75,67,73,114,109,54,617,771,700,1674,1787,1853,2187,2680,1653,658,13953,128,587,1551,1597,1758,1264,258,22,0,7178,606,411,848,922,929,1040,430,74,4,5270,37,49,158,94,102,153,53,4,0,648,16,32,42,43,39,26,10,11,0,226,793,1076,2593,2652,2835,2485,746,122,4,13312,20,39,80,47,61,63,5,0,6,317,83,34,44,50,35,36,13,0,0,303,102,71,126,90,101,99,21,0,6,621,900,1150,2717,2745,2937,2585,769,121,4,13936,621,201,468,472,525,1351,3997,2882,999,11514,52,55,161,158,152,151,199,200,97,1222,1567,1408,3346,3372,3612,4089,4964,3201,1108,26670
SOSR415,1679,2009,4793,5069,5661,4796,1235,156,8,25404,978,379,1210,1025,1202,2948,6406,4699,2235,21089,163,120,383,322,371,372,469,407,263,2876,2819,2513,6395,6417,7231,8113,8108,5260,2513,49369,658,2295,5973,6121,6802,5311,1081,95,7,28330,2077,1473,2849,3193,3316,3552,1497,277,20,18256,151,150,593,395,403,571,212,39,0,2506,100,94,201,132,162,143,66,42,10,950,2980,4010,9606,9840,10683,9575,2858,443,36,50029,105,195,285,222,270,261,36,5,0,1378,213,119,154,142,132,208,42,7,3,1026,322,311,449,358,402,470,74,9,4,2403,3303,4319,10053,10197,11088,10037,2933,456,41,52432,2284,694,1770,1625,2165,5182,12240,8616,3617,38184,350,302,784,731,816,846,885,782,428,5928,5938,5315,12613,12559,14070,16065,16059,9856,4077,96551
SOSR421,440,511,1219,1292,1539,1554,408,36,8,6998,293,112,316,295,311,806,1804,1157,587,5676,46,49,96,109,131,146,159,123,119,971,777,674,1632,1694,1981,2506,2365,1318,711,13648,186,555,1410,1554,1815,1642,392,35,5,7590,526,386,754,840,966,1150,507,77,6,5210,43,43,160,106,131,188,84,9,6,772,28,16,63,44,58,41,20,8,3,282,781,999,2388,2542,2973,3028,997,134,14,13849,31,51,66,43,62,89,9,0,0,353,40,30,56,28,30,52,19,0,0,259,73,85,121,77,93,140,25,0,0,615,853,1082,2505,2622,3064,3164,1025,132,14,14459,647,203,454,460,544,1474,3449,2172,965,10368,89,86,209,249,272,309,332,238,176,1961,1591,1374,3167,3331,3879,4944,4809,2545,1159,26793
SOSR422,200,243,605,642,832,920,211,33,3,3692,192,95,249,214,241,595,1126,643,206,3563,40,24,69,73,94,117,118,74,31,635,427,366,926,931,1172,1631,1459,754,239,7899,84,266,723,709,939,963,194,20,0,3899,229,183,393,453,532,699,283,55,7,2834,18,14,63,50,80,110,39,12,4,386,19,14,23,31,37,28,16,3,4,172,349,481,1205,1234,1586,1802,534,87,12,7295,40,59,87,53,55,73,0,0,0,362,37,14,23,24,35,48,6,0,0,191,80,72,106,78,92,112,6,0,0,557,429,550,1311,1313,1682,1917,546,92,12,7852,408,184,388,367,511,1134,2300,1323,375,6987,77,57,131,136,210,262,267,146,52,1337,915,787,1832,1815,2399,3314,3111,1556,442,16171
SOSR431,2263,2265,4567,6358,8269,7647,2435,417,44,34257,1551,454,1118,1160,1537,3519,5982,2871,693,18886,260,189,426,446,668,748,647,325,123,3835,4075,2908,6110,7971,10470,11916,9060,3608,859,56981,1169,2703,5961,7876,10770,9441,2986,497,37,41434,2755,1771,2810,4075,5031,5858,2698,644,67,25701,215,182,591,499,601,810,341,65,6,3306,171,153,225,233,335,297,182,80,12,1692,4311,4807,9585,12683,16730,16410,6201,1285,122,72129,110,198,256,182,291,293,40,6,0,1372,265,100,115,109,158,249,60,0,0,1058,371,303,365,295,449,551,98,6,0,2433,4679,5108,9957,12973,17185,16961,6298,1285,123,74563,3388,908,1831,2091,2788,6536,12217,6210,1400,37357,568,483,993,1024,1463,1639,1391,739,218,8505,8627,6493,12777,16088,21437,25136,19900,8239,1738,120427
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
SOSR499,43,42,129,81,59,57,14,0,0,423,57,40,102,88,76,114,106,23,7,613,19,16,74,79,46,25,17,0,3,273,112,95,305,245,178,197,141,26,10,1306,3,19,112,92,77,45,11,0,0,351,18,34,77,41,36,39,15,0,0,264,4,3,17,19,12,22,3,0,0,70,0,3,8,4,0,7,0,0,0,38,32,61,211,156,128,106,26,4,0,724,11,10,35,33,30,25,0,0,0,152,25,15,24,18,17,14,3,0,0,112,35,29,62,55,38,40,3,0,0,266,65,87,272,205,172,147,34,4,0,989,86,80,193,161,172,241,262,55,7,1266,30,39,161,163,136,120,62,4,3,719,186,206,627,534,478,513,359,64,11,2975
SOSR501,34082,50930,117044,116960,105934,75562,18318,1580,108,520512,21810,9743,26492,27761,22715,38488,73514,47993,21164,289677,1999,2864,7409,5970,4754,3991,3777,3778,3295,37841,57892,63540,150941,150691,133403,118041,95610,53346,24562,848032,9233,43281,150955,155707,142708,94321,17421,1033,51,614708,43343,46587,62599,67913,56742,49268,21970,3213,199,351838,1799,3006,11862,9237,6620,7444,2272,254,24,42518,832,2076,4643,3249,2483,1591,510,177,63,15614,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680,2221,4220,6873,5600,5495,4330,659,40,3,29440,9167,3988,4289,3707,2899,2758,949,83,8,27842,11383,8208,11161,9306,8393,7086,1608,130,13,57284,66590,103155,241217,245414,216952,159706,43783,4805,342,1081965,47822,18915,37585,37559,34439,60276,131037,88110,34480,490236,4131,6275,17088,14951,12296,9698,7494,6627,5115,83679,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
SOSR511,1497,1457,3385,3917,4032,2890,624,51,3,17861,751,329,1095,922,824,1728,3157,2008,796,11616,84,102,275,195,194,210,195,165,145,1550,2329,1888,4762,5039,5044,4828,3978,2221,942,31028,598,1725,4362,4782,5090,3604,565,24,0,20751,1706,909,1897,2468,2162,1856,801,93,4,11905,104,129,413,314,345,418,102,15,3,1848,45,56,120,109,90,54,21,3,3,496,2450,2821,6793,7675,7685,5932,1487,136,12,34998,122,143,213,171,167,150,21,0,0,986,259,95,140,114,115,87,26,5,0,846,382,239,352,286,275,237,40,5,0,1829,2838,3055,7148,7968,7964,6164,1532,141,12,36824,1641,555,1568,1429,1311,2718,5750,3700,1293,19983,165,227,607,524,517,490,386,278,221,3420,4649,3838,9322,9920,9801,9377,7670,4119,1523,60227
SOSR512,2256,2284,5157,5831,6424,4937,1228,107,7,28226,1011,522,1530,1326,1179,2339,4853,3385,1551,17698,223,241,577,540,477,463,415,316,217,3475,3487,3044,7268,7697,8081,7735,6500,3805,1776,49404,1154,2891,6995,7365,8102,5938,1171,68,5,33688,2660,1356,2834,3476,3318,3282,1418,190,13,18558,136,175,628,469,567,638,185,29,6,2821,58,115,216,155,171,119,35,20,9,911,4008,4541,10678,11465,12161,9976,2813,306,31,55980,149,209,260,228,260,171,24,0,0,1310,319,99,177,153,131,175,49,0,0,1123,478,310,442,380,394,349,78,4,0,2434,4479,4850,11118,11846,12554,10326,2884,312,35,58415,2227,936,2286,2026,1996,3842,8880,6250,2542,30982,472,497,1277,1229,1139,1063,832,604,346,7464,7185,6283,14681,15102,15690,15229,12592,7165,2918,96858
SOSR513,1010,1173,4172,4142,3184,2050,443,37,3,16211,598,267,1049,826,613,817,1145,716,242,6268,206,243,813,665,514,339,185,109,61,3144,1813,1686,6031,5635,4315,3205,1774,860,300,25619,556,1596,5637,5876,4953,3118,560,29,0,22322,1133,530,1681,2009,1328,1023,375,57,0,8131,71,109,586,440,316,321,75,8,0,1921,61,66,240,169,87,87,17,0,4,721,1814,2306,8142,8488,6688,4537,1024,89,8,33096,107,127,165,139,124,89,10,0,0,767,156,57,104,93,62,56,22,0,0,549,258,182,270,229,188,146,33,5,0,1322,2073,2490,8410,8723,6876,4690,1058,92,8,34412,1296,451,1362,1111,964,1367,2162,1368,400,10483,463,541,1637,1465,1209,869,382,214,95,6888,3837,3483,11408,11301,9050,6923,3599,1677,503,51774
