SOSR_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR412,182,744,1107,877,852,859,837,526,163,6144,130,819,1566,1197,1215,1116,647,286,100,7073,43,674,1766,1427,1536,1343,556,169,57,7576,19,375,1356,1103,1248,948,303,89,18,5446,8,158,1101,1006,1075,836,229,85,25,4527,5,89,671,862,841,603,146,21,9,3239,0,62,795,1289,1446,825,178,27,5,4626,0,12,88,210,245,137,24,10,3,729,3,12,87,201,288,216,70,21,10,912,330,339,679,616,676,623,597,618,497,4972,5922,5809,12493,11577,12564,12284,10096,6368,2494,79604
SOSR413,145,571,940,773,823,901,1054,737,202,6146,80,609,1135,1012,1029,1089,748,429,116,6266,53,457,1229,1128,1201,1139,683,267,73,6229,6,260,883,778,855,788,433,112,27,4152,6,114,714,718,826,694,302,127,37,3537,4,56,479,524,656,525,158,45,13,2457,3,33,534,892,1086,773,266,75,14,3675,3,15,84,177,222,185,58,24,7,778,9,18,101,311,496,355,150,54,18,1512,352,392,1024,935,830,775,691,574,310,5882,5035,4559,9891,9760,11117,12100,12358,7810,2996,75634
SOSR414,46,198,335,300,330,346,422,294,72,2347,28,246,509,432,397,407,318,160,48,2540,22,162,478,473,506,491,236,84,28,2472,4,74,344,323,330,289,144,38,12,1563,0,39,249,266,287,217,103,53,17,1230,0,15,163,190,218,154,48,15,0,802,0,17,156,272,302,229,54,23,3,1050,0,0,26,45,50,36,24,7,0,185,0,5,21,44,58,55,29,17,11,241,88,71,181,186,168,175,234,291,159,1553,1567,1408,3346,3372,3612,4089,4964,3201,1108,26670
SOSR415,224,705,1169,1020,1141,1252,1396,777,284,7963,126,909,1659,1392,1489,1460,916,447,131,8528,76,631,1820,1526,1724,1650,889,273,62,8659,14,315,1181,1197,1246,1162,515,137,46,5819,11,143,986,1038,1045,914,316,134,40,4633,9,76,667,755,791,686,197,50,7,3230,7,94,777,1237,1363,964,249,68,21,4783,6,9,125,261,267,172,57,27,3,932,0,8,137,291,305,283,117,66,25,1235,505,341,868,797,947,1030,1097,1072,670,7329,5938,5315,12613,12559,14070,16065,16059,9856,4077,96551
SOSR421,50,185,266,296,314,397,411,192,62,2187,39,212,406,381,413,461,263,106,36,2314,17,140,422,363,495,523,262,63,12,2298,4,76,313,306,339,347,145,27,7,1570,3,26,247,262,282,270,95,41,11,1241,0,10,144,193,198,198,52,23,3,816,0,12,172,310,344,282,79,17,6,1221,0,3,32,40,63,59,15,0,0,225,0,3,27,57,68,83,45,15,4,296,161,116,235,290,313,361,416,318,294,2506,1591,1374,3167,3331,3879,4944,4809,2545,1159,26793
SOSR422,32,82,134,147,194,244,233,98,19,1176,21,100,213,188,234,266,179,49,10,1249,17,70,212,195,222,305,143,44,4,1214,0,42,155,136,191,225,89,16,3,864,0,20,108,124,127,157,57,23,5,626,0,11,65,92,114,96,34,6,0,420,0,13,81,109,156,174,34,6,3,576,0,0,14,18,29,29,15,5,0,102,0,0,7,25,33,35,16,8,3,123,126,82,169,155,248,311,293,181,60,1619,915,787,1832,1815,2399,3314,3111,1556,442,16171
SOSR431,344,829,1045,1230,1601,1801,1657,637,131,9276,213,912,1537,1545,2031,2241,1330,421,80,10309,100,742,1711,1812,2427,2629,1222,340,34,11018,36,358,1182,1461,1921,1817,777,168,16,7747,27,160,976,1394,1672,1496,637,140,24,6528,8,73,539,935,1218,1048,374,103,11,4321,5,78,701,1464,1921,1602,510,141,21,6440,4,14,103,316,434,355,157,27,3,1422,3,36,160,515,853,780,324,127,13,2807,840,598,1373,1529,1905,2041,1713,902,243,11139,8627,6493,12777,16088,21437,25136,19900,8239,1738,120427
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
SOSR499,5,13,37,35,12,30,26,4,0,169,3,6,46,28,25,27,13,6,0,162,0,13,44,23,25,25,7,5,0,141,0,3,20,10,8,14,9,0,0,66,0,0,23,13,14,11,0,0,0,66,0,0,14,13,9,11,0,0,0,51,0,0,25,35,15,5,3,0,0,79,0,0,0,7,8,0,0,0,0,19,0,0,4,13,7,7,0,0,0,29,33,35,127,126,107,98,61,8,3,599,186,206,627,534,478,513,359,64,11,2975
SOSR501,3123,13340,19559,16527,13842,13147,13887,7706,2583,103724,2112,14720,28100,21945,19468,16502,11718,4943,1662,121175,1093,12972,36824,29497,25399,21911,11075,3520,981,143275,448,7795,31407,25898,21839,17538,7196,1922,480,114529,230,4295,27881,25626,21745,16878,5721,1544,534,104459,103,1966,19440,21210,18353,12865,3781,807,225,78754,115,2393,30531,44224,38612,25275,6167,1207,351,148884,22,354,6298,11844,10627,6596,1722,418,120,38002,67,303,5846,18916,21317,12934,3790,1170,311,64649,5584,8005,20220,17499,14727,11713,9551,8679,7536,103516,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
SOSR511,190,471,681,647,690,582,628,345,112,4355,130,623,984,820,804,700,444,189,50,4753,54,463,1074,967,995,840,464,128,25,5012,18,256,850,797,790,683,226,65,17,3705,13,162,678,831,798,631,165,42,21,3343,4,86,587,670,673,564,110,28,6,2729,0,130,899,1381,1376,1016,170,19,14,4995,0,13,170,314,337,236,48,10,10,1132,6,11,144,343,436,282,98,18,8,1347,241,287,815,771,682,606,482,329,256,4461,4649,3838,9322,9920,9801,9377,7670,4119,1523,60227
SOSR512,357,790,999,979,1000,1015,989,558,167,6848,271,862,1313,1206,1234,1253,769,283,121,7314,130,771,1665,1520,1647,1507,706,227,53,8224,62,452,1279,1274,1351,1093,417,102,32,6053,42,325,1245,1159,1357,1063,317,113,55,5680,6,170,948,976,1108,846,238,52,11,4362,15,214,1480,2048,2183,1548,360,69,25,7934,0,35,370,527,528,362,87,11,3,1918,3,22,256,553,630,443,137,51,16,2113,570,620,1589,1478,1337,1204,1001,811,628,9233,7185,6283,14681,15102,15690,15229,12592,7165,2918,96858
SOSR513,166,311,526,468,384,286,213,109,27,2495,119,372,788,650,504,391,181,69,21,3088,102,388,1041,867,705,564,217,37,10,3941,45,315,908,828,684,520,135,24,11,3465,28,219,1030,889,736,487,118,18,7,3522,14,129,866,805,647,479,137,11,4,3091,8,206,1529,1907,1569,920,146,24,3,6326,5,37,468,558,429,254,52,9,0,1812,5,26,505,905,629,376,79,27,0,2562,554,594,1756,1556,1299,971,426,268,146,7567,3837,3483,11408,11301,9050,6923,3599,1677,503,51774
SOSR514,59,147,250,319,263,229,260,138,43,1706,25,173,367,355,343,270,220,74,14,1858,24,131,396,482,407,341,203,54,16,2053,11,67,307,312,289,248,97,37,6,1361,11,50,213,268,266,218,76,29,5,1134,0,35,154,235,226,141,51,6,0,848,3,19,269,446,443,298,68,9,0,1557,0,8,39,103,129,67,10,4,0,369,0,3,36,115,138,86,38,13,3,440,171,111,314,360,349,271,257,186,134,2155,1625,1148,3227,3973,3760,3470,3298,1624,567,22690
SOSR515,206,486,798,699,737,742,682,328,103,4770,159,583,1011,912,946,841,501,230,80,5253,94,501,1273,1039,1074,1090,512,142,24,5753,40,349,973,876,866,718,293,65,10,4187,22,237,1004,846,857,725,230,64,28,4006,10,117,666,780,776,597,180,33,9,3171,14,158,1272,1531,1555,1145,257,28,7,5971,4,31,308,441,416,302,50,19,9,1577,3,15,247,485,442,287,108,25,11,1618,707,607,1560,1489,1438,1235,962,687,413,9100,5095,4481,11923,11851,11838,11810,9832,5083,1831,73743
SOSR521,85,170,292,274,261,304,351,152,51,1940,62,195,344,321,386,377,224,88,37,2037,36,154,376,369,450,467,221,73,20,2165,11,102,314,291,337,374,123,30,7,1592,9,59,294,339,312,355,121,33,11,1530,4,44,210,234,269,244,60,4,0,1075,3,58,388,484,531,486,103,14,5,2067,0,11,112,135,119,112,23,9,3,525,7,10,71,147,162,118,47,14,7,585,257,252,574,598,677,680,509,352,145,4034,1926,1740,4346,4477,4984,5562,4668,2347,754,30808
SOSR522,31,75,157,150,140,172,173,99,20,1014,34,94,197,159,193,236,130,44,12,1099,18,91,222,186,221,262,106,43,10,1155,6,74,172,137,163,196,79,18,3,846,0,38,131,130,156,142,50,21,6,682,0,24,100,101,142,119,38,5,3,528,0,30,161,198,235,241,67,4,3,952,0,0,30,63,60,47,13,6,0,219,0,0,25,66,69,57,30,3,0,252,199,143,324,314,332,380,336,186,87,2299,1206,1168,2556,2419,2606,3061,2656,1336,375,17404
SOSR531,366,723,887,1055,1345,1596,1375,561,108,8023,254,815,1198,1322,1649,1914,1295,445,73,8968,154,795,1596,1612,2162,2446,1249,337,50,10409,66,535,1239,1459,1747,1826,787,196,19,7889,38,342,1183,1427,1883,1788,648,156,28,7492,33,238,912,1223,1655,1398,439,121,17,6020,23,331,1682,2476,3249,2622,715,147,22,11270,4,57,478,765,928,726,215,39,7,3224,11,40,424,1028,1432,1087,429,128,23,4598,1058,1497,3905,3891,3777,3280,2127,1001,191,20737,8927,7726,17368,20805,25420,27127,19970,8074,1649,137066
SOSR579,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,4,3,5,7,5,0,0,0,27,0,6,8,4,9,0,0,0,0,20,0,0,10,5,7,0,0,0,0,22,0,3,3,9,4,3,0,0,0,25,0,3,17,32,15,12,0,0,0,80,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,49,5,16,46,74,48,21,8,0,0,217,6,31,116,170,109,62,18,0,0,516
SOSR599,4,50,91,42,25,42,28,7,0,289,4,36,102,48,37,47,29,11,5,316,4,30,121,61,45,55,23,0,0,341,0,11,62,52,36,32,18,0,0,205,0,15,48,51,36,31,8,0,0,196,0,5,46,35,21,23,9,0,0,124,0,3,69,72,54,25,4,0,0,234,0,0,17,23,13,11,0,0,0,56,0,6,16,39,18,12,4,0,0,98,52,137,389,422,407,323,201,42,18,1991,261,562,1512,1543,1313,1144,758,155,30,7285
SOSR603,204,1367,3208,1875,1410,1490,1922,1075,425,12975,155,1428,4312,2479,1887,1948,1623,793,287,14914,64,1238,4968,3153,2564,2518,1548,615,166,16834,19,669,3308,2458,2182,1855,916,278,80,11764,8,271,2355,2263,2194,1757,670,232,75,9829,10,84,1515,1773,1822,1245,397,108,24,6972,3,53,1676,2967,3054,2034,526,147,48,10499,3,15,204,454,590,414,128,55,10,1875,12,28,269,798,1090,789,310,115,38,3457,560,673,1895,1297,1029,985,1053,1025,823,9336,10486,12423,34039,25323,23007,22706,20305,11961,4881,165131
SOSR611,123,647,1264,822,777,741,727,438,131,5674,77,743,1681,1075,971,926,525,234,93,6330,28,532,1884,1283,1172,1123,492,144,45,6700,3,245,1182,954,894,695,253,85,13,4335,4,116,834,753,809,588,186,79,24,3390,0,35,488,609,637,512,125,28,7,2440,0,24,472,833,971,657,183,45,14,3204,0,4,66,151,169,129,40,12,10,583,3,7,87,259,338,244,93,41,18,1096,256,409,719,442,418,426,473,476,359,3976,4638,5399,12328,9767,9868,9428,8358,5299,2208,67303
SOSR612,71,368,623,434,426,432,402,261,92,3105,49,402,807,553,558,533,274,131,33,3337,17,277,749,596,651,588,241,81,18,3218,4,152,539,453,473,391,126,30,8,2174,0,65,413,414,381,324,88,35,13,1733,0,41,268,253,319,242,52,12,0,1182,0,28,258,380,425,322,63,10,9,1494,0,0,25,49,66,49,17,4,0,218,0,0,40,69,115,95,44,25,0,390,159,125,334,244,300,310,335,359,248,2413,2524,2582,5878,4941,5504,5814,5288,3287,1254,37076
SOSR613,18,105,145,113,116,153,158,83,31,922,10,98,152,130,154,178,100,35,9,876,5,54,181,144,172,181,105,27,3,873,0,32,107,109,133,122,34,12,3,548,0,10,96,97,135,122,31,12,10,502,0,17,57,97,93,82,18,6,0,372,0,4,72,102,121,94,19,3,0,420,0,4,4,3,19,14,3,0,0,47,0,0,13,19,20,23,10,4,0,85,56,45,65,89,95,97,114,99,40,704,713,643,1259,1264,1514,1898,1817,1218,471,10800
SOSR614,35,119,189,184,151,177,169,92,28,1134,11,134,254,189,196,216,103,37,14,1161,3,91,329,241,243,257,107,32,5,1310,5,51,198,197,181,176,60,15,4,891,0,36,144,162,139,148,50,12,8,708,0,4,82,96,116,101,31,0,0,427,0,10,61,134,132,114,26,6,0,484,0,0,8,15,25,14,10,3,0,77,5,3,13,17,24,27,16,9,0,110,78,63,134,125,132,120,154,100,44,957,890,854,1954,1907,1967,2430,2200,1205,366,13783
SOSR615,99,407,751,580,638,695,676,422,119,4400,68,541,1046,747,779,790,521,183,76,4753,31,379,1162,904,929,914,436,106,32,4897,13,208,799,676,669,590,171,61,11,3201,4,81,612,603,554,500,149,63,18,2570,3,35,319,417,451,322,67,11,4,1640,0,25,338,539,599,440,84,21,3,2058,0,6,45,69,76,67,18,3,0,285,11,8,39,92,130,94,55,31,6,472,230,169,401,405,437,481,590,497,313,3527,3270,3169,7612,6894,7584,8836,9113,5420,1944,53837
SOSR621,31,115,217,195,199,260,277,129,18,1449,28,131,294,226,263,289,169,89,14,1505,11,116,311,314,319,368,199,62,10,1695,3,49,228,233,232,221,98,31,0,1094,0,23,167,199,235,200,77,29,8,936,0,18,117,155,175,135,42,6,0,646,0,10,118,219,259,208,53,12,3,883,0,0,18,40,43,27,15,0,0,144,0,0,20,38,73,57,31,4,4,222,80,65,157,139,174,227,243,205,108,1401,1022,916,2286,2385,2800,3538,3294,1735,478,18445
SOSR622,13,45,71,81,99,124,137,55,11,640,4,52,97,93,116,143,93,31,9,623,3,30,114,119,125,148,67,27,0,631,3,13,77,83,98,101,31,4,0,418,0,3,53,75,74,78,21,3,0,320,0,0,34,41,56,72,28,3,0,241,0,0,40,69,93,72,39,0,0,318,0,0,8,11,26,18,4,0,0,67,0,0,3,16,18,33,12,4,0,87,35,32,52,54,74,115,146,97,62,665,418,347,810,897,1192,1662,1622,744,232,7925
SOSR631,248,637,967,964,1154,1387,1135,437,62,6993,124,671,1188,1286,1400,1602,841,299,61,7461,57,541,1500,1454,1897,1896,839,210,30,8423,12,235,983,1193,1307,1282,471,94,3,5591,8,120,778,1069,1238,1161,372,79,23,4840,7,40,465,812,894,833,236,31,9,3330,0,28,511,1094,1409,1084,252,52,10,4441,0,11,63,200,242,192,84,26,5,823,6,16,78,291,422,364,174,59,5,1412,474,327,767,843,1020,1274,1138,522,159,6526,6019,4564,10269,12366,15552,18867,14821,5751,1169,89376
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
SOSR699,0,10,17,15,15,10,3,0,0,65,3,5,22,13,15,6,4,0,0,65,0,3,11,15,9,6,8,0,0,56,0,4,7,0,9,7,4,0,0,35,0,0,8,0,5,3,0,0,0,16,0,0,0,3,7,0,0,0,0,15,0,0,6,3,9,10,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,16,18,34,24,32,52,64,4,0,247,95,119,228,198,203,199,163,31,3,1248
SOSR703,212,745,1422,877,588,524,499,222,54,5148,209,969,2336,1383,987,793,605,206,32,7521,164,1211,3344,2123,1509,1143,584,160,22,10249,74,1034,2860,1952,1363,930,388,87,12,8702,26,477,2642,2055,1518,1042,331,80,14,8184,3,201,1776,1652,1314,850,258,41,5,6108,7,134,2208,3213,2824,1778,385,59,6,10614,0,11,271,603,570,419,118,13,0,2006,4,18,242,770,875,612,180,35,8,2744,635,998,2728,2052,1550,1066,687,308,133,10160,6547,8228,23991,19618,15409,12042,7784,3088,749,97454
SOSR712,71,125,227,156,99,100,93,42,15,922,72,182,468,276,191,161,117,50,21,1540,34,167,706,428,326,299,126,24,3,2103,12,139,649,410,330,280,80,10,0,1908,3,87,549,460,341,279,69,4,0,1800,0,27,375,320,299,221,66,3,0,1317,0,23,420,566,508,424,97,4,0,2048,0,0,71,114,105,78,18,3,0,397,0,3,59,138,148,149,41,0,0,546,122,85,404,300,248,218,133,59,16,1598,1428,1235,4759,3916,3131,2837,1581,570,169,19635
SOSR714,4,26,50,39,24,33,27,8,0,218,15,58,98,63,45,47,18,5,0,343,7,65,180,86,74,72,18,0,0,498,3,53,127,89,56,37,17,0,0,390,5,29,150,82,57,45,12,0,0,377,0,14,105,59,47,38,7,0,0,269,0,13,92,94,76,62,24,0,0,358,0,0,21,21,10,15,3,0,0,65,0,0,10,21,19,18,0,3,0,70,56,55,173,134,81,84,50,24,5,658,320,424,1208,857,675,612,347,129,30,4610
SOSR715,15,34,77,90,55,43,21,3,0,335,16,48,100,88,71,45,21,3,0,387,12,51,171,110,101,81,33,0,0,565,0,27,137,116,81,62,13,5,0,447,0,18,136,101,100,63,23,0,0,432,4,10,103,99,76,66,24,4,0,395,0,15,160,205,186,136,28,3,0,720,0,0,26,34,31,23,9,0,0,125,0,0,9,46,35,34,10,0,0,139,289,150,408,335,232,179,79,20,0,1691,1560,1388,3181,2730,2090,1467,606,147,29,13205
SOSR721,22,61,108,90,76,46,13,9,0,428,11,42,107,64,68,50,22,0,0,368,13,40,133,95,89,81,22,0,0,480,0,36,100,70,60,46,19,0,0,340,3,13,84,71,54,63,16,0,0,306,0,10,58,55,52,45,17,0,0,227,0,7,90,144,115,113,21,0,0,499,0,0,10,32,35,25,0,0,0,104,0,0,9,30,40,31,6,0,0,113,102,82,202,154,139,117,54,9,0,856,1023,1071,2255,1775,1515,1137,505,120,26,9427
SOSR722,3,28,67,69,67,36,28,8,4,305,12,25,68,50,47,48,28,5,0,280,4,18,61,44,62,64,22,4,0,276,6,11,63,51,63,46,17,0,0,261,0,7,42,49,48,58,12,3,0,222,0,4,26,36,32,31,11,4,0,138,0,0,34,57,80,76,28,0,0,272,0,0,6,9,8,14,5,0,0,44,0,0,0,9,8,10,6,0,0,31,193,115,219,161,139,129,87,31,3,1072,935,961,1957,1557,1381,1108,648,187,28,8767
SOSR731,110,144,214,180,178,211,156,49,4,1244,97,232,336,210,274,247,149,44,11,1600,66,239,452,334,393,390,121,38,0,2029,18,167,379,348,369,262,98,14,0,1664,3,78,382,389,432,327,71,17,0,1704,8,33,261,281,358,237,53,6,0,1227,0,36,348,600,726,412,91,3,0,2220,0,6,57,106,134,90,22,9,0,427,3,3,58,119,182,92,39,6,0,507,407,490,988,928,884,711,409,145,18,4977,2273,2283,4862,4771,5154,4426,2704,856,123,27458
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,5,4,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,6,4,7,3,0,0,0,25,4,6,23,22,19,17,0,0,0,94
SOSR799,0,9,38,25,16,25,16,3,0,136,0,19,46,23,28,15,5,0,0,130,0,9,47,24,20,21,14,0,0,127,0,7,27,20,8,14,5,0,0,84,0,5,27,8,10,11,0,0,0,62,0,0,18,17,13,7,6,0,0,54,0,0,22,29,19,10,0,0,0,88,0,0,3,9,3,0,0,0,0,12,0,0,4,11,0,7,0,0,0,26,24,50,147,89,108,130,70,9,0,625,95,183,661,573,591,579,318,49,7,3052
SOSR802,825,3257,4350,2359,1772,2056,2814,1785,611,19824,738,3899,6601,3776,2727,2800,3148,1752,600,26049,345,4164,9448,5642,4040,3882,3417,1599,475,33002,142,3509,9703,5839,3955,3597,2710,1093,339,30887,54,1835,10202,7012,5151,3985,2349,902,237,31731,16,566,6981,6917,5175,3598,1620,502,140,25509,24,430,10602,16822,14094,7857,2248,638,167,52873,3,54,1260,3358,3187,1866,545,141,45,10461,14,61,1371,5565,6314,3863,1009,270,96,18560,1305,2133,4022,2874,2101,1668,1569,1283,1042,18000,26191,34073,77465,69135,55949,45186,35529,19303,7174,370000
SOSR822,3,0,0,3,3,5,5,0,0,20,0,3,0,0,9,3,8,0,0,28,0,4,11,3,12,8,8,0,0,48,0,0,4,11,11,4,7,0,0,35,0,0,9,10,7,10,0,0,0,37,0,0,7,12,11,5,0,0,0,32,0,0,14,28,27,11,0,0,0,79,0,0,3,3,4,4,0,0,0,14,0,0,0,11,14,6,4,0,0,33,5,7,0,3,4,5,10,6,0,34,45,25,49,96,100,73,58,30,6,481
SOSR831,3,6,3,0,3,4,0,0,0,20,3,15,12,7,0,4,5,0,3,49,6,18,31,8,0,9,10,0,0,86,4,11,12,5,6,10,0,0,0,44,0,3,14,4,14,4,0,3,0,40,0,0,6,6,6,0,0,0,0,17,0,0,7,10,12,10,0,0,0,30,0,0,0,0,3,3,6,0,0,10,0,0,0,8,5,6,4,0,0,20,9,18,20,6,17,14,7,0,0,89,51,75,115,61,75,72,52,9,5,519
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,4,4,3,8,4,0,0,0,29,0,7,5,3,6,6,4,4,0,33,0,7,16,3,0,4,0,0,0,41,0,4,8,0,4,3,0,0,0,19,0,8,7,0,0,4,0,0,0,15,0,0,3,3,5,4,0,0,0,13,0,0,6,6,10,0,0,0,0,24,0,0,0,4,0,4,0,0,0,7,0,0,4,0,0,3,0,0,0,11,7,7,17,27,26,20,10,5,0,121,58,82,108,104,77,78,34,10,4,560
SOSR915,3,0,5,8,4,10,9,0,0,39,3,3,11,10,18,8,6,0,0,56,0,9,30,18,21,10,12,0,0,94,0,4,23,12,17,12,10,0,0,85,0,0,20,26,17,17,15,0,0,92,0,6,16,23,19,15,8,0,0,80,0,3,18,34,43,24,10,0,0,134,0,0,3,5,8,13,0,0,0,29,0,0,3,6,6,6,3,0,0,16,8,9,52,43,41,29,23,0,0,214,51,45,202,206,209,181,150,26,4,1074
SOSR921,3,11,24,24,24,41,22,7,0,158,0,13,19,32,45,47,22,14,0,192,4,6,18,30,37,37,16,4,0,152,0,3,11,22,14,20,16,0,0,89,0,0,0,11,16,26,3,0,0,55,0,0,0,7,6,16,7,0,0,39,0,0,10,18,11,18,5,0,0,61,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,4,5,0,0,6,10,12,19,31,25,29,18,16,3,168,83,67,126,209,228,344,258,129,38,1472
SOSR922,0,0,3,5,6,11,9,0,0,32,0,8,13,8,10,9,0,0,0,55,0,6,14,6,5,13,0,0,0,41,0,5,5,5,4,8,0,0,0,28,0,0,0,7,4,6,0,5,0,19,0,0,6,9,4,4,4,0,0,23,0,0,3,10,10,12,0,0,0,40,0,0,0,4,4,8,0,0,0,12,0,0,0,0,4,3,0,0,0,9,3,8,19,13,16,26,12,13,0,102,25,49,76,102,69,129,57,40,11,550
SOSR931,3,10,3,7,9,7,4,3,0,52,0,5,7,4,3,13,6,0,0,46,0,0,9,5,12,12,3,0,0,52,0,0,4,4,9,5,0,4,0,26,0,0,9,4,7,7,10,0,0,35,0,0,0,5,10,3,4,0,0,17,0,0,0,8,12,8,0,0,0,24,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,8,9,25,123,65,53,29,13,13,0,329,31,52,173,125,158,119,119,66,15,859
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
